Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Fri Aug 3 2018,19:00,CEST/+0200,SC Neusiedl/See 1919,2-2,1-0,FC Stadlau,,2018-08-03T17:00Z
1,Fri Aug 3 2018,19:00,CEST/+0200,ASK-BSC Bruck/Leitha,1-2,1-2,Wiener Sport-Club,,2018-08-03T17:00Z
1,Fri Aug 3 2018,19:30,CEST/+0200,SV Schwechat,0-0,0-0,SKN St. Pölten II,,2018-08-03T17:30Z
1,Fri Aug 3 2018,19:30,CEST/+0200,FC Marchfeld Mannsdorf,0-3,0-2,ASK Ebreichsdorf,,2018-08-03T17:30Z
1,Fri Aug 3 2018,19:30,CEST/+0200,FCM Traiskirchen,1-2,1-1,FC Mauerwerk,,2018-08-03T17:30Z
1,Fri Aug 3 2018,18:00,CEST/+0200,SV Leobendorf,1-1,1-1,SV Mattersburg II,,2018-08-03T16:00Z
1,Sat Aug 4 2018,18:00,CEST/+0200,SC Team Wiener Linien,3-0,1-0,FC Admira Wacker II,,2018-08-04T16:00Z
2,Fri Aug 10 2018,20:00,CEST/+0200,FC Admira Wacker II,0-2,0-0,ASK-BSC Bruck/Leitha,,2018-08-10T18:00Z
2,Fri Aug 10 2018,18:00,CEST/+0200,SKN St. Pölten II,0-4,0-1,Rapid Wien II,,2018-08-10T16:00Z
2,Fri Aug 10 2018,19:00,CEST/+0200,SC/ESV Parndorf,0-0,0-0,SC Team Wiener Linien,,2018-08-10T17:00Z
2,Fri Aug 10 2018,19:30,CEST/+0200,ASK Ebreichsdorf,5-0,1-0,SV Mattersburg II,,2018-08-10T17:30Z
2,Fri Aug 10 2018,19:30,CEST/+0200,FC Marchfeld Mannsdorf,1-0,1-0,SV Schwechat,,2018-08-10T17:30Z
2,Fri Aug 10 2018,19:30,CEST/+0200,FC Mauerwerk,1-0,1-0,SV Leobendorf,,2018-08-10T17:30Z
2,Fri Aug 10 2018,19:30,CEST/+0200,Wiener Sport-Club,2-4,1-1,SC Neusiedl/See 1919,,2018-08-10T17:30Z
2,Sat Aug 11 2018,16:00,CEST/+0200,FC Stadlau,1-1,0-1,FCM Traiskirchen,,2018-08-11T14:00Z
3,Fri Aug 17 2018,19:00,CEST/+0200,ASK-BSC Bruck/Leitha,4-3,3-1,SC/ESV Parndorf,,2018-08-17T17:00Z
3,Fri Aug 17 2018,18:00,CEST/+0200,SV Leobendorf,6-2,4-0,FC Stadlau,,2018-08-17T16:00Z
3,Fri Aug 17 2018,19:00,CEST/+0200,SV Mattersburg II,2-0,0-0,FC Mauerwerk,,2018-08-17T17:00Z
3,Fri Aug 17 2018,19:00,CEST/+0200,Rapid Wien II,0-2,0-0,FC Marchfeld Mannsdorf,,2018-08-17T17:00Z
3,Fri Aug 17 2018,19:30,CEST/+0200,SV Schwechat,0-5,0-4,ASK Ebreichsdorf,,2018-08-17T17:30Z
3,Fri Aug 17 2018,19:00,CEST/+0200,SC Neusiedl/See 1919,2-2,0-1,FC Admira Wacker II,,2018-08-17T17:00Z
3,Fri Aug 17 2018,19:30,CEST/+0200,FCM Traiskirchen,1-2,0-2,Wiener Sport-Club,,2018-08-17T17:30Z
3,Sat Aug 18 2018,18:00,CEST/+0200,SC Team Wiener Linien,3-3,1-1,SKN St. Pölten II,,2018-08-18T16:00Z
4,Thu Aug 23 2018,20:30,CEST/+0200,FC Admira Wacker II,1-3,0-1,FCM Traiskirchen,,2018-08-23T18:30Z
4,Fri Aug 24 2018,19:30,CEST/+0200,ASK Ebreichsdorf,0-3,0-3,FC Mauerwerk,,2018-08-24T17:30Z
4,Fri Aug 24 2018,19:00,CEST/+0200,SV Mattersburg II,3-0,0-0,FC Stadlau,,2018-08-24T17:00Z
4,Fri Aug 24 2018,19:00,CEST/+0200,SC/ESV Parndorf,0-1,0-1,SC Neusiedl/See 1919,,2018-08-24T17:00Z
4,Fri Aug 24 2018,19:30,CEST/+0200,Wiener Sport-Club,3-1,2-0,SV Leobendorf,,2018-08-24T17:30Z
4,Fri Aug 24 2018,19:30,CEST/+0200,SV Schwechat,0-3,0-1,Rapid Wien II,,2018-08-24T17:30Z
4,Sun Aug 26 2018,17:30,CEST/+0200,SKN St. Pölten II,2-0,0-0,ASK-BSC Bruck/Leitha,,2018-08-26T15:30Z
1,Tue Aug 28 2018,19:00,CEST/+0200,Rapid Wien II,2-0,2-0,SC/ESV Parndorf,,2018-08-28T17:00Z
5,Fri Aug 31 2018,19:30,CEST/+0200,FCM Traiskirchen,2-0,0-0,SC/ESV Parndorf,,2018-08-31T17:30Z
5,Fri Aug 31 2018,17:30,CEST/+0200,SV Leobendorf,2-1,1-0,FC Admira Wacker II,,2018-08-31T15:30Z
5,Fri Aug 31 2018,19:00,CEST/+0200,SV Mattersburg II,1-3,1-1,Wiener Sport-Club,,2018-08-31T17:00Z
5,Fri Aug 31 2018,19:00,CEST/+0200,ASK-BSC Bruck/Leitha,2-0,2-0,FC Marchfeld Donauauen,,2018-08-31T17:00Z
5,Fri Aug 31 2018,19:00,CEST/+0200,Rapid Wien II,2-1,1-1,ASK Ebreichsdorf,,2018-08-31T17:00Z
5,Fri Aug 31 2018,19:00,CEST/+0200,SC Neusiedl/See 1919,4-4,3-0,SKN St. Pölten II,,2018-08-31T17:00Z
5,Fri Aug 31 2018,19:00,CEST/+0200,SC Team Wiener Linien,2-1,1-0,SV Schwechat,,2018-08-31T17:00Z
5,Fri Aug 31 2018,19:30,CEST/+0200,FC Mauerwerk,3-1,1-0,FC Stadlau,,2018-08-31T17:30Z
6,Fri Sep 7 2018,19:30,CEST/+0200,SV Schwechat,1-2,0-1,ASK-BSC Bruck/Leitha,,2018-09-07T17:30Z
6,Fri Sep 7 2018,19:00,CEST/+0200,FC Admira Wacker II,2-2,0-1,SV Mattersburg II,,2018-09-07T17:00Z
6,Fri Sep 7 2018,19:00,CEST/+0200,SC/ESV Parndorf,0-2,0-2,SV Leobendorf,,2018-09-07T17:00Z
6,Fri Sep 7 2018,19:30,CEST/+0200,ASK Ebreichsdorf,5-0,2-0,FC Stadlau,,2018-09-07T17:30Z
6,Fri Sep 7 2018,19:30,CEST/+0200,FC Marchfeld Donauauen,4-0,2-0,SC Neusiedl/See 1919,,2018-09-07T17:30Z
6,Fri Sep 7 2018,19:30,CEST/+0200,Wiener Sport-Club,1-4,0-1,FC Mauerwerk,,2018-09-07T17:30Z
6,Sat Sep 8 2018,16:30,CEST/+0200,SKN St. Pölten II,3-1,1-0,FCM Traiskirchen,,2018-09-08T14:30Z
7,Fri Sep 14 2018,19:30,CEST/+0200,FC Mauerwerk,4-0,2-0,FC Admira Wacker II,,2018-09-14T17:30Z
7,Fri Sep 14 2018,19:30,CEST/+0200,FCM Traiskirchen,1-1,0-0,FC Marchfeld Donauauen,,2018-09-14T17:30Z
7,Fri Sep 14 2018,19:00,CEST/+0200,ASK-BSC Bruck/Leitha,1-0,0-0,Rapid Wien II,,2018-09-14T17:00Z
7,Fri Sep 14 2018,19:00,CEST/+0200,SV Mattersburg II,2-1,1-1,SC/ESV Parndorf,,2018-09-14T17:00Z
7,Fri Sep 14 2018,19:00,CEST/+0200,SC Neusiedl/See 1919,4-0,3-0,SV Schwechat,,2018-09-14T17:00Z
7,Sat Sep 15 2018,18:00,CEST/+0200,SC Team Wiener Linien,1-3,0-1,ASK Ebreichsdorf,,2018-09-15T16:00Z
7,Sat Sep 15 2018,16:00,CEST/+0200,FC Stadlau,2-3,1-2,Wiener Sport-Club,,2018-09-15T14:00Z
7,Sat Sep 15 2018,16:30,CEST/+0200,SV Leobendorf,1-0,0-0,SKN St. Pölten II,,2018-09-15T14:30Z
6,Tue Sep 18 2018,19:00,CEST/+0200,Rapid Wien II,3-0,1-0,SC Team Wiener Linien,,2018-09-18T17:00Z
8,Fri Sep 21 2018,19:30,CEST/+0200,SV Schwechat,3-4,2-1,FCM Traiskirchen,,2018-09-21T17:30Z
8,Fri Sep 21 2018,19:00,CEST/+0200,SC/ESV Parndorf,2-1,0-0,FC Mauerwerk,,2018-09-21T17:00Z
8,Fri Sep 21 2018,19:30,CEST/+0200,ASK Ebreichsdorf,6-1,2-0,Wiener Sport-Club,,2018-09-21T17:30Z
8,Sat Sep 22 2018,18:00,CEST/+0200,SC Team Wiener Linien,1-1,0-0,ASK-BSC Bruck/Leitha,,2018-09-22T16:00Z
8,Sat Sep 22 2018,16:00,CEST/+0200,Rapid Wien II,3-1,2-0,SC Neusiedl/See 1919,,2018-09-22T14:00Z
8,Sun Sep 23 2018,,,SKN St. Pölten II,3-0 (*),,SV Mattersburg II,awd.,
8,Sun Sep 23 2018,16:30,CEST/+0200,FC Admira Wacker II,3-1,0-1,FC Stadlau,,2018-09-23T14:30Z
9,Fri Sep 28 2018,19:30,CEST/+0200,FCM Traiskirchen,2-1,2-0,Rapid Wien II,,2018-09-28T17:30Z
9,Fri Sep 28 2018,19:30,CEST/+0200,Wiener Sport-Club,1-0,1-0,FC Admira Wacker II,,2018-09-28T17:30Z
