Stage,Round,Date,Time,Team 1,FT,HT,Team 2
Clausura,14,Sun Apr 14 2019,23:00,Lobos BUAP,0-3,0-0,UANL Tigres
Clausura,14,Sun Apr 14 2019,04:00,Monarcas Morelia,1-0,1-0,Deportivo Guadalajara
Clausura,14,Sun Apr 14 2019,19:00,Pumas UNAM,1-0,0-0,Club Tijuana
Clausura,14,Sun Apr 14 2019,02:00,CF Pachuca,9-2,6-1,CD Veracruz
Clausura,14,Mon Apr 15 2019,03:30,CF Monterrey,4-0,1-0,Santos Laguna
Clausura,14,Mon Apr 15 2019,01:00,CF América,0-0,0-0,Cruz Azul
Clausura,15,Sat Apr 20 2019,03:00,CD Veracruz,0-1,0-0,CF Monterrey
Clausura,15,Sat Apr 20 2019,04:06,Club Tijuana,1-2,1-1,Lobos BUAP
Clausura,15,Sun Apr 21 2019,00:06,Club León,5-2,1-0,Atlas Guadalajara
Clausura,15,Sun Apr 21 2019,19:00,Deportivo Toluca,3-2,1-1,CF América
Clausura,15,Sun Apr 21 2019,02:00,Cruz Azul,2-1,1-0,Pumas UNAM
Clausura,15,Sun Apr 21 2019,02:00,UANL Tigres,3-3,0-2,Monarcas Morelia
Clausura,15,Sun Apr 21 2019,04:00,Deportivo Guadalajara,1-3,1-2,Puebla FC
Clausura,15,Sun Apr 21 2019,00:00,Club Necaxa,2-2,1-1,CF Pachuca
Clausura,15,Mon Apr 22 2019,01:06,Santos Laguna,2-1,2-0,Gallos Blancos
Clausura,16,Sat Apr 27 2019,02:00,Puebla FC,1-1,0-1,UANL Tigres
Clausura,16,Sat Apr 27 2019,04:00,Monarcas Morelia,1-4,1-1,Club Tijuana
Clausura,16,Sun Apr 28 2019,02:00,CF América,1-0,1-0,Santos Laguna
Clausura,16,Sun Apr 28 2019,00:00,CF Pachuca,1-0,0-0,Atlas Guadalajara
Clausura,16,Sun Apr 28 2019,02:00,CF Monterrey,2-2,2-1,Club Necaxa
Clausura,16,Sun Apr 28 2019,04:00,Deportivo Guadalajara,2-1,0-0,Club León
Clausura,16,Sun Apr 28 2019,19:00,Pumas UNAM,2-2,1-0,Deportivo Toluca
Clausura,16,Sun Apr 28 2019,23:00,Lobos BUAP,1-4,1-2,Cruz Azul
Clausura,16,Mon Apr 29 2019,01:00,Gallos Blancos,2-1,1-0,CD Veracruz
Clausura,17,Sat May 4 2019,04:00,CD Veracruz,0-2,0-1,CF América
Clausura,17,Sun May 5 2019,02:00,UANL Tigres,2-1,1-0,Deportivo Guadalajara
Clausura,17,Sun May 5 2019,02:00,Club León,2-1,1-0,CF Pachuca
Clausura,17,Sun May 5 2019,00:00,Cruz Azul,1-1,0-1,Monarcas Morelia
Clausura,17,Sun May 5 2019,04:00,Club Necaxa,1-0,0-0,Gallos Blancos
Clausura,17,Sun May 5 2019,04:06,Club Tijuana,4-0,0-0,Puebla FC
Clausura,17,Sun May 5 2019,23:00,Atlas Guadalajara,2-0,1-0,CF Monterrey
Clausura,17,Sun May 5 2019,19:00,Deportivo Toluca,4-0,1-0,Lobos BUAP
Clausura,17,Mon May 6 2019,01:06,Santos Laguna,5-2,3-1,Pumas UNAM
Clausura - Liguilla,Quarterfinals,Thu May 9 2019,02:00,CF Pachuca,1-1,1-1,UANL Tigres
Clausura - Liguilla,Quarterfinals,Thu May 9 2019,04:06,Club Tijuana,1-3,0-1,Club León
Clausura - Liguilla,Quarterfinals,Fri May 10 2019,02:00,Club Necaxa,1-0,1-0,CF Monterrey
Clausura - Liguilla,Quarterfinals,Fri May 10 2019,04:05,CF América,3-1,2-1,Cruz Azul
Clausura - Liguilla,Quarterfinals,Sun May 12 2019,02:00,UANL Tigres,1-1,0-0,CF Pachuca
Clausura - Liguilla,Quarterfinals,Sun May 12 2019,04:06,Club León,2-1,2-1,Club Tijuana
Clausura - Liguilla,Quarterfinals,Mon May 13 2019,03:00,CF Monterrey,1-0,1-0,Club Necaxa
Clausura - Liguilla,Quarterfinals,Mon May 13 2019,01:10,Cruz Azul,1-0,0-0,CF América
Clausura - Liguilla,Semifinals,Thu May 16 2019,04:06,CF Monterrey,1-0,1-0,UANL Tigres
Clausura - Liguilla,Semifinals,Fri May 17 2019,03:30,CF América,0-1,0-0,Club León
Clausura - Liguilla,Semifinals,Sun May 19 2019,02:00,UANL Tigres,1-0,1-0,CF Monterrey
Clausura - Liguilla,Semifinals,Mon May 20 2019,03:06,Club León,0-1,0-1,CF América
Clausura - Liguilla,Final,Fri May 24 2019,03:45,UANL Tigres,1-0,1-0,Club León
Clausura - Liguilla,Final,Mon May 27 2019,03:06,Club León,0-0,0-0,UANL Tigres
