Stage,Round,Date,Time,Team 1,FT,HT,Team 2
Apertura,3,Sun Aug 5 2018,19:00,Deportivo Toluca,2-2,1-1,Deportivo Guadalajara
Apertura,3,Sun Aug 5 2018,04:00,Cruz Azul,1-0,0-0,UANL Tigres
Apertura,3,Sun Aug 5 2018,04:06,CF Monterrey,2-1,1-1,Gallos Blancos
Apertura,3,Sun Aug 5 2018,02:00,CF Pachuca,1-3,0-1,CF América
Apertura,3,Mon Aug 6 2018,01:00,Santos Laguna,2-0,1-0,Puebla FC
Apertura,3,Mon Aug 6 2018,03:06,Club Tijuana,1-1,0-0,Club León
Apertura,4,Sat Aug 11 2018,02:00,Puebla FC,1-2,0-0,CD Veracruz
Apertura,4,Sat Aug 11 2018,04:00,Monarcas Morelia,2-1,1-0,Club Necaxa
Apertura,4,Sun Aug 12 2018,00:00,Lobos BUAP,0-0,0-0,Atlas Guadalajara
Apertura,4,Sun Aug 12 2018,23:00,Pumas UNAM,0-0,0-0,CF Pachuca
Apertura,4,Sun Aug 12 2018,02:00,UANL Tigres,1-2,1-0,Deportivo Toluca
Apertura,4,Sun Aug 12 2018,04:00,CF América,3-0,1-0,CF Monterrey
Apertura,4,Sun Aug 12 2018,02:00,Club León,4-0,2-0,Gallos Blancos
Apertura,4,Mon Aug 13 2018,03:06,Club Tijuana,1-1,0-0,Cruz Azul
Apertura,4,Mon Aug 13 2018,01:00,Deportivo Guadalajara,1-2,1-1,Santos Laguna
Apertura,5,Sat Aug 18 2018,02:00,CD Veracruz,0-2,0-2,Deportivo Guadalajara
Apertura,5,Sat Aug 18 2018,04:00,Atlas Guadalajara,0-1,0-1,Monarcas Morelia
Apertura,5,Sun Aug 19 2018,02:00,CF Pachuca,3-0,0-0,Lobos BUAP
Apertura,5,Sun Aug 19 2018,00:00,Cruz Azul,3-0,2-0,Club León
Apertura,5,Sun Aug 19 2018,04:00,Club Necaxa,2-2,0-1,Puebla FC
Apertura,5,Sun Aug 19 2018,04:00,Gallos Blancos,1-1,0-1,CF América
Apertura,5,Sun Aug 19 2018,04:06,CF Monterrey,1-0,1-0,Pumas UNAM
Apertura,5,Sun Aug 19 2018,19:00,Deportivo Toluca,3-0,2-0,Club Tijuana
Apertura,5,Mon Aug 20 2018,01:00,Santos Laguna,3-1,1-0,UANL Tigres
Apertura,6,Wed Aug 22 2018,02:00,Pumas UNAM,0-1,0-1,Gallos Blancos
Apertura,6,Wed Aug 22 2018,02:00,Monarcas Morelia,1-1,1-0,CF Pachuca
Apertura,6,Wed Aug 22 2018,04:00,Puebla FC,2-0,1-0,Atlas Guadalajara
Apertura,6,Wed Aug 22 2018,04:00,Deportivo Guadalajara,1-0,1-0,Club Necaxa
Apertura,6,Thu Aug 23 2018,02:00,Cruz Azul,1-0,1-0,Deportivo Toluca
Apertura,6,Thu Aug 23 2018,02:00,Club León,2-0,1-0,CF América
Apertura,6,Thu Aug 23 2018,04:00,UANL Tigres,4-0,1-0,CD Veracruz
Apertura,6,Thu Aug 23 2018,04:00,Lobos BUAP,1-2,0-1,CF Monterrey
Apertura,6,Thu Aug 23 2018,04:06,Club Tijuana,2-2,0-0,Santos Laguna
Apertura,7,Sat Aug 25 2018,04:00,Atlas Guadalajara,0-1,0-0,Deportivo Guadalajara
Apertura,7,Sun Aug 26 2018,00:00,CF Pachuca,2-0,0-0,Puebla FC
Apertura,7,Sun Aug 26 2018,02:00,CF América,2-2,1-1,Pumas UNAM
Apertura,7,Sun Aug 26 2018,03:30,CD Veracruz,1-0,1-0,Club Tijuana
Apertura,7,Sun Aug 26 2018,04:00,Club Necaxa,1-1,0-0,UANL Tigres
Apertura,7,Sun Aug 26 2018,04:06,CF Monterrey,2-2,2-1,Monarcas Morelia
Apertura,7,Sun Aug 26 2018,23:00,Deportivo Toluca,1-2,1-2,Club León
Apertura,7,Sun Aug 26 2018,19:00,Gallos Blancos,2-0,1-0,Lobos BUAP
Apertura,7,Mon Aug 27 2018,01:00,Santos Laguna,1-1,0-0,Cruz Azul
Apertura,8,Sat Sep 1 2018,02:00,Monarcas Morelia,1-4,0-1,Gallos Blancos
Apertura,8,Sat Sep 1 2018,04:00,Puebla FC,2-1,0-1,CF Monterrey
Apertura,8,Sat Sep 1 2018,04:06,Club Tijuana,1-0,0-0,Club Necaxa
Apertura,8,Sun Sep 2 2018,00:00,Cruz Azul,4-1,1-0,CD Veracruz
Apertura,8,Sun Sep 2 2018,02:00,Club León,1-2,1-1,Pumas UNAM
Apertura,8,Sun Sep 2 2018,02:00,UANL Tigres,3-1,0-1,Atlas Guadalajara
