Stage,Round,Date,Time,Team 1,FT,HT,Team 2
Regular Season,1,Sat Aug 4 2018,16:00,Celtic FC,3-1,2-0,Livingston FC
Regular Season,1,Sat Aug 4 2018,16:00,Hamilton Academical,1-4,1-1,Heart of Midlothian
Regular Season,1,Sat Aug 4 2018,16:00,Kilmarnock FC,2-0,0-0,St. Johnstone FC
Regular Season,1,Sat Aug 4 2018,16:00,St. Mirren FC,2-1,1-1,Dundee FC
Regular Season,1,Sun Aug 5 2018,16:00,Hibernian FC,3-0,2-0,Motherwell FC
Regular Season,1,Sun Aug 5 2018,14:00,Aberdeen FC,1-1,0-1,Rangers FC
Regular Season,2,Sat Aug 11 2018,13:30,Heart of Midlothian,1-0,0-0,Celtic FC
Regular Season,2,Sat Aug 11 2018,16:00,Motherwell FC,0-1,0-0,Hamilton Academical
Regular Season,2,Sat Aug 11 2018,16:00,Livingston FC,0-0,0-0,Kilmarnock FC
Regular Season,2,Sat Aug 11 2018,16:00,Dundee FC,0-1,0-0,Aberdeen FC
Regular Season,2,Sun Aug 12 2018,16:00,Rangers FC,2-0,2-0,St. Mirren FC
Regular Season,2,Sun Aug 12 2018,16:00,St. Johnstone FC,1-1,1-0,Hibernian FC
Regular Season,3,Sat Aug 25 2018,16:00,Hibernian FC,1-1,0-1,Aberdeen FC
Regular Season,3,Sat Aug 25 2018,16:00,Kilmarnock FC,0-1,0-0,Heart of Midlothian
Regular Season,3,Sat Aug 25 2018,16:00,St. Mirren FC,0-2,0-2,Livingston FC
Regular Season,3,Sat Aug 25 2018,16:00,St. Johnstone FC,1-0,0-0,Dundee FC
Regular Season,3,Sun Aug 26 2018,13:15,Motherwell FC,3-3,2-3,Rangers FC
Regular Season,3,Sun Aug 26 2018,16:00,Celtic FC,1-0,0-0,Hamilton Academical
Regular Season,4,Sat Sep 1 2018,16:00,Dundee FC,1-3,0-0,Motherwell FC
Regular Season,4,Sat Sep 1 2018,16:00,Aberdeen FC,0-2,0-1,Kilmarnock FC
Regular Season,4,Sat Sep 1 2018,16:00,Hamilton Academical,1-2,0-2,St. Johnstone FC
Regular Season,4,Sat Sep 1 2018,16:00,Heart of Midlothian,4-1,4-1,St. Mirren FC
Regular Season,4,Sat Sep 1 2018,16:00,Livingston FC,2-1,0-0,Hibernian FC
Regular Season,4,Sun Sep 2 2018,13:00,Celtic FC,1-0,0-0,Rangers FC
Regular Season,5,Fri Sep 14 2018,20:45,St. Mirren FC,0-0,0-0,Celtic FC
Regular Season,5,Sat Sep 15 2018,16:00,St. Johnstone FC,1-1,1-0,Aberdeen FC
Regular Season,5,Sat Sep 15 2018,16:00,Hibernian FC,3-2,2-2,Kilmarnock FC
Regular Season,5,Sat Sep 15 2018,16:00,Motherwell FC,0-1,0-1,Heart of Midlothian
Regular Season,5,Sat Sep 15 2018,16:00,Rangers FC,4-0,3-0,Dundee FC
Regular Season,5,Sat Sep 15 2018,16:00,Livingston FC,1-0,1-0,Hamilton Academical
Regular Season,6,Sat Sep 22 2018,16:00,Aberdeen FC,1-0,1-0,Motherwell FC
Regular Season,6,Sat Sep 22 2018,16:00,Dundee FC,0-3,0-0,Hibernian FC
Regular Season,6,Sat Sep 22 2018,16:00,Heart of Midlothian,0-0,0-0,Livingston FC
Regular Season,6,Sat Sep 22 2018,16:00,Hamilton Academical,3-0,2-0,St. Mirren FC
