Round,Date,Time,Team 1,FT,HT,Team 2
1,Sat Aug 4 2018,16:00,Bury FC,1-0,0-0,Yeovil Town
1,Sat Aug 4 2018,16:00,Cheltenham Town,0-1,0-0,Crawley Town
1,Sat Aug 4 2018,16:00,Crewe Alexandra,6-0,2-0,Morecambe FC
1,Sat Aug 4 2018,16:00,Exeter City,3-1,2-1,Carlisle United
1,Sat Aug 4 2018,16:00,Grimsby Town,1-4,1-0,Forest Green Rovers
1,Sat Aug 4 2018,16:00,Mansfield Town,3-0,1-0,Newport County
1,Sat Aug 4 2018,16:00,Northampton Town,0-1,0-0,Lincoln City
1,Sat Aug 4 2018,16:00,Notts County,0-0,0-0,Colchester United
1,Sat Aug 4 2018,16:00,Oldham Athletic,1-2,1-2,Milton Keynes Dons
1,Sat Aug 4 2018,16:00,Port Vale FC,3-0,1-0,Cambridge United
1,Sat Aug 4 2018,16:00,Stevenage FC,2-2,2-1,Tranmere Rovers
1,Sat Aug 4 2018,16:00,Swindon Town,3-2,0-0,Macclesfield Town
2,Sat Aug 11 2018,16:00,Cambridge United,3-2,0-1,Notts County
2,Sat Aug 11 2018,16:00,Carlisle United,2-2,1-1,Northampton Town
2,Sat Aug 11 2018,16:00,Colchester United,2-0,2-0,Port Vale FC
2,Sat Aug 11 2018,16:00,Crawley Town,1-3,0-0,Stevenage FC
2,Sat Aug 11 2018,16:00,Forest Green Rovers,1-1,1-0,Oldham Athletic
2,Sat Aug 11 2018,16:00,Yeovil Town,2-2,2-2,Mansfield Town
2,Sat Aug 11 2018,16:00,Macclesfield Town,0-2,0-1,Grimsby Town
2,Sat Aug 11 2018,16:00,Milton Keynes Dons,1-0,0-0,Bury FC
2,Sat Aug 11 2018,16:00,Morecambe FC,0-2,0-1,Exeter City
2,Sat Aug 11 2018,16:00,Newport County,1-0,1-0,Crewe Alexandra
2,Sat Aug 11 2018,16:00,Tranmere Rovers,1-0,1-0,Cheltenham Town
2,Sat Aug 11 2018,16:00,Lincoln City,4-1,2-1,Swindon Town
3,Fri Aug 17 2018,20:45,Notts County,0-4,0-2,Yeovil Town
3,Sat Aug 18 2018,16:00,Exeter City,1-1,1-0,Newport County
3,Sat Aug 18 2018,16:00,Bury FC,1-1,0-1,Forest Green Rovers
3,Sat Aug 18 2018,16:00,Cheltenham Town,0-1,0-1,Carlisle United
3,Sat Aug 18 2018,16:00,Crewe Alexandra,0-0,0-0,Milton Keynes Dons
3,Sat Aug 18 2018,14:00,Grimsby Town,1-1,1-0,Lincoln City
3,Sat Aug 18 2018,16:00,Mansfield Town,1-1,0-0,Colchester United
3,Sat Aug 18 2018,16:00,Northampton Town,2-2,0-0,Cambridge United
3,Sat Aug 18 2018,16:00,Oldham Athletic,3-1,1-0,Macclesfield Town
3,Sat Aug 18 2018,16:00,Port Vale FC,1-0,1-0,Crawley Town
3,Sat Aug 18 2018,16:00,Stevenage FC,1-0,1-0,Morecambe FC
3,Sat Aug 18 2018,16:00,Swindon Town,3-2,1-2,Tranmere Rovers
4,Tue Aug 21 2018,20:45,Cambridge United,0-2,0-2,Exeter City
4,Tue Aug 21 2018,20:45,Carlisle United,2-1,1-0,Port Vale FC
4,Tue Aug 21 2018,20:45,Colchester United,6-0,3-0,Crewe Alexandra
4,Tue Aug 21 2018,20:45,Crawley Town,2-2,0-2,Swindon Town
4,Tue Aug 21 2018,20:45,Forest Green Rovers,0-0,0-0,Stevenage FC
4,Tue Aug 21 2018,20:45,Lincoln City,2-1,0-1,Bury FC
4,Tue Aug 21 2018,20:45,Macclesfield Town,1-1,1-0,Cheltenham Town
4,Tue Aug 21 2018,20:45,Milton Keynes Dons,1-1,0-1,Grimsby Town
4,Tue Aug 21 2018,20:45,Morecambe FC,1-0,1-0,Northampton Town
4,Tue Aug 21 2018,20:45,Newport County,3-2,2-1,Notts County
4,Tue Aug 21 2018,20:45,Tranmere Rovers,0-0,0-0,Mansfield Town
4,Tue Aug 21 2018,20:45,Yeovil Town,0-0,0-0,Oldham Athletic
5,Sat Aug 25 2018,16:00,Cambridge United,0-1,0-0,Cheltenham Town
5,Sat Aug 25 2018,16:00,Carlisle United,1-0,0-0,Crewe Alexandra
5,Sat Aug 25 2018,16:00,Colchester United,1-2,0-0,Northampton Town
5,Sat Aug 25 2018,16:00,Crawley Town,3-2,1-0,Bury FC
5,Sat Aug 25 2018,16:00,Forest Green Rovers,1-1,1-1,Swindon Town
5,Sat Aug 25 2018,16:00,Yeovil Town,2-0,2-0,Stevenage FC
5,Sat Aug 25 2018,16:00,Macclesfield Town,1-1,0-1,Mansfield Town
5,Sat Aug 25 2018,16:00,Milton Keynes Dons,1-0,0-0,Exeter City
