Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Aug 10 2018,21:00,-0300,Tigre,2-2,2-2,San Lorenzo,2018-08-11T00:00Z
1,Fri Aug 10 2018,19:00,-0300,Vélez Sarsfield,2-0,2-0,Newell's Old Boys,2018-08-10T22:00Z
1,Sat Aug 11 2018,15:30,-0300,Unión de Santa Fe,1-0,0-0,Aldosivi,2018-08-11T18:30Z
1,Sat Aug 11 2018,17:45,-0300,Patronato de Paraná,0-0,0-0,Colón de Santa Fe,2018-08-11T20:45Z
1,Sat Aug 11 2018,20:00,-0300,Belgrano de Córdoba,0-0,0-0,San Martín de San Juan,2018-08-11T23:00Z
1,Sat Aug 11 2018,13:15,-0300,Gimnasia de La Plata,1-0,1-0,Argentinos Juniors,2018-08-11T16:15Z
1,Sun Aug 12 2018,11:00,-0300,Boca Juniors,1-0,1-0,Talleres de Córdoba,2018-08-12T14:00Z
1,Sun Aug 12 2018,13:15,-0300,Godoy Cruz,1-0,0-0,Estudiantes,2018-08-12T16:15Z
1,Sun Aug 12 2018,15:30,-0300,Lanús,2-2,2-0,Defensa y Justicia,2018-08-12T18:30Z
1,Sun Aug 12 2018,17:45,-0300,Rosario Central,1-0,0-0,Banfield,2018-08-12T20:45Z
1,Sun Aug 12 2018,20:00,-0300,Huracán,0-0,0-0,River Plate,2018-08-12T23:00Z
1,Mon Aug 13 2018,21:00,-0300,Atlético Tucumán,2-2,0-2,Racing Club,2018-08-14T00:00Z
2,Fri Aug 17 2018,19:00,-0300,Talleres de Córdoba,0-1,0-0,Rosario Central,2018-08-17T22:00Z
2,Fri Aug 17 2018,21:00,-0300,Newell's Old Boys,2-2,1-2,Independiente,2018-08-18T00:00Z
2,Sat Aug 18 2018,13:15,-0300,Defensa y Justicia,1-1,0-0,Atlético Tucumán,2018-08-18T16:15Z
2,Sat Aug 18 2018,15:30,-0300,Banfield,1-0,1-0,Gimnasia de La Plata,2018-08-18T18:30Z
2,Sat Aug 18 2018,17:45,-0300,Argentinos Juniors,0-0,0-0,Godoy Cruz,2018-08-18T20:45Z
2,Sat Aug 18 2018,20:00,-0300,River Plate,0-0,0-0,Belgrano de Córdoba,2018-08-18T23:00Z
2,Sun Aug 19 2018,20:00,-0300,Racing Club,2-0,1-0,Vélez Sarsfield,2018-08-19T23:00Z
2,Sun Aug 19 2018,11:00,-0300,San Martín de San Juan,1-0,0-0,Patronato de Paraná,2018-08-19T14:00Z
2,Sun Aug 19 2018,13:15,-0300,Colón de Santa Fe,2-2,0-0,Tigre,2018-08-19T16:15Z
2,Sun Aug 19 2018,15:30,-0300,Aldosivi,2-1,0-1,Huracán,2018-08-19T18:30Z
2,Sun Aug 19 2018,17:45,-0300,San Lorenzo,2-2,2-1,Lanús,2018-08-19T20:45Z
2,Mon Aug 20 2018,15:30,-0300,Estudiantes,2-0,0-0,Boca Juniors,2018-08-20T18:30Z
2,Mon Aug 20 2018,17:45,-0300,San Martín de Tucumán,1-1,1-0,Unión de Santa Fe,2018-08-20T20:45Z
3,Fri Aug 24 2018,19:00,-0300,Patronato de Paraná,0-3,0-1,Racing Club,2018-08-24T22:00Z
3,Fri Aug 24 2018,19:00,-0300,Belgrano de Córdoba,2-1,1-0,Estudiantes,2018-08-24T22:00Z
3,Fri Aug 24 2018,21:15,-0300,Independiente,0-1,0-1,Defensa y Justicia,2018-08-25T00:15Z
3,Fri Aug 24 2018,21:15,-0300,Atlético Tucumán,2-1,1-1,Colón de Santa Fe,2018-08-25T00:15Z
3,Sat Aug 25 2018,17:45,-0300,Tigre,2-2,1-1,San Martín de San Juan,2018-08-25T20:45Z
3,Sat Aug 25 2018,15:30,-0300,Gimnasia de La Plata,0-2,0-0,Talleres de Córdoba,2018-08-25T18:30Z
3,Sat Aug 25 2018,20:00,-0300,River Plate,0-0,0-0,Argentinos Juniors,2018-08-25T23:00Z
3,Sun Aug 26 2018,11:00,-0300,Vélez Sarsfield,1-1,0-0,Banfield,2018-08-26T14:00Z
3,Sun Aug 26 2018,15:30,-0300,Lanús,0-1,0-1,Aldosivi,2018-08-26T18:30Z
3,Sun Aug 26 2018,17:45,-0300,Rosario Central,2-0,1-0,San Martín de Tucumán,2018-08-26T20:45Z
3,Sun Aug 26 2018,20:00,-0300,Huracán,0-0,0-0,Boca Juniors,2018-08-26T23:00Z
3,Mon Aug 27 2018,21:00,-0300,Unión de Santa Fe,1-1,0-1,San Lorenzo,2018-08-28T00:00Z
3,Mon Aug 27 2018,19:00,-0300,Godoy Cruz,2-1,1-0,Newell's Old Boys,2018-08-27T22:00Z
4,Fri Aug 31 2018,21:00,-0300,San Martín de San Juan,1-2,1-2,Huracán,2018-09-01T00:00Z
4,Fri Aug 31 2018,19:00,-0300,Argentinos Juniors,2-0,1-0,Lanús,2018-08-31T22:00Z
4,Sat Sep 1 2018,13:15,-0300,Defensa y Justicia,1-1,0-1,Belgrano de Córdoba,2018-09-01T16:15Z
4,Sat Sep 1 2018,15:30,-0300,Banfield,1-0,1-0,Patronato de Paraná,2018-09-01T18:30Z
4,Sat Sep 1 2018,17:45,-0300,Talleres de Córdoba,1-0,0-0,Godoy Cruz,2018-09-01T20:45Z
4,Sat Sep 1 2018,20:00,-0300,San Lorenzo,1-1,0-1,River Plate,2018-09-01T23:00Z
4,Sun Sep 2 2018,20:00,-0300,Boca Juniors,3-0,2-0,Vélez Sarsfield,2018-09-02T23:00Z
4,Sun Sep 2 2018,11:00,-0300,Racing Club,2-0,0-0,Rosario Central,2018-09-02T14:00Z
4,Sun Sep 2 2018,13:15,-0300,Estudiantes,2-2,2-0,Independiente,2018-09-02T16:15Z
4,Sun Sep 2 2018,15:30,-0300,Aldosivi,0-2,0-2,Tigre,2018-09-02T18:30Z
4,Sun Sep 2 2018,17:45,-0300,Colón de Santa Fe,0-0,0-0,Unión de Santa Fe,2018-09-02T20:45Z
