Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Round 1,Fri Jul 20 2018,17:45,CEST/+0200,SV Leobendorf,2-0,0-0,SV Neuberg,,,2018-07-20T15:45Z
Round 1,Fri Jul 20 2018,18:00,CEST/+0200,SAK Klagenfurt,1-0,0-0,Völkermarkter ST 1868,,,2018-07-20T16:00Z
Round 1,Fri Jul 20 2018,18:00,CEST/+0200,SVG Reichenau,3-5,1-3,Kapfenberger SV 1919,,,2018-07-20T16:00Z
Round 1,Fri Jul 20 2018,18:30,CEST/+0200,SK Maria Saal,0-6,0-1,SKN St. Pölten,,,2018-07-20T16:30Z
Round 1,Fri Jul 20 2018,18:30,CEST/+0200,SV Grödig,1-1,0-1,TSV Hartberg,1-3,,2018-07-20T16:30Z
Round 1,Fri Jul 20 2018,19:00,CEST/+0200,SC Schwaz,2-0,2-0,FC Dornbirn,,,2018-07-20T17:00Z
Round 1,Fri Jul 20 2018,19:00,CEST/+0200,WSC Hertha,0-3,0-2,LASK,,,2018-07-20T17:00Z
Round 1,Fri Jul 20 2018,19:00,CEST/+0200,USV Allerheiligen,1-3,1-2,SV Mattersburg,,,2018-07-20T17:00Z
Round 1,Fri Jul 20 2018,19:00,CEST/+0200,ASK Ebreichsdorf,1-2,0-1,Vorwärts Steyr,,,2018-07-20T17:00Z
Round 1,Fri Jul 20 2018,19:00,CEST/+0200,SC Neusiedl/See 1919,1-0,0-0,FC Admira Wacker,,,2018-07-20T17:00Z
Round 1,Fri Jul 20 2018,19:00,CEST/+0200,Deutschlandsberger SC,4-2,3-0,SKU Amstetten,,,2018-07-20T17:00Z
Round 1,Fri Jul 20 2018,19:30,CEST/+0200,FC Mauerwerk,0-2,0-1,1. Wiener Neustädter SC,,,2018-07-20T17:30Z
Round 1,Fri Jul 20 2018,19:30,CEST/+0200,USV Mettersdorf,0-1,0-0,SV Horn,,,2018-07-20T17:30Z
Round 1,Fri Jul 20 2018,20:20,CEST/+0200,FC Kufstein,0-5,0-3,Rapid Wien,,,2018-07-20T18:20Z
Round 1,Sat Jul 21 2018,15:00,CEST/+0200,Dornbirner SV,0-6,0-2,SV Ried,,,2018-07-21T13:00Z
Round 1,Sat Jul 21 2018,16:00,CEST/+0200,Union Vöcklamarkt,4-0,3-0,FC Alberschwende,,,2018-07-21T14:00Z
Round 1,Sat Jul 21 2018,16:00,CEST/+0200,USK Maximarkt Anif,0-3,0-2,WSG Wattens,,,2018-07-21T14:00Z
Round 1,Sat Jul 21 2018,16:30,CEST/+0200,ASV Siegendorf,0-2,0-1,Sturm Graz,,,2018-07-21T14:30Z
Round 1,Sat Jul 21 2018,16:30,CEST/+0200,FC Kitzbühel,2-2,0-1,SV Lafnitz,2-4,,2018-07-21T14:30Z
Round 1,Sat Jul 21 2018,17:00,CEST/+0200,SC Team Wiener Linien,2-3,2-2,FC Wacker Innsbruck,,,2018-07-21T15:00Z
Round 1,Sat Jul 21 2018,17:00,CEST/+0200,VfB Hohenems,2-5,1-4,Floridsdorfer AC,,,2018-07-21T15:00Z
Round 1,Sat Jul 21 2018,17:00,CEST/+0200,ATSV Stadl-Paura,1-1,0-0,FC Blau Weiß Linz,1-1,4-3,2018-07-21T15:00Z
Round 1,Sat Jul 21 2018,17:00,CEST/+0200,USV Scheiblingkirchen-Warth,0-4,0-1,Austria Lustenau,,,2018-07-21T15:00Z
Round 1,Sat Jul 21 2018,18:00,CEST/+0200,Union Gurten,1-2,0-1,Wolfsberger AC,,,2018-07-21T16:00Z
Round 1,Sat Jul 21 2018,18:30,CEST/+0200,Grazer AK,6-0,3-0,FC Marchfeld Mannsdorf,,,2018-07-21T16:30Z
Round 1,Sat Jul 21 2018,18:30,CEST/+0200,FCM Traiskirchen,0-2,0-0,SK Austria Klagenfurt,,,2018-07-21T16:30Z
Round 1,Sat Jul 21 2018,19:00,CEST/+0200,FC Lendorf,0-2,0-2,ASK-BSC Bruck/Leitha,,,2018-07-21T17:00Z
Round 1,Sat Jul 21 2018,19:00,CEST/+0200,FC Pinzgau Saalfelden,4-0,2-0,SV Straßwalchen,,,2018-07-21T17:00Z
Round 1,Sun Jul 22 2018,16:30,CEST/+0200,SC/ESV Parndorf,0-3,0-2,SCR Altach,,,2018-07-22T14:30Z
Round 1,Sun Jul 22 2018,17:15,CEST/+0200,ASKÖ Oedt,0-6,0-2,RB Salzburg,,,2018-07-22T15:15Z
Round 1,Sun Jul 22 2018,11:00,CEST/+0200,FV Austria XIII,0-4,0-1,Austria Wien,,,2018-07-22T09:00Z
Round 1,Mon Jul 30 2018,17:30,CEST/+0200,FC Stadlau,0-0,0-0,FC Gleisdorf 09,2-1,,2018-07-30T15:30Z
Round 2,Mon Sep 24 2018,18:30,CEST/+0200,SAK Klagenfurt,1-5,0-2,Floridsdorfer AC,,,2018-09-24T16:30Z
Round 2,Tue Sep 25 2018,16:00,CEST/+0200,SV Leobendorf,1-2,0-2,SCR Altach,,,2018-09-25T14:00Z
Round 2,Tue Sep 25 2018,18:00,CEST/+0200,ASK-BSC Bruck/Leitha,1-3,0-2,Austria Lustenau,,,2018-09-25T16:00Z
Round 2,Tue Sep 25 2018,18:30,CEST/+0200,Wolfsberger AC,4-0,3-0,SK Austria Klagenfurt,,,2018-09-25T16:30Z
Round 2,Tue Sep 25 2018,19:00,CEST/+0200,Union Vöcklamarkt,0-1,0-1,SV Ried,,,2018-09-25T17:00Z
Round 2,Tue Sep 25 2018,19:00,CEST/+0200,Deutschlandsberger SC,3-3,1-2,1. Wiener Neustädter SC,3-4,,2018-09-25T17:00Z
Round 2,Tue Sep 25 2018,19:00,CEST/+0200,TSV Hartberg,3-0,3-0,WSG Wattens,,,2018-09-25T17:00Z
Round 2,Tue Sep 25 2018,19:30,CEST/+0200,SV Horn,0-2,0-1,SV Lafnitz,,,2018-09-25T17:30Z
Round 2,Tue Sep 25 2018,20:45,CEST/+0200,Grazer AK,0-0,0-0,Vorwärts Steyr,0-0,4-2,2018-09-25T18:45Z
Round 2,Wed Sep 26 2018,16:00,CEST/+0200,FC Stadlau,0-4,0-2,Kapfenberger SV 1919,,,2018-09-26T14:00Z
Round 2,Wed Sep 26 2018,18:30,CEST/+0200,SV Mattersburg,1-1,1-1,Rapid Wien,1-1,4-5,2018-09-26T16:30Z
Round 2,Wed Sep 26 2018,19:00,CEST/+0200,FC Pinzgau Saalfelden,0-5,0-2,SKN St. Pölten,,,2018-09-26T17:00Z
Round 2,Wed Sep 26 2018,19:00,CEST/+0200,ATSV Stadl-Paura,0-8,0-3,LASK,,,2018-09-26T17:00Z
Round 2,Wed Sep 26 2018,19:00,CEST/+0200,SC Neusiedl/See 1919,1-3,1-3,FC Wacker Innsbruck,,,2018-09-26T17:00Z
Round 2,Wed Sep 26 2018,20:30,CEST/+0200,SC Schwaz,0-6,0-2,RB Salzburg,,,2018-09-26T18:30Z
Round 2,Wed Sep 26 2018,20:45,CEST/+0200,Austria Wien,2-0,0-0,Sturm Graz,,,2018-09-26T18:45Z
Round of 16,Tue Oct 30 2018,20:20,CET/+0100,Austria Wien,3-1,2-1,Floridsdorfer AC,,,2018-10-30T19:20Z
Round of 16,Tue Oct 30 2018,18:00,CET/+0100,TSV Hartberg,4-3,2-1,FC Wacker Innsbruck,,,2018-10-30T17:00Z
Round of 16,Wed Oct 31 2018,18:30,CET/+0100,SCR Altach,0-3,0-2,LASK,,,2018-10-31T17:30Z
Round of 16,Wed Oct 31 2018,18:30,CET/+0100,Austria Lustenau,0-1,0-0,RB Salzburg,,,2018-10-31T17:30Z
Round of 16,Wed Oct 31 2018,19:00,CET/+0100,SV Lafnitz,2-3,0-1,SKN St. Pölten,,,2018-10-31T18:00Z
Round of 16,Wed Oct 31 2018,19:12,CET/+0100,SV Ried,1-2,1-1,1. Wiener Neustädter SC,,,2018-10-31T18:12Z
Round of 16,Wed Oct 31 2018,18:00,CET/+0100,Wolfsberger AC,0-3,0-2,Rapid Wien,,,2018-10-31T17:00Z
Round of 16,Thu Nov 1 2018,11:00,CET/+0100,Grazer AK,3-0,1-0,Kapfenberger SV 1919,,,2018-11-01T10:00Z
Quarterfinals,Fri Feb 15 2019,19:00,CET/+0100,Grazer AK,2-1,0-1,Austria Wien,,,2019-02-15T18:00Z
Quarterfinals,Sat Feb 16 2019,12:00,CET/+0100,LASK,6-0,4-0,SKN St. Pölten,,,2019-02-16T11:00Z
Quarterfinals,Sun Feb 17 2019,17:15,CET/+0100,Rapid Wien,5-2,1-0,TSV Hartberg,,,2019-02-17T16:15Z
Quarterfinals,Sun Feb 17 2019,15:00,CET/+0100,1. Wiener Neustädter SC,1-2,0-0,RB Salzburg,,,2019-02-17T14:00Z
Semifinals,Wed Apr 3 2019,20:30,CEST/+0200,LASK,1-1,1-0,Rapid Wien,1-1,3-4,2019-04-03T18:30Z
Semifinals,Wed Apr 3 2019,18:00,CEST/+0200,Grazer AK,0-6,0-4,RB Salzburg,,,2019-04-03T16:00Z
Final,Wed May 1 2019,16:30,CEST/+0200,RB Salzburg,2-0,2-0,Rapid Wien,,,2019-05-01T14:30Z
