Round,Date,Time,Team 1,FT,HT,Team 2,ET,P
Round 1,Fri Nov 9 2018,20:55,Haringey Borough,0-1,0-0,AFC Wimbledon,,
Round 1,Sat Nov 10 2018,13:30,Maidenhead United,0-4,0-1,Portsmouth FC,,
Round 1,Sat Nov 10 2018,16:00,Maidstone United,2-1,0-1,Macclesfield Town,,
Round 1,Sat Nov 10 2018,16:00,Ebbsfleet United,0-0,0-0,Cheltenham Town,,
Round 1,Sat Nov 10 2018,16:00,Swindon Town,2-1,1-1,York City,,
Round 1,Sat Nov 10 2018,16:00,Torquay United,0-1,0-0,Woking FC,,
Round 1,Sat Nov 10 2018,16:00,Scunthorpe United,2-1,2-0,Burton Albion,,
Round 1,Sat Nov 10 2018,16:00,Aldershot Town,1-1,1-0,Bradford City,,
Round 1,Sat Nov 10 2018,16:00,Grimsby Town,3-1,0-1,Milton Keynes Dons,,
Round 1,Sat Nov 10 2018,16:00,Bromley FC,1-3,1-1,Peterborough United,,
Round 1,Sat Nov 10 2018,16:00,Southport FC,2-0,1-0,Boreham Wood,,
Round 1,Sat Nov 10 2018,16:00,Plymouth Argyle,1-0,0-0,Stevenage FC,,
Round 1,Sat Nov 10 2018,16:00,Chesterfield FC,1-1,1-0,Billericay Town,,
Round 1,Sat Nov 10 2018,16:00,Lincoln City,3-2,1-0,Northampton Town,,
Round 1,Sat Nov 10 2018,16:00,Yeovil Town,1-3,1-2,Stockport County,,
Round 1,Sat Nov 10 2018,16:00,Bury FC,5-0,3-0,Dover Athletic,,
Round 1,Sat Nov 10 2018,16:00,Gillingham FC,0-0,0-0,Hartlepool United,,
Round 1,Sat Nov 10 2018,16:00,Oxford United,0-0,0-0,Forest Green Rovers,,
Round 1,Sat Nov 10 2018,16:00,Tranmere Rovers,3-3,1-1,Oxford City,,
Round 1,Sat Nov 10 2018,16:00,Accrington Stanley,1-0,1-0,Colchester United,,
Round 1,Sat Nov 10 2018,16:00,Barnsley FC,4-0,0-0,Notts County,,
Round 1,Sat Nov 10 2018,16:00,Metropolitan Police,0-2,0-1,Newport County,,
Round 1,Sat Nov 10 2018,16:00,Walsall FC,3-2,2-1,Coventry City,,
Round 1,Sat Nov 10 2018,16:00,Rochdale AFC,2-1,2-0,Gateshead FC,,
Round 1,Sat Nov 10 2018,16:00,Sutton United,0-0,0-0,Slough Town,,
Round 1,Sat Nov 10 2018,16:00,Exeter City,2-3,0-3,Blackpool FC,,
Round 1,Sat Nov 10 2018,16:00,Luton Town,2-0,1-0,Wycombe Wanderers,,
Round 1,Sat Nov 10 2018,16:00,Morecambe FC,0-0,0-0,Halifax Town,,
Round 1,Sat Nov 10 2018,16:00,Crewe Alexandra,0-1,0-0,Carlisle United,,
Round 1,Sat Nov 10 2018,16:00,Southend United,1-1,1-0,Crawley Town,,
Round 1,Sun Nov 11 2018,13:45,Mansfield Town,1-1,1-0,Charlton Athletic,,
Round 1,Sun Nov 11 2018,13:45,Chorley FC,2-2,2-1,Doncaster Rovers,,
Round 1,Sun Nov 11 2018,13:45,Alfreton Town,1-4,0-2,Fleetwood Town,,
Round 1,Sun Nov 11 2018,13:45,Barnet FC,1-1,1-0,Bristol Rovers,,
Round 1,Sun Nov 11 2018,13:45,Shrewsbury Town,1-1,1-1,Salford City,,
Round 1,Sun Nov 11 2018,13:45,Hitchin Town,0-2,0-0,Solihull Moors,,
Round 1,Sun Nov 11 2018,13:45,Guiseley AFC,4-3,2-0,Cambridge United,,
