Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Sat Aug 5 2006,15:00,BST/+0100,Barnet FC,0-1,0-0,Torquay United,2006-08-05T14:00Z
1,Sat Aug 5 2006,15:00,BST/+0100,Chester City,2-0,1-0,Accrington Stanley,2006-08-05T14:00Z
1,Sat Aug 5 2006,15:00,BST/+0100,Darlington FC,4-0,3-0,Macclesfield Town,2006-08-05T14:00Z
1,Sat Aug 5 2006,15:00,BST/+0100,Grimsby Town,3-2,0-1,Boston United,2006-08-05T14:00Z
1,Sat Aug 5 2006,15:00,BST/+0100,Hartlepool United,0-1,0-1,Swindon Town,2006-08-05T14:00Z
1,Sat Aug 5 2006,15:00,BST/+0100,Lincoln City,1-1,1-0,Notts County,2006-08-05T14:00Z
1,Sat Aug 5 2006,15:00,BST/+0100,Milton Keynes Dons,2-1,0-0,Bury FC,2006-08-05T14:00Z
1,Sat Aug 5 2006,15:00,BST/+0100,Peterborough United,4-1,3-0,Bristol Rovers,2006-08-05T14:00Z
1,Sat Aug 5 2006,15:00,BST/+0100,Rochdale AFC,0-1,0-0,Walsall FC,2006-08-05T14:00Z
1,Sat Aug 5 2006,15:00,BST/+0100,Shrewsbury Town,2-2,2-2,Mansfield Town,2006-08-05T14:00Z
1,Sat Aug 5 2006,15:00,BST/+0100,Stockport County,0-2,0-1,Hereford United,2006-08-05T14:00Z
1,Sat Aug 5 2006,15:00,BST/+0100,Wycombe Wanderers,1-1,1-1,Wrexham FC,2006-08-05T14:00Z
2,Tue Aug 8 2006,19:45,BST/+0100,Accrington Stanley,0-2,0-2,Darlington FC,2006-08-08T18:45Z
2,Tue Aug 8 2006,19:45,BST/+0100,Bristol Rovers,1-2,0-0,Wycombe Wanderers,2006-08-08T18:45Z
2,Tue Aug 8 2006,19:45,BST/+0100,Bury FC,1-3,1-1,Chester City,2006-08-08T18:45Z
2,Tue Aug 8 2006,19:45,BST/+0100,Hereford United,1-2,0-2,Lincoln City,2006-08-08T18:45Z
2,Tue Aug 8 2006,19:45,BST/+0100,Macclesfield Town,0-0,0-0,Hartlepool United,2006-08-08T18:45Z
2,Tue Aug 8 2006,19:45,BST/+0100,Mansfield Town,2-1,2-1,Milton Keynes Dons,2006-08-08T18:45Z
2,Tue Aug 8 2006,19:45,BST/+0100,Notts County,1-1,0-0,Shrewsbury Town,2006-08-08T18:45Z
2,Tue Aug 8 2006,19:45,BST/+0100,Swindon Town,2-1,0-1,Barnet FC,2006-08-08T18:45Z
2,Tue Aug 8 2006,19:45,BST/+0100,Torquay United,1-0,0-0,Rochdale AFC,2006-08-08T18:45Z
2,Tue Aug 8 2006,19:45,BST/+0100,Walsall FC,2-0,1-0,Stockport County,2006-08-08T18:45Z
2,Tue Aug 8 2006,19:45,BST/+0100,Wrexham FC,3-0,2-0,Grimsby Town,2006-08-08T18:45Z
2,Wed Aug 9 2006,19:45,BST/+0100,Boston United,0-1,0-0,Peterborough United,2006-08-09T18:45Z
3,Sat Aug 12 2006,15:00,BST/+0100,Accrington Stanley,2-1,1-0,Barnet FC,2006-08-12T14:00Z
3,Sat Aug 12 2006,15:00,BST/+0100,Boston United,4-1,1-1,Darlington FC,2006-08-12T14:00Z
3,Sat Aug 12 2006,15:00,BST/+0100,Bristol Rovers,1-0,0-0,Grimsby Town,2006-08-12T14:00Z
3,Sat Aug 12 2006,15:00,BST/+0100,Bury FC,1-2,1-0,Shrewsbury Town,2006-08-12T14:00Z
3,Sat Aug 12 2006,15:00,BST/+0100,Hereford United,2-0,0-0,Chester City,2006-08-12T14:00Z
3,Sat Aug 12 2006,15:00,BST/+0100,Macclesfield Town,1-2,0-1,Milton Keynes Dons,2006-08-12T14:00Z
3,Sat Aug 12 2006,15:00,BST/+0100,Mansfield Town,1-1,0-1,Stockport County,2006-08-12T14:00Z
3,Sat Aug 12 2006,15:00,BST/+0100,Notts County,1-0,1-0,Wycombe Wanderers,2006-08-12T14:00Z
3,Sat Aug 12 2006,15:00,BST/+0100,Swindon Town,1-0,1-0,Rochdale AFC,2006-08-12T14:00Z
3,Sat Aug 12 2006,15:00,BST/+0100,Torquay United,1-2,0-0,Lincoln City,2006-08-12T14:00Z
3,Sat Aug 12 2006,15:00,BST/+0100,Walsall FC,2-0,2-0,Hartlepool United,2006-08-12T14:00Z
3,Sat Aug 12 2006,15:00,BST/+0100,Wrexham FC,0-0,0-0,Peterborough United,2006-08-12T14:00Z
4,Fri Aug 18 2006,19:45,BST/+0100,Stockport County,1-1,1-0,Accrington Stanley,2006-08-18T18:45Z
4,Fri Aug 18 2006,19:45,BST/+0100,Grimsby Town,1-1,0-0,Mansfield Town,2006-08-18T18:45Z
4,Sat Aug 19 2006,15:00,BST/+0100,Barnet FC,3-0,1-0,Hereford United,2006-08-19T14:00Z
4,Sat Aug 19 2006,15:00,BST/+0100,Darlington FC,1-2,1-2,Swindon Town,2006-08-19T14:00Z
4,Sat Aug 19 2006,15:00,BST/+0100,Hartlepool United,1-1,0-1,Torquay United,2006-08-19T14:00Z
4,Sat Aug 19 2006,15:00,BST/+0100,Lincoln City,2-2,2-0,Walsall FC,2006-08-19T14:00Z
4,Sat Aug 19 2006,15:00,BST/+0100,Milton Keynes Dons,2-0,1-0,Bristol Rovers,2006-08-19T14:00Z
4,Sat Aug 19 2006,15:00,BST/+0100,Peterborough United,3-1,0-0,Macclesfield Town,2006-08-19T14:00Z
4,Sat Aug 19 2006,15:00,BST/+0100,Rochdale AFC,0-1,0-0,Notts County,2006-08-19T14:00Z
4,Sat Aug 19 2006,15:00,BST/+0100,Shrewsbury Town,5-0,2-0,Boston United,2006-08-19T14:00Z
4,Sat Aug 19 2006,15:00,BST/+0100,Wycombe Wanderers,3-0,0-0,Bury FC,2006-08-19T14:00Z
4,Sun Aug 20 2006,12:00,BST/+0100,Chester City,1-2,0-1,Wrexham FC,2006-08-20T11:00Z
5,Sat Aug 26 2006,15:00,BST/+0100,Accrington Stanley,1-1,0-1,Rochdale AFC,2006-08-26T14:00Z
5,Sat Aug 26 2006,15:00,BST/+0100,Boston United,0-1,0-0,Milton Keynes Dons,2006-08-26T14:00Z
5,Sat Aug 26 2006,15:00,BST/+0100,Bristol Rovers,1-0,1-0,Shrewsbury Town,2006-08-26T14:00Z
5,Sat Aug 26 2006,15:00,BST/+0100,Bury FC,3-0,3-0,Grimsby Town,2006-08-26T14:00Z
5,Sat Aug 26 2006,15:00,BST/+0100,Hereford United,3-1,1-0,Hartlepool United,2006-08-26T14:00Z
5,Sat Aug 26 2006,15:00,BST/+0100,Macclesfield Town,0-2,0-2,Wycombe Wanderers,2006-08-26T14:00Z
5,Sat Aug 26 2006,15:00,BST/+0100,Mansfield Town,2-4,0-3,Lincoln City,2006-08-26T14:00Z
5,Sat Aug 26 2006,15:00,BST/+0100,Notts County,0-0,0-0,Peterborough United,2006-08-26T14:00Z
5,Sat Aug 26 2006,15:00,BST/+0100,Swindon Town,2-0,1-0,Stockport County,2006-08-26T14:00Z
5,Sat Aug 26 2006,15:00,BST/+0100,Torquay United,2-2,1-0,Chester City,2006-08-26T14:00Z
5,Sat Aug 26 2006,15:00,BST/+0100,Walsall FC,1-0,1-0,Darlington FC,2006-08-26T14:00Z
5,Sat Aug 26 2006,15:00,BST/+0100,Wrexham FC,1-1,1-0,Barnet FC,2006-08-26T14:00Z
6,Fri Sep 1 2006,19:45,BST/+0100,Chester City,0-2,0-0,Swindon Town,2006-09-01T18:45Z
6,Fri Sep 1 2006,19:45,BST/+0100,Grimsby Town,1-1,1-0,Macclesfield Town,2006-09-01T18:45Z
6,Fri Sep 1 2006,19:45,BST/+0100,Hartlepool United,2-1,1-0,Boston United,2006-09-01T18:45Z
6,Fri Sep 1 2006,19:45,BST/+0100,Lincoln City,3-1,2-0,Accrington Stanley,2006-09-01T18:45Z
6,Fri Sep 1 2006,19:45,BST/+0100,Wycombe Wanderers,1-0,0-0,Mansfield Town,2006-09-01T18:45Z
6,Fri Sep 1 2006,19:30,BST/+0100,Darlington FC,1-1,1-1,Torquay United,2006-09-01T18:30Z
6,Sat Sep 2 2006,15:00,BST/+0100,Barnet FC,1-1,1-0,Walsall FC,2006-09-02T14:00Z
6,Sat Sep 2 2006,15:00,BST/+0100,Milton Keynes Dons,3-2,1-0,Notts County,2006-09-02T14:00Z
6,Sat Sep 2 2006,15:00,BST/+0100,Rochdale AFC,1-1,0-0,Hereford United,2006-09-02T14:00Z
6,Sun Sep 3 2006,14:00,BST/+0100,Stockport County,2-1,1-0,Bristol Rovers,2006-09-03T13:00Z
6,Sun Sep 3 2006,14:00,BST/+0100,Peterborough United,0-1,0-0,Bury FC,2006-09-03T13:00Z
7,Sat Sep 9 2006,15:00,BST/+0100,Wycombe Wanderers,1-0,1-0,Chester City,2006-09-09T14:00Z
7,Sat Sep 9 2006,15:00,BST/+0100,Boston United,2-1,2-1,Stockport County,2006-09-09T14:00Z
7,Sat Sep 9 2006,15:00,BST/+0100,Bristol Rovers,0-0,0-0,Rochdale AFC,2006-09-09T14:00Z
7,Sat Sep 9 2006,15:00,BST/+0100,Bury FC,0-1,0-1,Torquay United,2006-09-09T14:00Z
7,Sat Sep 9 2006,15:00,BST/+0100,Grimsby Town,2-1,1-1,Walsall FC,2006-09-09T14:00Z
7,Sat Sep 9 2006,15:00,BST/+0100,Macclesfield Town,2-3,0-0,Barnet FC,2006-09-09T14:00Z
