Round,Date,Time,Team 1,FT,HT,Team 2
1,Fri Jul 29 2016,20:00,FC Bourg-Péronnas,0-0,0-0,RC Strasbourg
1,Fri Jul 29 2016,20:00,GFC Ajaccio,0-0,0-0,Stade Brest
1,Fri Jul 29 2016,20:00,Nîmes Olympique,0-0,0-0,Stade Laval
1,Fri Jul 29 2016,20:00,Chamois Niortais,0-0,0-0,RC Lens
1,Fri Jul 29 2016,20:00,Valenciennes FC,2-0,1-0,Clermont Foot
1,Fri Jul 29 2016,20:00,Tours FC,0-0,0-0,AC Ajaccio
1,Fri Jul 29 2016,20:00,ESTAC Troyes,1-3,0-0,FC Sochaux
1,Fri Jul 29 2016,20:00,US Orléans,0-1,0-1,Le Havre AC
1,Sat Jul 30 2016,15:00,Red Star FC,0-0,0-0,AJ Auxerre
1,Mon Aug 1 2016,20:30,Amiens SC,1-1,0-0,Stade Reims
2,Fri Aug 5 2016,20:00,AC Ajaccio,2-1,2-1,ESTAC Troyes
2,Fri Aug 5 2016,20:00,AJ Auxerre,1-2,1-1,GFC Ajaccio
2,Fri Aug 5 2016,20:00,Stade Brest,2-1,1-1,US Orléans
2,Fri Aug 5 2016,20:00,FC Sochaux,0-0,0-0,Valenciennes FC
2,Fri Aug 5 2016,20:00,Stade Laval,1-1,0-0,Chamois Niortais
2,Fri Aug 5 2016,20:00,Le Havre AC,1-0,1-0,Nîmes Olympique
2,Fri Aug 5 2016,20:00,RC Lens,2-2,1-1,Tours FC
2,Fri Aug 5 2016,20:00,Stade Reims,1-0,1-0,FC Bourg-Péronnas
2,Fri Aug 5 2016,20:00,Clermont Foot,0-0,0-0,Red Star FC
2,Sat Aug 6 2016,15:00,RC Strasbourg,1-0,1-0,Amiens SC
3,Fri Aug 12 2016,20:00,GFC Ajaccio,1-1,0-1,Le Havre AC
3,Fri Aug 12 2016,20:00,FC Bourg-Péronnas,2-4,0-2,AJ Auxerre
3,Fri Aug 12 2016,20:00,Clermont Foot,1-2,1-1,FC Sochaux
3,Fri Aug 12 2016,20:00,Amiens SC,2-0,1-0,Chamois Niortais
3,Fri Aug 12 2016,20:00,ESTAC Troyes,1-0,1-0,Stade Laval
3,Fri Aug 12 2016,20:00,Red Star FC,0-3,0-2,Stade Brest
3,Fri Aug 12 2016,20:00,Tours FC,1-3,0-1,RC Strasbourg
3,Fri Aug 12 2016,20:00,US Orléans,2-0,0-0,AC Ajaccio
3,Sat Aug 13 2016,15:00,Valenciennes FC,0-0,0-0,Stade Reims
3,Mon Aug 15 2016,20:30,Nîmes Olympique,0-2,0-1,RC Lens
4,Fri Aug 19 2016,20:00,Stade Laval,0-1,0-0,GFC Ajaccio
4,Fri Aug 19 2016,20:00,AJ Auxerre,0-1,0-0,Clermont Foot
4,Fri Aug 19 2016,20:00,Stade Brest,3-2,1-1,Valenciennes FC
4,Fri Aug 19 2016,20:00,AC Ajaccio,3-1,1-1,FC Bourg-Péronnas
4,Fri Aug 19 2016,20:00,Le Havre AC,1-3,1-2,ESTAC Troyes
