Round,Date,Time,Team 1,FT,HT,Team 2,ET,P
1. Runde,Fri Aug 19 2016,20:45,VfB Lübeck,0-3,0-1,FC St. Pauli,,
1. Runde,Fri Aug 19 2016,20:45,FV Ravensburg,0-2,0-1,FC Augsburg,,
1. Runde,Fri Aug 19 2016,20:45,FC Carl Zeiss Jena,0-5,0-3,Bayern München,,
1. Runde,Sat Aug 20 2016,15:30,SV Drochtersen/Assel,0-1,0-0,Bor. Mönchengladbach,,
1. Runde,Sat Aug 20 2016,15:30,Würzburger Kickers,0-0,0-0,Eintracht Braunschweig,1-0,
1. Runde,Sat Aug 20 2016,15:30,SV Babelsberg 03,0-4,0-2,SC Freiburg,,
1. Runde,Sat Aug 20 2016,15:30,Viktoria Köln,1-1,0-0,1. FC Nürnberg,1-1,5-6
1. Runde,Sat Aug 20 2016,15:30,Rot-Weiss Essen,2-2,0-1,Arminia Bielefeld,2-2,4-5
1. Runde,Sat Aug 20 2016,15:30,FC 08 Villingen,1-4,0-2,FC Schalke 04,,
1. Runde,Sat Aug 20 2016,15:30,Dynamo Dresden,2-2,0-2,RB Leipzig,2-2,5-4
1. Runde,Sat Aug 20 2016,15:30,BFC Preussen,0-7,0-2,1. FC Köln,,
1. Runde,Sat Aug 20 2016,15:30,Hallescher FC,3-3,1-2,1. FC Kaiserslautern,4-3,
1. Runde,Sat Aug 20 2016,18:30,TSV 1860 München,2-1,0-0,Karlsruher SC,,
1. Runde,Sat Aug 20 2016,18:30,Hansa Rostock,0-3,0-1,Fortuna Düsseldorf,,
1. Runde,Sat Aug 20 2016,18:30,FC 08 Homburg,0-3,0-0,VfB Stuttgart,,
1. Runde,Sat Aug 20 2016,20:45,FSV Frankfurt,1-2,0-2,VfL Wolfsburg,,
1. Runde,Sun Aug 21 2016,15:30,Sportfreunde Lotte,2-1,1-1,Werder Bremen,,
1. Runde,Sun Aug 21 2016,15:30,MSV Duisburg,1-1,0-0,1. FC Union Berlin,1-2,
1. Runde,Sun Aug 21 2016,15:30,Eintracht Norderstedt,1-4,0-1,SpVgg Greuther Fürth,,
1. Runde,Sun Aug 21 2016,15:30,FC-Astoria Walldorf,2-2,1-1,VfL Bochum,4-3,
1. Runde,Sun Aug 21 2016,15:30,1. FC Magdeburg,1-1,0-1,Eintracht Frankfurt,1-1,3-4
1. Runde,Sun Aug 21 2016,15:30,SpVgg Unterhaching,3-3,1-1,1. FSV Mainz 05,3-3,2-4
1. Runde,Sun Aug 21 2016,15:30,Germania Egestorf/Langreder,0-6,0-4,1899 Hoffenheim,,
1. Runde,Sun Aug 21 2016,15:30,SC Hauenstein,1-2,0-1,Bayer Leverkusen,,
1. Runde,Sun Aug 21 2016,15:30,Bremer SV,0-7,0-4,SV Darmstadt 98,,
1. Runde,Sun Aug 21 2016,18:30,SG Wattenscheid 09,1-2,1-0,1. FC Heidenheim 1846,,
1. Runde,Sun Aug 21 2016,18:30,Jahn Regensburg,1-1,0-0,Hertha BSC,1-1,3-5
1. Runde,Sun Aug 21 2016,18:30,Erzgebirge Aue,0-0,0-0,FC Ingolstadt 04,0-0,7-8
1. Runde,Mon Aug 22 2016,18:30,Kickers Offenbach,2-2,1-2,Hannover 96,2-3,
1. Runde,Mon Aug 22 2016,18:30,FSV Zwickau,0-1,0-0,Hamburger SV,,
1. Runde,Mon Aug 22 2016,18:30,SC Paderborn 07,1-2,0-1,SV Sandhausen,,
1. Runde,Mon Aug 22 2016,20:45,Eintracht Trier,0-3,0-3,Borussia Dortmund,,
2. Runde,Tue Oct 25 2016,18:30,Sportfreunde Lotte,1-1,0-1,Bayer Leverkusen,2-2,4-3
2. Runde,Tue Oct 25 2016,18:30,Dynamo Dresden,0-1,0-0,Arminia Bielefeld,,
2. Runde,Tue Oct 25 2016,18:30,SC Freiburg,3-3,1-1,SV Sandhausen,3-3,3-4
2. Runde,Tue Oct 25 2016,18:30,Würzburger Kickers,0-0,0-0,TSV 1860 München,0-0,3-4
2. Runde,Tue Oct 25 2016,20:45,Hallescher FC,0-4,0-2,Hamburger SV,,
2. Runde,Tue Oct 25 2016,20:45,Eintracht Frankfurt,0-0,0-0,FC Ingolstadt 04,0-0,4-1
2. Runde,Tue Oct 25 2016,20:45,FC St. Pauli,0-2,0-1,Hertha BSC,,
2. Runde,Tue Oct 25 2016,20:45,Bor. Mönchengladbach,2-0,1-0,VfB Stuttgart,,
2. Runde,Wed Oct 26 2016,18:30,FC-Astoria Walldorf,1-0,1-0,SV Darmstadt 98,,
2. Runde,Wed Oct 26 2016,18:30,Hannover 96,6-1,5-1,Fortuna Düsseldorf,,
2. Runde,Wed Oct 26 2016,18:30,1. FC Heidenheim 1846,0-1,0-0,VfL Wolfsburg,,
2. Runde,Wed Oct 26 2016,18:30,SpVgg Greuther Fürth,2-1,0-0,1. FSV Mainz 05,,
2. Runde,Wed Oct 26 2016,20:45,1. FC Nürnberg,2-3,0-3,FC Schalke 04,,
2. Runde,Wed Oct 26 2016,20:45,1. FC Köln,1-1,1-1,1899 Hoffenheim,2-1,
2. Runde,Wed Oct 26 2016,20:45,Bayern München,3-1,2-0,FC Augsburg,,
2. Runde,Wed Oct 26 2016,21:00,Borussia Dortmund,1-1,1-0,1. FC Union Berlin,1-1,3-0
Achtelfinale,Tue Feb 7 2017,18:30,Hamburger SV,2-0,1-0,1. FC Köln,,
Achtelfinale,Tue Feb 7 2017,18:30,FC-Astoria Walldorf,1-1,0-0,Arminia Bielefeld,1-1,4-5
Achtelfinale,Tue Feb 7 2017,20:45,Bayern München,1-0,1-0,VfL Wolfsburg,,
Achtelfinale,Tue Feb 7 2017,20:45,SpVgg Greuther Fürth,0-2,0-2,Bor. Mönchengladbach,,
Achtelfinale,Wed Feb 8 2017,18:30,Sportfreunde Lotte,2-0,1-0,TSV 1860 München,,
Achtelfinale,Wed Feb 8 2017,18:30,SV Sandhausen,1-4,0-3,FC Schalke 04,,
Achtelfinale,Wed Feb 8 2017,20:45,Borussia Dortmund,1-1,0-1,Hertha BSC,1-1,3-2
Achtelfinale,Wed Feb 8 2017,20:45,Hannover 96,1-2,0-0,Eintracht Frankfurt,,
Viertelfinale,Tue Feb 28 2017,18:30,Eintracht Frankfurt,1-0,1-0,Arminia Bielefeld,,
Viertelfinale,Wed Mar 1 2017,18:40,Hamburger SV,1-2,0-0,Bor. Mönchengladbach,,
Viertelfinale,Wed Mar 1 2017,20:45,Bayern München,3-0,3-0,FC Schalke 04,,
Viertelfinale,Tue Mar 14 2017,18:30,Sportfreunde Lotte,0-3,0-0,Borussia Dortmund,,
