Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Round 1,Fri Jul 8 2016,19:30,CEST/+0200,FC Karabakh Wien,1-3,0-1,Rapid Wien,,,2016-07-08T17:30Z
Round 1,Fri Jul 15 2016,17:30,CEST/+0200,FC Stadlau,0-2,0-0,Sturm Graz,,,2016-07-15T15:30Z
Round 1,Fri Jul 15 2016,19:00,CEST/+0200,SC Kalsdorf,4-0,2-0,SK Austria Klagenfurt,,,2016-07-15T17:00Z
Round 1,Fri Jul 15 2016,19:00,CEST/+0200,Deutschlandsberger SC,1-3,0-1,SV Lafnitz,,,2016-07-15T17:00Z
Round 1,Fri Jul 15 2016,19:00,CEST/+0200,First Vienna FC,6-0,3-0,SK Treibach,,,2016-07-15T17:00Z
Round 1,Fri Jul 15 2016,19:00,CEST/+0200,FC Gleisdorf 09,1-1,1-0,TSV Hartberg,2-2,3-5,2016-07-15T17:00Z
Round 1,Fri Jul 15 2016,19:00,CEST/+0200,SK Bad Wimsbach,3-1,2-0,Austria Salzburg,,,2016-07-15T17:00Z
Round 1,Fri Jul 15 2016,19:00,CEST/+0200,ASK Ebreichsdorf,1-0,1-0,Wolfsberger AC,,,2016-07-15T17:00Z
Round 1,Fri Jul 15 2016,19:00,CEST/+0200,ATSV Wolfsberg,0-3,0-1,Floridsdorfer AC,,,2016-07-15T17:00Z
Round 1,Fri Jul 15 2016,19:00,CEST/+0200,SC/ESV Parndorf,2-2,0-2,LASK Linz,2-3,,2016-07-15T17:00Z
Round 1,Fri Jul 15 2016,19:00,CEST/+0200,SV Grieskirchen,0-2,0-0,1. Wiener Neustädter SC,,,2016-07-15T17:00Z
Round 1,Fri Jul 15 2016,19:00,CEST/+0200,SC Neusiedl/See 1919,2-2,2-0,WSG Wattens,3-5,,2016-07-15T17:00Z
Round 1,Fri Jul 15 2016,19:30,CEST/+0200,SKU Amstetten,0-0,0-0,SV Wienerberg,3-0,,2016-07-15T17:30Z
Round 1,Fri Jul 15 2016,19:30,CEST/+0200,Wiener Sportklub,0-3,0-0,SC Ritzing,,,2016-07-15T17:30Z
Round 1,Fri Jul 15 2016,19:30,CEST/+0200,Kremser SC,0-2,0-0,SKN St. Pölten,,,2016-07-15T17:30Z
Round 1,Fri Jul 15 2016,19:30,CEST/+0200,SVg Purgstall,0-6,0-3,Kapfenberger SV 1919,,,2016-07-15T17:30Z
Round 1,Fri Jul 15 2016,20:30,CEST/+0200,Vorwärts Steyr,1-3,0-0,RB Salzburg,,,2016-07-15T18:30Z
Round 1,Sat Jul 16 2016,16:45,CEST/+0200,SV Leobendorf,0-0,0-0,USV Allerheiligen,0-0,3-1,2016-07-16T14:45Z
Round 1,Sat Jul 16 2016,17:00,CEST/+0200,VfB Hohenems,0-4,0-4,SV Grödig,,,2016-07-16T15:00Z
Round 1,Sat Jul 16 2016,17:00,CEST/+0200,ATUS Ferlach,1-6,0-2,Austria Lustenau,,,2016-07-16T15:00Z
Round 1,Sat Jul 16 2016,17:00,CEST/+0200,USK Maximarkt Anif,0-1,0-1,SCR Altach,,,2016-07-16T15:00Z
Round 1,Sat Jul 16 2016,17:30,CEST/+0200,FC Hard,0-1,0-1,Union St. Florian,,,2016-07-16T15:30Z
Round 1,Sat Jul 16 2016,18:00,CEST/+0200,TSV St. Johann,0-3,0-1,Union Gurten,,,2016-07-16T16:00Z
Round 1,Sat Jul 16 2016,18:00,CEST/+0200,SC Schwaz,4-3,0-2,FC Bergheim,,,2016-07-16T16:00Z
Round 1,Sat Jul 16 2016,18:00,CEST/+0200,ATSV Stadl-Paura,0-1,0-1,FC Blau Weiß Linz,,,2016-07-16T16:00Z
Round 1,Sat Jul 16 2016,19:00,CEST/+0200,FC Kufstein,1-4,1-1,SV Ried,,,2016-07-16T17:00Z
Round 1,Sat Jul 16 2016,19:30,CEST/+0200,FCM Traiskirchen,1-3,1-0,SV Horn,,,2016-07-16T17:30Z
Round 1,Sun Jul 17 2016,10:30,CEST/+0200,Dornbirner SV,1-4,0-1,FC Admira Wacker,,,2016-07-17T08:30Z
Round 1,Sun Jul 17 2016,15:30,CEST/+0200,FC Dornbirn,0-6,0-3,Austria Wien,,,2016-07-17T13:30Z
Round 1,Sun Jul 17 2016,17:00,CEST/+0200,USV Rudersdorf,0-7,0-3,SV Mattersburg,,,2016-07-17T15:00Z
Round 1,Sun Jul 17 2016,17:30,CEST/+0200,SV Wörgl,2-2,1-0,FC Kitzbühel,2-4,,2016-07-17T15:30Z
Round 1,Sun Jul 17 2016,18:00,CEST/+0200,SC Mannsdorf,2-2,1-1,FC Wacker Innsbruck,3-3,4-3,2016-07-17T16:00Z
Round 2,Tue Sep 20 2016,18:00,CEST/+0200,SC Schwaz,0-1,0-1,Floridsdorfer AC,,,2016-09-20T16:00Z
Round 2,Tue Sep 20 2016,18:30,CEST/+0200,FC Kitzbühel,1-2,0-1,FC Blau Weiß Linz,,,2016-09-20T16:30Z
Round 2,Tue Sep 20 2016,19:00,CEST/+0200,Union Gurten,2-4,1-0,Kapfenberger SV 1919,,,2016-09-20T17:00Z
Round 2,Tue Sep 20 2016,19:00,CEST/+0200,SV Grödig,1-1,0-0,SV Horn,2-2,4-2,2016-09-20T17:00Z
Round 2,Tue Sep 20 2016,19:00,CEST/+0200,TSV Hartberg,1-1,1-0,WSG Wattens,1-1,4-5,2016-09-20T17:00Z
Round 2,Tue Sep 20 2016,19:00,CEST/+0200,SC Kalsdorf,1-2,0-1,LASK Linz,,,2016-09-20T17:00Z
Round 2,Tue Sep 20 2016,19:00,CEST/+0200,SKN St. Pölten,2-1,2-0,SV Ried,,,2016-09-20T17:00Z
Round 2,Tue Sep 20 2016,19:30,CEST/+0200,SKU Amstetten,2-2,1-1,Austria Lustenau,2-2,3-2,2016-09-20T17:30Z
Round 2,Tue Sep 20 2016,19:30,CEST/+0200,Union St. Florian,0-0,0-0,1. Wiener Neustädter SC,0-3,,2016-09-20T17:30Z
Round 2,Wed Sep 21 2016,18:00,CEST/+0200,SV Leobendorf,0-1,0-0,Rapid Wien,,,2016-09-21T16:00Z
Round 2,Wed Sep 21 2016,18:30,CEST/+0200,SK Bad Wimsbach,0-5,0-1,Sturm Graz,,,2016-09-21T16:30Z
Round 2,Wed Sep 21 2016,19:00,CEST/+0200,SC Mannsdorf,1-7,1-5,RB Salzburg,,,2016-09-21T17:00Z
Round 2,Wed Sep 21 2016,19:00,CEST/+0200,SV Lafnitz,0-0,0-0,SV Mattersburg,0-0,4-3,2016-09-21T17:00Z
Round 2,Wed Sep 21 2016,19:00,CEST/+0200,ASK Ebreichsdorf,3-0,3-0,SCR Altach,,,2016-09-21T17:00Z
Round 2,Wed Sep 21 2016,19:30,CEST/+0200,SC Ritzing,1-3,1-2,FC Admira Wacker,,,2016-09-21T17:30Z
Round 2,Wed Sep 21 2016,20:20,CEST/+0200,First Vienna FC,1-1,1-0,Austria Wien,1-3,,2016-09-21T18:20Z
Round of 16,Tue Oct 25 2016,19:00,CEST/+0200,SV Lafnitz,1-5,1-1,Kapfenberger SV 1919,,,2016-10-25T17:00Z
Round of 16,Tue Oct 25 2016,19:00,CEST/+0200,1. Wiener Neustädter SC,1-3,0-2,FC Admira Wacker,,,2016-10-25T17:00Z
Round of 16,Tue Oct 25 2016,19:30,CEST/+0200,SKU Amstetten,3-3,1-2,LASK Linz,3-4,,2016-10-25T17:30Z
Round of 16,Tue Oct 25 2016,18:30,CEST/+0200,SV Grödig,1-0,0-0,WSG Wattens,,,2016-10-25T16:30Z
Round of 16,Wed Oct 26 2016,11:00,CEST/+0200,ASK Ebreichsdorf,3-3,0-2,Austria Wien,4-5,,2016-10-26T09:00Z
Round of 16,Wed Oct 26 2016,16:00,CEST/+0200,RB Salzburg,2-0,2-0,Floridsdorfer AC,,,2016-10-26T14:00Z
Round of 16,Wed Oct 26 2016,16:30,CEST/+0200,SKN St. Pölten,1-1,1-0,Sturm Graz,1-1,4-3,2016-10-26T14:30Z
Round of 16,Wed Oct 26 2016,20:15,CEST/+0200,FC Blau Weiß Linz,0-4,0-3,Rapid Wien,,,2016-10-26T18:15Z
Quarterfinals,Tue Apr 4 2017,20:30,CEST/+0200,SV Grödig,0-3,0-0,LASK Linz,,,2017-04-04T18:30Z
Quarterfinals,Wed Apr 5 2017,19:00,CEST/+0200,RB Salzburg,1-1,1-1,Kapfenberger SV 1919,2-1,,2017-04-05T17:00Z
Quarterfinals,Wed Apr 5 2017,20:30,CEST/+0200,SKN St. Pölten,1-3,0-1,Rapid Wien,,,2017-04-05T18:30Z
Quarterfinals,Wed Apr 5 2017,18:00,CEST/+0200,Austria Wien,1-2,1-2,FC Admira Wacker,,,2017-04-05T16:00Z
Semifinals,Wed Apr 26 2017,20:30,CEST/+0200,Rapid Wien,2-1,0-0,LASK Linz,,,2017-04-26T18:30Z
Semifinals,Wed Apr 26 2017,18:00,CEST/+0200,FC Admira Wacker,0-5,0-2,RB Salzburg,,,2017-04-26T16:00Z
Final,Thu Jun 1 2017,20:30,CEST/+0200,Rapid Wien,1-2,0-0,RB Salzburg,,,2017-06-01T18:30Z
