Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 16 Jul 2016 (28),Club Tijuana (1),2-0,?,Monarcas Morelia (1)
?,(Sat) 16 Jul 2016 (28),Querétaro FC (1),2-0,?,Tiburones Rojos Veracruz (1)
?,(Sun) 17 Jul 2016 (28),Club Atlas (1),1-1,?,Deportivo Toluca FC (1)
?,(Sun) 17 Jul 2016 (28),CF Monterrey (1),1-1,?,Club Puebla (1)
?,(Sun) 17 Jul 2016 (28),CF Pachuca (1),5-1,?,Club León (1)
?,(Sun) 17 Jul 2016 (28),Club América (1),2-0,?,Jaguares Chiapas (1)
?,(Sun) 17 Jul 2016 (28),Club Necaxa (1),0-0,?,Cruz Azul (1)
?,(Sun) 17 Jul 2016 (28),Pumas UNAM (1),1-0,?,CD Guadalajara Chivas (1)
?,(Mon) 18 Jul 2016 (29),Santos Laguna (1),0-0,?,Tigres UANL (1)
?,(Sat) 23 Jul 2016 (29),Tiburones Rojos Veracruz (2),2-0,?,Santos Laguna (2)
?,(Sat) 23 Jul 2016 (29),Jaguares Chiapas (2),0-2,?,CF Pachuca (2)
?,(Sat) 23 Jul 2016 (29),Cruz Azul (2),0-0,?,Pumas UNAM (2)
?,(Sun) 24 Jul 2016 (29),Monarcas Morelia (2),2-2,?,Querétaro FC (2)
?,(Sun) 24 Jul 2016 (29),Tigres UANL (2),0-0,?,Club Atlas (2)
?,(Sun) 24 Jul 2016 (29),Club León (2),0-0,?,Club Necaxa (2)
?,(Sun) 24 Jul 2016 (29),Club América (2),3-1,?,Deportivo Toluca FC (2)
?,(Sun) 24 Jul 2016 (29),CD Guadalajara Chivas (2),1-0,?,CF Monterrey (2)
?,(Mon) 25 Jul 2016 (30),Club Puebla (2),3-2,?,Club Tijuana (2)
?,(Sat) 30 Jul 2016 (30),Club Tijuana (3),4-0,?,CD Guadalajara Chivas (3)
?,(Sat) 30 Jul 2016 (30),Querétaro FC (3),2-1,?,Club Puebla (3)
?,(Sun) 31 Jul 2016 (30),Club Atlas (3),1-0,?,Tiburones Rojos Veracruz (3)
?,(Sun) 31 Jul 2016 (30),CF Monterrey (3),1-1,?,Cruz Azul (3)
?,(Sun) 31 Jul 2016 (30),CF Pachuca (3),1-0,?,Club Necaxa (3)
?,(Sun) 31 Jul 2016 (30),Club América (3),0-3,?,Tigres UANL (3)
?,(Sun) 31 Jul 2016 (30),Pumas UNAM (3),1-0,?,Club León (3)
?,(Sun) 31 Jul 2016 (30),Jaguares Chiapas (3),1-0,?,Deportivo Toluca FC (3)
?,(Mon) 1 Aug 2016 (31),Santos Laguna (3),2-4,?,Monarcas Morelia (3)
?,(Sat) 6 Aug 2016 (31),Cruz Azul (4),1-2,?,Club Tijuana (4)
?,(Sun) 7 Aug 2016 (31),Monarcas Morelia (4),3-2,?,Club Atlas (4)
?,(Sun) 7 Aug 2016 (31),Tigres UANL (4),1-0,?,Jaguares Chiapas (4)
?,(Sun) 7 Aug 2016 (31),Club León (4),0-3,?,CF Monterrey (4)
?,(Sun) 7 Aug 2016 (31),CD Guadalajara Chivas (4),0-0,?,Querétaro FC (4)
?,(Sun) 7 Aug 2016 (31),Club Necaxa (4),2-2,?,Pumas UNAM (4)
?,(Sun) 7 Aug 2016 (31),Tiburones Rojos Veracruz (4),2-4,?,Club América (4)
?,(Sun) 7 Aug 2016 (31),Deportivo Toluca FC (4),2-0,?,CF Pachuca (4)
?,(Mon) 8 Aug 2016 (32),Club Puebla (4),0-0,?,Santos Laguna (4)
?,(Sat) 13 Aug 2016 (32),Club Tijuana (5),2-0,?,Club León (5)
?,(Sat) 13 Aug 2016 (32),Querétaro FC (5),0-0,?,Cruz Azul (5)
?,(Sun) 14 Aug 2016 (32),Club Atlas (5),3-2,?,Club Puebla (5)
?,(Sun) 14 Aug 2016 (32),CF Monterrey (5),2-1,?,Club Necaxa (5)
?,(Sun) 14 Aug 2016 (32),CF Pachuca (5),3-0,?,Pumas UNAM (5)
?,(Sun) 14 Aug 2016 (32),Club América (5),1-1,?,Monarcas Morelia (5)
?,(Sun) 14 Aug 2016 (32),Deportivo Toluca FC (5),0-0,?,Tigres UANL (5)
?,(Sun) 14 Aug 2016 (32),Jaguares Chiapas (5),1-1,?,Tiburones Rojos Veracruz (5)
?,(Mon) 15 Aug 2016 (33),Santos Laguna (5),0-1,?,CD Guadalajara Chivas (5)
?,(Sat) 20 Aug 2016 (33),Tiburones Rojos Veracruz (6),2-2,?,Deportivo Toluca FC (6)
?,(Sat) 20 Aug 2016 (33),Cruz Azul (6),3-1,?,Santos Laguna (6)
?,(Sun) 21 Aug 2016 (33),Monarcas Morelia (6),3-2,?,Jaguares Chiapas (6)
?,(Sun) 21 Aug 2016 (33),Tigres UANL (6),4-2,?,CF Pachuca (6)
?,(Sun) 21 Aug 2016 (33),Club León (6),2-1,?,Querétaro FC (6)
?,(Sun) 21 Aug 2016 (33),Club Necaxa (6),1-1,?,Club Tijuana (6)
?,(Sun) 21 Aug 2016 (33),CD Guadalajara Chivas (6),2-2,?,Club Atlas (6)
?,(Sun) 21 Aug 2016 (33),Pumas UNAM (6),5-3,?,CF Monterrey (6)
?,(Mon) 22 Aug 2016 (34),Club Puebla (6),2-2,?,Club América (6)
?,(Sat) 27 Aug 2016 (34),Club Tijuana (7),1-0,?,Pumas UNAM (7)
?,(Sat) 27 Aug 2016 (34),Querétaro FC (7),1-2,?,Club Necaxa (7)
?,(Sun) 28 Aug 2016 (34),Club Atlas (7),1-1,?,Cruz Azul (7)
?,(Sun) 28 Aug 2016 (34),Tigres UANL (7),1-1,?,Tiburones Rojos Veracruz (7)
?,(Sun) 28 Aug 2016 (34),CF Pachuca (7),1-1,?,CF Monterrey (7)
?,(Sun) 28 Aug 2016 (34),Club América (7),0-3,?,CD Guadalajara Chivas (7)
?,(Sun) 28 Aug 2016 (34),Deportivo Toluca FC (7),2-2,?,Monarcas Morelia (7)
?,(Sun) 28 Aug 2016 (34),Jaguares Chiapas (7),0-3,?,Club Puebla (7)
?,(Mon) 29 Aug 2016 (35),Santos Laguna (7),1-0,?,Club León (7)
?,(Sat) 10 Sep 2016 (36),Tiburones Rojos Veracruz (8),1-0,?,CF Pachuca (8)
