Round,Date,Time,Team 1,FT,HT,Team 2
1,Fri Aug 26 2016,20:30,Spezia Calcio,1-1,0-1,US Salernitana 1919
1,Sat Aug 27 2016,20:30,US Avellino,1-1,0-0,Brescia Calcio
1,Sat Aug 27 2016,20:30,FC Bari 1908,1-2,0-0,AS Cittadella
1,Sat Aug 27 2016,20:30,Benevento Calcio,2-0,1-0,SPAL 2013 Ferrara
1,Sat Aug 27 2016,20:30,Vicenza Calcio,0-2,0-0,Carpi FC
1,Sat Aug 27 2016,20:30,Pro Vercelli,1-1,0-1,Ascoli Picchio FC
1,Sat Aug 27 2016,20:30,Hellas Verona,4-1,3-1,Latina Calcio
1,Sat Aug 27 2016,20:30,Frosinone Calcio,2-0,1-0,Virtus Entella
1,Sun Aug 28 2016,17:30,Novara Calcio,2-2,1-1,Trapani Calcio
1,Mon Aug 29 2016,20:30,AC Cesena,1-1,0-0,AC Perugia Calcio
2,Sat Sep 3 2016,18:00,Brescia Calcio,2-0,1-0,Frosinone Calcio
2,Sat Sep 3 2016,20:30,AC Perugia Calcio,0-1,0-0,FC Bari 1908
2,Sat Sep 3 2016,20:30,AS Cittadella,2-0,1-0,Ternana Calcio
2,Sun Sep 4 2016,17:30,Virtus Entella,2-0,1-0,US Avellino
2,Sun Sep 4 2016,20:30,Trapani Calcio,1-1,0-1,Pro Vercelli
2,Sun Sep 4 2016,20:30,SPAL 2013 Ferrara,3-0,2-0,Vicenza Calcio
2,Sun Sep 4 2016,20:30,Latina Calcio,0-0,0-0,Spezia Calcio
2,Sun Sep 4 2016,20:30,AC Pisa,1-0,1-0,Novara Calcio
2,Sun Sep 4 2016,20:30,US Salernitana 1919,1-1,0-1,Hellas Verona
2,Sun Sep 4 2016,20:30,Carpi FC,1-1,0-0,Benevento Calcio
1,Wed Sep 7 2016,20:30,Ternana Calcio,1-0,1-0,AC Pisa
3,Fri Sep 9 2016,20:30,AC Cesena,1-0,0-0,Carpi FC
3,Sat Sep 10 2016,15:00,Benevento Calcio,2-0,1-0,Hellas Verona
3,Sat Sep 10 2016,15:00,Ascoli Picchio FC,1-1,0-1,SPAL 2013 Ferrara
3,Sat Sep 10 2016,15:00,US Avellino,0-0,0-0,Trapani Calcio
3,Sat Sep 10 2016,15:00,Vicenza Calcio,0-0,0-0,FC Bari 1908
3,Sat Sep 10 2016,15:00,Brescia Calcio,1-1,0-0,AC Perugia Calcio
3,Sat Sep 10 2016,15:00,Frosinone Calcio,2-1,0-0,Latina Calcio
3,Sat Sep 10 2016,15:00,Novara Calcio,1-0,1-0,US Salernitana 1919
3,Sat Sep 10 2016,15:00,Pro Vercelli,1-5,0-2,AS Cittadella
3,Sun Sep 11 2016,17:30,Ternana Calcio,1-1,0-0,Spezia Calcio
3,Mon Sep 12 2016,20:30,Virtus Entella,0-0,0-0,AC Pisa
4,Fri Sep 16 2016,19:00,FC Bari 1908,2-1,1-0,AC Cesena
4,Fri Sep 16 2016,21:00,US Salernitana 1919,2-3,1-2,Vicenza Calcio
4,Fri Sep 16 2016,21:00,Carpi FC,0-0,0-0,Frosinone Calcio
4,Sat Sep 17 2016,15:00,Latina Calcio,1-1,0-0,Benevento Calcio
4,Sat Sep 17 2016,15:00,AS Cittadella,3-1,1-0,Novara Calcio
4,Sat Sep 17 2016,15:00,Trapani Calcio,1-1,0-1,Ascoli Picchio FC
4,Sat Sep 17 2016,15:00,AC Perugia Calcio,1-1,0-0,Ternana Calcio
4,Sat Sep 17 2016,15:00,AC Pisa,1-0,0-0,Brescia Calcio
4,Sat Sep 17 2016,15:00,Hellas Verona,3-1,3-1,US Avellino
4,Sat Sep 17 2016,15:00,Spezia Calcio,2-1,0-0,Pro Vercelli
4,Sat Sep 17 2016,15:00,SPAL 2013 Ferrara,2-2,2-2,Virtus Entella
5,Mon Sep 19 2016,20:30,AC Cesena,0-0,0-0,US Salernitana 1919
5,Tue Sep 20 2016,20:30,US Avellino,0-1,0-0,AS Cittadella
5,Tue Sep 20 2016,20:30,Ascoli Picchio FC,2-0,1-0,Vicenza Calcio
5,Tue Sep 20 2016,20:30,Trapani Calcio,0-0,0-0,Spezia Calcio
5,Tue Sep 20 2016,20:30,Benevento Calcio,1-1,0-1,Pro Vercelli
5,Tue Sep 20 2016,20:30,Brescia Calcio,2-2,2-1,Carpi FC
5,Tue Sep 20 2016,20:30,Virtus Entella,2-1,1-1,AC Perugia Calcio
5,Tue Sep 20 2016,20:30,Frosinone Calcio,0-0,0-0,AC Pisa
5,Tue Sep 20 2016,20:30,Novara Calcio,2-2,2-2,Latina Calcio
5,Tue Sep 20 2016,20:30,SPAL 2013 Ferrara,1-3,0-2,Hellas Verona
5,Tue Sep 20 2016,20:30,Ternana Calcio,0-0,0-0,FC Bari 1908
6,Sat Sep 24 2016,15:00,Vicenza Calcio,0-0,0-0,US Avellino
6,Sat Sep 24 2016,15:00,FC Bari 1908,0-4,0-0,Benevento Calcio
6,Sat Sep 24 2016,15:00,Carpi FC,2-1,1-0,Virtus Entella
6,Sat Sep 24 2016,15:00,AS Cittadella,0-3,0-2,Brescia Calcio
6,Sat Sep 24 2016,15:00,Latina Calcio,1-1,1-1,Ternana Calcio
6,Sat Sep 24 2016,15:00,AC Pisa,2-1,1-0,Ascoli Picchio FC
6,Sat Sep 24 2016,15:00,Spezia Calcio,1-0,0-0,Novara Calcio
6,Sat Sep 24 2016,15:00,US Salernitana 1919,2-0,2-0,Trapani Calcio
6,Sat Sep 24 2016,15:00,Pro Vercelli,1-0,1-0,AC Cesena
6,Sun Sep 25 2016,17:30,Hellas Verona,2-0,1-0,Frosinone Calcio
6,Mon Sep 26 2016,20:30,AC Perugia Calcio,1-0,0-0,SPAL 2013 Ferrara
2,Tue Sep 27 2016,18:30,Ascoli Picchio FC,0-0,0-0,AC Cesena
7,Fri Sep 30 2016,20:30,Brescia Calcio,1-1,0-0,FC Bari 1908
7,Sat Oct 1 2016,15:00,Benevento Calcio,1-0,1-0,Novara Calcio
7,Sat Oct 1 2016,15:00,US Avellino,3-2,2-1,Pro Vercelli
