Round,Date,Time,Team 1,FT,HT,Team 2
1,Fri Aug 19 2016,20:00,CD Mirandés,1-1,0-0,Getafe CF
1,Fri Aug 19 2016,22:00,UD Almería,1-1,0-0,Cádiz CF
1,Sat Aug 20 2016,19:00,RCD Mallorca,0-1,0-0,CF Reus Deportiu
1,Sat Aug 20 2016,19:00,Elche CF,2-1,2-1,Rayo Vallecano
1,Sat Aug 20 2016,21:00,Córdoba CF,1-0,1-0,CD Tenerife
1,Sat Aug 20 2016,19:00,AD Alcorcón,0-0,0-0,SD Huesca
1,Sun Aug 21 2016,19:00,Gimnàstic,2-2,0-2,CD Lugo
1,Sun Aug 21 2016,19:00,CD Numancia,0-1,0-0,Levante UD
1,Sun Aug 21 2016,22:30,Real Valladolid,1-0,1-0,Real Oviedo
1,Sun Aug 21 2016,21:00,Sevilla Atlético,3-3,1-0,Girona FC
1,Mon Aug 22 2016,20:00,Real Zaragoza,3-1,3-0,UCAM Murcia CF
2,Fri Aug 26 2016,20:00,Getafe CF,0-0,0-0,CD Numancia
2,Fri Aug 26 2016,22:00,CD Tenerife,1-1,0-1,Sevilla Atlético
2,Sat Aug 27 2016,19:00,CF Reus Deportiu,1-1,1-1,CD Mirandés
2,Sat Aug 27 2016,19:00,Real Oviedo,2-0,0-0,UD Almería
2,Sat Aug 27 2016,19:00,Girona FC,3-1,2-0,Elche CF
2,Sat Aug 27 2016,21:00,CD Lugo,3-3,1-1,Real Zaragoza
2,Sun Aug 28 2016,19:00,UCAM Murcia CF,1-1,0-0,Córdoba CF
2,Sun Aug 28 2016,19:00,SD Huesca,1-1,0-0,Gimnàstic
2,Sun Aug 28 2016,19:00,Levante UD,2-0,2-0,AD Alcorcón
2,Sun Aug 28 2016,22:30,Cádiz CF,1-1,1-0,RCD Mallorca
2,Sun Aug 28 2016,21:00,Rayo Vallecano,0-0,0-0,Real Valladolid
3,Fri Sep 2 2016,21:00,Córdoba CF,3-3,1-1,CD Lugo
3,Fri Sep 2 2016,20:00,Sevilla Atlético,1-1,0-0,UCAM Murcia CF
3,Sat Sep 3 2016,20:00,Elche CF,3-1,1-0,CD Tenerife
3,Sat Sep 3 2016,18:00,Getafe CF,1-1,0-0,CF Reus Deportiu
3,Sat Sep 3 2016,18:00,UD Almería,3-0,2-0,Rayo Vallecano
3,Sat Sep 3 2016,18:00,Real Valladolid,2-1,2-0,Girona FC
3,Sat Sep 3 2016,16:00,CD Mirandés,3-2,0-2,Cádiz CF
3,Sun Sep 4 2016,16:00,CD Numancia,1-1,1-1,AD Alcorcón
3,Sun Sep 4 2016,20:30,Real Zaragoza,1-0,0-0,SD Huesca
3,Sun Sep 4 2016,20:00,RCD Mallorca,0-0,0-0,Real Oviedo
3,Sun Sep 4 2016,18:00,Gimnàstic,1-1,0-0,Levante UD
4,Sat Sep 10 2016,16:00,CD Lugo,1-0,0-0,Sevilla Atlético
