Round,Date,Time,Timezone,Team 1,FT,Team 2,UTC
2,Tue Aug 13 2002,19:45,BST/+0100,Leyton Orient,3-2,Macclesfield Town,2002-08-13T18:45Z
2,Tue Aug 13 2002,19:45,BST/+0100,Lincoln City,2-0,Rochdale AFC,2002-08-13T18:45Z
2,Tue Aug 13 2002,19:45,BST/+0100,Rushden & Diamonds FC,3-0,Torquay United,2002-08-13T18:45Z
2,Tue Aug 13 2002,19:45,BST/+0100,Southend United,0-1,Carlisle United,2002-08-13T18:45Z
2,Tue Aug 13 2002,19:45,BST/+0100,Wrexham AFC,1-0,Oxford United,2002-08-13T18:45Z
2,Tue Aug 13 2002,19:45,BST/+0100,York City,2-1,Shrewsbury Town,2002-08-13T18:45Z
3,Sat Aug 17 2002,15:00,BST/+0100,AFC Bournemouth,1-1,Cambridge United,2002-08-17T14:00Z
3,Sat Aug 17 2002,15:00,BST/+0100,Bristol Rovers,1-2,Rochdale AFC,2002-08-17T14:00Z
3,Sat Aug 17 2002,15:00,BST/+0100,Bury FC,3-2,Swansea City,2002-08-17T14:00Z
3,Sat Aug 17 2002,15:00,BST/+0100,Darlington FC,0-1,Oxford United,2002-08-17T14:00Z
3,Sat Aug 17 2002,15:00,BST/+0100,Exeter City,3-1,Hull City,2002-08-17T14:00Z
3,Sat Aug 17 2002,15:00,BST/+0100,Hartlepool United,0-2,Macclesfield Town,2002-08-17T14:00Z
3,Sat Aug 17 2002,15:00,BST/+0100,Leyton Orient,2-0,Scunthorpe United,2002-08-17T14:00Z
3,Sat Aug 17 2002,15:00,BST/+0100,Lincoln City,0-1,Carlisle United,2002-08-17T14:00Z
3,Sat Aug 17 2002,15:00,BST/+0100,Rushden & Diamonds FC,3-1,Kidderminster Harriers,2002-08-17T14:00Z
3,Sat Aug 17 2002,15:00,BST/+0100,Southend United,2-3,Shrewsbury Town,2002-08-17T14:00Z
3,Sat Aug 17 2002,15:00,BST/+0100,Wrexham AFC,1-1,Boston United,2002-08-17T14:00Z
3,Sat Aug 17 2002,15:00,BST/+0100,York City,4-3,Torquay United,2002-08-17T14:00Z
4,Sat Aug 24 2002,15:00,BST/+0100,Boston United,2-0,Lincoln City,2002-08-24T14:00Z
4,Sat Aug 24 2002,15:00,BST/+0100,Cambridge United,2-1,Leyton Orient,2002-08-24T14:00Z
4,Sat Aug 24 2002,15:00,BST/+0100,Carlisle United,0-0,Bristol Rovers,2002-08-24T14:00Z
4,Sat Aug 24 2002,15:00,BST/+0100,Hull City,1-1,Bury FC,2002-08-24T14:00Z
4,Sat Aug 24 2002,15:00,BST/+0100,Kidderminster Harriers,4-3,Exeter City,2002-08-24T14:00Z
4,Sat Aug 24 2002,15:00,BST/+0100,Macclesfield Town,0-1,Wrexham AFC,2002-08-24T14:00Z
4,Sat Aug 24 2002,15:00,BST/+0100,Oxford United,0-1,Southend United,2002-08-24T14:00Z
4,Sat Aug 24 2002,15:00,BST/+0100,Rochdale AFC,1-1,Darlington FC,2002-08-24T14:00Z
4,Sat Aug 24 2002,15:00,BST/+0100,Scunthorpe United,2-1,York City,2002-08-24T14:00Z
4,Sat Aug 24 2002,15:00,BST/+0100,Shrewsbury Town,1-1,Rushden & Diamonds FC,2002-08-24T14:00Z
4,Sat Aug 24 2002,15:00,BST/+0100,Swansea City,2-0,AFC Bournemouth,2002-08-24T14:00Z
4,Sat Aug 24 2002,15:00,BST/+0100,Torquay United,1-1,Hartlepool United,2002-08-24T14:00Z
5,Mon Aug 26 2002,15:00,BST/+0100,Bury FC,4-3,Shrewsbury Town,2002-08-26T14:00Z
5,Mon Aug 26 2002,15:00,BST/+0100,Exeter City,1-2,Torquay United,2002-08-26T14:00Z
5,Mon Aug 26 2002,15:00,BST/+0100,Hartlepool United,2-0,Hull City,2002-08-26T14:00Z
5,Mon Aug 26 2002,15:00,BST/+0100,Leyton Orient,0-0,Kidderminster Harriers,2002-08-26T14:00Z
5,Mon Aug 26 2002,15:00,BST/+0100,Lincoln City,3-0,Macclesfield Town,2002-08-26T14:00Z
5,Mon Aug 26 2002,15:00,BST/+0100,Rushden & Diamonds FC,2-0,Scunthorpe United,2002-08-26T14:00Z
5,Mon Aug 26 2002,15:00,BST/+0100,Southend United,2-1,Cambridge United,2002-08-26T14:00Z
5,Mon Aug 26 2002,15:00,BST/+0100,Wrexham AFC,2-5,Rochdale AFC,2002-08-26T14:00Z
5,Mon Aug 26 2002,15:00,BST/+0100,York City,2-0,Boston United,2002-08-26T14:00Z
5,Tue Aug 27 2002,19:45,BST/+0100,AFC Bournemouth,1-1,Oxford United,2002-08-27T18:45Z
5,Tue Aug 27 2002,19:45,BST/+0100,Bristol Rovers,3-1,Swansea City,2002-08-27T18:45Z
5,Tue Aug 27 2002,19:30,BST/+0100,Darlington FC,2-0,Carlisle United,2002-08-27T18:30Z
6,Sat Aug 31 2002,15:00,BST/+0100,Boston United,1-1,Bury FC,2002-08-31T14:00Z
6,Sat Aug 31 2002,15:00,BST/+0100,Cambridge United,4-1,Rushden & Diamonds FC,2002-08-31T14:00Z
6,Sat Aug 31 2002,15:00,BST/+0100,Carlisle United,0-2,Exeter City,2002-08-31T14:00Z
6,Sat Aug 31 2002,15:00,BST/+0100,Hull City,1-1,Leyton Orient,2002-08-31T14:00Z
6,Sat Aug 31 2002,15:00,BST/+0100,Kidderminster Harriers,1-1,Darlington FC,2002-08-31T14:00Z
6,Sat Aug 31 2002,15:00,BST/+0100,Macclesfield Town,0-1,AFC Bournemouth,2002-08-31T14:00Z
6,Sat Aug 31 2002,15:00,BST/+0100,Oxford United,0-1,Hartlepool United,2002-08-31T14:00Z
6,Sat Aug 31 2002,15:00,BST/+0100,Rochdale AFC,1-2,Southend United,2002-08-31T14:00Z
6,Sat Aug 31 2002,15:00,BST/+0100,Scunthorpe United,2-2,Bristol Rovers,2002-08-31T14:00Z
6,Sat Aug 31 2002,15:00,BST/+0100,Shrewsbury Town,1-2,Lincoln City,2002-08-31T14:00Z
6,Sat Aug 31 2002,15:00,BST/+0100,Swansea City,1-2,York City,2002-08-31T14:00Z
6,Sat Aug 31 2002,15:00,BST/+0100,Torquay United,2-1,Wrexham AFC,2002-08-31T14:00Z
7,Fri Sep 6 2002,19:45,BST/+0100,Carlisle United,0-2,Rochdale AFC,2002-09-06T18:45Z
7,Fri Sep 6 2002,19:45,BST/+0100,Bury FC,2-1,York City,2002-09-06T18:45Z
7,Sat Sep 7 2002,14:00,BST/+0100,Kidderminster Harriers,0-0,Boston United,2002-09-07T13:00Z
7,Sat Sep 7 2002,14:00,BST/+0100,Lincoln City,1-0,Scunthorpe United,2002-09-07T13:00Z
7,Sat Sep 7 2002,15:00,BST/+0100,Cambridge United,1-2,Hull City,2002-09-07T14:00Z
7,Sat Sep 7 2002,15:00,BST/+0100,Exeter City,1-3,AFC Bournemouth,2002-09-07T14:00Z
7,Sat Sep 7 2002,15:00,BST/+0100,Oxford United,2-2,Torquay United,2002-09-07T14:00Z
7,Sat Sep 7 2002,15:00,BST/+0100,Rushden & Diamonds FC,3-0,Southend United,2002-09-07T14:00Z
7,Sat Sep 7 2002,15:00,BST/+0100,Shrewsbury Town,2-1,Leyton Orient,2002-09-07T14:00Z
7,Sat Sep 7 2002,15:00,BST/+0100,Swansea City,2-2,Hartlepool United,2002-09-07T14:00Z
7,Sun Sep 8 2002,13:05,BST/+0100,Macclesfield Town,2-1,Bristol Rovers,2002-09-08T12:05Z
8,Sat Sep 14 2002,15:00,BST/+0100,Wrexham AFC,4-0,Swansea City,2002-09-14T14:00Z
8,Sat Sep 14 2002,15:00,BST/+0100,Boston United,1-3,Oxford United,2002-09-14T14:00Z
8,Sat Sep 14 2002,15:00,BST/+0100,AFC Bournemouth,1-2,Bury FC,2002-09-14T14:00Z
8,Sat Sep 14 2002,15:00,BST/+0100,Bristol Rovers,1-1,Exeter City,2002-09-14T14:00Z
8,Sat Sep 14 2002,15:00,BST/+0100,Hartlepool United,4-1,Darlington FC,2002-09-14T14:00Z
8,Sat Sep 14 2002,15:00,BST/+0100,Hull City,4-0,Carlisle United,2002-09-14T14:00Z
8,Sat Sep 14 2002,15:00,BST/+0100,Leyton Orient,1-1,Lincoln City,2002-09-14T14:00Z
8,Sat Sep 14 2002,15:00,BST/+0100,Rochdale AFC,1-1,Shrewsbury Town,2002-09-14T14:00Z
8,Sat Sep 14 2002,15:00,BST/+0100,Scunthorpe United,1-1,Kidderminster Harriers,2002-09-14T14:00Z
8,Sat Sep 14 2002,15:00,BST/+0100,Southend United,1-0,Macclesfield Town,2002-09-14T14:00Z
8,Sat Sep 14 2002,15:00,BST/+0100,Torquay United,3-2,Cambridge United,2002-09-14T14:00Z
8,Sat Sep 14 2002,15:00,BST/+0100,York City,0-0,Rushden & Diamonds FC,2002-09-14T14:00Z
9,Tue Sep 17 2002,19:45,BST/+0100,York City,1-0,Darlington FC,2002-09-17T18:45Z
9,Tue Sep 17 2002,19:30,BST/+0100,Scunthorpe United,3-1,Carlisle United,2002-09-17T18:30Z
9,Tue Sep 17 2002,19:45,BST/+0100,AFC Bournemouth,3-1,Rushden & Diamonds FC,2002-09-17T18:45Z
9,Tue Sep 17 2002,19:45,BST/+0100,Bristol Rovers,2-1,Bury FC,2002-09-17T18:45Z
9,Tue Sep 17 2002,19:45,BST/+0100,Hartlepool United,2-1,Lincoln City,2002-09-17T18:45Z
9,Tue Sep 17 2002,19:45,BST/+0100,Hull City,1-3,Macclesfield Town,2002-09-17T18:45Z
9,Tue Sep 17 2002,19:45,BST/+0100,Leyton Orient,1-2,Oxford United,2002-09-17T18:45Z
9,Tue Sep 17 2002,19:45,BST/+0100,Rochdale AFC,4-3,Cambridge United,2002-09-17T18:45Z
9,Tue Sep 17 2002,19:45,BST/+0100,Southend United,0-2,Kidderminster Harriers,2002-09-17T18:45Z
9,Tue Sep 17 2002,19:45,BST/+0100,Torquay United,2-1,Shrewsbury Town,2002-09-17T18:45Z
9,Tue Sep 17 2002,19:45,BST/+0100,Wrexham AFC,4-0,Exeter City,2002-09-17T18:45Z
9,Wed Sep 18 2002,19:45,BST/+0100,Boston United,1-0,Swansea City,2002-09-18T18:45Z
10,Sat Sep 21 2002,15:00,BST/+0100,Swansea City,0-1,Torquay United,2002-09-21T14:00Z
10,Sat Sep 21 2002,15:00,BST/+0100,Bury FC,1-1,Hartlepool United,2002-09-21T14:00Z
10,Sat Sep 21 2002,15:00,BST/+0100,Cambridge United,3-0,York City,2002-09-21T14:00Z
10,Sat Sep 21 2002,15:00,BST/+0100,Carlisle United,4-2,Boston United,2002-09-21T14:00Z
10,Sat Sep 21 2002,15:00,BST/+0100,Darlington FC,2-2,AFC Bournemouth,2002-09-21T14:00Z
10,Sat Sep 21 2002,15:00,BST/+0100,Exeter City,1-0,Leyton Orient,2002-09-21T14:00Z
10,Sat Sep 21 2002,15:00,BST/+0100,Kidderminster Harriers,0-0,Rochdale AFC,2002-09-21T14:00Z
10,Sat Sep 21 2002,15:00,BST/+0100,Lincoln City,2-1,Southend United,2002-09-21T14:00Z
10,Sat Sep 21 2002,15:00,BST/+0100,Macclesfield Town,2-3,Scunthorpe United,2002-09-21T14:00Z
10,Sat Sep 21 2002,15:00,BST/+0100,Oxford United,0-0,Hull City,2002-09-21T14:00Z
10,Sat Sep 21 2002,15:00,BST/+0100,Rushden & Diamonds FC,2-2,Wrexham AFC,2002-09-21T14:00Z
10,Sat Sep 21 2002,15:00,BST/+0100,Shrewsbury Town,2-5,Bristol Rovers,2002-09-21T14:00Z
7,Tue Sep 24 2002,19:30,BST/+0100,Darlington FC,0-1,Wrexham AFC,2002-09-24T18:30Z
11,Sat Sep 28 2002,15:00,BST/+0100,Boston United,1-3,Cambridge United,2002-09-28T14:00Z
11,Sat Sep 28 2002,15:00,BST/+0100,AFC Bournemouth,3-1,Carlisle United,2002-09-28T14:00Z
11,Sat Sep 28 2002,15:00,BST/+0100,Bristol Rovers,1-2,Kidderminster Harriers,2002-09-28T14:00Z
11,Sat Sep 28 2002,15:00,BST/+0100,Hartlepool United,1-2,Rushden & Diamonds FC,2002-09-28T14:00Z
11,Sat Sep 28 2002,15:00,BST/+0100,Hull City,1-1,Swansea City,2002-09-28T14:00Z
11,Sat Sep 28 2002,15:00,BST/+0100,Leyton Orient,2-1,Darlington FC,2002-09-28T14:00Z
11,Sat Sep 28 2002,15:00,BST/+0100,Rochdale AFC,3-1,Macclesfield Town,2002-09-28T14:00Z
11,Sat Sep 28 2002,15:00,BST/+0100,Scunthorpe United,1-1,Shrewsbury Town,2002-09-28T14:00Z
11,Sat Sep 28 2002,15:00,BST/+0100,Southend United,1-0,Exeter City,2002-09-28T14:00Z
11,Sat Sep 28 2002,15:00,BST/+0100,Torquay United,0-0,Lincoln City,2002-09-28T14:00Z
11,Sat Sep 28 2002,15:00,BST/+0100,Wrexham AFC,2-2,Bury FC,2002-09-28T14:00Z
11,Sat Sep 28 2002,15:00,BST/+0100,York City,0-1,Oxford United,2002-09-28T14:00Z
12,Sat Oct 5 2002,15:00,BST/+0100,Bury FC,1-3,Southend United,2002-10-05T14:00Z
12,Sat Oct 5 2002,15:00,BST/+0100,Cambridge United,2-2,Wrexham AFC,2002-10-05T14:00Z
12,Sat Oct 5 2002,15:00,BST/+0100,Carlisle United,1-2,Torquay United,2002-10-05T14:00Z
12,Sat Oct 5 2002,15:00,BST/+0100,Darlington FC,1-0,Bristol Rovers,2002-10-05T14:00Z
12,Sat Oct 5 2002,15:00,BST/+0100,Exeter City,0-1,York City,2002-10-05T14:00Z
12,Sat Oct 5 2002,15:00,BST/+0100,Kidderminster Harriers,1-0,Hull City,2002-10-05T14:00Z
12,Sat Oct 5 2002,15:00,BST/+0100,Lincoln City,1-2,AFC Bournemouth,2002-10-05T14:00Z
12,Sat Oct 5 2002,15:00,BST/+0100,Macclesfield Town,2-0,Boston United,2002-10-05T14:00Z
12,Sat Oct 5 2002,15:00,BST/+0100,Oxford United,0-1,Scunthorpe United,2002-10-05T14:00Z
12,Sat Oct 5 2002,15:00,BST/+0100,Rushden & Diamonds FC,2-0,Leyton Orient,2002-10-05T14:00Z
12,Sat Oct 5 2002,15:00,BST/+0100,Shrewsbury Town,0-1,Hartlepool United,2002-10-05T14:00Z
12,Sat Oct 5 2002,15:00,BST/+0100,Swansea City,1-1,Rochdale AFC,2002-10-05T14:00Z
13,Sat Oct 12 2002,15:00,BST/+0100,Boston United,2-1,Torquay United,2002-10-12T14:00Z
13,Sat Oct 12 2002,15:00,BST/+0100,Bristol Rovers,2-0,Lincoln City,2002-10-12T14:00Z
13,Sat Oct 12 2002,15:00,BST/+0100,Bury FC,2-2,Darlington FC,2002-10-12T14:00Z
13,Sat Oct 12 2002,15:00,BST/+0100,Carlisle United,1-2,Shrewsbury Town,2002-10-12T14:00Z
13,Sat Oct 12 2002,15:00,BST/+0100,Exeter City,1-1,Rushden & Diamonds FC,2002-10-12T14:00Z
13,Sat Oct 12 2002,15:00,BST/+0100,Hull City,3-0,Rochdale AFC,2002-10-12T14:00Z
13,Sat Oct 12 2002,15:00,BST/+0100,Kidderminster Harriers,0-2,Macclesfield Town,2002-10-12T14:00Z
13,Sat Oct 12 2002,15:00,BST/+0100,Oxford United,1-0,Swansea City,2002-10-12T14:00Z
13,Sat Oct 12 2002,15:00,BST/+0100,Scunthorpe United,1-2,Cambridge United,2002-10-12T14:00Z
13,Sat Oct 12 2002,15:00,BST/+0100,Southend United,1-0,York City,2002-10-12T14:00Z
13,Sat Oct 12 2002,15:00,BST/+0100,Wrexham AFC,0-0,Leyton Orient,2002-10-12T14:00Z
13,Sun Oct 13 2002,15:00,BST/+0100,AFC Bournemouth,2-1,Hartlepool United,2002-10-13T14:00Z
14,Sat Oct 19 2002,15:00,BST/+0100,Cambridge United,1-1,Oxford United,2002-10-19T14:00Z
14,Sat Oct 19 2002,15:00,BST/+0100,Darlington FC,2-3,Boston United,2002-10-19T14:00Z
14,Sat Oct 19 2002,15:00,BST/+0100,Hartlepool United,4-3,Wrexham AFC,2002-10-19T14:00Z
14,Sat Oct 19 2002,15:00,BST/+0100,Leyton Orient,0-0,AFC Bournemouth,2002-10-19T14:00Z
14,Sat Oct 19 2002,15:00,BST/+0100,Lincoln City,1-0,Exeter City,2002-10-19T14:00Z
14,Sat Oct 19 2002,15:00,BST/+0100,Macclesfield Town,2-2,Carlisle United,2002-10-19T14:00Z
14,Sat Oct 19 2002,15:00,BST/+0100,Rochdale AFC,1-2,Scunthorpe United,2002-10-19T14:00Z
14,Sat Oct 19 2002,15:00,BST/+0100,Rushden & Diamonds FC,0-1,Bury FC,2002-10-19T14:00Z
14,Sat Oct 19 2002,15:00,BST/+0100,Shrewsbury Town,2-3,Kidderminster Harriers,2002-10-19T14:00Z
14,Sat Oct 19 2002,15:00,BST/+0100,Swansea City,1-0,Southend United,2002-10-19T14:00Z
14,Sat Oct 19 2002,15:00,BST/+0100,Torquay United,1-4,Hull City,2002-10-19T14:00Z
14,Sat Oct 19 2002,15:00,BST/+0100,York City,2-2,Bristol Rovers,2002-10-19T14:00Z
15,Fri Oct 25 2002,19:45,BST/+0100,Southend United,0-1,Hartlepool United,2002-10-25T18:45Z
15,Sat Oct 26 2002,15:00,BST/+0100,Boston United,3-1,Rochdale AFC,2002-10-26T14:00Z
15,Sat Oct 26 2002,15:00,BST/+0100,AFC Bournemouth,1-0,York City,2002-10-26T14:00Z
15,Sat Oct 26 2002,15:00,BST/+0100,Bristol Rovers,1-2,Leyton Orient,2002-10-26T14:00Z
15,Sat Oct 26 2002,15:00,BST/+0100,Bury FC,2-1,Macclesfield Town,2002-10-26T14:00Z
15,Sat Oct 26 2002,15:00,BST/+0100,Carlisle United,2-2,Swansea City,2002-10-26T14:00Z
15,Sat Oct 26 2002,15:00,BST/+0100,Exeter City,0-4,Darlington FC,2002-10-26T14:00Z
15,Sat Oct 26 2002,15:00,BST/+0100,Hull City,1-1,Rushden & Diamonds FC,2002-10-26T14:00Z
15,Sat Oct 26 2002,15:00,BST/+0100,Kidderminster Harriers,2-1,Cambridge United,2002-10-26T14:00Z
15,Sat Oct 26 2002,15:00,BST/+0100,Oxford United,2-2,Shrewsbury Town,2002-10-26T14:00Z
15,Sat Oct 26 2002,15:00,BST/+0100,Scunthorpe United,5-1,Torquay United,2002-10-26T14:00Z
15,Sat Oct 26 2002,15:00,BST/+0100,Wrexham AFC,0-2,Lincoln City,2002-10-26T14:00Z
16,Tue Oct 29 2002,19:30,GMT/+0000,Darlington FC,1-1,Scunthorpe United,2002-10-29T19:30Z
16,Tue Oct 29 2002,19:45,GMT/+0000,Cambridge United,2-1,Carlisle United,2002-10-29T19:45Z
16,Tue Oct 29 2002,19:45,GMT/+0000,Hartlepool United,2-0,Bristol Rovers,2002-10-29T19:45Z
16,Tue Oct 29 2002,19:45,GMT/+0000,Leyton Orient,2-1,Southend United,2002-10-29T19:45Z
16,Tue Oct 29 2002,19:45,GMT/+0000,Lincoln City,1-1,Bury FC,2002-10-29T19:45Z
16,Tue Oct 29 2002,19:45,GMT/+0000,Macclesfield Town,2-1,Oxford United,2002-10-29T19:45Z
16,Tue Oct 29 2002,19:45,GMT/+0000,Rochdale AFC,3-3,Exeter City,2002-10-29T19:45Z
16,Tue Oct 29 2002,19:45,GMT/+0000,Rushden & Diamonds FC,1-0,Boston United,2002-10-29T19:45Z
16,Tue Oct 29 2002,19:45,GMT/+0000,Shrewsbury Town,1-1,Hull City,2002-10-29T19:45Z
16,Tue Oct 29 2002,19:45,GMT/+0000,Swansea City,0-4,Kidderminster Harriers,2002-10-29T19:45Z
16,Tue Oct 29 2002,19:45,GMT/+0000,Torquay United,4-0,AFC Bournemouth,2002-10-29T19:45Z
16,Tue Oct 29 2002,19:45,GMT/+0000,York City,1-1,Wrexham AFC,2002-10-29T19:45Z
17,Fri Nov 1 2002,19:45,GMT/+0000,Hartlepool United,0-0,York City,2002-11-01T19:45Z
17,Sat Nov 2 2002,15:00,GMT/+0000,Boston United,0-3,Exeter City,2002-11-02T15:00Z
17,Sat Nov 2 2002,15:00,GMT/+0000,AFC Bournemouth,1-0,Bristol Rovers,2002-11-02T15:00Z
17,Sat Nov 2 2002,15:00,GMT/+0000,Cambridge United,1-0,Swansea City,2002-11-02T15:00Z
17,Sat Nov 2 2002,15:00,GMT/+0000,Carlisle United,1-0,Oxford United,2002-11-02T15:00Z
17,Sat Nov 2 2002,15:00,GMT/+0000,Darlington FC,0-0,Lincoln City,2002-11-02T15:00Z
17,Sat Nov 2 2002,15:00,GMT/+0000,Hull City,2-0,Scunthorpe United,2002-11-02T15:00Z
17,Sat Nov 2 2002,15:00,GMT/+0000,Leyton Orient,1-2,Bury FC,2002-11-02T15:00Z
17,Sat Nov 2 2002,15:00,GMT/+0000,Macclesfield Town,1-2,Shrewsbury Town,2002-11-02T15:00Z
17,Sat Nov 2 2002,15:00,GMT/+0000,Rochdale AFC,0-1,Rushden & Diamonds FC,2002-11-02T15:00Z
17,Sat Nov 2 2002,15:00,GMT/+0000,Southend United,0-1,Wrexham AFC,2002-11-02T15:00Z
18,Sat Nov 9 2002,15:00,GMT/+0000,York City,3-2,Leyton Orient,2002-11-09T15:00Z
18,Sat Nov 9 2002,15:00,GMT/+0000,Bristol Rovers,0-1,Southend United,2002-11-09T15:00Z
18,Sat Nov 9 2002,15:00,GMT/+0000,Bury FC,0-1,Torquay United,2002-11-09T15:00Z
18,Sat Nov 9 2002,15:00,GMT/+0000,Exeter City,1-2,Hartlepool United,2002-11-09T15:00Z
18,Sat Nov 9 2002,15:00,GMT/+0000,Kidderminster Harriers,1-2,Carlisle United,2002-11-09T15:00Z
18,Sat Nov 9 2002,15:00,GMT/+0000,Lincoln City,1-1,Hull City,2002-11-09T15:00Z
18,Sat Nov 9 2002,15:00,GMT/+0000,Oxford United,2-0,Rochdale AFC,2002-11-09T15:00Z
18,Sat Nov 9 2002,15:00,GMT/+0000,Rushden & Diamonds FC,2-0,Darlington FC,2002-11-09T15:00Z
18,Sat Nov 9 2002,15:00,GMT/+0000,Scunthorpe United,2-0,Boston United,2002-11-09T15:00Z
18,Sat Nov 9 2002,15:00,GMT/+0000,Shrewsbury Town,3-1,Cambridge United,2002-11-09T15:00Z
18,Sat Nov 9 2002,15:00,GMT/+0000,Swansea City,1-0,Macclesfield Town,2002-11-09T15:00Z
18,Sat Nov 9 2002,15:00,GMT/+0000,Wrexham AFC,3-2,AFC Bournemouth,2002-11-09T15:00Z
17,Tue Nov 19 2002,19:45,GMT/+0000,Torquay United,2-2,Kidderminster Harriers,2002-11-19T19:45Z
19,Sat Nov 23 2002,15:00,GMT/+0000,Bristol Rovers,0-3,Wrexham AFC,2002-11-23T15:00Z
19,Sat Nov 23 2002,15:00,GMT/+0000,Carlisle United,1-2,Bury FC,2002-11-23T15:00Z
19,Sat Nov 23 2002,15:00,GMT/+0000,Exeter City,1-2,Cambridge United,2002-11-23T15:00Z
19,Sat Nov 23 2002,15:00,GMT/+0000,Hull City,1-0,Boston United,2002-11-23T15:00Z
19,Sat Nov 23 2002,15:00,GMT/+0000,Leyton Orient,1-2,Hartlepool United,2002-11-23T15:00Z
19,Sat Nov 23 2002,15:00,GMT/+0000,Lincoln City,1-2,Rushden & Diamonds FC,2002-11-23T15:00Z
19,Sat Nov 23 2002,15:00,GMT/+0000,Macclesfield Town,3-3,Torquay United,2002-11-23T15:00Z
19,Sat Nov 23 2002,15:00,GMT/+0000,Rochdale AFC,0-1,York City,2002-11-23T15:00Z
19,Sat Nov 23 2002,15:00,GMT/+0000,Scunthorpe United,2-0,Swansea City,2002-11-23T15:00Z
19,Sat Nov 23 2002,15:00,GMT/+0000,Shrewsbury Town,2-2,Darlington FC,2002-11-23T15:00Z
19,Sat Nov 23 2002,15:00,GMT/+0000,Southend United,0-1,AFC Bournemouth,2002-11-23T15:00Z
20,Sat Nov 30 2002,15:00,GMT/+0000,York City,2-1,Carlisle United,2002-11-30T15:00Z
20,Sat Nov 30 2002,15:00,GMT/+0000,Boston United,0-1,Leyton Orient,2002-11-30T15:00Z
20,Sat Nov 30 2002,15:00,GMT/+0000,AFC Bournemouth,2-1,Scunthorpe United,2002-11-30T15:00Z
20,Sat Nov 30 2002,15:00,GMT/+0000,Bury FC,1-0,Exeter City,2002-11-30T15:00Z
20,Sat Nov 30 2002,15:00,GMT/+0000,Cambridge United,3-1,Macclesfield Town,2002-11-30T15:00Z
20,Sat Nov 30 2002,15:00,GMT/+0000,Darlington FC,2-1,Southend United,2002-11-30T15:00Z
20,Sat Nov 30 2002,15:00,GMT/+0000,Hartlepool United,2-1,Kidderminster Harriers,2002-11-30T15:00Z
20,Sat Nov 30 2002,15:00,GMT/+0000,Oxford United,1-0,Lincoln City,2002-11-30T15:00Z
20,Sat Nov 30 2002,15:00,GMT/+0000,Rushden & Diamonds FC,2-1,Bristol Rovers,2002-11-30T15:00Z
20,Sat Nov 30 2002,15:00,GMT/+0000,Swansea City,2-0,Shrewsbury Town,2002-11-30T15:00Z
20,Sat Nov 30 2002,15:00,GMT/+0000,Torquay United,2-2,Rochdale AFC,2002-11-30T15:00Z
20,Sat Nov 30 2002,15:00,GMT/+0000,Wrexham AFC,0-0,Hull City,2002-11-30T15:00Z
21,Sat Dec 14 2002,15:00,GMT/+0000,Southend United,4-2,Boston United,2002-12-14T15:00Z
21,Sat Dec 14 2002,15:00,GMT/+0000,Bristol Rovers,0-2,Oxford United,2002-12-14T15:00Z
21,Sat Dec 14 2002,15:00,GMT/+0000,Carlisle United,1-2,Wrexham AFC,2002-12-14T15:00Z
21,Sat Dec 14 2002,15:00,GMT/+0000,Exeter City,1-0,Swansea City,2002-12-14T15:00Z
