Round,Date,Time,Timezone,Team 1,FT,Team 2,UTC
1,Sat Aug 10 2002,15:00,BST/+0100,Boston United,2-2,AFC Bournemouth,2002-08-10T14:00Z
1,Sat Aug 10 2002,15:00,BST/+0100,Cambridge United,1-2,Darlington FC,2002-08-10T14:00Z
1,Sat Aug 10 2002,15:00,BST/+0100,Carlisle United,1-3,Hartlepool United,2002-08-10T14:00Z
1,Sat Aug 10 2002,15:00,BST/+0100,Hull City,2-2,Southend United,2002-08-10T14:00Z
1,Sat Aug 10 2002,15:00,BST/+0100,Kidderminster Harriers,1-1,Lincoln City,2002-08-10T14:00Z
1,Sat Aug 10 2002,15:00,BST/+0100,Macclesfield Town,1-1,York City,2002-08-10T14:00Z
1,Sat Aug 10 2002,15:00,BST/+0100,Oxford United,2-1,Bury FC,2002-08-10T14:00Z
1,Sat Aug 10 2002,15:00,BST/+0100,Rochdale AFC,1-0,Leyton Orient,2002-08-10T14:00Z
1,Sat Aug 10 2002,15:00,BST/+0100,Scunthorpe United,1-1,Wrexham AFC,2002-08-10T14:00Z
1,Sat Aug 10 2002,15:00,BST/+0100,Shrewsbury Town,1-0,Exeter City,2002-08-10T14:00Z
1,Sat Aug 10 2002,15:00,BST/+0100,Swansea City,2-2,Rushden & Diamonds FC,2002-08-10T14:00Z
1,Sat Aug 10 2002,15:00,BST/+0100,Torquay United,2-1,Bristol Rovers,2002-08-10T14:00Z
2,Tue Aug 13 2002,19:30,BST/+0100,Darlington FC,2-2,Swansea City,2002-08-13T18:30Z
2,Tue Aug 13 2002,19:45,BST/+0100,AFC Bournemouth,0-0,Kidderminster Harriers,2002-08-13T18:45Z
2,Tue Aug 13 2002,19:45,BST/+0100,Bristol Rovers,1-1,Hull City,2002-08-13T18:45Z
2,Tue Aug 13 2002,19:45,BST/+0100,Bury FC,0-1,Cambridge United,2002-08-13T18:45Z
2,Tue Aug 13 2002,19:45,BST/+0100,Exeter City,1-1,Scunthorpe United,2002-08-13T18:45Z
2,Tue Aug 13 2002,19:45,BST/+0100,Hartlepool United,2-0,Boston United,2002-08-13T18:45Z
