Stage,Round,Date,Team 1,FT,Team 2
Apertura,1,Fri Jul 24 2020,Club Necaxa,0-3,Tigres UANL
Apertura,1,Sat Jul 25 2020,CD Guadalajara Chivas,0-0,Club León
Apertura,1,Sat Jul 25 2020,Club Tijuana,3-1,Club Atlas
Apertura,1,Sat Jul 25 2020,Cruz Azul,2-0,Santos Laguna
Apertura,1,Sun Jul 26 2020,Pumas UNAM,3-2,Querétaro FC
Apertura,1,Mon Jul 27 2020,Mazatlán FC,1-4,Club Puebla
Apertura,1,Mon Jul 27 2020,CF Pachuca,1-2,Club América
Apertura,1,Mon Jul 27 2020,Atlético San Luis,1-1,FC Juárez
Apertura,1,Tue Jul 28 2020,CF Monterrey,3-1,Deportivo Toluca FC
Apertura,2,Fri Jul 31 2020,Club Puebla,1-1,Cruz Azul
Apertura,2,Fri Jul 31 2020,FC Juárez,1-0,Club Necaxa
Apertura,2,Sat Aug 1 2020,Tigres UANL,1-1,CF Pachuca
Apertura,2,Sat Aug 1 2020,Club América,4-0,Club Tijuana
Apertura,2,Sun Aug 2 2020,Deportivo Toluca FC,3-2,Atlético San Luis
Apertura,2,Sun Aug 2 2020,Santos Laguna,2-0,CD Guadalajara Chivas
Apertura,2,Sun Aug 2 2020,Querétaro FC,1-1,Mazatlán FC
Apertura,2,Mon Aug 3 2020,Club León,1-0,CF Monterrey
Apertura,2,Mon Aug 3 2020,Club Atlas,1-2,Pumas UNAM
Apertura,3,Thu Aug 6 2020,CF Pachuca,1-0,Querétaro FC
Apertura,3,Thu Aug 6 2020,Club Tijuana,0-0,Tigres UANL
Apertura,3,Fri Aug 7 2020,Mazatlán FC,2-1,Deportivo Toluca FC
Apertura,3,Fri Aug 7 2020,Club Necaxa,1-1,Club América
Apertura,3,Sat Aug 8 2020,Cruz Azul,2-0,Club León
Apertura,3,Sat Aug 8 2020,CF Monterrey,2-2,Santos Laguna
Apertura,3,Sat Aug 8 2020,CD Guadalajara Chivas,0-1,Club Puebla
Apertura,3,Sun Aug 9 2020,Atlético San Luis,1-1,Club Atlas
Apertura,3,Sun Aug 9 2020,Pumas UNAM,1-1,FC Juárez
Apertura,4,Tue Aug 11 2020,Tigres UANL,2-1,Club Puebla
Apertura,4,Tue Aug 11 2020,CF Pachuca,0-1,Club León
Apertura,4,Tue Aug 11 2020,Club Necaxa,1-0,Mazatlán FC
Apertura,4,Wed Aug 12 2020,Querétaro FC,1-0,Cruz Azul
Apertura,4,Wed Aug 12 2020,Club Tijuana,0-2,Atlético San Luis
Apertura,4,Wed Aug 12 2020,Pumas UNAM,1-1,CF Monterrey
Apertura,4,Wed Aug 12 2020,FC Juárez,0-2,CD Guadalajara Chivas
Apertura,4,Thu Aug 13 2020,Club Atlas,1-2,Deportivo Toluca FC
Apertura,4,Thu Aug 13 2020,Club América,3-1,Santos Laguna
Apertura,5,Fri Aug 14 2020,Club Puebla,0-1,CF Pachuca
Apertura,5,Sat Aug 15 2020,CD Guadalajara Chivas,2-1,Atlético San Luis
Apertura,5,Sat Aug 15 2020,CF Monterrey,1-1,Club Necaxa
Apertura,5,Sat Aug 15 2020,Mazatlán FC,0-0,Pumas UNAM
Apertura,5,Sat Aug 15 2020,Cruz Azul,3-2,FC Juárez
Apertura,5,Sun Aug 16 2020,Deportivo Toluca FC,3-2,Tigres UANL
