Round,Date,Time,Team 1,FT,HT,Team 2
1,Fri Aug 16 2013,21:00,Girona FC,1-0,0-0,CD Alavés
1,Sat Aug 17 2013,19:00,CD Mirandés,2-1,1-0,FC Barcelona B
1,Sat Aug 17 2013,19:00,Hércules CF,1-1,0-0,Real Zaragoza
1,Sat Aug 17 2013,19:00,UD Las Palmas,0-1,0-0,Deportivo La Coruña
1,Sat Aug 17 2013,21:00,Córdoba CF,1-0,0-0,SD Ponferradina
1,Sat Aug 17 2013,21:00,CD Lugo,0-0,0-0,CD Numancia
1,Sun Aug 18 2013,19:00,AD Alcorcón,1-0,0-0,CD Tenerife
1,Sun Aug 18 2013,19:00,Sporting Gijón,1-0,1-0,Real Madrid Castilla
1,Sun Aug 18 2013,19:00,CE Sabadell,4-0,2-0,RCD Mallorca
1,Sun Aug 18 2013,19:00,Real Jaén,1-2,0-1,SD Eibar
1,Sun Aug 18 2013,21:00,Real Murcia,2-3,0-1,Recreativo Huelva
2,Sat Aug 24 2013,19:00,Real Zaragoza,0-0,0-0,CD Mirandés
2,Sat Aug 24 2013,19:00,Deportivo La Coruña,0-1,0-0,Córdoba CF
2,Sat Aug 24 2013,19:00,CD Alavés,1-1,0-1,UD Las Palmas
2,Sat Aug 24 2013,19:00,SD Eibar,0-3,0-0,Girona FC
2,Sat Aug 24 2013,21:00,FC Barcelona B,2-1,1-1,CD Lugo
2,Sat Aug 24 2013,21:00,Real Madrid Castilla,0-1,0-1,AD Alcorcón
2,Sun Aug 25 2013,19:00,CD Tenerife,0-0,0-0,Hércules CF
2,Sun Aug 25 2013,19:00,Recreativo Huelva,1-1,0-0,Sporting Gijón
2,Sun Aug 25 2013,19:00,SD Ponferradina,2-0,0-0,CE Sabadell
2,Sun Aug 25 2013,21:00,CD Numancia,4-2,3-1,Real Jaén
2,Sun Aug 25 2013,21:00,RCD Mallorca,2-4,0-2,Real Murcia
3,Sat Aug 31 2013,19:00,Hércules CF,2-1,1-1,Real Madrid Castilla
3,Sat Aug 31 2013,19:00,UD Las Palmas,1-1,0-1,SD Eibar
3,Sat Aug 31 2013,19:00,Girona FC,2-2,0-1,CD Numancia
3,Sat Aug 31 2013,21:00,FC Barcelona B,1-0,0-0,Real Zaragoza
3,Sun Sep 1 2013,12:00,Sporting Gijón,3-0,1-0,RCD Mallorca
3,Sun Sep 1 2013,17:00,CE Sabadell,0-3,0-0,Deportivo La Coruña
3,Sun Sep 1 2013,18:00,CD Mirandés,2-0,0-0,CD Tenerife
3,Sun Sep 1 2013,18:00,Córdoba CF,1-1,0-1,CD Alavés
3,Sun Sep 1 2013,18:00,CD Lugo,4-2,4-1,Real Jaén
3,Sun Sep 1 2013,18:00,Real Murcia,2-2,1-1,SD Ponferradina
3,Sun Sep 1 2013,22:00,AD Alcorcón,3-0,1-0,Recreativo Huelva
4,Sat Sep 7 2013,18:00,Real Zaragoza,0-1,0-0,CD Lugo
4,Sat Sep 7 2013,18:00,RCD Mallorca,2-1,1-0,AD Alcorcón
4,Sat Sep 7 2013,18:00,CD Alavés,1-1,1-0,CE Sabadell
4,Sat Sep 7 2013,20:00,CD Numancia,1-1,0-0,UD Las Palmas
4,Sun Sep 8 2013,12:00,Deportivo La Coruña,0-1,0-1,Real Murcia
4,Sun Sep 8 2013,17:00,SD Ponferradina,2-2,1-1,Sporting Gijón
4,Sun Sep 8 2013,18:00,CD Tenerife,2-2,1-0,FC Barcelona B
4,Sun Sep 8 2013,18:00,Real Madrid Castilla,0-1,0-1,CD Mirandés
4,Sun Sep 8 2013,18:00,SD Eibar,1-0,0-0,Córdoba CF
4,Sun Sep 8 2013,18:00,Real Jaén,3-1,1-0,Girona FC
4,Sun Sep 8 2013,21:00,Recreativo Huelva,2-0,1-0,Hércules CF
5,Sat Sep 14 2013,18:00,Real Zaragoza,3-0,0-0,CD Tenerife
5,Sat Sep 14 2013,18:00,CD Mirandés,0-3,0-1,Recreativo Huelva
5,Sat Sep 14 2013,18:00,Córdoba CF,3-1,1-1,CD Numancia
5,Sat Sep 14 2013,18:00,CD Lugo,1-2,1-0,Girona FC
5,Sat Sep 14 2013,20:00,CE Sabadell,1-0,0-0,SD Eibar
5,Sun Sep 15 2013,12:00,FC Barcelona B,2-0,2-0,Real Madrid Castilla
5,Sun Sep 15 2013,17:00,Sporting Gijón,2-0,0-0,Deportivo La Coruña
5,Sun Sep 15 2013,18:00,Hércules CF,2-2,0-1,RCD Mallorca
5,Sun Sep 15 2013,18:00,UD Las Palmas,1-0,1-0,Real Jaén
5,Sun Sep 15 2013,18:00,Real Murcia,2-1,0-0,CD Alavés
5,Sun Sep 15 2013,21:00,AD Alcorcón,0-1,0-1,SD Ponferradina
6,Fri Sep 20 2013,21:00,Recreativo Huelva,3-0,0-0,FC Barcelona B
6,Sat Sep 21 2013,18:00,CD Tenerife,0-1,0-0,CD Lugo
6,Sat Sep 21 2013,18:00,CD Numancia,3-1,1-1,CE Sabadell
6,Sat Sep 21 2013,18:00,SD Eibar,0-0,0-0,Real Murcia
6,Sat Sep 21 2013,18:15,Real Madrid Castilla,1-2,0-1,Real Zaragoza
