Round,Date,Time,Team 1,FT,HT,Team 2,ET,P
1. Runde,Fri Aug 2 2013,19:00,VfL Osnabrück,3-0,2-0,Erzgebirge Aue,,
1. Runde,Fri Aug 2 2013,19:00,1. FC Heidenheim 1846,1-1,0-0,TSV 1860 München,1-1,3-4
1. Runde,Fri Aug 2 2013,20:00,RB Leipzig,0-2,0-1,FC Augsburg,,
1. Runde,Sat Aug 3 2013,15:30,Sportfreunde Baumberg,1-4,0-2,FC Ingolstadt 04,,
1. Runde,Sat Aug 3 2013,15:30,SG Aumund-Vegesack,0-9,0-0,1899 Hoffenheim,,
1. Runde,Sat Aug 3 2013,15:30,Neckarsulmer Sport-Union,0-7,0-2,1. FC Kaiserslautern,,
1. Runde,Sat Aug 3 2013,15:30,SV Lippstadt 08,1-6,1-3,Bayer Leverkusen,,
1. Runde,Sat Aug 3 2013,15:30,Fortuna Köln,1-2,1-1,1. FSV Mainz 05,,
1. Runde,Sat Aug 3 2013,15:30,TSG Neustrelitz,0-0,0-0,SC Freiburg,0-2,
1. Runde,Sat Aug 3 2013,15:30,1. FC Magdeburg,0-1,0-0,Energie Cottbus,,
1. Runde,Sat Aug 3 2013,15:30,SV Wilhelmshaven,0-3,0-0,Borussia Dortmund,,
1. Runde,Sat Aug 3 2013,15:30,Bahlinger SC,1-3,0-2,VfL Bochum,,
1. Runde,Sat Aug 3 2013,18:00,TSV 1860 Rosenheim,0-2,0-0,VfR Aalen,,
1. Runde,Sat Aug 3 2013,20:30,Eintracht Trier,0-2,0-0,1. FC Köln,,
1. Runde,Sat Aug 3 2013,20:30,Karlsruher SC,1-3,0-1,VfL Wolfsburg,,
1. Runde,Sun Aug 4 2013,14:30,TSG Pfeddersheim,0-2,0-1,SpVgg Greuther Fürth,,
1. Runde,Sun Aug 4 2013,14:30,1. FC Saarbrücken,1-1,1-0,Werder Bremen,3-1,
1. Runde,Sun Aug 4 2013,14:30,SV Darmstadt 98,0-0,0-0,Bor. Mönchengladbach,0-0,5-4
1. Runde,Sun Aug 4 2013,14:30,Arminia Bielefeld,2-1,1-0,Eintracht Braunschweig,,
1. Runde,Sun Aug 4 2013,14:30,Victoria Hamburg,0-2,0-0,Hannover 96,,
1. Runde,Sun Aug 4 2013,16:00,SV SCHOTT Jena,0-4,0-0,Hamburger SV,,
1. Runde,Sun Aug 4 2013,16:00,SC Wiedenbrück,1-0,0-0,Fortuna Düsseldorf,,
1. Runde,Sun Aug 4 2013,16:00,Optik Rathenow,1-1,0-1,FSV Frankfurt,1-3,
1. Runde,Sun Aug 4 2013,16:00,BFC Dynamo,0-2,0-1,VfB Stuttgart,,
1. Runde,Sun Aug 4 2013,16:00,VfR Neumünster,2-2,1-2,Hertha BSC,2-3,
1. Runde,Sun Aug 4 2013,18:30,FV Illertissen,0-2,0-0,Eintracht Frankfurt,,
1. Runde,Sun Aug 4 2013,18:30,Preußen Münster,1-0,1-0,FC St. Pauli,,
1. Runde,Sun Aug 4 2013,20:30,SV Sandhausen,1-1,0-1,1. FC Nürnberg,1-1,4-3
1. Runde,Mon Aug 5 2013,18:30,MSV Duisburg,2-3,1-2,SC Paderborn 07,,
1. Runde,Mon Aug 5 2013,18:30,Jahn Regensburg,1-2,1-2,1. FC Union Berlin,,
1. Runde,Mon Aug 5 2013,18:30,FC Nöttingen,0-2,0-1,FC Schalke 04,,
1. Runde,Mon Aug 5 2013,20:30,Schwarz-Weiß Rehden,0-5,0-2,Bayern München,,
2. Runde,Tue Sep 24 2013,19:00,Preußen Münster,0-3,0-1,FC Augsburg,,
2. Runde,Tue Sep 24 2013,19:00,SC Wiedenbrück,1-3,1-0,SV Sandhausen,,
2. Runde,Tue Sep 24 2013,19:00,TSV 1860 München,0-0,0-0,Borussia Dortmund,0-2,
2. Runde,Tue Sep 24 2013,19:00,VfL Wolfsburg,2-0,1-0,VfR Aalen,,
2. Runde,Tue Sep 24 2013,20:30,Arminia Bielefeld,0-2,0-0,Bayer Leverkusen,,
