Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Round 1,Fri Jul 12 2013,18:00,CEST/+0200,ATSV Ober-Grafendorf,2-5,2-2,SKU Amstetten,,,2013-07-12T16:00Z
Round 1,Fri Jul 12 2013,18:00,CEST/+0200,SAK Klagenfurt,3-1,1-0,Union Vöcklamarkt,,,2013-07-12T16:00Z
Round 1,Fri Jul 12 2013,18:30,CEST/+0200,FC Blau Weiß Linz,1-5,1-3,SV Mattersburg,,,2013-07-12T16:30Z
Round 1,Fri Jul 12 2013,19:00,CEST/+0200,SC Leopoldsdorf/Mfd.,1-1,1-1,SC/ESV Parndorf,1-2,,2013-07-12T17:00Z
Round 1,Fri Jul 12 2013,19:00,CEST/+0200,SV Lafnitz,0-4,0-3,SCR Altach,,,2013-07-12T17:00Z
Round 1,Fri Jul 12 2013,19:00,CEST/+0200,FC Dornbirn,1-2,1-0,First Vienna FC,,,2013-07-12T17:00Z
Round 1,Fri Jul 12 2013,19:00,CEST/+0200,SV Wals-Grünau,1-2,1-2,SKN St. Pölten,,,2013-07-12T17:00Z
Round 1,Fri Jul 12 2013,19:00,CEST/+0200,Schwarz-Weiß Bregenz,0-4,0-0,SV Ried,,,2013-07-12T17:00Z
Round 1,Fri Jul 12 2013,19:00,CEST/+0200,DSV Leoben,2-3,0-1,Kapfenberger SV 1919,,,2013-07-12T17:00Z
Round 1,Fri Jul 12 2013,19:00,CEST/+0200,SV Seekirchen,0-2,0-1,FC Admira Wacker,,,2013-07-12T17:00Z
Round 1,Fri Jul 12 2013,19:00,CEST/+0200,FAC Team für Wien,3-1,1-1,FC Kufstein,,,2013-07-12T17:00Z
Round 1,Fri Jul 12 2013,19:30,CEST/+0200,SV Oberwart,0-3,0-2,Austria Wien,,,2013-07-12T17:30Z
Round 1,Fri Jul 12 2013,19:30,CEST/+0200,SV Schwechat,0-3,0-2,SC Kalsdorf,,,2013-07-12T17:30Z
