Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Fri Aug 2 2013,18:30,CEST/+0200,Rapid Wien II,3-2,1-1,SC Wiener Viktoria,,2013-08-02T16:30Z
1,Fri Aug 2 2013,19:00,CEST/+0200,Austria Wien II,0-3,0-1,SV Mattersburg II,,2013-08-02T17:00Z
1,Fri Aug 2 2013,19:30,CEST/+0200,SKU Amstetten,2-0,1-0,FAC Team für Wien,,2013-08-02T17:30Z
1,Fri Aug 2 2013,19:30,CEST/+0200,SV Stegersbach,1-0,1-0,SC Sollenau,,2013-08-02T17:30Z
1,Fri Aug 2 2013,19:30,CEST/+0200,SV Schwechat,2-1,2-0,Wiener Sportklub,,2013-08-02T17:30Z
1,Fri Aug 2 2013,18:00,CEST/+0200,SC Retz,0-3,0-1,SV Oberwart,,2013-08-02T16:00Z
1,Sat Aug 3 2013,17:30,CEST/+0200,SV Neuberg,1-2,1-1,SC Ritzing,,2013-08-03T15:30Z
1,Sat Aug 3 2013,17:30,CEST/+0200,ATSV Ober-Grafendorf,3-1,1-1,FC Admira Wacker II,,2013-08-03T15:30Z
2,Fri Aug 9 2013,19:30,CEST/+0200,Wiener Sportklub,0-6,0-3,SKU Amstetten,,2013-08-09T17:30Z
2,Fri Aug 9 2013,20:00,CEST/+0200,FAC Team für Wien,2-1,1-0,SC Retz,,2013-08-09T18:00Z
2,Fri Aug 9 2013,20:00,CEST/+0200,SC Sollenau,1-3,1-0,Austria Wien II,,2013-08-09T18:00Z
2,Fri Aug 9 2013,19:00,CEST/+0200,FC Admira Wacker II,2-5,2-4,SC Ritzing,,2013-08-09T17:00Z
2,Sat Aug 10 2013,17:30,CEST/+0200,ATSV Ober-Grafendorf,2-2,0-2,SV Stegersbach,,2013-08-10T15:30Z
2,Sat Aug 10 2013,17:30,CEST/+0200,SC Wiener Viktoria,3-2,1-0,SV Schwechat,,2013-08-10T15:30Z
2,Sat Aug 10 2013,18:30,CEST/+0200,SV Mattersburg II,1-3,0-1,Rapid Wien II,,2013-08-10T16:30Z
3,Fri Aug 16 2013,18:30,CEST/+0200,Rapid Wien II,3-2,2-1,SC Sollenau,,2013-08-16T16:30Z
3,Fri Aug 16 2013,19:00,CEST/+0200,Austria Wien II,3-1,1-0,ATSV Ober-Grafendorf,,2013-08-16T17:00Z
3,Fri Aug 16 2013,19:30,CEST/+0200,SKU Amstetten,1-1,1-1,SC Wiener Viktoria,,2013-08-16T17:30Z
3,Fri Aug 16 2013,19:30,CEST/+0200,SV Schwechat,0-1,0-0,SV Mattersburg II,,2013-08-16T17:30Z
3,Fri Aug 16 2013,19:30,CEST/+0200,SV Stegersbach,(*),,FC Admira Wacker II,cancelled,2013-08-16T17:30Z
3,Sat Aug 17 2013,17:30,CEST/+0200,SC Retz,1-3,0-1,Wiener Sportklub,,2013-08-17T15:30Z
3,Sat Aug 17 2013,17:00,CEST/+0200,SC Ritzing,0-0,0-0,SV Oberwart,,2013-08-17T15:00Z
3,Sat Aug 17 2013,17:30,CEST/+0200,SV Neuberg,1-3,1-2,FAC Team für Wien,,2013-08-17T15:30Z
4,Fri Aug 23 2013,20:00,CEST/+0200,SC Sollenau,1-1,0-0,SV Schwechat,,2013-08-23T18:00Z
4,Fri Aug 23 2013,19:30,CEST/+0200,Wiener Sportklub,1-1,0-1,SV Neuberg,,2013-08-23T17:30Z
4,Fri Aug 23 2013,19:00,CEST/+0200,FAC Team für Wien,1-0,0-0,SC Ritzing,,2013-08-23T17:00Z
4,Fri Aug 23 2013,19:00,CEST/+0200,SV Stegersbach,2-0,0-0,Austria Wien II,,2013-08-23T17:00Z
4,Fri Aug 23 2013,19:00,CEST/+0200,FC Admira Wacker II,0-2,0-1,SV Oberwart,,2013-08-23T17:00Z
4,Sat Aug 24 2013,17:30,CEST/+0200,ATSV Ober-Grafendorf,1-3,1-2,Rapid Wien II,,2013-08-24T15:30Z
4,Sat Aug 24 2013,17:00,CEST/+0200,SC Wiener Viktoria,2-1,0-1,SC Retz,,2013-08-24T15:00Z
4,Sat Aug 24 2013,18:00,CEST/+0200,SV Mattersburg II,1-3,0-0,SKU Amstetten,,2013-08-24T16:00Z
2,Tue Aug 27 2013,19:30,CEST/+0200,SV Oberwart,2-3,2-0,SV Neuberg,,2013-08-27T17:30Z
5,Fri Aug 30 2013,19:00,CEST/+0200,Austria Wien II,2-0,1-0,FC Admira Wacker II,,2013-08-30T17:00Z
5,Fri Aug 30 2013,18:30,CEST/+0200,Rapid Wien II,3-1,2-0,SV Stegersbach,,2013-08-30T16:30Z
5,Fri Aug 30 2013,19:30,CEST/+0200,SV Schwechat,1-1,0-1,ATSV Ober-Grafendorf,,2013-08-30T17:30Z
5,Fri Aug 30 2013,19:30,CEST/+0200,SV Oberwart,0-2,0-0,FAC Team für Wien,,2013-08-30T17:30Z
5,Fri Aug 30 2013,19:30,CEST/+0200,SKU Amstetten,4-1,0-0,SC Sollenau,,2013-08-30T17:30Z
5,Sat Aug 31 2013,17:00,CEST/+0200,SC Ritzing,3-0,2-0,Wiener Sportklub,,2013-08-31T15:00Z
5,Sat Aug 31 2013,16:15,CEST/+0200,SC Retz,2-0,0-0,SV Mattersburg II,,2013-08-31T14:15Z
5,Sun Sep 1 2013,16:15,CEST/+0200,SV Neuberg,4-1,3-1,SC Wiener Viktoria,,2013-09-01T14:15Z
6,Tue Sep 3 2013,19:00,CEST/+0200,Austria Wien II,1-4,1-3,Rapid Wien II,,2013-09-03T17:00Z
6,Thu Sep 5 2013,19:00,CEST/+0200,FC Admira Wacker II,0-1,0-0,FAC Team für Wien,,2013-09-05T17:00Z
6,Thu Sep 5 2013,19:30,CEST/+0200,SV Stegersbach,3-1,2-0,SV Schwechat,,2013-09-05T17:30Z
6,Fri Sep 6 2013,18:30,CEST/+0200,SV Mattersburg II,1-2,1-1,SV Neuberg,,2013-09-06T16:30Z
