Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
6,Sat Sep 7 2013,16:15,CEST/+0200,ATSV Ober-Grafendorf,2-0,1-0,SKU Amstetten,,2013-09-07T14:15Z
6,Sat Sep 7 2013,16:15,CEST/+0200,SC Wiener Viktoria,2-3,1-1,SC Ritzing,,2013-09-07T14:15Z
6,Sat Sep 7 2013,18:00,CEST/+0200,SC Sollenau,2-0,1-0,SC Retz,,2013-09-07T16:00Z
6,Sat Sep 7 2013,18:00,CEST/+0200,Wiener Sportklub,1-0,1-0,SV Oberwart,,2013-09-07T16:00Z
7,Fri Sep 13 2013,19:30,CEST/+0200,SKU Amstetten,0-1,0-1,SV Stegersbach,,2013-09-13T17:30Z
7,Fri Sep 13 2013,18:30,CEST/+0200,Rapid Wien II,2-2,1-2,FC Admira Wacker II,,2013-09-13T16:30Z
7,Fri Sep 13 2013,19:00,CEST/+0200,FAC Team für Wien,3-0,1-0,Wiener Sportklub,,2013-09-13T17:00Z
7,Fri Sep 13 2013,19:30,CEST/+0200,SV Oberwart,5-2,3-0,SC Wiener Viktoria,,2013-09-13T17:30Z
7,Fri Sep 13 2013,19:30,CEST/+0200,SV Schwechat,0-2,0-2,Austria Wien II,,2013-09-13T17:30Z
7,Sat Sep 14 2013,17:00,CEST/+0200,SC Ritzing,2-1,0-1,SV Mattersburg II,,2013-09-14T15:00Z
7,Sat Sep 14 2013,16:15,CEST/+0200,SV Neuberg,4-1,0-1,SC Sollenau,,2013-09-14T14:15Z
7,Sat Sep 14 2013,16:15,CEST/+0200,SC Retz,1-1,1-1,ATSV Ober-Grafendorf,,2013-09-14T14:15Z
8,Fri Sep 20 2013,20:00,CEST/+0200,SC Sollenau,1-4,1-3,SC Ritzing,,2013-09-20T18:00Z
8,Fri Sep 20 2013,18:30,CEST/+0200,Rapid Wien II,2-1,1-1,SV Schwechat,,2013-09-20T16:30Z
8,Fri Sep 20 2013,19:00,CEST/+0200,FC Admira Wacker II,3-1,0-1,Wiener Sportklub,,2013-09-20T17:00Z
8,Fri Sep 20 2013,19:30,CEST/+0200,SV Stegersbach,0-5,0-2,SC Retz,,2013-09-20T17:30Z
8,Sat Sep 21 2013,15:30,CEST/+0200,Austria Wien II,1-0,0-0,SKU Amstetten,,2013-09-21T13:30Z
8,Sat Sep 21 2013,16:15,CEST/+0200,SC Wiener Viktoria,1-0,0-0,FAC Team für Wien,,2013-09-21T14:15Z
8,Sat Sep 21 2013,16:15,CEST/+0200,ATSV Ober-Grafendorf,0-3,0-2,SV Neuberg,,2013-09-21T14:15Z
8,Sat Sep 21 2013,18:00,CEST/+0200,SV Mattersburg II,4-1,2-0,SV Oberwart,,2013-09-21T16:00Z
9,Fri Sep 27 2013,19:30,CEST/+0200,SV Oberwart,1-1,0-0,SC Sollenau,,2013-09-27T17:30Z
9,Fri Sep 27 2013,19:30,CEST/+0200,Wiener Sportklub,0-2,0-1,SC Wiener Viktoria,,2013-09-27T17:30Z
9,Fri Sep 27 2013,19:30,CEST/+0200,SV Schwechat,1-2,1-1,FC Admira Wacker II,,2013-09-27T17:30Z
9,Fri Sep 27 2013,20:00,CEST/+0200,SKU Amstetten,2-5,0-0,Rapid Wien II,,2013-09-27T18:00Z
9,Sat Sep 28 2013,15:00,CEST/+0200,FAC Team für Wien,1-0,1-0,SV Mattersburg II,,2013-09-28T13:00Z
9,Sat Sep 28 2013,16:15,CEST/+0200,SC Retz,0-0,0-0,Austria Wien II,,2013-09-28T14:15Z
9,Sat Sep 28 2013,17:00,CEST/+0200,SC Ritzing,0-0,0-0,ATSV Ober-Grafendorf,,2013-09-28T15:00Z
9,Sun Sep 29 2013,10:30,CEST/+0200,SV Neuberg,2-3,0-2,SV Stegersbach,,2013-09-29T08:30Z
10,Thu Oct 3 2013,19:30,CEST/+0200,SV Schwechat,1-1,0-0,SKU Amstetten,,2013-10-03T17:30Z
10,Fri Oct 4 2013,18:30,CEST/+0200,Rapid Wien II,3-2,1-1,SC Retz,,2013-10-04T16:30Z
10,Fri Oct 4 2013,20:00,CEST/+0200,SV Stegersbach,0-2,0-2,SC Ritzing,,2013-10-04T18:00Z
10,Fri Oct 4 2013,19:00,CEST/+0200,Austria Wien II,2-1,2-1,SV Neuberg,,2013-10-04T17:00Z
10,Fri Oct 4 2013,19:00,CEST/+0200,FC Admira Wacker II,1-0,0-0,SC Wiener Viktoria,,2013-10-04T17:00Z
10,Fri Oct 4 2013,19:30,CEST/+0200,SV Oberwart,2-2,1-2,ATSV Ober-Grafendorf,,2013-10-04T17:30Z
10,Fri Oct 4 2013,20:00,CEST/+0200,SC Sollenau,1-5,0-4,FAC Team für Wien,,2013-10-04T18:00Z
10,Sun Oct 6 2013,16:00,CEST/+0200,SV Mattersburg II,4-2,2-1,Wiener Sportklub,,2013-10-06T14:00Z
11,Thu Oct 10 2013,20:00,CEST/+0200,SKU Amstetten,5-0,1-0,FC Admira Wacker II,,2013-10-10T18:00Z
11,Fri Oct 11 2013,18:00,CEST/+0200,FAC Team für Wien,1-0,1-0,ATSV Ober-Grafendorf,,2013-10-11T16:00Z
11,Fri Oct 11 2013,18:45,CEST/+0200,SV Oberwart,0-2,0-1,SV Stegersbach,,2013-10-11T16:45Z
11,Sat Oct 12 2013,18:00,CEST/+0200,Wiener Sportklub,2-3,1-0,SC Sollenau,,2013-10-12T16:00Z
11,Sat Oct 12 2013,16:00,CEST/+0200,SC Wiener Viktoria,3-2,2-0,SV Mattersburg II,,2013-10-12T14:00Z
11,Sat Oct 12 2013,16:00,CEST/+0200,SV Neuberg,0-2,0-2,Rapid Wien II,,2013-10-12T14:00Z
11,Sat Oct 12 2013,16:00,CEST/+0200,SC Retz,1-2,1-1,SV Schwechat,,2013-10-12T14:00Z
11,Sat Oct 12 2013,17:00,CEST/+0200,SC Ritzing,1-1,0-1,Austria Wien II,,2013-10-12T15:00Z
12,Fri Oct 18 2013,18:30,CEST/+0200,Rapid Wien II,1-2,1-1,SC Ritzing,,2013-10-18T16:30Z
12,Fri Oct 18 2013,19:30,CEST/+0200,SV Stegersbach,2-1,0-1,FAC Team für Wien,,2013-10-18T17:30Z
12,Fri Oct 18 2013,19:00,CEST/+0200,Austria Wien II,2-1,1-0,SV Oberwart,,2013-10-18T17:00Z
12,Fri Oct 18 2013,19:30,CEST/+0200,SV Schwechat,2-2,0-2,SV Neuberg,,2013-10-18T17:30Z
12,Fri Oct 18 2013,19:30,CEST/+0200,SKU Amstetten,3-0,2-0,SC Retz,,2013-10-18T17:30Z
12,Fri Oct 18 2013,19:30,CEST/+0200,SC Sollenau,3-1,2-0,SC Wiener Viktoria,,2013-10-18T17:30Z
12,Sat Oct 19 2013,15:30,CEST/+0200,ATSV Ober-Grafendorf,0-3,0-2,Wiener Sportklub,,2013-10-19T13:30Z
12,Sun Oct 20 2013,15:30,CEST/+0200,FC Admira Wacker II,2-1,2-1,SV Mattersburg II,,2013-10-20T13:30Z
13,Fri Oct 25 2013,19:00,CEST/+0200,FAC Team für Wien,1-0,1-0,Austria Wien II,,2013-10-25T17:00Z
13,Fri Oct 25 2013,19:00,CEST/+0200,FC Admira Wacker II,3-2,1-1,SC Retz,,2013-10-25T17:00Z
13,Fri Oct 25 2013,19:30,CEST/+0200,SV Oberwart,1-1,0-1,Rapid Wien II,,2013-10-25T17:30Z
13,Fri Oct 25 2013,19:30,CEST/+0200,Wiener Sportklub,4-0,1-0,SV Stegersbach,,2013-10-25T17:30Z
13,Sat Oct 26 2013,15:30,CEST/+0200,SV Neuberg,1-0,1-0,SKU Amstetten,,2013-10-26T13:30Z
13,Sat Oct 26 2013,15:00,CEST/+0200,SC Ritzing,5-2,2-0,SV Schwechat,,2013-10-26T13:00Z
13,Sat Oct 26 2013,15:30,CEST/+0200,SC Wiener Viktoria,2-2,1-2,ATSV Ober-Grafendorf,,2013-10-26T13:30Z
13,Sun Oct 27 2013,10:45,CET/+0100,SV Mattersburg II,1-1,0-0,SC Sollenau,,2013-10-27T09:45Z
14,Thu Oct 31 2013,18:30,CET/+0100,Rapid Wien II,1-3,1-2,FAC Team für Wien,,2013-10-31T17:30Z
14,Thu Oct 31 2013,19:00,CET/+0100,FC Admira Wacker II,1-2,1-1,SC Sollenau,,2013-10-31T18:00Z
14,Thu Oct 31 2013,19:00,CET/+0100,Austria Wien II,2-1,2-0,Wiener Sportklub,,2013-10-31T18:00Z
14,Fri Nov 1 2013,19:30,CET/+0100,SV Stegersbach,6-0,3-0,SC Wiener Viktoria,,2013-11-01T18:30Z
14,Fri Nov 1 2013,19:30,CET/+0100,SV Schwechat,2-1,1-1,SV Oberwart,,2013-11-01T18:30Z
14,Sat Nov 2 2013,14:30,CET/+0100,SC Retz,2-0,1-0,SV Neuberg,,2013-11-02T13:30Z
14,Sat Nov 2 2013,14:30,CET/+0100,ATSV Ober-Grafendorf,2-4,0-0,SV Mattersburg II,,2013-11-02T13:30Z
14,Sat Nov 2 2013,18:00,CET/+0100,SKU Amstetten,1-0,0-0,SC Ritzing,,2013-11-02T17:00Z
15,Fri Nov 8 2013,20:00,CET/+0100,SC Sollenau,2-2,0-1,ATSV Ober-Grafendorf,,2013-11-08T19:00Z
15,Fri Nov 8 2013,19:00,CET/+0100,FAC Team für Wien,1-1,0-1,SV Schwechat,,2013-11-08T18:00Z
15,Fri Nov 8 2013,19:30,CET/+0100,Wiener Sportklub,1-1,1-0,Rapid Wien II,,2013-11-08T18:30Z
15,Fri Nov 8 2013,19:30,CET/+0100,SV Oberwart,1-5,1-1,SKU Amstetten,,2013-11-08T18:30Z
15,Sat Nov 9 2013,14:00,CET/+0100,SC Wiener Viktoria,1-1,0-1,Austria Wien II,,2013-11-09T13:00Z
15,Sun Nov 10 2013,10:45,CET/+0100,SV Mattersburg II,3-1,1-0,SV Stegersbach,,2013-11-10T09:45Z
15,Wed Nov 13 2013,19:30,CET/+0100,SC Ritzing,3-1,0-1,SC Retz,,2013-11-13T18:30Z
15,Wed Nov 13 2013,19:30,CET/+0100,FC Admira Wacker II,1-2,0-1,SV Neuberg,,2013-11-13T18:30Z
16,Fri Feb 28 2014,19:00,CET/+0100,FAC Team für Wien,2-0,0-0,SKU Amstetten,,2014-02-28T18:00Z
16,Fri Feb 28 2014,19:30,CET/+0100,SV Oberwart,2-2,0-0,SC Retz,,2014-02-28T18:30Z
16,Fri Feb 28 2014,19:30,CET/+0100,Wiener Sportklub,1-1,1-1,SV Schwechat,,2014-02-28T18:30Z
16,Sat Mar 1 2014,17:00,CET/+0100,SC Ritzing,1-1,1-0,SV Neuberg,,2014-03-01T16:00Z
16,Sat Mar 1 2014,14:00,CET/+0100,SC Wiener Viktoria,6-3,2-1,Rapid Wien II,,2014-03-01T13:00Z
16,Sat Mar 1 2014,15:00,CET/+0100,SV Mattersburg II,5-0,2-0,Austria Wien II,,2014-03-01T14:00Z
16,Sat Mar 1 2014,16:00,CET/+0100,SC Sollenau,2-1,1-1,SV Stegersbach,,2014-03-01T15:00Z
16,Sun Mar 2 2014,14:30,CET/+0100,FC Admira Wacker II,2-0,1-0,ATSV Ober-Grafendorf,,2014-03-02T13:30Z
17,Fri Mar 7 2014,19:30,CET/+0100,SV Stegersbach,0-0,0-0,ATSV Ober-Grafendorf,,2014-03-07T18:30Z
17,Fri Mar 7 2014,19:00,CET/+0100,Austria Wien II,2-0,1-0,SC Sollenau,,2014-03-07T18:00Z
17,Fri Mar 7 2014,19:30,CET/+0100,Rapid Wien II,1-2,1-0,SV Mattersburg II,,2014-03-07T18:30Z
17,Fri Mar 7 2014,19:30,CET/+0100,SV Schwechat,2-0,1-0,SC Wiener Viktoria,,2014-03-07T18:30Z
17,Fri Mar 7 2014,19:30,CET/+0100,SKU Amstetten,4-0,1-0,Wiener Sportklub,,2014-03-07T18:30Z
17,Sat Mar 8 2014,17:00,CET/+0100,SC Ritzing,2-0,1-0,FC Admira Wacker II,,2014-03-08T16:00Z
17,Sat Mar 8 2014,15:00,CET/+0100,SC Retz,1-0,0-0,FAC Team für Wien,,2014-03-08T14:00Z
17,Sat Mar 8 2014,15:00,CET/+0100,SV Neuberg,3-2,1-2,SV Oberwart,,2014-03-08T14:00Z
18,Fri Mar 14 2014,19:00,CET/+0100,FAC Team für Wien,3-2,1-0,SV Neuberg,,2014-03-14T18:00Z
18,Fri Mar 14 2014,19:30,CET/+0100,SV Oberwart,1-3,0-0,SC Ritzing,,2014-03-14T18:30Z
18,Fri Mar 14 2014,19:30,CET/+0100,Wiener Sportklub,3-1,1-1,SC Retz,,2014-03-14T18:30Z
18,Fri Mar 14 2014,19:30,CET/+0100,SC Wiener Viktoria,3-5,2-3,SKU Amstetten,,2014-03-14T18:30Z
18,Sat Mar 15 2014,15:00,CET/+0100,ATSV Ober-Grafendorf,0-6,0-2,Austria Wien II,,2014-03-15T14:00Z
18,Sat Mar 15 2014,16:00,CET/+0100,SC Sollenau,3-1,1-1,Rapid Wien II,,2014-03-15T15:00Z
18,Sat Mar 15 2014,17:00,CET/+0100,SV Mattersburg II,1-2,0-1,SV Schwechat,,2014-03-15T16:00Z
18,Sun Mar 16 2014,14:30,CET/+0100,FC Admira Wacker II,3-1,0-1,SV Stegersbach,,2014-03-16T13:30Z
19,Fri Mar 21 2014,19:30,CET/+0100,SV Schwechat,2-4,1-1,SC Sollenau,,2014-03-21T18:30Z
19,Fri Mar 21 2014,19:00,CET/+0100,Austria Wien II,1-0,0-0,SV Stegersbach,,2014-03-21T18:00Z
19,Fri Mar 21 2014,19:30,CET/+0100,Rapid Wien II,3-0,0-0,ATSV Ober-Grafendorf,,2014-03-21T18:30Z
19,Fri Mar 21 2014,19:30,CET/+0100,SKU Amstetten,1-0,1-0,SV Mattersburg II,,2014-03-21T18:30Z
19,Fri Mar 21 2014,19:30,CET/+0100,SV Oberwart,0-0,0-0,FC Admira Wacker II,,2014-03-21T18:30Z
19,Sat Mar 22 2014,15:30,CET/+0100,SV Neuberg,1-2,1-2,Wiener Sportklub,,2014-03-22T14:30Z
19,Sat Mar 22 2014,15:30,CET/+0100,SC Retz,2-1,1-1,SC Wiener Viktoria,,2014-03-22T14:30Z
19,Sat Mar 22 2014,17:00,CET/+0100,SC Ritzing,0-3,0-2,FAC Team für Wien,,2014-03-22T16:00Z
3,Tue Mar 25 2014,19:00,CET/+0100,SV Stegersbach,2-0,0-0,FC Admira Wacker II,,2014-03-25T18:00Z
20,Fri Mar 28 2014,19:30,CET/+0100,Wiener Sportklub,0-1,0-1,SC Ritzing,,2014-03-28T18:30Z
20,Fri Mar 28 2014,19:30,CET/+0100,SV Stegersbach,0-3,0-1,Rapid Wien II,,2014-03-28T18:30Z
20,Fri Mar 28 2014,19:30,CET/+0100,SC Wiener Viktoria,0-1,0-0,SV Neuberg,,2014-03-28T18:30Z
20,Fri Mar 28 2014,19:00,CET/+0100,FAC Team für Wien,0-0,0-0,SV Oberwart,,2014-03-28T18:00Z
20,Sat Mar 29 2014,16:00,CET/+0100,SC Sollenau,1-4,0-3,SKU Amstetten,,2014-03-29T15:00Z
20,Sat Mar 29 2014,17:00,CET/+0100,SV Mattersburg II,1-0,0-0,SC Retz,,2014-03-29T16:00Z
20,Sat Mar 29 2014,15:30,CET/+0100,ATSV Ober-Grafendorf,2-1,1-0,SV Schwechat,,2014-03-29T14:30Z
20,Sun Mar 30 2014,14:30,CEST/+0200,FC Admira Wacker II,0-5,0-2,Austria Wien II,,2014-03-30T12:30Z
21,Fri Apr 4 2014,19:00,CEST/+0200,FAC Team für Wien,1-1,0-0,FC Admira Wacker II,,2014-04-04T17:00Z
21,Fri Apr 4 2014,19:00,CEST/+0200,SV Oberwart,0-4,0-1,Wiener Sportklub,,2014-04-04T17:00Z
21,Fri Apr 4 2014,19:30,CEST/+0200,Rapid Wien II,1-1,1-1,Austria Wien II,,2014-04-04T17:30Z
21,Fri Apr 4 2014,19:30,CEST/+0200,SKU Amstetten,4-0,1-0,ATSV Ober-Grafendorf,,2014-04-04T17:30Z
21,Fri Apr 4 2014,19:30,CEST/+0200,SV Schwechat,0-3,0-0,SV Stegersbach,,2014-04-04T17:30Z
21,Sat Apr 5 2014,16:15,CEST/+0200,SV Neuberg,0-1,0-1,SV Mattersburg II,,2014-04-05T14:15Z
21,Sat Apr 5 2014,17:00,CEST/+0200,SC Ritzing,2-1,1-0,SC Wiener Viktoria,,2014-04-05T15:00Z
21,Sat Apr 5 2014,16:15,CEST/+0200,SC Retz,2-3,0-2,SC Sollenau,,2014-04-05T14:15Z
22,Fri Apr 11 2014,19:00,CEST/+0200,Austria Wien II,0-2,0-1,SV Schwechat,,2014-04-11T17:00Z
22,Fri Apr 11 2014,19:00,CEST/+0200,SC Sollenau,4-2,3-1,SV Neuberg,,2014-04-11T17:00Z
22,Fri Apr 11 2014,19:30,CEST/+0200,Wiener Sportklub,0-2,0-1,FAC Team für Wien,,2014-04-11T17:30Z
22,Fri Apr 11 2014,19:30,CEST/+0200,SV Stegersbach,0-0,0-0,SKU Amstetten,,2014-04-11T17:30Z
22,Fri Apr 11 2014,19:30,CEST/+0200,SC Wiener Viktoria,1-4,0-0,SV Oberwart,,2014-04-11T17:30Z
22,Sat Apr 12 2014,17:00,CEST/+0200,SV Mattersburg II,1-0,1-0,SC Ritzing,,2014-04-12T15:00Z
22,Sat Apr 12 2014,16:15,CEST/+0200,ATSV Ober-Grafendorf,3-1,1-1,SC Retz,,2014-04-12T14:15Z
22,Sun Apr 13 2014,16:15,CEST/+0200,FC Admira Wacker II,0-0,0-0,Rapid Wien II,,2014-04-13T14:15Z
23,Fri Apr 18 2014,19:00,CEST/+0200,FAC Team für Wien,2-1,1-0,SC Wiener Viktoria,,2014-04-18T17:00Z
23,Fri Apr 18 2014,19:00,CEST/+0200,SV Oberwart,1-0,0-0,SV Mattersburg II,,2014-04-18T17:00Z
23,Fri Apr 18 2014,19:00,CEST/+0200,SC Ritzing,1-3,0-1,SC Sollenau,,2014-04-18T17:00Z
23,Fri Apr 18 2014,19:30,CEST/+0200,Wiener Sportklub,1-3,0-1,FC Admira Wacker II,,2014-04-18T17:30Z
23,Fri Apr 18 2014,19:30,CEST/+0200,SV Schwechat,1-0,0-0,Rapid Wien II,,2014-04-18T17:30Z
23,Fri Apr 18 2014,19:30,CEST/+0200,SKU Amstetten,2-1,0-0,Austria Wien II,,2014-04-18T17:30Z
23,Sat Apr 19 2014,16:15,CEST/+0200,SV Neuberg,2-3,1-0,ATSV Ober-Grafendorf,,2014-04-19T14:15Z
23,Sat Apr 19 2014,16:15,CEST/+0200,SC Retz,1-2,1-1,SV Stegersbach,,2014-04-19T14:15Z
24,Fri Apr 25 2014,19:30,CEST/+0200,Rapid Wien II,0-1,0-1,SKU Amstetten,,2014-04-25T17:30Z
24,Fri Apr 25 2014,19:30,CEST/+0200,SC Wiener Viktoria,1-6,0-2,Wiener Sportklub,,2014-04-25T17:30Z
24,Fri Apr 25 2014,20:00,CEST/+0200,SC Sollenau,2-2,1-1,SV Oberwart,,2014-04-25T18:00Z
24,Fri Apr 25 2014,19:00,CEST/+0200,Austria Wien II,4-1,1-1,SC Retz,,2014-04-25T17:00Z
24,Sat Apr 26 2014,16:15,CEST/+0200,ATSV Ober-Grafendorf,3-1,1-0,SC Ritzing,,2014-04-26T14:15Z
24,Sun Apr 27 2014,10:30,CEST/+0200,SV Stegersbach,2-2,1-1,SV Neuberg,,2014-04-27T08:30Z
24,Sun Apr 27 2014,16:15,CEST/+0200,SV Mattersburg II,0-4,0-1,FAC Team für Wien,,2014-04-27T14:15Z
24,Sun Apr 27 2014,16:15,CEST/+0200,FC Admira Wacker II,3-1,1-0,SV Schwechat,,2014-04-27T14:15Z
30,Tue Apr 29 2014,19:30,CEST/+0200,SKU Amstetten,3-0,0-0,SV Oberwart,,2014-04-29T17:30Z
30,Wed Apr 30 2014,19:30,CEST/+0200,Rapid Wien II,4-0,2-0,Wiener Sportklub,,2014-04-30T17:30Z
30,Wed Apr 30 2014,19:00,CEST/+0200,Austria Wien II,3-1,1-0,SC Wiener Viktoria,,2014-04-30T17:00Z
30,Wed Apr 30 2014,18:30,CEST/+0200,SV Schwechat,3-2,2-2,FAC Team für Wien,,2014-04-30T16:30Z
30,Wed Apr 30 2014,18:00,CEST/+0200,ATSV Ober-Grafendorf,0-3,0-1,SC Sollenau,,2014-04-30T16:00Z
30,Wed Apr 30 2014,19:30,CEST/+0200,SV Stegersbach,2-2,1-0,SV Mattersburg II,,2014-04-30T17:30Z
30,Thu May 1 2014,15:00,CEST/+0200,SV Neuberg,2-1,0-0,FC Admira Wacker II,,2014-05-01T13:00Z
30,Thu May 1 2014,16:15,CEST/+0200,SC Retz,0-1,0-0,SC Ritzing,,2014-05-01T14:15Z
25,Fri May 2 2014,19:30,CEST/+0200,SKU Amstetten,1-2,1-0,SV Schwechat,,2014-05-02T17:30Z
25,Sat May 3 2014,16:00,CEST/+0200,FAC Team für Wien,1-3,0-1,SC Sollenau,,2014-05-03T14:00Z
25,Sat May 3 2014,16:15,CEST/+0200,SC Retz,1-1,1-1,Rapid Wien II,,2014-05-03T14:15Z
25,Sat May 3 2014,16:15,CEST/+0200,SV Neuberg,1-3,0-3,Austria Wien II,,2014-05-03T14:15Z
25,Sat May 3 2014,17:15,CEST/+0200,ATSV Ober-Grafendorf,1-2,0-0,SV Oberwart,,2014-05-03T15:15Z
25,Sat May 3 2014,18:30,CEST/+0200,Wiener Sportklub,2-1,1-1,SV Mattersburg II,,2014-05-03T16:30Z
25,Sun May 4 2014,14:30,CEST/+0200,SC Ritzing,0-0,0-0,SV Stegersbach,,2014-05-04T12:30Z
25,Sun May 4 2014,10:15,CEST/+0200,SC Wiener Viktoria,1-0,1-0,FC Admira Wacker II,,2014-05-04T08:15Z
26,Fri May 9 2014,19:00,CEST/+0200,Austria Wien II,3-0,2-0,SC Ritzing,,2014-05-09T17:00Z
