Round,Date,Time,Team 1,FT,HT,Team 2
1,Fri Aug 23 2013,20:30,Reggina Calcio,0-0,0-0,AS Bari
1,Sat Aug 24 2013,20:30,AS Avellino,2-1,1-0,Novara Calcio
1,Sat Aug 24 2013,20:30,Brescia Calcio,2-2,1-1,Virtus Lanciano
1,Sat Aug 24 2013,20:30,Empoli FC,3-1,3-0,Latina Calcio
1,Sat Aug 24 2013,20:30,Modena FC,1-1,0-1,US Palermo
1,Sat Aug 24 2013,20:30,Calcio Padova,0-2,0-0,Trapani Calcio
1,Sat Aug 24 2013,20:30,Pescara Calcio,3-0,2-0,SS Juve Stabia
1,Sat Aug 24 2013,20:30,AC Siena,5-2,3-0,FC Crotone
1,Sat Aug 24 2013,20:30,Spezia Calcio,0-0,0-0,AS Cittadella
1,Sat Aug 24 2013,20:30,Ternana Calcio,1-0,1-0,Carpi FC
1,Mon Aug 26 2013,20:30,AC Cesena,1-0,0-0,AS Varese 1910
2,Sat Aug 31 2013,20:30,FC Crotone,1-2,1-0,AC Cesena
2,Sat Aug 31 2013,20:30,AS Bari,0-0,0-0,Brescia Calcio
2,Sat Aug 31 2013,20:30,AS Cittadella,2-2,0-0,Ternana Calcio
2,Sat Aug 31 2013,18:00,Novara Calcio,2-1,0-0,AC Siena
2,Sat Aug 31 2013,20:30,Virtus Lanciano,1-1,1-0,Reggina Calcio
2,Sat Aug 31 2013,20:30,Latina Calcio,1-1,0-1,AS Avellino
2,Sat Aug 31 2013,20:30,US Palermo,1-2,1-1,Empoli FC
2,Sat Aug 31 2013,20:30,AS Varese 1910,1-1,0-0,Modena FC
2,Sat Aug 31 2013,20:30,SS Juve Stabia,1-2,1-1,Spezia Calcio
2,Mon Sep 2 2013,20:30,Trapani Calcio,2-2,1-1,Pescara Calcio
3,Sat Sep 7 2013,20:30,Brescia Calcio,1-1,1-0,Novara Calcio
3,Sat Sep 7 2013,18:00,Spezia Calcio,0-2,0-1,Carpi FC
3,Sun Sep 8 2013,15:00,Empoli FC,1-1,1-0,Trapani Calcio
3,Sun Sep 8 2013,15:00,AC Cesena,0-1,0-0,Virtus Lanciano
3,Sun Sep 8 2013,18:00,AS Avellino,1-0,0-0,Ternana Calcio
3,Sun Sep 8 2013,15:00,Latina Calcio,0-3,0-1,AS Varese 1910
3,Sun Sep 8 2013,15:00,Modena FC,2-0,1-0,AS Cittadella
3,Sun Sep 8 2013,15:00,Pescara Calcio,2-2,1-1,FC Crotone
3,Sun Sep 8 2013,15:00,Reggina Calcio,3-1,0-0,SS Juve Stabia
3,Sun Sep 8 2013,15:00,AC Siena,3-2,3-1,AS Bari
3,Sun Sep 8 2013,20:30,Calcio Padova,0-3,0-2,US Palermo
4,Fri Sep 13 2013,20:30,US Palermo,2-1,0-0,AC Cesena
4,Sat Sep 14 2013,15:00,FC Crotone,1-0,1-0,Spezia Calcio
4,Sat Sep 14 2013,15:00,AS Bari,1-0,0-0,Modena FC
4,Sat Sep 14 2013,15:00,Carpi FC,0-2,0-1,Empoli FC
4,Sat Sep 14 2013,15:00,AS Cittadella,0-0,0-0,Latina Calcio
4,Sat Sep 14 2013,15:00,SS Juve Stabia,2-2,2-1,AC Siena
4,Sat Sep 14 2013,15:00,Virtus Lanciano,1-0,1-0,AS Avellino
4,Sat Sep 14 2013,15:00,Novara Calcio,1-0,0-0,Calcio Padova
4,Sat Sep 14 2013,15:00,Trapani Calcio,4-0,2-0,Reggina Calcio
4,Sat Sep 14 2013,15:00,AS Varese 1910,3-2,1-1,Pescara Calcio
4,Mon Sep 16 2013,20:30,Ternana Calcio,1-2,1-1,Brescia Calcio
5,Fri Sep 20 2013,21:00,Spezia Calcio,1-0,0-0,US Palermo
5,Fri Sep 20 2013,19:00,Latina Calcio,0-0,0-0,Virtus Lanciano
5,Sat Sep 21 2013,15:00,AC Cesena,4-1,1-0,Carpi FC
5,Sat Sep 21 2013,15:00,AS Avellino,1-1,0-1,AS Varese 1910
5,Sat Sep 21 2013,15:00,Brescia Calcio,1-2,0-2,FC Crotone
5,Sat Sep 21 2013,15:00,AC Siena,1-1,0-1,Ternana Calcio
5,Sat Sep 21 2013,15:00,AS Cittadella,0-2,0-1,SS Juve Stabia
5,Sat Sep 21 2013,15:00,Empoli FC,3-1,0-1,Calcio Padova
5,Sat Sep 21 2013,15:00,Modena FC,3-1,2-0,Trapani Calcio
5,Sat Sep 21 2013,15:00,Pescara Calcio,0-1,0-1,AS Bari
5,Sat Sep 21 2013,15:00,Reggina Calcio,1-1,0-1,Novara Calcio
6,Tue Sep 24 2013,20:30,AS Varese 1910,1-0,0-0,Reggina Calcio
6,Tue Sep 24 2013,20:30,AS Bari,2-1,1-0,US Palermo
6,Tue Sep 24 2013,20:30,Carpi FC,0-0,0-0,Brescia Calcio
6,Tue Sep 24 2013,20:30,FC Crotone,3-1,2-0,Modena FC
6,Tue Sep 24 2013,20:30,Trapani Calcio,0-1,0-1,AC Cesena
6,Tue Sep 24 2013,20:30,SS Juve Stabia,0-1,0-1,Virtus Lanciano
6,Tue Sep 24 2013,20:30,Novara Calcio,2-2,2-1,AS Cittadella
6,Tue Sep 24 2013,20:30,Calcio Padova,0-0,0-0,Latina Calcio
6,Tue Sep 24 2013,20:30,Pescara Calcio,1-1,1-0,AS Avellino
6,Tue Sep 24 2013,20:30,Ternana Calcio,1-2,0-1,Spezia Calcio
6,Tue Sep 24 2013,20:30,Empoli FC,0-0,0-0,AC Siena
7,Sat Sep 28 2013,15:00,Reggina Calcio,0-1,0-0,Carpi FC
7,Sat Sep 28 2013,15:00,AS Cittadella,1-0,0-0,FC Crotone
7,Sat Sep 28 2013,15:00,Latina Calcio,2-0,1-0,Brescia Calcio
7,Sat Sep 28 2013,15:00,Modena FC,3-1,2-0,Calcio Padova
7,Sat Sep 28 2013,15:00,US Palermo,3-0,1-0,SS Juve Stabia
7,Sat Sep 28 2013,15:00,Virtus Lanciano,1-0,0-0,AS Bari
7,Sat Sep 28 2013,15:00,AC Siena,2-1,1-1,Trapani Calcio
7,Sat Sep 28 2013,15:00,Spezia Calcio,0-0,0-0,Novara Calcio
7,Sat Sep 28 2013,15:00,AS Varese 1910,2-1,0-1,Ternana Calcio
7,Mon Sep 30 2013,19:00,AS Avellino,1-0,1-0,Empoli FC
7,Mon Sep 30 2013,21:00,AC Cesena,1-1,0-0,Pescara Calcio
8,Fri Oct 4 2013,20:30,Calcio Padova,3-2,1-2,AS Varese 1910
8,Sat Oct 5 2013,15:00,Trapani Calcio,1-1,1-1,Latina Calcio
8,Sat Oct 5 2013,15:00,AS Avellino,1-0,0-0,AS Bari
8,Sat Oct 5 2013,15:00,Brescia Calcio,1-1,1-0,US Palermo
8,Sat Oct 5 2013,15:00,Carpi FC,0-1,0-0,AS Cittadella
8,Sat Oct 5 2013,15:00,AC Cesena,1-1,0-0,AC Siena
8,Sat Oct 5 2013,15:00,Empoli FC,2-1,1-0,Modena FC
8,Sat Oct 5 2013,15:00,Novara Calcio,0-3,0-2,Virtus Lanciano
8,Sat Oct 5 2013,15:00,Pescara Calcio,1-1,1-0,Spezia Calcio
8,Sat Oct 5 2013,15:00,Ternana Calcio,1-1,0-0,SS Juve Stabia
8,Mon Oct 7 2013,20:30,FC Crotone,2-0,1-0,Reggina Calcio
9,Sat Oct 12 2013,20:30,Reggina Calcio,2-1,0-0,Empoli FC
9,Sat Oct 12 2013,18:00,Spezia Calcio,2-2,0-0,Brescia Calcio
9,Sun Oct 13 2013,15:00,AS Bari,1-2,0-1,FC Crotone
9,Sun Oct 13 2013,12:30,AS Cittadella,1-0,1-0,Calcio Padova
9,Sun Oct 13 2013,20:30,US Palermo,1-0,1-0,Pescara Calcio
9,Sun Oct 13 2013,15:00,SS Juve Stabia,0-2,0-1,AC Cesena
9,Sun Oct 13 2013,15:00,Latina Calcio,0-0,0-0,Modena FC
9,Sun Oct 13 2013,15:00,AC Siena,3-0,1-0,AS Avellino
9,Sun Oct 13 2013,15:00,AS Varese 1910,0-0,0-0,Trapani Calcio
9,Sun Oct 13 2013,15:00,Virtus Lanciano,1-1,0-1,Ternana Calcio
9,Mon Oct 14 2013,20:30,Carpi FC,1-0,1-0,Novara Calcio
10,Fri Oct 18 2013,20:30,AC Cesena,2-1,2-0,AS Bari
10,Sat Oct 19 2013,15:00,FC Crotone,1-2,0-0,Virtus Lanciano
10,Sat Oct 19 2013,15:00,Ternana Calcio,5-0,2-0,Novara Calcio
10,Sat Oct 19 2013,15:00,Brescia Calcio,4-1,2-0,AS Cittadella
10,Sat Oct 19 2013,15:00,Trapani Calcio,1-1,1-0,Spezia Calcio
10,Sat Oct 19 2013,15:00,Empoli FC,2-0,1-0,AS Varese 1910
10,Sat Oct 19 2013,15:00,Modena FC,3-0,1-0,Reggina Calcio
10,Sat Oct 19 2013,15:00,Calcio Padova,2-1,1-0,SS Juve Stabia
10,Sat Oct 19 2013,15:00,Pescara Calcio,0-1,0-0,Latina Calcio
10,Sat Oct 19 2013,15:00,AS Avellino,4-1,3-0,Carpi FC
10,Mon Oct 21 2013,20:30,AC Siena,2-3,1-2,US Palermo
11,Fri Oct 25 2013,20:30,Reggina Calcio,2-3,1-0,Pescara Calcio
11,Sat Oct 26 2013,15:00,Virtus Lanciano,1-0,0-0,Calcio Padova
11,Sat Oct 26 2013,15:00,AS Bari,1-1,0-0,Trapani Calcio
11,Sat Oct 26 2013,15:00,Brescia Calcio,2-2,2-0,AC Siena
11,Sat Oct 26 2013,15:00,Carpi FC,1-1,0-1,Latina Calcio
11,Sat Oct 26 2013,15:00,SS Juve Stabia,0-2,0-0,Empoli FC
