Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Sat Aug 3 2013,15:00,BST/+0100,Bury FC,0-2,0-0,Chesterfield FC,2013-08-03T14:00Z
1,Sat Aug 3 2013,15:00,BST/+0100,Cheltenham Town,2-2,2-1,Burton Albion,2013-08-03T14:00Z
1,Sat Aug 3 2013,15:00,BST/+0100,Exeter City,2-1,0-0,Bristol Rovers,2013-08-03T14:00Z
1,Sat Aug 3 2013,15:00,BST/+0100,Fleetwood Town,3-1,2-1,Dagenham & Redbridge,2013-08-03T14:00Z
1,Sat Aug 3 2013,15:00,BST/+0100,Newport County,4-1,2-0,Accrington Stanley,2013-08-03T14:00Z
1,Sat Aug 3 2013,15:00,BST/+0100,Portsmouth FC,1-4,1-2,Oxford United,2013-08-03T14:00Z
1,Sat Aug 3 2013,15:00,BST/+0100,Rochdale AFC,3-0,1-0,Hartlepool United,2013-08-03T14:00Z
1,Sat Aug 3 2013,15:00,BST/+0100,Scunthorpe United,2-0,2-0,Mansfield Town,2013-08-03T14:00Z
1,Sat Aug 3 2013,15:00,BST/+0100,Southend United,1-0,1-0,Plymouth Argyle,2013-08-03T14:00Z
1,Sat Aug 3 2013,15:00,BST/+0100,Torquay United,1-1,0-0,AFC Wimbledon,2013-08-03T14:00Z
1,Sat Aug 3 2013,15:00,BST/+0100,Wycombe Wanderers,1-0,1-0,Morecambe FC,2013-08-03T14:00Z
1,Sat Aug 3 2013,15:00,BST/+0100,York City,1-0,0-0,Northampton Town,2013-08-03T14:00Z
2,Sat Aug 10 2013,12:15,BST/+0100,Accrington Stanley,2-2,0-0,Portsmouth FC,2013-08-10T11:15Z
2,Sat Aug 10 2013,15:00,BST/+0100,AFC Wimbledon,1-0,1-0,Wycombe Wanderers,2013-08-10T14:00Z
2,Sat Aug 10 2013,15:00,BST/+0100,Bristol Rovers,0-0,0-0,Scunthorpe United,2013-08-10T14:00Z
2,Sat Aug 10 2013,15:00,BST/+0100,Burton Albion,1-0,1-0,Rochdale AFC,2013-08-10T14:00Z
2,Sat Aug 10 2013,15:00,BST/+0100,Chesterfield FC,2-0,1-0,Cheltenham Town,2013-08-10T14:00Z
2,Sat Aug 10 2013,15:00,BST/+0100,Dagenham & Redbridge,2-0,1-0,York City,2013-08-10T14:00Z
2,Sat Aug 10 2013,15:00,BST/+0100,Hartlepool United,0-1,0-1,Southend United,2013-08-10T14:00Z
2,Sat Aug 10 2013,15:00,BST/+0100,Mansfield Town,0-0,0-0,Exeter City,2013-08-10T14:00Z
2,Sat Aug 10 2013,15:00,BST/+0100,Morecambe FC,1-1,1-0,Torquay United,2013-08-10T14:00Z
2,Sat Aug 10 2013,15:00,BST/+0100,Northampton Town,3-1,2-0,Newport County,2013-08-10T14:00Z
2,Sat Aug 10 2013,15:00,BST/+0100,Oxford United,2-1,1-0,Bury FC,2013-08-10T14:00Z
2,Sat Aug 10 2013,15:00,BST/+0100,Plymouth Argyle,0-2,0-2,Fleetwood Town,2013-08-10T14:00Z
3,Sat Aug 17 2013,15:00,BST/+0100,Rochdale AFC,2-2,1-1,Chesterfield FC,2013-08-17T14:00Z
3,Sat Aug 17 2013,15:00,BST/+0100,Exeter City,2-0,2-0,AFC Wimbledon,2013-08-17T14:00Z
3,Sat Aug 17 2013,15:00,BST/+0100,Southend United,2-0,1-0,Northampton Town,2013-08-17T14:00Z
3,Sat Aug 17 2013,15:00,BST/+0100,Fleetwood Town,2-3,0-3,Burton Albion,2013-08-17T14:00Z
3,Sat Aug 17 2013,15:00,BST/+0100,Scunthorpe United,1-1,0-0,Dagenham & Redbridge,2013-08-17T14:00Z
3,Sat Aug 17 2013,15:00,BST/+0100,Bury FC,3-0,2-0,Accrington Stanley,2013-08-17T14:00Z
3,Sat Aug 17 2013,15:00,BST/+0100,Newport County,1-0,1-0,Bristol Rovers,2013-08-17T14:00Z
3,Sat Aug 17 2013,15:00,BST/+0100,York City,0-0,0-0,Hartlepool United,2013-08-17T14:00Z
3,Sat Aug 17 2013,15:00,BST/+0100,Wycombe Wanderers,0-1,0-0,Mansfield Town,2013-08-17T14:00Z
3,Sat Aug 17 2013,15:00,BST/+0100,Portsmouth FC,3-0,3-0,Morecambe FC,2013-08-17T14:00Z
3,Sat Aug 17 2013,15:00,BST/+0100,Cheltenham Town,1-3,0-3,Plymouth Argyle,2013-08-17T14:00Z
3,Sat Aug 17 2013,15:00,BST/+0100,Torquay United,1-3,0-0,Oxford United,2013-08-17T14:00Z
4,Sat Aug 24 2013,15:00,BST/+0100,Accrington Stanley,0-1,0-0,Cheltenham Town,2013-08-24T14:00Z
4,Sat Aug 24 2013,15:00,BST/+0100,Bristol Rovers,3-2,2-1,York City,2013-08-24T14:00Z
4,Sat Aug 24 2013,15:00,BST/+0100,Mansfield Town,2-2,1-2,Portsmouth FC,2013-08-24T14:00Z
4,Sat Aug 24 2013,15:00,BST/+0100,Dagenham & Redbridge,1-1,0-1,Newport County,2013-08-24T14:00Z
4,Sat Aug 24 2013,15:00,BST/+0100,Oxford United,2-2,0-1,Wycombe Wanderers,2013-08-24T14:00Z
4,Sat Aug 24 2013,15:00,BST/+0100,Plymouth Argyle,1-0,1-0,Rochdale AFC,2013-08-24T14:00Z
4,Sat Aug 24 2013,15:00,BST/+0100,Northampton Town,1-2,1-0,Torquay United,2013-08-24T14:00Z
4,Sat Aug 24 2013,15:00,BST/+0100,Chesterfield FC,2-1,0-0,Southend United,2013-08-24T14:00Z
4,Sat Aug 24 2013,15:00,BST/+0100,Morecambe FC,2-0,0-0,Exeter City,2013-08-24T14:00Z
4,Sat Aug 24 2013,15:00,BST/+0100,AFC Wimbledon,3-2,0-2,Scunthorpe United,2013-08-24T14:00Z
4,Sat Aug 24 2013,15:00,BST/+0100,Hartlepool United,0-1,0-1,Fleetwood Town,2013-08-24T14:00Z
4,Sat Aug 24 2013,15:00,BST/+0100,Burton Albion,2-2,0-2,Bury FC,2013-08-24T14:00Z
5,Sat Aug 31 2013,15:00,BST/+0100,Morecambe FC,2-1,1-1,Plymouth Argyle,2013-08-31T14:00Z
5,Sat Aug 31 2013,15:00,BST/+0100,Torquay United,0-0,0-0,Hartlepool United,2013-08-31T14:00Z
5,Sat Aug 31 2013,15:00,BST/+0100,Bristol Rovers,1-0,1-0,Northampton Town,2013-08-31T14:00Z
5,Sat Aug 31 2013,15:00,BST/+0100,Exeter City,2-1,1-1,York City,2013-08-31T14:00Z
5,Sat Aug 31 2013,15:00,BST/+0100,Wycombe Wanderers,2-1,2-1,Southend United,2013-08-31T14:00Z
5,Sat Aug 31 2013,15:00,BST/+0100,Portsmouth FC,0-2,0-0,Chesterfield FC,2013-08-31T14:00Z
5,Sat Aug 31 2013,15:00,BST/+0100,Bury FC,4-1,3-1,Cheltenham Town,2013-08-31T14:00Z
5,Sat Aug 31 2013,15:00,BST/+0100,AFC Wimbledon,2-0,2-0,Fleetwood Town,2013-08-31T14:00Z
5,Sat Aug 31 2013,15:00,BST/+0100,Accrington Stanley,0-1,0-0,Burton Albion,2013-08-31T14:00Z
