Round,Date,Time,Team 1,FT,HT,Team 2,ET,P
1. Runde,Fri Jul 14 2017,17:30,ASKÖ Oedt,3-1,1-0,ATSV Stadl-Paura,,
1. Runde,Fri Jul 14 2017,17:30,ASK Ebreichsdorf,0-0,0-0,Austria Wien,0-0,3-4
1. Runde,Fri Jul 14 2017,18:55,Vorwärts Steyr,1-1,1-0,FC Wacker Innsbruck,1-4,
1. Runde,Fri Jul 14 2017,19:00,SC Weiz,2-1,0-1,SV Lafnitz,,
1. Runde,Fri Jul 14 2017,19:00,SC Kalsdorf,0-2,0-1,SC Neusiedl/See 1919,,
1. Runde,Fri Jul 14 2017,19:00,SC/ESV Parndorf,1-1,1-1,First Vienna FC,2-1,
1. Runde,Fri Jul 14 2017,19:00,SV Seekirchen,1-1,0-0,SV Grödig,1-2,
1. Runde,Fri Jul 14 2017,19:00,Union Vöcklamarkt,7-0,3-0,SV Wörgl,,
1. Runde,Fri Jul 14 2017,19:00,TSV St. Johann,0-1,0-0,Kapfenberger SV,,
1. Runde,Fri Jul 14 2017,19:30,SC Bad Sauerbrunn,0-4,0-1,ASK-BSC Bruck/Leitha,,
1. Runde,Fri Jul 14 2017,19:30,SKU Amstetten,1-0,0-0,SC Wiener Neustadt,,
1. Runde,Fri Jul 14 2017,19:30,SV Horn,3-1,1-1,Floridsdorfer AC,,
1. Runde,Sat Jul 15 2017,17:00,FC Pinzgau Saalfelden,1-6,0-4,SV Mattersburg,,
1. Runde,Sat Jul 15 2017,17:00,Deutschlandsberger SC,0-7,0-3,RB Salzburg,,
1. Runde,Sat Jul 15 2017,17:00,FC Lendorf,1-3,1-1,FC Admira Wacker,,
1. Runde,Sat Jul 15 2017,17:00,SV Stripfing/Weiden,0-1,0-0,Austria Lustenau,,
1. Runde,Sat Jul 15 2017,17:00,Wiener Sport-Club,0-4,0-0,SV Ried,,
1. Runde,Sat Jul 15 2017,17:00,FC Kitzbühel,0-1,0-0,LASK,,
1. Runde,Sat Jul 15 2017,17:30,FC Stadlau,1-2,0-1,SV Wimpassing,,
1. Runde,Sat Jul 15 2017,17:30,ATUS Ferlach,1-3,0-3,FC Gleisdorf 09,,
1. Runde,Sat Jul 15 2017,17:30,USK Anif,5-1,1-0,FC Kufstein,,
1. Runde,Sat Jul 15 2017,18:00,VfB Hohenems,3-4,1-0,Union Gurten,,
1. Runde,Sat Jul 15 2017,19:00,FC Marchfeld Mannsdorf,1-2,1-1,Wolfsberger AC,,
1. Runde,Sat Jul 15 2017,19:00,TuS Bad Gleichenberg,5-1,1-1,WSG Wattens,,
1. Runde,Sun Jul 16 2017,10:30,FC Schwarzach,0-3,0-1,Union St. Florian,,
1. Runde,Sun Jul 16 2017,11:00,FC Dornbirn,1-5,1-3,SCR Altach,,
1. Runde,Sun Jul 16 2017,15:30,FC Hard,0-3,0-0,Sturm Graz,,
1. Runde,Sun Jul 16 2017,16:00,AS Koma Elektra,2-1,1-1,FCM Traiskirchen,,
1. Runde,Sun Jul 16 2017,16:00,SC Schwaz,0-2,0-1,Rapid Wien,,
1. Runde,Sun Jul 16 2017,16:00,FC Karabakh Wien,1-5,1-4,FC Blau Weiß Linz,,
1. Runde,Sun Jul 16 2017,18:30,SAK Klagenfurt,0-5,0-2,TSV Hartberg,,
1. Runde,Tue Jul 18 2017,18:30,SK Austria Klagenfurt,2-1,2-0,SKN St. Pölten,,
2. Runde,Mon Sep 18 2017,18:00,SV Wimpassing,2-2,2-1,FC Blau Weiß Linz,3-3,3-2
2. Runde,Tue Sep 19 2017,16:00,ASKÖ Oedt,2-0,0-0,Austria Lustenau,,
2. Runde,Tue Sep 19 2017,19:00,FC Gleisdorf 09,1-2,0-1,Wolfsberger AC,,
2. Runde,Tue Sep 19 2017,19:00,SC Neusiedl/See 1919,0-1,0-0,SV Ried,,
2. Runde,Tue Sep 19 2017,19:00,SV Grödig,3-3,2-2,LASK,4-4,3-5
2. Runde,Tue Sep 19 2017,19:00,Union St. Florian,1-0,0-0,SC Weiz,,
2. Runde,Tue Sep 19 2017,19:30,SKU Amstetten,0-1,0-0,FC Wacker Innsbruck,,
2. Runde,Tue Sep 19 2017,19:30,SV Horn,2-2,1-0,TSV Hartberg,3-3,3-4
2. Runde,Wed Sep 20 2017,18:00,USK Anif,1-2,1-0,Sturm Graz,,
2. Runde,Wed Sep 20 2017,18:30,Union Vöcklamarkt,0-3,0-1,Austria Wien,,
2. Runde,Wed Sep 20 2017,19:00,Union Gurten,2-2,1-1,SCR Altach,3-4,
2. Runde,Wed Sep 20 2017,20:30,AS Koma Elektra,0-4,0-1,Rapid Wien,,
2. Runde,Thu Sep 21 2017,19:00,ASK-BSC Bruck/Leitha,1-1,1-1,RB Salzburg,1-3,
2. Runde,Tue Sep 26 2017,19:00,SK Austria Klagenfurt,3-0,3-0,Kapfenberger SV,,
2. Runde,Tue Sep 26 2017,19:00,SC/ESV Parndorf,1-2,0-0,SV Mattersburg,,
2. Runde,Tue Sep 26 2017,19:00,TuS Bad Gleichenberg,3-1,0-1,FC Admira Wacker,,
Achtelfinale,Tue Oct 24 2017,15:00,ASKÖ Oedt,0-3,0-0,SV Mattersburg,,
Achtelfinale,Tue Oct 24 2017,19:00,Union St. Florian,0-4,0-2,TSV Hartberg,,
Achtelfinale,Tue Oct 24 2017,19:12,SV Ried,4-1,2-0,LASK,,
Achtelfinale,Wed Oct 25 2017,18:00,Sturm Graz,4-1,3-1,SCR Altach,,
Achtelfinale,Wed Oct 25 2017,18:30,SV Wimpassing,1-0,0-0,Wolfsberger AC,,
Achtelfinale,Wed Oct 25 2017,19:00,TuS Bad Gleichenberg,0-3,0-1,RB Salzburg,,
Achtelfinale,Wed Oct 25 2017,20:00,SK Austria Klagenfurt,4-2,1-2,FC Wacker Innsbruck,,
Achtelfinale,Wed Oct 25 2017,20:30,Austria Wien,1-2,0-1,Rapid Wien,,
Viertelfinale,Tue Feb 27 2018,19:30,SV Mattersburg,4-1,2-0,TSV Hartberg,,
Viertelfinale,Wed Feb 28 2018,18:00,Sturm Graz,3-0,1-0,SV Wimpassing,,
Viertelfinale,Wed Feb 28 2018,19:30,RB Salzburg,7-0,4-0,SK Austria Klagenfurt,,
Viertelfinale,Wed Feb 28 2018,20:30,Rapid Wien,2-1,0-1,SV Ried,,
Halbfinale,Wed Apr 18 2018,18:00,SV Mattersburg,0-0,0-0,RB Salzburg,0-0,0-3
Halbfinale,Wed Apr 18 2018,20:30,Sturm Graz,2-2,1-0,Rapid Wien,3-2,
Finale,Wed May 9 2018,20:30,Sturm Graz,0-0,0-0,RB Salzburg,1-0,
