Round,Date,Time,Team 1,FT,HT,Team 2,ET,P
1. Runde,Fri Aug 11 2017,19:00,TuS Koblenz,2-3,1-1,Dynamo Dresden,,
1. Runde,Fri Aug 11 2017,20:45,Rot-Weiss Essen,1-2,1-0,Bor. Mönchengladbach,,
1. Runde,Fri Aug 11 2017,20:45,Karlsruher SC,0-0,0-0,Bayer Leverkusen,0-3,
1. Runde,Fri Aug 11 2017,20:45,Holstein Kiel,2-1,0-0,Eintracht Braunschweig,,
1. Runde,Sat Aug 12 2017,15:30,Germania Halberstadt,1-2,0-2,SC Freiburg,,
1. Runde,Sat Aug 12 2017,15:30,Chemnitzer FC,0-5,0-1,Bayern München,,
1. Runde,Sat Aug 12 2017,15:30,Lüneburger SK Hansa,1-3,1-2,1. FSV Mainz 05,,
1. Runde,Sat Aug 12 2017,15:30,LTS Bremerhaven,0-5,0-2,1. FC Köln,,
1. Runde,Sat Aug 12 2017,15:30,SpVgg Unterhaching,0-4,0-1,1. FC Heidenheim 1846,,
1. Runde,Sat Aug 12 2017,15:30,TuS Erndtebrück,0-3,0-1,Eintracht Frankfurt,,
1. Runde,Sat Aug 12 2017,15:30,1. FC Rielasingen-Arlen,0-4,0-2,Borussia Dortmund,,
1. Runde,Sat Aug 12 2017,15:30,SV Eichede,0-4,0-2,1. FC Kaiserslautern,,
1. Runde,Sat Aug 12 2017,18:30,Rot-Weiß Erfurt,0-1,0-0,1899 Hoffenheim,,
1. Runde,Sat Aug 12 2017,18:30,Jahn Regensburg,3-1,1-1,SV Darmstadt 98,,
1. Runde,Sat Aug 12 2017,18:30,Arminia Bielefeld,1-1,0-0,Fortuna Düsseldorf,1-3,
1. Runde,Sat Aug 12 2017,20:45,Würzburger Kickers,0-3,0-0,Werder Bremen,,
1. Runde,Sun Aug 13 2017,15:30,TSV 1860 München,1-2,0-1,FC Ingolstadt 04,,
1. Runde,Sun Aug 13 2017,15:30,VfL Osnabrück,3-1,1-0,Hamburger SV,,
1. Runde,Sun Aug 13 2017,15:30,Bonner SC,2-6,1-1,Hannover 96,,
1. Runde,Sun Aug 13 2017,15:30,Sportfreunde Dorfmerkingen,0-5,0-1,RB Leipzig,,
1. Runde,Sun Aug 13 2017,15:30,1. FC Schweinfurt 05,2-1,0-1,SV Sandhausen,,
1. Runde,Sun Aug 13 2017,15:30,SV Morlautern,0-5,0-2,SpVgg Greuther Fürth,,
1. Runde,Sun Aug 13 2017,15:30,1. FC Saarbrücken,1-1,1-1,1. FC Union Berlin,1-2,
1. Runde,Sun Aug 13 2017,15:30,FC Nöttingen,2-5,0-2,VfL Bochum,,
1. Runde,Sun Aug 13 2017,15:30,Eintracht Norderstedt,0-1,0-0,VfL Wolfsburg,,
1. Runde,Sun Aug 13 2017,18:30,1. FC Magdeburg,2-0,0-0,FC Augsburg,,
1. Runde,Sun Aug 13 2017,18:30,Energie Cottbus,2-2,2-0,VfB Stuttgart,2-2,3-4
1. Runde,Sun Aug 13 2017,18:30,SV Wehen Wiesbaden,2-0,2-0,Erzgebirge Aue,,
1. Runde,Mon Aug 14 2017,18:30,MSV Duisburg,1-2,0-2,1. FC Nürnberg,,
1. Runde,Mon Aug 14 2017,18:30,SC Paderborn 07,2-1,1-0,FC St. Pauli,,
1. Runde,Mon Aug 14 2017,18:30,BFC Dynamo,0-2,0-0,FC Schalke 04,,
1. Runde,Mon Aug 14 2017,20:45,Hansa Rostock,0-2,0-0,Hertha BSC,,
2. Runde,Tue Oct 24 2017,18:30,SC Paderborn 07,2-0,1-0,VfL Bochum,,
2. Runde,Tue Oct 24 2017,18:30,SV Wehen Wiesbaden,1-3,0-2,FC Schalke 04,,
2. Runde,Tue Oct 24 2017,18:30,Fortuna Düsseldorf,0-1,0-0,Bor. Mönchengladbach,,
2. Runde,Tue Oct 24 2017,18:35,Bayer Leverkusen,4-1,1-0,1. FC Union Berlin,,
2. Runde,Tue Oct 24 2017,20:45,1. FC Schweinfurt 05,0-4,0-1,Eintracht Frankfurt,,
2. Runde,Tue Oct 24 2017,20:45,1. FC Magdeburg,0-5,0-1,Borussia Dortmund,,
2. Runde,Tue Oct 24 2017,20:45,1. FSV Mainz 05,2-2,1-0,Holstein Kiel,3-2,
2. Runde,Tue Oct 24 2017,20:45,SpVgg Greuther Fürth,1-3,0-0,FC Ingolstadt 04,,
2. Runde,Wed Oct 25 2017,18:30,VfL Osnabrück,2-3,1-1,1. FC Nürnberg,,
2. Runde,Wed Oct 25 2017,18:30,Hertha BSC,1-3,0-2,1. FC Köln,,
2. Runde,Wed Oct 25 2017,18:30,VfL Wolfsburg,1-0,0-0,Hannover 96,,
2. Runde,Wed Oct 25 2017,18:30,1. FC Kaiserslautern,1-3,1-1,VfB Stuttgart,,
2. Runde,Wed Oct 25 2017,20:45,Jahn Regensburg,2-5,1-2,1. FC Heidenheim 1846,,
2. Runde,Wed Oct 25 2017,20:45,Werder Bremen,1-0,1-0,1899 Hoffenheim,,
2. Runde,Wed Oct 25 2017,20:45,SC Freiburg,3-1,0-0,Dynamo Dresden,,
2. Runde,Wed Oct 25 2017,20:45,RB Leipzig,1-1,0-0,Bayern München,1-1,4-5
Achtelfinale,Tue Dec 19 2017,18:30,1. FSV Mainz 05,3-1,0-1,VfB Stuttgart,,
Achtelfinale,Tue Dec 19 2017,18:30,SC Paderborn 07,1-0,0-0,FC Ingolstadt 04,,
Achtelfinale,Tue Dec 19 2017,20:45,1. FC Nürnberg,0-0,0-0,VfL Wolfsburg,0-2,
Achtelfinale,Tue Dec 19 2017,20:45,FC Schalke 04,1-0,0-0,1. FC Köln,,
Achtelfinale,Wed Dec 20 2017,18:30,Werder Bremen,3-2,2-1,SC Freiburg,,
Achtelfinale,Wed Dec 20 2017,18:40,Bor. Mönchengladbach,0-1,0-0,Bayer Leverkusen,,
Achtelfinale,Wed Dec 20 2017,20:45,Bayern München,2-1,2-0,Borussia Dortmund,,
Achtelfinale,Wed Dec 20 2017,20:50,1. FC Heidenheim 1846,0-0,0-0,Eintracht Frankfurt,1-2,
Viertelfinale,Tue Feb 6 2018,18:30,SC Paderborn 07,0-6,0-3,Bayern München,,
Viertelfinale,Tue Feb 6 2018,20:45,Bayer Leverkusen,2-2,1-2,Werder Bremen,4-2,
Viertelfinale,Wed Feb 7 2018,18:30,Eintracht Frankfurt,3-0,1-0,1. FSV Mainz 05,,
Viertelfinale,Wed Feb 7 2018,20:45,FC Schalke 04,1-0,1-0,VfL Wolfsburg,,
Halbfinale,Tue Apr 17 2018,20:45,Bayer Leverkusen,2-6,1-2,Bayern München,,
Halbfinale,Wed Apr 18 2018,20:45,FC Schalke 04,0-1,0-0,Eintracht Frankfurt,,
Finale,Sat May 19 2018,20:00,Bayern München,1-3,0-1,Eintracht Frankfurt,,
