Round,Date,Time,Team 1,FT,HT,Team 2
1,Fri Aug 25 2017,20:30,Parma Calcio 1913,1-0,1-0,US Cremonese
1,Sat Aug 26 2017,20:30,US Avellino,2-1,0-1,Brescia Calcio
1,Sat Aug 26 2017,20:30,Carpi FC,1-0,1-0,Novara Calcio
1,Sat Aug 26 2017,20:30,AS Cittadella,3-2,3-1,Ascoli Picchio FC
1,Sat Aug 26 2017,20:30,US Palermo,2-0,1-0,Spezia Calcio
1,Sat Aug 26 2017,20:30,Venezia FC,0-0,0-0,US Salernitana 1919
1,Sat Aug 26 2017,20:30,Ternana Calcio,1-1,1-1,Empoli FC
1,Sat Aug 26 2017,20:30,Virtus Entella,1-5,1-4,AC Perugia Calcio
1,Sat Aug 26 2017,20:30,Pro Vercelli,0-2,0-1,Frosinone Calcio
1,Sun Aug 27 2017,17:30,Pescara Calcio,5-1,1-0,Foggia Calcio
1,Mon Aug 28 2017,20:30,FC Bari 1908,3-0,1-0,AC Cesena
2,Sat Sep 2 2017,18:00,Brescia Calcio,0-0,0-0,US Palermo
2,Sun Sep 3 2017,20:30,Spezia Calcio,0-1,0-1,Carpi FC
2,Sun Sep 3 2017,20:30,Ascoli Picchio FC,1-0,1-0,Pro Vercelli
2,Sun Sep 3 2017,20:30,AC Cesena,0-0,0-0,Venezia FC
2,Sun Sep 3 2017,17:30,Empoli FC,3-2,2-1,FC Bari 1908
2,Sun Sep 3 2017,20:30,Foggia Calcio,1-1,1-1,Virtus Entella
2,Sun Sep 3 2017,20:30,Frosinone Calcio,2-1,2-1,AS Cittadella
2,Sun Sep 3 2017,20:30,Novara Calcio,0-1,0-1,Parma Calcio 1913
2,Sun Sep 3 2017,20:30,AC Perugia Calcio,4-2,2-0,Pescara Calcio
2,Sun Sep 3 2017,20:30,US Cremonese,3-1,2-1,US Avellino
2,Mon Sep 4 2017,20:30,US Salernitana 1919,3-3,1-2,Ternana Calcio
3,Fri Sep 8 2017,20:30,Pescara Calcio,3-3,3-0,Frosinone Calcio
3,Sat Sep 9 2017,15:00,Carpi FC,1-0,1-0,US Salernitana 1919
3,Sat Sep 9 2017,15:00,US Avellino,5-1,3-1,Foggia Calcio
3,Sat Sep 9 2017,15:00,FC Bari 1908,0-2,0-1,Venezia FC
3,Sat Sep 9 2017,15:00,Ascoli Picchio FC,1-2,1-1,Novara Calcio
3,Sat Sep 9 2017,15:00,US Palermo,3-3,2-1,Empoli FC
3,Sat Sep 9 2017,15:00,Pro Vercelli,1-4,0-2,US Cremonese
3,Sat Sep 9 2017,15:00,Spezia Calcio,2-1,1-0,Virtus Entella
3,Sat Sep 9 2017,15:00,Ternana Calcio,1-0,1-0,AC Cesena
3,Sun Sep 10 2017,17:30,Parma Calcio 1913,0-1,0-0,Brescia Calcio
3,Mon Sep 11 2017,20:30,AS Cittadella,1-1,0-1,AC Perugia Calcio
4,Fri Sep 15 2017,19:00,Venezia FC,0-0,0-0,Spezia Calcio
4,Fri Sep 15 2017,21:00,AC Cesena,3-1,2-0,US Avellino
4,Sat Sep 16 2017,15:00,Empoli FC,3-0,1-0,Ascoli Picchio FC
4,Sat Sep 16 2017,15:00,US Cremonese,1-1,1-1,Carpi FC
4,Sat Sep 16 2017,15:00,Brescia Calcio,0-0,0-0,Pro Vercelli
4,Sat Sep 16 2017,15:00,Foggia Calcio,1-1,1-0,US Palermo
4,Sat Sep 16 2017,15:00,Frosinone Calcio,3-2,2-2,FC Bari 1908
4,Sat Sep 16 2017,15:00,Novara Calcio,1-0,0-0,AS Cittadella
4,Sat Sep 16 2017,15:00,AC Perugia Calcio,3-0,1-0,Parma Calcio 1913
4,Sat Sep 16 2017,15:00,Virtus Entella,3-1,1-1,Ternana Calcio
4,Sat Sep 16 2017,15:00,US Salernitana 1919,2-2,0-1,Pescara Calcio
5,Mon Sep 18 2017,20:30,US Avellino,1-1,0-0,Venezia FC
5,Tue Sep 19 2017,20:30,AS Cittadella,4-0,3-0,AC Cesena
5,Tue Sep 19 2017,20:30,FC Bari 1908,1-0,0-0,US Cremonese
5,Tue Sep 19 2017,20:30,Spezia Calcio,1-0,1-0,Novara Calcio
5,Tue Sep 19 2017,20:30,Ascoli Picchio FC,0-1,0-0,Frosinone Calcio
5,Tue Sep 19 2017,20:30,US Palermo,1-0,0-0,AC Perugia Calcio
5,Tue Sep 19 2017,20:30,Parma Calcio 1913,1-2,0-1,Empoli FC
5,Tue Sep 19 2017,20:30,Pescara Calcio,2-2,1-0,Virtus Entella
5,Tue Sep 19 2017,20:30,Pro Vercelli,1-1,1-0,US Salernitana 1919
5,Tue Sep 19 2017,20:30,Carpi FC,1-3,1-0,Foggia Calcio
6,Sat Sep 23 2017,15:00,Venezia FC,0-1,0-0,Parma Calcio 1913
6,Sat Sep 23 2017,15:00,FC Bari 1908,3-0,2-0,Ternana Calcio
6,Sat Sep 23 2017,15:00,Brescia Calcio,2-2,1-0,Foggia Calcio
6,Sat Sep 23 2017,15:00,US Cremonese,0-0,0-0,Pescara Calcio
6,Sat Sep 23 2017,15:00,Empoli FC,0-1,0-1,AS Cittadella
6,Sat Sep 23 2017,15:00,Novara Calcio,1-2,0-2,US Avellino
6,Sat Sep 23 2017,15:00,Virtus Entella,0-0,0-0,Carpi FC
