Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 22 Jul 2017 (29),Monarcas (1),0-0,?,Monterrey (1)
?,(Sat) 22 Jul 2017 (29),Club Tijuana (1),0-2,?,Cruz Azul (1)
?,(Sat) 22 Jul 2017 (29),Club America (1),0-1,?,Queretaro (1)
?,(Sat) 22 Jul 2017 (29),Lobos BUAP (1),2-2,?,Santos Laguna (1)
?,(Sun) 23 Jul 2017 (29),U.A.N.L.- Tigres (1),5-0,?,Puebla (1)
?,(Sun) 23 Jul 2017 (29),Club Leon (1),0-3,?,Atlas (1)
?,(Sun) 23 Jul 2017 (29),Guadalajara Chivas (1),0-0,?,Toluca (1)
?,(Sun) 23 Jul 2017 (29),U.N.A.M.- Pumas (1),1-0,?,Pachuca (1)
?,(Mon) 24 Jul 2017 (30),Veracruz (1),0-2,?,Necaxa (1)
?,(Sat) 29 Jul 2017 (30),Puebla (2),1-1,?,Monarcas (2)
?,(Sat) 29 Jul 2017 (30),Atlas (2),2-1,?,U.N.A.M.- Pumas (2)
?,(Sat) 29 Jul 2017 (30),Cruz Azul (2),1-1,?,Guadalajara Chivas (2)
?,(Sat) 29 Jul 2017 (30),Queretaro (2),0-4,?,Lobos BUAP (2)
?,(Sun) 30 Jul 2017 (30),Monterrey (2),1-0,?,Veracruz (2)
?,(Sun) 30 Jul 2017 (30),Pachuca (2),0-2,?,Club America (2)
?,(Sun) 30 Jul 2017 (30),Necaxa (2),1-0,?,Club Tijuana (2)
?,(Sun) 30 Jul 2017 (30),Toluca (2),3-1,?,Club Leon (2)
?,(Mon) 31 Jul 2017 (31),Santos Laguna (2),1-1,?,U.A.N.L.- Tigres (2)
?,(Sat) 5 Aug 2017 (31),Monarcas (3),1-1,?,Santos Laguna (3)
?,(Sat) 5 Aug 2017 (31),Club Tijuana (3),0-3,?,Monterrey (3)
?,(Sat) 5 Aug 2017 (31),Lobos BUAP (3),3-2,?,Pachuca (3)
?,(Sun) 6 Aug 2017 (31),U.A.N.L.- Tigres (3),1-1,?,Queretaro (3)
?,(Sun) 6 Aug 2017 (31),Club Leon (3),2-2,?,Cruz Azul (3)
?,(Sun) 6 Aug 2017 (31),Club America (3),2-1,?,U.N.A.M.- Pumas (3)
?,(Sun) 6 Aug 2017 (31),Guadalajara Chivas (3),2-2,?,Necaxa (3)
?,(Sun) 6 Aug 2017 (31),Toluca (3),3-2,?,Atlas (3)
?,(Mon) 7 Aug 2017 (32),Veracruz (3),2-0,?,Puebla (3)
?,(Sat) 12 Aug 2017 (32),Puebla (4),1-1,?,Club Tijuana (4)
?,(Sat) 12 Aug 2017 (32),Atlas (4),0-1,?,Club America (4)
?,(Sat) 12 Aug 2017 (32),Cruz Azul (4),0-0,?,Toluca (4)
?,(Sat) 12 Aug 2017 (32),Queretaro (4),2-1,?,Monarcas (4)
?,(Sun) 13 Aug 2017 (32),Monterrey (4),4-1,?,Guadalajara Chivas (4)
?,(Sun) 13 Aug 2017 (32),Pachuca (4),2-1,?,U.A.N.L.- Tigres (4)
?,(Sun) 13 Aug 2017 (32),Necaxa (4),0-3,?,Club Leon (4)
?,(Sun) 13 Aug 2017 (32),U.N.A.M.- Pumas (4),2-0,?,Lobos BUAP (4)
?,(Mon) 14 Aug 2017 (33),Santos Laguna (4),2-3,?,Veracruz (4)
?,(Sat) 19 Aug 2017 (33),Monarcas (5),1-2,?,Pachuca (5)
?,(Sat) 19 Aug 2017 (33),Club Tijuana (5),2-0,?,Santos Laguna (5)
