Round,Date,Time,Team 1,FT,HT,Team 2
1,Sat Jul 22 2017,16:00,Rapid Wien,2-2,1-0,SV Mattersburg
1,Sat Jul 22 2017,18:30,Wolfsberger AC,0-2,0-1,RB Salzburg
1,Sat Jul 22 2017,18:30,LASK,3-0,2-0,FC Admira Wacker
1,Sun Jul 23 2017,16:30,SCR Altach,3-0,2-0,Austria Wien
1,Sun Jul 23 2017,19:00,Sturm Graz,3-2,1-2,SKN St. Pölten
2,Sat Jul 29 2017,16:00,RB Salzburg,1-1,1-0,LASK
2,Sat Jul 29 2017,18:30,SKN St. Pölten,1-4,0-2,Rapid Wien
2,Sat Jul 29 2017,18:30,SV Mattersburg,1-0,1-0,Wolfsberger AC
2,Sun Jul 30 2017,16:00,Austria Wien,2-3,0-1,Sturm Graz
2,Sun Jul 30 2017,18:30,FC Admira Wacker,4-1,3-0,SCR Altach
3,Sat Aug 5 2017,16:00,LASK,2-0,1-0,SKN St. Pölten
3,Sat Aug 5 2017,18:30,RB Salzburg,5-1,2-0,FC Admira Wacker
3,Sun Aug 6 2017,16:30,Wolfsberger AC,1-0,0-0,SCR Altach
3,Sun Aug 6 2017,16:30,Rapid Wien,2-2,1-0,Austria Wien
3,Sun Aug 6 2017,19:00,SV Mattersburg,2-3,1-1,Sturm Graz
4,Sat Aug 12 2017,16:00,SCR Altach,0-1,0-0,RB Salzburg
4,Sat Aug 12 2017,18:30,Austria Wien,2-0,0-0,LASK
4,Sat Aug 12 2017,18:30,Sturm Graz,2-1,1-0,Wolfsberger AC
4,Sat Aug 12 2017,18:30,SKN St. Pölten,0-0,0-0,SV Mattersburg
4,Sun Aug 13 2017,16:30,FC Admira Wacker,3-1,1-0,Rapid Wien
5,Sat Aug 19 2017,16:00,Rapid Wien,1-2,0-1,Sturm Graz
5,Sat Aug 19 2017,18:30,Wolfsberger AC,2-0,0-0,FC Admira Wacker
5,Sun Aug 20 2017,16:30,RB Salzburg,5-1,1-0,SKN St. Pölten
5,Sun Aug 20 2017,16:30,LASK,0-0,0-0,SCR Altach
5,Sun Aug 20 2017,19:00,SV Mattersburg,1-3,0-1,Austria Wien
6,Sat Aug 26 2017,16:00,Wolfsberger AC,2-1,0-1,SKN St. Pölten
6,Sat Aug 26 2017,18:30,Rapid Wien,1-0,1-0,LASK
6,Sun Aug 27 2017,16:30,Sturm Graz,1-0,0-0,RB Salzburg
6,Sun Aug 27 2017,16:30,SCR Altach,1-0,1-0,SV Mattersburg
6,Sun Aug 27 2017,19:00,FC Admira Wacker,1-3,0-1,Austria Wien
7,Sat Sep 9 2017,16:00,LASK,2-1,2-1,Sturm Graz
7,Sat Sep 9 2017,18:30,Austria Wien,2-2,1-1,Wolfsberger AC
7,Sat Sep 9 2017,18:30,SV Mattersburg,0-5,0-3,FC Admira Wacker
7,Sat Sep 9 2017,18:30,SKN St. Pölten,1-2,0-2,SCR Altach
7,Sun Sep 10 2017,16:30,RB Salzburg,2-2,0-0,Rapid Wien
8,Sat Sep 16 2017,16:00,SCR Altach,2-2,0-0,Rapid Wien
8,Sat Sep 16 2017,18:30,FC Admira Wacker,2-1,0-1,Sturm Graz
8,Sat Sep 16 2017,18:30,Wolfsberger AC,0-0,0-0,LASK
8,Sun Sep 17 2017,16:30,SV Mattersburg,1-2,1-1,RB Salzburg
8,Sun Sep 17 2017,19:00,Austria Wien,5-1,2-1,SKN St. Pölten
9,Sat Sep 23 2017,16:00,Rapid Wien,4-2,2-1,Wolfsberger AC
9,Sat Sep 23 2017,18:30,Sturm Graz,0-0,0-0,SCR Altach
9,Sat Sep 23 2017,18:30,SKN St. Pölten,1-1,0-0,FC Admira Wacker
9,Sat Sep 23 2017,18:30,LASK,2-2,2-2,SV Mattersburg
9,Sun Sep 24 2017,16:30,RB Salzburg,0-0,0-0,Austria Wien
10,Sat Sep 30 2017,16:00,SKN St. Pölten,0-3,0-2,Sturm Graz
10,Sat Sep 30 2017,18:30,SV Mattersburg,0-1,0-1,Rapid Wien
10,Sat Sep 30 2017,18:30,FC Admira Wacker,4-2,2-2,LASK
10,Sun Oct 1 2017,16:30,Austria Wien,2-0,0-0,SCR Altach
10,Sun Oct 1 2017,19:00,RB Salzburg,2-1,2-0,Wolfsberger AC
11,Sat Oct 14 2017,16:00,LASK,1-3,1-1,RB Salzburg
11,Sat Oct 14 2017,18:30,Rapid Wien,1-0,1-0,SKN St. Pölten
11,Sat Oct 14 2017,18:30,SCR Altach,2-2,0-1,FC Admira Wacker
11,Sat Oct 14 2017,18:30,Wolfsberger AC,2-2,1-0,SV Mattersburg
11,Sun Oct 15 2017,16:30,Sturm Graz,3-0,2-0,Austria Wien
12,Sat Oct 21 2017,16:00,Sturm Graz,3-2,1-1,SV Mattersburg
12,Sat Oct 21 2017,18:30,SKN St. Pölten,0-1,0-0,LASK
12,Sat Oct 21 2017,18:30,SCR Altach,3-2,1-0,Wolfsberger AC
12,Sun Oct 22 2017,14:00,FC Admira Wacker,1-1,1-1,RB Salzburg
12,Sun Oct 22 2017,16:30,Austria Wien,0-1,0-0,Rapid Wien
13,Sat Oct 28 2017,16:00,Rapid Wien,1-0,1-0,FC Admira Wacker
13,Sat Oct 28 2017,18:30,LASK,2-2,0-2,Austria Wien
13,Sat Oct 28 2017,18:30,RB Salzburg,2-0,1-0,SCR Altach
13,Sat Oct 28 2017,18:30,SV Mattersburg,1-1,0-1,SKN St. Pölten
13,Sun Oct 29 2017,16:30,Wolfsberger AC,0-2,0-0,Sturm Graz
14,Sat Nov 4 2017,16:00,Sturm Graz,0-0,0-0,Rapid Wien
14,Sat Nov 4 2017,18:30,FC Admira Wacker,0-0,0-0,Wolfsberger AC
14,Sat Nov 4 2017,18:30,SCR Altach,2-4,1-1,LASK
14,Sun Nov 5 2017,14:00,Austria Wien,1-3,1-0,SV Mattersburg
14,Sun Nov 5 2017,16:30,SKN St. Pölten,1-3,1-1,RB Salzburg
15,Sat Nov 18 2017,16:00,LASK,1-2,0-2,Rapid Wien
15,Sat Nov 18 2017,18:30,SV Mattersburg,1-0,0-0,SCR Altach
15,Sat Nov 18 2017,18:30,Austria Wien,2-3,0-1,FC Admira Wacker
15,Sat Nov 18 2017,18:30,SKN St. Pölten,0-0,0-0,Wolfsberger AC
15,Sun Nov 19 2017,16:30,RB Salzburg,5-0,3-0,Sturm Graz
16,Sat Nov 25 2017,16:00,Sturm Graz,1-0,0-0,LASK
16,Sat Nov 25 2017,18:30,FC Admira Wacker,2-0,0-0,SV Mattersburg
16,Sat Nov 25 2017,18:30,SCR Altach,3-0,1-0,SKN St. Pölten
16,Sun Nov 26 2017,14:00,Wolfsberger AC,1-2,0-0,Austria Wien
16,Sun Nov 26 2017,16:30,Rapid Wien,2-3,1-1,RB Salzburg
17,Tue Nov 28 2017,19:00,Sturm Graz,6-1,4-1,FC Admira Wacker
17,Wed Nov 29 2017,18:30,SKN St. Pölten,1-0,0-0,Austria Wien
17,Wed Nov 29 2017,18:30,RB Salzburg,2-0,0-0,SV Mattersburg
17,Wed Nov 29 2017,18:30,LASK,2-0,0-0,Wolfsberger AC
17,Wed Nov 29 2017,20:30,Rapid Wien,1-2,0-0,SCR Altach
18,Sat Dec 2 2017,16:00,Wolfsberger AC,0-0,0-0,Rapid Wien
18,Sat Dec 2 2017,18:30,SCR Altach,1-2,1-0,Sturm Graz
18,Sat Dec 2 2017,18:30,FC Admira Wacker,1-0,0-0,SKN St. Pölten
18,Sat Dec 2 2017,18:30,SV Mattersburg,1-0,1-0,LASK
18,Sun Dec 3 2017,16:30,Austria Wien,1-1,0-0,RB Salzburg
19,Sat Dec 9 2017,16:00,Rapid Wien,2-2,0-0,SV Mattersburg
19,Sat Dec 9 2017,18:30,Sturm Graz,3-2,3-2,SKN St. Pölten
19,Sat Dec 9 2017,18:30,LASK,2-1,1-1,FC Admira Wacker
19,Sun Dec 10 2017,14:00,SCR Altach,1-0,1-0,Austria Wien
19,Sun Dec 10 2017,16:30,Wolfsberger AC,0-0,0-0,RB Salzburg
20,Sat Dec 16 2017,16:00,RB Salzburg,0-0,0-0,LASK
20,Sat Dec 16 2017,18:30,FC Admira Wacker,3-1,0-0,SCR Altach
20,Sat Dec 16 2017,18:30,SV Mattersburg,5-1,1-0,Wolfsberger AC
20,Sat Dec 16 2017,18:30,SKN St. Pölten,0-5,0-2,Rapid Wien
20,Sun Dec 17 2017,16:30,Austria Wien,1-0,0-0,Sturm Graz
21,Sat Feb 3 2018,16:00,SV Mattersburg,1-0,1-0,Sturm Graz
21,Sat Feb 3 2018,18:30,RB Salzburg,2-1,1-1,FC Admira Wacker
