Round,Date,Time,Team 1,FT,HT,Team 2
1,Fri Jul 28 2017,20:00,Paris FC,0-0,0-0,Clermont Foot
1,Fri Jul 28 2017,20:00,Stade Brest,2-3,1-0,LB Châteauroux
1,Fri Jul 28 2017,20:00,Nîmes Olympique,0-1,0-0,Stade Reims
1,Fri Jul 28 2017,20:00,Chamois Niortais,0-0,0-0,AC Ajaccio
1,Fri Jul 28 2017,20:00,Valenciennes FC,1-1,0-1,GFC Ajaccio
1,Fri Jul 28 2017,20:00,FC Sochaux,2-0,1-0,FC Bourg-Péronnas
1,Fri Jul 28 2017,20:00,Tours FC,0-3,0-1,Le Havre AC
1,Fri Jul 28 2017,20:00,US Orléans,3-1,1-1,AS Nancy
1,Sat Jul 29 2017,15:00,FC Lorient,1-1,0-1,US Quevilly-Rouen
1,Mon Jul 31 2017,20:45,AJ Auxerre,1-0,0-0,RC Lens
2,Fri Aug 4 2017,20:00,AC Ajaccio,2-1,1-0,Stade Brest
2,Fri Aug 4 2017,20:00,FC Bourg-Péronnas,1-2,0-2,Paris FC
2,Fri Aug 4 2017,20:00,LB Châteauroux,0-1,0-0,Valenciennes FC
2,Fri Aug 4 2017,20:00,US Quevilly-Rouen,1-1,0-0,FC Sochaux
2,Fri Aug 4 2017,20:00,GFC Ajaccio,0-0,0-0,FC Lorient
2,Fri Aug 4 2017,20:00,Le Havre AC,4-1,0-1,AJ Auxerre
2,Fri Aug 4 2017,20:00,RC Lens,1-2,1-0,Nîmes Olympique
2,Fri Aug 4 2017,20:00,AS Nancy,0-0,0-0,Chamois Niortais
2,Fri Aug 4 2017,20:00,Clermont Foot,2-0,0-0,Tours FC
2,Sat Aug 5 2017,15:00,Stade Reims,2-0,1-0,US Orléans
3,Fri Aug 11 2017,20:00,Chamois Niortais,2-0,0-0,AJ Auxerre
3,Fri Aug 11 2017,20:00,Stade Brest,0-0,0-0,GFC Ajaccio
3,Fri Aug 11 2017,20:00,Paris FC,0-3,0-1,Le Havre AC
3,Fri Aug 11 2017,20:00,US Orléans,0-0,0-0,AC Ajaccio
3,Fri Aug 11 2017,20:00,Valenciennes FC,0-0,0-0,Clermont Foot
3,Fri Aug 11 2017,20:00,Tours FC,0-1,0-0,Stade Reims
3,Fri Aug 11 2017,20:00,US Quevilly-Rouen,1-4,0-1,FC Bourg-Péronnas
3,Sat Aug 12 2017,15:00,FC Sochaux,3-2,1-0,RC Lens
3,Mon Aug 14 2017,18:45,FC Lorient,3-0,0-0,LB Châteauroux
3,Mon Aug 14 2017,20:45,Nîmes Olympique,0-0,0-0,AS Nancy
4,Fri Aug 18 2017,20:00,Clermont Foot,0-2,0-0,FC Lorient
4,Fri Aug 18 2017,20:00,AJ Auxerre,1-3,1-2,US Orléans
4,Fri Aug 18 2017,20:00,AC Ajaccio,2-0,0-0,Paris FC
4,Fri Aug 18 2017,20:00,GFC Ajaccio,1-0,0-0,US Quevilly-Rouen
4,Fri Aug 18 2017,20:00,Le Havre AC,1-0,0-0,Valenciennes FC
4,Fri Aug 18 2017,20:00,AS Nancy,2-2,2-1,FC Sochaux
4,Fri Aug 18 2017,20:00,Chamois Niortais,2-1,1-0,Tours FC
4,Fri Aug 18 2017,20:00,Stade Reims,3-0,0-0,FC Bourg-Péronnas
4,Sat Aug 19 2017,15:00,RC Lens,2-4,1-1,Stade Brest
4,Mon Aug 21 2017,20:45,LB Châteauroux,1-0,0-0,Nîmes Olympique
5,Fri Aug 25 2017,20:00,Paris FC,2-1,1-0,AJ Auxerre
5,Fri Aug 25 2017,20:00,FC Bourg-Péronnas,2-0,0-0,GFC Ajaccio
