Round,Date,Time,Team 1,FT,HT,Team 2
1,Fri Jul 21 2017,18:30,Floridsdorfer AC,1-5,1-1,Austria Lustenau
1,Fri Jul 21 2017,18:30,WSG Wattens,0-1,0-1,TSV Hartberg
1,Fri Jul 21 2017,18:30,Kapfenberger SV,1-2,1-1,FC Liefering
1,Fri Jul 21 2017,18:30,FC Blau Weiß Linz,1-1,0-1,FC Wacker Innsbruck
1,Fri Jul 21 2017,20:30,SV Ried,0-1,0-1,SC Wiener Neustadt
2,Fri Jul 28 2017,18:30,FC Liefering,0-1,0-0,WSG Wattens
2,Fri Jul 28 2017,20:30,Austria Lustenau,0-2,0-1,SV Ried
2,Fri Jul 28 2017,18:30,FC Wacker Innsbruck,0-0,0-0,Kapfenberger SV
2,Fri Jul 28 2017,18:30,SC Wiener Neustadt,4-0,3-0,FC Blau Weiß Linz
2,Fri Jul 28 2017,18:30,TSV Hartberg,3-1,1-0,Floridsdorfer AC
3,Fri Aug 4 2017,18:30,SV Ried,3-2,1-2,Floridsdorfer AC
3,Fri Aug 4 2017,18:30,FC Blau Weiß Linz,2-3,1-0,FC Liefering
3,Fri Aug 4 2017,18:30,WSG Wattens,3-1,1-0,Kapfenberger SV
3,Fri Aug 4 2017,18:30,Austria Lustenau,2-3,1-2,SC Wiener Neustadt
4,Mon Aug 7 2017,18:30,FC Liefering,4-0,1-0,SV Ried
4,Tue Aug 8 2017,18:30,FC Wacker Innsbruck,3-2,1-2,Austria Lustenau
4,Tue Aug 8 2017,18:30,SC Wiener Neustadt,1-0,0-0,TSV Hartberg
4,Tue Aug 8 2017,18:30,Kapfenberger SV,0-1,0-1,FC Blau Weiß Linz
4,Tue Aug 8 2017,18:30,Floridsdorfer AC,1-0,0-0,WSG Wattens
5,Fri Aug 11 2017,18:30,Floridsdorfer AC,0-3,0-1,SC Wiener Neustadt
5,Fri Aug 11 2017,18:30,Austria Lustenau,1-2,1-1,Kapfenberger SV
5,Fri Aug 11 2017,18:30,TSV Hartberg,2-2,0-1,FC Liefering
5,Fri Aug 11 2017,18:30,FC Blau Weiß Linz,1-1,0-1,SV Ried
5,Fri Aug 11 2017,20:30,WSG Wattens,1-3,1-2,FC Wacker Innsbruck
6,Mon Aug 14 2017,18:30,SV Ried,4-1,2-0,FC Wacker Innsbruck
6,Tue Aug 15 2017,18:30,FC Liefering,3-1,3-1,Floridsdorfer AC
6,Tue Aug 15 2017,18:30,FC Blau Weiß Linz,1-1,0-0,TSV Hartberg
6,Tue Aug 15 2017,18:30,WSG Wattens,1-2,0-1,Austria Lustenau
6,Tue Aug 15 2017,18:30,Kapfenberger SV,0-0,0-0,SC Wiener Neustadt
7,Fri Aug 18 2017,18:30,SC Wiener Neustadt,2-1,1-0,WSG Wattens
7,Fri Aug 18 2017,18:30,Austria Lustenau,1-1,0-0,FC Blau Weiß Linz
7,Fri Aug 18 2017,20:30,FC Wacker Innsbruck,1-0,1-0,FC Liefering
7,Fri Aug 18 2017,18:30,Floridsdorfer AC,0-3,0-2,Kapfenberger SV
7,Fri Aug 18 2017,18:30,TSV Hartberg,2-2,0-1,SV Ried
3,Mon Aug 21 2017,18:30,TSV Hartberg,3-1,1-1,FC Wacker Innsbruck
8,Fri Aug 25 2017,18:30,SV Ried,4-0,0-0,WSG Wattens
8,Fri Aug 25 2017,20:30,TSV Hartberg,4-0,3-0,Kapfenberger SV
8,Fri Aug 25 2017,18:30,FC Wacker Innsbruck,3-0,1-0,SC Wiener Neustadt
8,Fri Aug 25 2017,18:30,FC Blau Weiß Linz,4-0,2-0,Floridsdorfer AC
8,Fri Aug 25 2017,18:30,FC Liefering,0-0,0-0,Austria Lustenau
9,Fri Sep 8 2017,18:30,Austria Lustenau,1-2,0-1,TSV Hartberg
9,Fri Sep 8 2017,18:30,WSG Wattens,2-2,0-2,FC Blau Weiß Linz
9,Fri Sep 8 2017,18:30,SC Wiener Neustadt,2-0,2-0,FC Liefering
9,Fri Sep 8 2017,18:30,Floridsdorfer AC,1-1,0-1,FC Wacker Innsbruck
9,Fri Sep 8 2017,20:30,Kapfenberger SV,2-1,1-1,SV Ried
10,Mon Sep 11 2017,18:30,SC Wiener Neustadt,0-3,0-1,SV Ried
10,Tue Sep 12 2017,18:30,FC Wacker Innsbruck,3-0,2-0,FC Blau Weiß Linz
10,Tue Sep 12 2017,18:30,Austria Lustenau,5-0,4-0,Floridsdorfer AC
10,Tue Sep 12 2017,18:30,FC Liefering,2-1,1-0,Kapfenberger SV
10,Tue Sep 12 2017,18:30,TSV Hartberg,2-1,0-0,WSG Wattens
11,Fri Sep 15 2017,18:30,WSG Wattens,3-2,1-2,FC Liefering
11,Fri Sep 15 2017,18:30,Floridsdorfer AC,2-0,0-0,TSV Hartberg
11,Fri Sep 15 2017,18:30,Kapfenberger SV,2-1,1-0,FC Wacker Innsbruck
11,Fri Sep 15 2017,18:30,SV Ried,3-1,1-1,Austria Lustenau
11,Fri Sep 15 2017,20:30,FC Blau Weiß Linz,1-1,1-1,SC Wiener Neustadt
12,Fri Sep 22 2017,18:30,SC Wiener Neustadt,1-1,0-0,Austria Lustenau
12,Fri Sep 22 2017,18:30,Kapfenberger SV,1-1,0-1,WSG Wattens
12,Fri Sep 22 2017,20:30,Floridsdorfer AC,1-4,0-1,SV Ried
12,Fri Sep 22 2017,18:30,FC Wacker Innsbruck,0-0,0-0,TSV Hartberg
12,Fri Sep 22 2017,18:30,FC Liefering,3-0,2-0,FC Blau Weiß Linz
13,Fri Sep 29 2017,18:30,SV Ried,6-1,3-0,FC Liefering
13,Fri Sep 29 2017,18:30,FC Blau Weiß Linz,0-2,0-0,Kapfenberger SV
13,Fri Sep 29 2017,20:30,Austria Lustenau,0-4,0-2,FC Wacker Innsbruck
13,Fri Sep 29 2017,18:30,WSG Wattens,5-1,3-1,Floridsdorfer AC
13,Fri Sep 29 2017,18:30,TSV Hartberg,0-1,0-0,SC Wiener Neustadt
14,Fri Oct 13 2017,18:30,Kapfenberger SV,0-1,0-1,Austria Lustenau
14,Fri Oct 13 2017,18:30,FC Liefering,3-1,1-0,TSV Hartberg
14,Fri Oct 13 2017,18:30,SV Ried,2-1,1-1,FC Blau Weiß Linz
14,Fri Oct 13 2017,18:30,SC Wiener Neustadt,1-2,1-0,Floridsdorfer AC
14,Fri Oct 13 2017,20:30,FC Wacker Innsbruck,1-0,1-0,WSG Wattens
15,Fri Oct 20 2017,18:30,Floridsdorfer AC,2-2,0-0,FC Liefering
15,Fri Oct 20 2017,18:30,Austria Lustenau,2-0,0-0,WSG Wattens
15,Fri Oct 20 2017,20:30,FC Wacker Innsbruck,1-1,0-0,SV Ried
15,Fri Oct 20 2017,18:30,TSV Hartberg,2-0,2-0,FC Blau Weiß Linz
15,Fri Oct 20 2017,18:30,SC Wiener Neustadt,4-2,3-1,Kapfenberger SV
16,Mon Oct 30 2017,18:30,FC Liefering,1-0,1-0,FC Wacker Innsbruck
16,Tue Oct 31 2017,18:30,FC Blau Weiß Linz,1-2,0-1,Austria Lustenau
16,Tue Oct 31 2017,18:30,WSG Wattens,0-1,0-0,SC Wiener Neustadt
16,Tue Oct 31 2017,18:30,Kapfenberger SV,4-1,2-0,Floridsdorfer AC
16,Tue Oct 31 2017,18:30,SV Ried,2-3,1-2,TSV Hartberg
17,Fri Nov 3 2017,18:30,Austria Lustenau,2-4,1-1,FC Liefering
17,Fri Nov 3 2017,18:30,SC Wiener Neustadt,0-1,0-0,FC Wacker Innsbruck
17,Fri Nov 3 2017,18:30,Floridsdorfer AC,0-0,0-0,FC Blau Weiß Linz
17,Fri Nov 3 2017,18:30,Kapfenberger SV,0-2,0-1,TSV Hartberg
17,Fri Nov 3 2017,20:30,WSG Wattens,1-2,0-2,SV Ried
18,Fri Nov 17 2017,18:30,TSV Hartberg,0-0,0-0,Austria Lustenau
18,Fri Nov 17 2017,18:30,FC Blau Weiß Linz,0-2,0-0,WSG Wattens
18,Fri Nov 17 2017,18:30,SV Ried,2-0,1-0,Kapfenberger SV
18,Fri Nov 17 2017,18:30,FC Wacker Innsbruck,3-0,1-0,Floridsdorfer AC
18,Fri Nov 17 2017,20:30,FC Liefering,0-0,0-0,SC Wiener Neustadt
19,Fri Nov 24 2017,20:30,FC Blau Weiß Linz,1-2,0-2,FC Wacker Innsbruck
19,Fri Nov 24 2017,18:30,WSG Wattens,1-4,1-0,TSV Hartberg
19,Fri Nov 24 2017,18:30,Kapfenberger SV,0-5,0-1,FC Liefering
19,Fri Nov 24 2017,18:30,Floridsdorfer AC,2-1,1-0,Austria Lustenau
19,Fri Nov 24 2017,18:30,SV Ried,2-2,2-1,SC Wiener Neustadt
20,Fri Dec 1 2017,18:30,FC Liefering,2-2,1-0,WSG Wattens
20,Fri Dec 1 2017,18:30,FC Wacker Innsbruck,1-1,1-1,Kapfenberger SV
20,Fri Dec 1 2017,18:30,SC Wiener Neustadt,6-3,3-2,FC Blau Weiß Linz
20,Fri Dec 1 2017,18:30,TSV Hartberg,1-2,1-1,Floridsdorfer AC
20,Fri Dec 1 2017,20:30,Austria Lustenau,0-0,0-0,SV Ried
21,Fri Feb 23 2018,20:30,TSV Hartberg,0-2,0-1,FC Wacker Innsbruck
21,Fri Feb 23 2018,18:30,Austria Lustenau,2-1,0-1,SC Wiener Neustadt
21,Fri Feb 23 2018,18:30,FC Blau Weiß Linz,2-1,0-0,FC Liefering
21,Fri Feb 23 2018,18:30,SV Ried,1-1,0-0,Floridsdorfer AC
22,Fri Mar 2 2018,18:30,FC Wacker Innsbruck,2-1,0-1,Austria Lustenau
22,Sat Mar 3 2018,14:00,FC Liefering,1-1,1-1,SV Ried
23,Fri Mar 9 2018,18:30,WSG Wattens,1-2,1-0,FC Wacker Innsbruck
23,Fri Mar 9 2018,20:30,FC Blau Weiß Linz,2-2,1-1,SV Ried
23,Fri Mar 9 2018,18:30,TSV Hartberg,0-2,0-1,FC Liefering
23,Fri Mar 9 2018,18:30,Floridsdorfer AC,0-3,0-3,SC Wiener Neustadt
23,Fri Mar 9 2018,18:30,Austria Lustenau,3-1,0-1,Kapfenberger SV
21,Mon Mar 12 2018,18:30,WSG Wattens,3-2,2-2,Kapfenberger SV
22,Mon Mar 12 2018,18:30,SC Wiener Neustadt,1-1,0-0,TSV Hartberg
24,Fri Mar 16 2018,18:30,FC Blau Weiß Linz,1-3,1-1,TSV Hartberg
24,Fri Mar 16 2018,20:30,SV Ried,1-3,0-0,FC Wacker Innsbruck
24,Fri Mar 16 2018,18:30,FC Liefering,1-0,1-0,Floridsdorfer AC
24,Fri Mar 16 2018,18:30,WSG Wattens,2-0,1-0,Austria Lustenau
24,Fri Mar 16 2018,18:30,Kapfenberger SV,0-0,0-0,SC Wiener Neustadt
22,Tue Mar 20 2018,18:30,Kapfenberger SV,1-4,0-2,FC Blau Weiß Linz
25,Fri Mar 30 2018,18:30,FC Wacker Innsbruck,2-1,2-0,FC Liefering
25,Fri Mar 30 2018,18:30,Austria Lustenau,1-0,1-0,FC Blau Weiß Linz
25,Fri Mar 30 2018,18:30,Floridsdorfer AC,0-1,0-0,Kapfenberger SV
25,Fri Mar 30 2018,20:30,TSV Hartberg,1-0,1-0,SV Ried
25,Fri Mar 30 2018,18:30,SC Wiener Neustadt,2-2,0-1,WSG Wattens
26,Mon Apr 2 2018,18:30,FC Wacker Innsbruck,2-0,2-0,SC Wiener Neustadt
26,Tue Apr 3 2018,18:30,FC Blau Weiß Linz,1-0,0-0,Floridsdorfer AC
26,Tue Apr 3 2018,18:30,TSV Hartberg,4-0,2-0,Kapfenberger SV
26,Tue Apr 3 2018,18:30,FC Liefering,1-1,0-0,Austria Lustenau
26,Tue Apr 3 2018,18:30,SV Ried,2-0,1-0,WSG Wattens
27,Fri Apr 6 2018,20:30,Floridsdorfer AC,0-2,0-0,FC Wacker Innsbruck
27,Fri Apr 6 2018,18:30,Austria Lustenau,0-4,0-1,TSV Hartberg
27,Fri Apr 6 2018,18:30,WSG Wattens,1-0,0-0,FC Blau Weiß Linz
27,Fri Apr 6 2018,18:30,Kapfenberger SV,0-0,0-0,SV Ried
27,Fri Apr 6 2018,18:30,SC Wiener Neustadt,0-2,0-0,FC Liefering
22,Tue Apr 10 2018,18:30,Floridsdorfer AC,0-0,0-0,WSG Wattens
28,Fri Apr 13 2018,18:30,TSV Hartberg,4-0,2-0,WSG Wattens
28,Fri Apr 13 2018,18:30,FC Liefering,1-1,0-0,Kapfenberger SV
28,Fri Apr 13 2018,20:30,SC Wiener Neustadt,1-0,0-0,SV Ried
28,Fri Apr 13 2018,18:30,Austria Lustenau,2-1,0-1,Floridsdorfer AC
28,Fri Apr 13 2018,18:30,FC Wacker Innsbruck,4-0,2-0,FC Blau Weiß Linz
29,Fri Apr 20 2018,18:30,WSG Wattens,0-0,0-0,FC Liefering
29,Fri Apr 20 2018,18:30,SV Ried,2-0,1-0,Austria Lustenau
29,Fri Apr 20 2018,18:30,FC Blau Weiß Linz,0-3,0-1,SC Wiener Neustadt
29,Fri Apr 20 2018,18:30,Floridsdorfer AC,0-1,0-0,TSV Hartberg
29,Fri Apr 20 2018,20:30,Kapfenberger SV,2-1,2-1,FC Wacker Innsbruck
30,Mon Apr 23 2018,18:30,Floridsdorfer AC,2-4,1-2,SV Ried
30,Tue Apr 24 2018,18:30,FC Wacker Innsbruck,0-0,0-0,TSV Hartberg
30,Tue Apr 24 2018,18:30,SC Wiener Neustadt,2-2,1-1,Austria Lustenau
30,Tue Apr 24 2018,18:30,FC Liefering,1-1,1-0,FC Blau Weiß Linz
30,Tue Apr 24 2018,18:30,Kapfenberger SV,2-3,1-2,WSG Wattens
31,Fri Apr 27 2018,18:30,SV Ried,1-0,0-0,FC Liefering
31,Fri Apr 27 2018,18:30,Austria Lustenau,1-2,1-0,FC Wacker Innsbruck
31,Fri Apr 27 2018,20:30,TSV Hartberg,2-1,1-0,SC Wiener Neustadt
31,Fri Apr 27 2018,18:30,WSG Wattens,2-0,2-0,Floridsdorfer AC
31,Fri Apr 27 2018,18:30,FC Blau Weiß Linz,0-2,0-0,Kapfenberger SV
32,Fri May 4 2018,18:30,Kapfenberger SV,0-2,0-1,Austria Lustenau
32,Fri May 4 2018,18:30,SV Ried,1-0,0-0,FC Blau Weiß Linz
32,Fri May 4 2018,18:30,SC Wiener Neustadt,1-0,0-0,Floridsdorfer AC
32,Fri May 4 2018,18:30,FC Liefering,3-2,1-2,TSV Hartberg
32,Fri May 4 2018,20:30,FC Wacker Innsbruck,2-0,0-0,WSG Wattens
33,Fri May 11 2018,20:30,FC Wacker Innsbruck,3-1,1-0,SV Ried
33,Fri May 11 2018,18:30,Austria Lustenau,2-2,1-1,WSG Wattens
33,Fri May 11 2018,18:30,SC Wiener Neustadt,2-1,1-1,Kapfenberger SV
33,Fri May 11 2018,18:30,TSV Hartberg,2-2,2-0,FC Blau Weiß Linz
33,Fri May 11 2018,18:30,Floridsdorfer AC,3-2,2-2,FC Liefering
34,Fri May 18 2018,18:30,FC Blau Weiß Linz,0-2,0-1,Austria Lustenau
34,Fri May 18 2018,18:30,FC Liefering,2-2,1-1,FC Wacker Innsbruck
34,Fri May 18 2018,18:30,WSG Wattens,1-1,0-0,SC Wiener Neustadt
34,Fri May 18 2018,18:30,Kapfenberger SV,3-3,1-1,Floridsdorfer AC
34,Fri May 18 2018,20:30,SV Ried,0-1,0-0,TSV Hartberg
35,Mon May 21 2018,16:30,WSG Wattens,1-1,0-0,SV Ried
35,Mon May 21 2018,16:30,Austria Lustenau,0-0,0-0,FC Liefering
35,Mon May 21 2018,16:30,Kapfenberger SV,1-3,1-1,TSV Hartberg
35,Mon May 21 2018,16:30,Floridsdorfer AC,5-0,4-0,FC Blau Weiß Linz
35,Mon May 21 2018,16:30,SC Wiener Neustadt,1-0,0-0,FC Wacker Innsbruck
36,Fri May 25 2018,19:30,TSV Hartberg,2-0,1-0,Austria Lustenau
36,Fri May 25 2018,19:30,FC Blau Weiß Linz,2-2,0-1,WSG Wattens
36,Fri May 25 2018,19:30,SV Ried,7-1,0-1,Kapfenberger SV
36,Fri May 25 2018,19:30,FC Liefering,1-1,0-1,SC Wiener Neustadt
36,Fri May 25 2018,19:30,FC Wacker Innsbruck,0-2,0-1,Floridsdorfer AC
