Round,Date,Time,Timezone,Team 1,FT,Team 2,UTC
1,Sat Aug 9 2003,15:00,BST/+0100,Carlisle United,1-2,York City,2003-08-09T14:00Z
1,Sat Aug 9 2003,15:00,BST/+0100,Huddersfield Town,2-2,Cambridge United,2003-08-09T14:00Z
1,Sat Aug 9 2003,15:00,BST/+0100,Hull City,4-1,Darlington FC,2003-08-09T14:00Z
1,Sat Aug 9 2003,15:00,BST/+0100,Kidderminster Harriers,2-1,Mansfield Town,2003-08-09T14:00Z
1,Sat Aug 9 2003,15:00,BST/+0100,Leyton Orient,1-3,Doncaster Rovers,2003-08-09T14:00Z
1,Sat Aug 9 2003,15:00,BST/+0100,Lincoln City,0-1,Oxford United,2003-08-09T14:00Z
1,Sat Aug 9 2003,15:00,BST/+0100,Macclesfield Town,0-0,Boston United,2003-08-09T14:00Z
1,Sat Aug 9 2003,15:00,BST/+0100,Northampton Town,0-1,Torquay United,2003-08-09T14:00Z
1,Sat Aug 9 2003,15:00,BST/+0100,Rochdale AFC,1-3,Yeovil Town,2003-08-09T14:00Z
1,Sat Aug 9 2003,15:00,BST/+0100,Scunthorpe United,1-2,Bristol Rovers,2003-08-09T14:00Z
1,Sat Aug 9 2003,15:00,BST/+0100,Southend United,2-0,Cheltenham Town,2003-08-09T14:00Z
1,Sat Aug 9 2003,15:00,BST/+0100,Swansea City,4-2,Bury FC,2003-08-09T14:00Z
2,Sat Aug 16 2003,15:00,BST/+0100,Boston United,2-2,Huddersfield Town,2003-08-16T14:00Z
2,Sat Aug 16 2003,15:00,BST/+0100,Bristol Rovers,0-0,Rochdale AFC,2003-08-16T14:00Z
2,Sat Aug 16 2003,15:00,BST/+0100,Bury FC,2-3,Scunthorpe United,2003-08-16T14:00Z
2,Sat Aug 16 2003,15:00,BST/+0100,Cambridge United,3-1,Macclesfield Town,2003-08-16T14:00Z
2,Sat Aug 16 2003,15:00,BST/+0100,Darlington FC,0-2,Kidderminster Harriers,2003-08-16T14:00Z
2,Sat Aug 16 2003,15:00,BST/+0100,Doncaster Rovers,2-0,Southend United,2003-08-16T14:00Z
2,Sat Aug 16 2003,15:00,BST/+0100,Mansfield Town,1-1,Leyton Orient,2003-08-16T14:00Z
2,Sat Aug 16 2003,15:00,BST/+0100,Oxford United,2-1,Hull City,2003-08-16T14:00Z
2,Sat Aug 16 2003,15:00,BST/+0100,Torquay United,1-0,Lincoln City,2003-08-16T14:00Z
2,Sat Aug 16 2003,15:00,BST/+0100,Yeovil Town,3-0,Carlisle United,2003-08-16T14:00Z
2,Sat Aug 16 2003,15:00,BST/+0100,York City,1-0,Northampton Town,2003-08-16T14:00Z
2,Sat Aug 16 2003,15:15,BST/+0100,Cheltenham Town,3-4,Swansea City,2003-08-16T14:15Z
3,Fri Aug 22 2003,19:45,BST/+0100,Swansea City,3-0,Boston United,2003-08-22T18:45Z
3,Fri Aug 22 2003,19:45,BST/+0100,Northampton Town,1-0,Darlington FC,2003-08-22T18:45Z
3,Sat Aug 23 2003,15:00,BST/+0100,Carlisle United,0-2,Bristol Rovers,2003-08-23T14:00Z
3,Sat Aug 23 2003,15:00,BST/+0100,Huddersfield Town,0-1,York City,2003-08-23T14:00Z
3,Sat Aug 23 2003,15:00,BST/+0100,Hull City,3-3,Cheltenham Town,2003-08-23T14:00Z
3,Sat Aug 23 2003,15:00,BST/+0100,Kidderminster Harriers,0-2,Bury FC,2003-08-23T14:00Z
3,Sat Aug 23 2003,15:00,BST/+0100,Leyton Orient,2-0,Yeovil Town,2003-08-23T14:00Z
3,Sat Aug 23 2003,15:00,BST/+0100,Lincoln City,0-0,Doncaster Rovers,2003-08-23T14:00Z
3,Sat Aug 23 2003,15:00,BST/+0100,Macclesfield Town,1-1,Torquay United,2003-08-23T14:00Z
3,Sat Aug 23 2003,15:00,BST/+0100,Rochdale AFC,2-2,Cambridge United,2003-08-23T14:00Z
3,Sat Aug 23 2003,15:00,BST/+0100,Scunthorpe United,1-1,Oxford United,2003-08-23T14:00Z
3,Sat Aug 23 2003,15:00,BST/+0100,Southend United,0-3,Mansfield Town,2003-08-23T14:00Z
4,Mon Aug 25 2003,15:00,BST/+0100,Boston United,1-0,Carlisle United,2003-08-25T14:00Z
4,Mon Aug 25 2003,15:00,BST/+0100,Bristol Rovers,2-2,Macclesfield Town,2003-08-25T14:00Z
4,Mon Aug 25 2003,15:00,BST/+0100,Bury FC,2-1,Lincoln City,2003-08-25T14:00Z
4,Mon Aug 25 2003,15:00,BST/+0100,Cambridge United,0-2,Hull City,2003-08-25T14:00Z
4,Mon Aug 25 2003,15:00,BST/+0100,Cheltenham Town,2-1,Kidderminster Harriers,2003-08-25T14:00Z
4,Mon Aug 25 2003,15:00,BST/+0100,Darlington FC,2-1,Leyton Orient,2003-08-25T14:00Z
4,Mon Aug 25 2003,15:00,BST/+0100,Doncaster Rovers,1-1,Huddersfield Town,2003-08-25T14:00Z
4,Mon Aug 25 2003,15:00,BST/+0100,Oxford United,3-0,Swansea City,2003-08-25T14:00Z
4,Mon Aug 25 2003,15:00,BST/+0100,Torquay United,1-3,Rochdale AFC,2003-08-25T14:00Z
4,Mon Aug 25 2003,15:00,BST/+0100,Yeovil Town,0-2,Northampton Town,2003-08-25T14:00Z
