Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Round 1,Fri Jul 15 2022,16:30,CEST/+0200,SV Fügen,0-3,0-1,RB Salzburg,,,2022-07-15T14:30Z
Round 1,Fri Jul 15 2022,17:30,CEST/+0200,SR Donaufeld,0-4,0-1,SKU Amstetten,,,2022-07-15T15:30Z
Round 1,Fri Jul 15 2022,18:00,CEST/+0200,SC Admira Dornbirn,1-8,1-4,SK Austria Klagenfurt,,,2022-07-15T16:00Z
Round 1,Fri Jul 15 2022,18:30,CEST/+0200,SK Treibach,0-1,0-0,Rapid Wien,,,2022-07-15T16:30Z
Round 1,Fri Jul 15 2022,19:00,CEST/+0200,ASV Draßburg,0-3,0-2,SV Horn,,,2022-07-15T17:00Z
Round 1,Fri Jul 15 2022,19:00,CEST/+0200,DSV Leoben,1-2,1-2,TSV Hartberg,,,2022-07-15T17:00Z
Round 1,Fri Jul 15 2022,19:00,CEST/+0200,SC Neusiedl/See 1919,1-1,0-0,WSG Tirol,1-3,,2022-07-15T17:00Z
Round 1,Fri Jul 15 2022,19:00,CEST/+0200,SAK Klagenfurt,0-3,0-1,Wiener Sport-Club,,,2022-07-15T17:00Z
Round 1,Fri Jul 15 2022,19:00,CEST/+0200,Deutschlandsberger SC,2-0,1-0,USV Scheiblingkirchen-Warth,,,2022-07-15T17:00Z
Round 1,Fri Jul 15 2022,19:00,CEST/+0200,Union Vöcklamarkt,0-5,0-2,FC Dornbirn,,,2022-07-15T17:00Z
Round 1,Fri Jul 15 2022,19:30,CEST/+0200,SC/ESV Parndorf,2-3,1-0,SV Lafnitz,,,2022-07-15T17:30Z
Round 1,Fri Jul 15 2022,19:30,CEST/+0200,Union Gurten,3-2,1-1,Sportunion St. Martin/M.,,,2022-07-15T17:30Z
Round 1,Sat Jul 16 2022,10:30,CEST/+0200,SC Röthis,0-6,0-4,Sturm Graz,,,2022-07-16T08:30Z
Round 1,Sat Jul 16 2022,17:00,CEST/+0200,FC Marchfeld Donauauen,2-3,1-0,Austria Lustenau,,,2022-07-16T15:00Z
Round 1,Sat Jul 16 2022,17:00,CEST/+0200,FC Stadlau,0-4,0-3,SV Ried,,,2022-07-16T15:00Z
Round 1,Sat Jul 16 2022,17:15,CEST/+0200,FC Wels,0-7,0-3,Austria Wien,,,2022-07-16T15:15Z
Round 1,Sat Jul 16 2022,17:30,CEST/+0200,SV Frauental,0-5,0-3,USV Allerheiligen,,,2022-07-16T15:30Z
Round 1,Sat Jul 16 2022,17:30,CEST/+0200,Schwarz-Weiß Bregenz,3-0,2-0,SV Seekirchen,,,2022-07-16T15:30Z
Round 1,Sat Jul 16 2022,17:30,CEST/+0200,ASKÖ Köttmannsdorf,1-3,1-1,Grazer AK,,,2022-07-16T15:30Z
Round 1,Sat Jul 16 2022,18:00,CEST/+0200,TWL Elektra,1-3,1-2,SCR Altach,,,2022-07-16T16:00Z
Round 1,Sat Jul 16 2022,18:00,CEST/+0200,SV Stripfing/Weiden,0-1,0-0,FCM Traiskirchen,,,2022-07-16T16:00Z
Round 1,Sat Jul 16 2022,18:00,CEST/+0200,SC Schwaz,1-9,1-3,LASK,,,2022-07-16T16:00Z
Round 1,Sat Jul 16 2022,18:30,CEST/+0200,SV Leobendorf,1-2,0-0,SKN St. Pölten,,,2022-07-16T16:30Z
Round 1,Sat Jul 16 2022,19:00,CEST/+0200,VfB Hohenems,1-10,0-4,FC Blau Weiß Linz,,,2022-07-16T17:00Z
Round 1,Sat Jul 16 2022,19:30,CEST/+0200,ASV Siegendorf,1-1,0-1,First Vienna FC,2-2,4-3,2022-07-16T17:30Z
Round 1,Sun Jul 17 2022,17:00,CEST/+0200,SC Imst,2-0,1-0,TSV St. Johann,,,2022-07-17T15:00Z
Round 1,Sun Jul 17 2022,17:00,CEST/+0200,SV Telfs,2-4,0-0,Austria Salzburg,,,2022-07-17T15:00Z
Round 1,Sun Jul 17 2022,17:00,CEST/+0200,SV Kuchl,1-4,1-2,Wolfsberger AC,,,2022-07-17T15:00Z
Round 1,Sun Jul 17 2022,18:00,CEST/+0200,WSC Hertha,1-0,1-0,Vorwärts Steyr,,,2022-07-17T16:00Z
Round 1,Sun Jul 17 2022,16:00,CEST/+0200,SVg Purgstall,2-4,0-2,FC Admira Wacker,,,2022-07-17T14:00Z
Round 1,Tue Jul 19 2022,18:30,CEST/+0200,TuS Bad Gleichenberg,0-2,0-1,Floridsdorfer AC,,,2022-07-19T16:30Z
Round 1,Tue Jul 19 2022,19:30,CEST/+0200,SV Dellach/Gail,1-2,0-0,Kapfenberger SV 1919,,,2022-07-19T17:30Z
Round 2,Tue Aug 30 2022,18:30,CEST/+0200,Kapfenberger SV 1919,1-1,1-0,Floridsdorfer AC,1-2,,2022-08-30T16:30Z
Round 2,Tue Aug 30 2022,19:00,CEST/+0200,SV Lafnitz,1-2,0-0,Grazer AK,,,2022-08-30T17:00Z
Round 2,Tue Aug 30 2022,19:00,CEST/+0200,Wiener Sport-Club,2-0,2-0,Austria Lustenau,,,2022-08-30T17:00Z
Round 2,Tue Aug 30 2022,19:30,CEST/+0200,SV Horn,3-1,2-0,SKN St. Pölten,,,2022-08-30T17:30Z
Round 2,Tue Aug 30 2022,20:30,CEST/+0200,Union Gurten,0-3,0-1,RB Salzburg,,,2022-08-30T18:30Z
Round 2,Tue Aug 30 2022,18:00,CEST/+0200,FC Admira Wacker,3-0,3-0,SCR Altach,,,2022-08-30T16:00Z
Round 2,Wed Aug 31 2022,18:00,CEST/+0200,SC Imst,1-1,0-0,LASK,1-4,,2022-08-31T16:00Z
Round 2,Wed Aug 31 2022,18:00,CEST/+0200,Sturm Graz,3-1,2-0,Austria Salzburg,,,2022-08-31T16:00Z
Round 2,Wed Aug 31 2022,18:30,CEST/+0200,Deutschlandsberger SC,1-5,0-2,Wolfsberger AC,,,2022-08-31T16:30Z
Round 2,Wed Aug 31 2022,19:00,CEST/+0200,SKU Amstetten,0-3,0-2,FC Blau Weiß Linz,,,2022-08-31T17:00Z
Round 2,Wed Aug 31 2022,19:00,CEST/+0200,FC Dornbirn,3-2,2-1,TSV Hartberg,,,2022-08-31T17:00Z
Round 2,Wed Aug 31 2022,19:00,CEST/+0200,Schwarz-Weiß Bregenz,0-5,0-3,SK Austria Klagenfurt,,,2022-08-31T17:00Z
Round 2,Wed Aug 31 2022,19:00,CEST/+0200,FCM Traiskirchen,0-5,0-3,WSG Tirol,,,2022-08-31T17:00Z
Round 2,Wed Aug 31 2022,19:30,CEST/+0200,WSC Hertha,2-4,2-1,SV Ried,,,2022-08-31T17:30Z
Round 2,Wed Aug 31 2022,20:30,CEST/+0200,ASV Siegendorf,0-5,0-4,Austria Wien,,,2022-08-31T18:30Z
Round 2,Thu Sep 1 2022,17:30,CEST/+0200,USV Allerheiligen,0-2,0-0,Rapid Wien,,,2022-09-01T15:30Z
Round of 16,Tue Oct 18 2022,19:00,CEST/+0200,FC Dornbirn,1-2,1-1,SK Austria Klagenfurt,,,2022-10-18T17:00Z
Round of 16,Tue Oct 18 2022,19:30,CEST/+0200,SV Horn,2-3,2-3,SV Ried,,,2022-10-18T17:30Z
Round of 16,Tue Oct 18 2022,20:15,CEST/+0200,Floridsdorfer AC,1-2,1-2,LASK,,,2022-10-18T18:15Z
Round of 16,Tue Oct 18 2022,18:00,CEST/+0200,WSG Tirol,1-4,1-1,Rapid Wien,,,2022-10-18T16:00Z
Round of 16,Wed Oct 19 2022,18:00,CEST/+0200,FC Blau Weiß Linz,1-3,0-1,Wolfsberger AC,,,2022-10-19T16:00Z
Round of 16,Wed Oct 19 2022,20:30,CEST/+0200,FC Admira Wacker,1-6,0-4,RB Salzburg,,,2022-10-19T18:30Z
Round of 16,Wed Oct 19 2022,18:00,CEST/+0200,Grazer AK,0-1,0-0,Sturm Graz,,,2022-10-19T16:00Z
Round of 16,Thu Oct 20 2022,20:30,CEST/+0200,Wiener Sport-Club,3-1,1-1,Austria Wien,,,2022-10-20T18:30Z
Quarterfinals,Fri Feb 3 2023,20:45,CET/+0100,RB Salzburg,1-1,0-1,Sturm Graz,1-1,4-5,2023-02-03T19:45Z
Quarterfinals,Fri Feb 3 2023,18:00,CET/+0100,Wolfsberger AC,1-1,0-0,Rapid Wien,1-3,,2023-02-03T17:00Z
Quarterfinals,Sat Feb 4 2023,18:00,CET/+0100,Wiener Sport-Club,0-2,0-0,SV Ried,,,2023-02-04T17:00Z
Quarterfinals,Sun Feb 5 2023,18:00,CET/+0100,LASK,1-0,0-0,SK Austria Klagenfurt,,,2023-02-05T17:00Z
Semifinals,Wed Apr 5 2023,20:30,CEST/+0200,Rapid Wien,2-1,1-0,SV Ried,,,2023-04-05T18:30Z
Semifinals,Thu Apr 6 2023,20:30,CEST/+0200,Sturm Graz,1-0,0-0,LASK,,,2023-04-06T18:30Z
Final,Sun Apr 30 2023,20:30,CEST/+0200,Rapid Wien,0-2,0-0,Sturm Graz,,,2023-04-30T18:30Z
