Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Apertura,1,Fri Jul 1 2022,21:05,CDT/-0500,Mazatlán FC,2-4,0-2,Puebla FC,,,2022-07-02T02:05Z
Apertura,1,Sat Jul 2 2022,17:00,CDT/-0500,Club Necaxa,1-3,1-2,Deportivo Toluca,,,2022-07-02T22:00Z
Apertura,1,Sat Jul 2 2022,17:00,CDT/-0500,Deportivo Guadalajara,0-0,0-0,FC Juárez,,,2022-07-02T22:00Z
Apertura,1,Sat Jul 2 2022,19:05,CDT/-0500,UANL Tigres,2-3,0-1,Cruz Azul,,,2022-07-03T00:05Z
Apertura,1,Sat Jul 2 2022,21:05,CDT/-0500,CF América,0-0,0-0,Atlas Guadalajara,,,2022-07-03T02:05Z
Apertura,1,Sun Jul 3 2022,17:00,CDT/-0500,Atlético San Luis,1-2,0-1,Club León,,,2022-07-03T22:00Z
Apertura,1,Sun Jul 3 2022,19:05,CDT/-0500,Santos Laguna,4-3,2-2,CF Monterrey,,,2022-07-04T00:05Z
Apertura,1,Sun Jul 3 2022,12:00,CDT/-0500,Pumas UNAM,1-1,0-1,Club Tijuana,,,2022-07-03T17:00Z
Apertura,1,Mon Jul 4 2022,21:00,CDT/-0500,CF Pachuca,2-0,1-0,Gallos Blancos,,,2022-07-05T02:00Z
Apertura,2,Fri Jul 8 2022,19:00,CDT/-0500,Mazatlán FC,0-1,0-1,UANL Tigres,,,2022-07-09T00:00Z
Apertura,2,Fri Jul 8 2022,21:05,CDT/-0500,Club Tijuana,0-2,0-0,FC Juárez,,,2022-07-09T02:05Z
Apertura,2,Fri Jul 8 2022,21:05,CDT/-0500,Puebla FC,1-0,1-0,Santos Laguna,,,2022-07-09T02:05Z
Apertura,2,Sat Jul 9 2022,19:05,CDT/-0500,Deportivo Guadalajara,0-1,0-1,Atlético San Luis,,,2022-07-10T00:05Z
Apertura,2,Sat Jul 9 2022,21:05,CDT/-0500,CF Monterrey,3-2,1-2,CF América,,,2022-07-10T02:05Z
Apertura,2,Sat Jul 9 2022,21:05,CDT/-0500,Cruz Azul,1-2,0-2,CF Pachuca,,,2022-07-10T02:05Z
Apertura,2,Sat Jul 9 2022,19:00,CDT/-0500,Club León,3-3,0-2,Pumas UNAM,,,2022-07-10T00:00Z
Apertura,2,Sun Jul 10 2022,17:00,CDT/-0500,Gallos Blancos,1-2,1-1,Club Necaxa,,,2022-07-10T22:00Z
Apertura,2,Sun Jul 10 2022,12:00,CDT/-0500,Deportivo Toluca,3-2,3-1,Atlas Guadalajara,,,2022-07-10T17:00Z
Apertura,3,Wed Jul 13 2022,21:00,CDT/-0500,CF América,1-0,0-0,Deportivo Toluca,,,2022-07-14T02:00Z
Apertura,3,Fri Jul 15 2022,19:00,CDT/-0500,Puebla FC,1-1,1-0,Club León,,,2022-07-16T00:00Z
Apertura,3,Fri Jul 15 2022,21:05,CDT/-0500,FC Juárez,1-1,1-1,Gallos Blancos,,,2022-07-16T02:05Z
Apertura,3,Sat Jul 16 2022,19:05,CDT/-0500,Santos Laguna,1-1,0-0,Deportivo Guadalajara,,,2022-07-17T00:05Z
Apertura,3,Sat Jul 16 2022,17:00,CDT/-0500,Atlas Guadalajara,3-2,1-1,Cruz Azul,,,2022-07-16T22:00Z
Apertura,3,Sun Jul 17 2022,17:00,CDT/-0500,Atlético San Luis,0-1,0-0,CF Monterrey,,,2022-07-17T22:00Z
Apertura,3,Sun Jul 17 2022,19:00,CDT/-0500,UANL Tigres,1-0,0-0,Club Tijuana,,,2022-07-18T00:00Z
Apertura,3,Sun Jul 17 2022,12:00,CDT/-0500,Pumas UNAM,1-0,1-0,Club Necaxa,,,2022-07-17T17:00Z
Apertura,3,Mon Jul 18 2022,19:00,CDT/-0500,CF Pachuca,1-1,0-0,Mazatlán FC,,,2022-07-19T00:00Z
Apertura,4,Wed Jul 20 2022,21:05,CDT/-0500,Deportivo Guadalajara,0-0,0-0,Club León,,,2022-07-21T02:05Z
Apertura,4,Thu Jul 21 2022,21:00,CDT/-0500,Gallos Blancos,0-3,0-1,CF Monterrey,,,2022-07-22T02:00Z
Apertura,4,Fri Jul 22 2022,21:05,CDT/-0500,Club Necaxa,1-0,1-0,FC Juárez,,,2022-07-23T02:05Z
Apertura,4,Fri Jul 22 2022,19:00,CDT/-0500,Mazatlán FC,1-1,1-1,Atlético San Luis,,,2022-07-23T00:00Z
Apertura,4,Sat Jul 23 2022,17:00,CDT/-0500,Deportivo Toluca,2-1,2-0,Santos Laguna,,,2022-07-23T22:00Z
Apertura,4,Sat Jul 23 2022,19:05,CDT/-0500,Cruz Azul,2-2,2-2,Puebla FC,,,2022-07-24T00:05Z
Apertura,4,Sat Jul 23 2022,20:05,CDT/-0500,Club Tijuana,2-0,1-0,CF América,,,2022-07-24T01:05Z
Apertura,4,Sat Jul 23 2022,21:05,CDT/-0500,UANL Tigres,2-0,2-0,Atlas Guadalajara,,,2022-07-24T02:05Z
Apertura,4,Sun Jul 24 2022,19:00,CDT/-0500,CF Pachuca,0-0,0-0,Pumas UNAM,,,2022-07-25T00:00Z
Apertura,5,Tue Jul 26 2022,19:00,CDT/-0500,CF Monterrey,1-0,1-0,Puebla FC,,,2022-07-27T00:00Z
Apertura,5,Tue Jul 26 2022,19:00,CDT/-0500,FC Juárez,0-1,0-1,UANL Tigres,,,2022-07-27T00:00Z
Apertura,5,Tue Jul 26 2022,21:05,CDT/-0500,Atlético San Luis,0-0,0-0,Cruz Azul,,,2022-07-27T02:05Z
Apertura,5,Tue Jul 26 2022,21:05,CDT/-0500,Club León,0-1,0-0,Deportivo Toluca,,,2022-07-27T02:05Z
Apertura,5,Tue Jul 26 2022,19:00,CDT/-0500,Atlas Guadalajara,1-2,1-2,Club Tijuana,,,2022-07-27T00:00Z
Apertura,5,Wed Jul 27 2022,19:00,CDT/-0500,Club Necaxa,2-0,1-0,CF Pachuca,,,2022-07-28T00:00Z
Apertura,5,Wed Jul 27 2022,19:00,CDT/-0500,Gallos Blancos,2-2,1-1,Deportivo Guadalajara,,,2022-07-28T00:00Z
Apertura,5,Wed Jul 27 2022,21:05,CDT/-0500,Pumas UNAM,1-1,0-0,Mazatlán FC,,,2022-07-28T02:05Z
Apertura,6,Fri Jul 29 2022,21:05,CDT/-0500,FC Juárez,1-1,0-0,Deportivo Toluca,,,2022-07-30T02:05Z
Apertura,6,Sat Jul 30 2022,17:00,CDT/-0500,Cruz Azul,1-0,1-0,Club Necaxa,,,2022-07-30T22:00Z
Apertura,6,Sat Jul 30 2022,19:05,CDT/-0500,UANL Tigres,2-1,1-1,Gallos Blancos,,,2022-07-31T00:05Z
Apertura,6,Sat Jul 30 2022,21:05,CDT/-0500,Puebla FC,0-0,0-0,Atlético San Luis,,,2022-07-31T02:05Z
Apertura,6,Sat Jul 30 2022,21:05,CDT/-0500,Club Tijuana,2-0,0-0,Mazatlán FC,,,2022-07-31T02:05Z
Apertura,6,Sat Jul 30 2022,21:05,CDT/-0500,Deportivo Guadalajara,0-0,0-0,CF Pachuca,,,2022-07-31T02:05Z
Apertura,6,Sun Jul 31 2022,21:05,CDT/-0500,Club León,3-2,1-1,CF América,,,2022-08-01T02:05Z
Apertura,6,Sun Jul 31 2022,12:00,CDT/-0500,Pumas UNAM,1-1,1-1,CF Monterrey,,,2022-07-31T17:00Z
Apertura,6,Sun Jul 31 2022,19:05,CDT/-0500,Santos Laguna,1-0,0-0,Atlas Guadalajara,,,2022-08-01T00:05Z
Apertura,16,Tue Aug 2 2022,20:00,CDT/-0500,Deportivo Toluca,1-1,0-1,Puebla FC,,,2022-08-03T01:00Z
Apertura,16,Wed Aug 3 2022,20:00,CDT/-0500,FC Juárez,1-1,0-1,Atlético San Luis,,,2022-08-04T01:00Z
Apertura,7,Thu Aug 4 2022,21:00,CDT/-0500,Atlas Guadalajara,3-1,0-1,Gallos Blancos,,,2022-08-05T02:00Z
Apertura,7,Fri Aug 5 2022,21:05,CDT/-0500,Mazatlán FC,2-1,0-0,Deportivo Guadalajara,,,2022-08-06T02:05Z
Apertura,7,Sat Aug 6 2022,21:05,CDT/-0500,Santos Laguna,4-0,1-0,Cruz Azul,,,2022-08-07T02:05Z
