Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
,1,Fri Aug 12 2022,20:45,CEST/+0200,Parma Calcio 1913,2-2,2-2,SSC Bari,,2022-08-12T18:45Z
,1,Sat Aug 13 2022,20:45,CEST/+0200,Como 1907,1-1,1-0,Cagliari Calcio,,2022-08-13T18:45Z
,1,Sat Aug 13 2022,20:45,CEST/+0200,Palermo FC,2-0,1-0,AC Perugia Calcio,,2022-08-13T18:45Z
,1,Sat Aug 13 2022,20:45,CEST/+0200,AS Cittadella,4-3,1-1,Pisa SC,,2022-08-13T18:45Z
,1,Sun Aug 14 2022,20:45,CEST/+0200,Ascoli Calcio,2-1,2-0,Ternana Calcio,,2022-08-14T18:45Z
,1,Sun Aug 14 2022,20:45,CEST/+0200,Benevento Calcio,0-1,0-0,Cosenza Calcio,,2022-08-14T18:45Z
,1,Sun Aug 14 2022,20:45,CEST/+0200,Brescia Calcio,2-0,1-0,FC Südtirol,,2022-08-14T18:45Z
,1,Sun Aug 14 2022,20:45,CEST/+0200,Modena FC,0-1,0-1,Frosinone Calcio,,2022-08-14T18:45Z
,1,Sun Aug 14 2022,20:45,CEST/+0200,Venezia FC,1-2,0-1,Genoa CFC,,2022-08-14T18:45Z
,1,Sun Aug 14 2022,20:45,CEST/+0200,SPAL 2013 Ferrara,1-3,0-1,Reggina 1914,,2022-08-14T18:45Z
,2,Fri Aug 19 2022,20:45,CEST/+0200,SSC Bari,1-1,0-1,Palermo FC,,2022-08-19T18:45Z
,2,Sat Aug 20 2022,20:45,CEST/+0200,Ascoli Calcio,1-1,1-1,SPAL 2013 Ferrara,,2022-08-20T18:45Z
,2,Sat Aug 20 2022,20:45,CEST/+0200,Genoa CFC,0-0,0-0,Benevento Calcio,,2022-08-20T18:45Z
,2,Sat Aug 20 2022,20:45,CEST/+0200,AC Perugia Calcio,0-0,0-0,Parma Calcio 1913,,2022-08-20T18:45Z
,2,Sun Aug 21 2022,20:45,CEST/+0200,Pisa SC,2-2,1-1,Como 1907,,2022-08-21T18:45Z
,2,Sun Aug 21 2022,20:45,CEST/+0200,Cagliari Calcio,2-1,0-1,AS Cittadella,,2022-08-21T18:45Z
