Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
,2,Sun Aug 21 2022,20:45,CEST/+0200,Cosenza Calcio,2-1,0-1,Modena FC,,2022-08-21T18:45Z
,2,Sun Aug 21 2022,20:45,CEST/+0200,FC Südtirol,1-2,0-0,Venezia FC,,2022-08-21T18:45Z
,2,Sun Aug 21 2022,20:45,CEST/+0200,Frosinone Calcio,3-0,1-0,Brescia Calcio,,2022-08-21T18:45Z
,2,Sun Aug 21 2022,20:45,CEST/+0200,Ternana Calcio,1-0,1-0,Reggina 1914,,2022-08-21T18:45Z
,3,Sat Aug 27 2022,20:45,CEST/+0200,Modena FC,4-1,2-0,Ternana Calcio,,2022-08-27T18:45Z
,3,Sat Aug 27 2022,20:45,CEST/+0200,Palermo FC,2-3,1-2,Ascoli Calcio,,2022-08-27T18:45Z
,3,Sat Aug 27 2022,20:45,CEST/+0200,SPAL 2013 Ferrara,1-0,1-0,Cagliari Calcio,,2022-08-27T18:45Z
,3,Sun Aug 28 2022,20:45,CEST/+0200,Pisa SC,0-1,0-1,Genoa CFC,,2022-08-28T18:45Z
,3,Sun Aug 28 2022,20:45,CEST/+0200,AS Cittadella,1-1,0-0,Venezia FC,,2022-08-28T18:45Z
,3,Sun Aug 28 2022,20:45,CEST/+0200,Benevento Calcio,2-1,1-0,Frosinone Calcio,,2022-08-28T18:45Z
,3,Sun Aug 28 2022,20:45,CEST/+0200,Parma Calcio 1913,1-0,1-0,Cosenza Calcio,,2022-08-28T18:45Z
,3,Sun Aug 28 2022,20:45,CEST/+0200,Reggina 1914,4-0,2-0,FC Südtirol,,2022-08-28T18:45Z
,3,Sun Aug 28 2022,20:45,CEST/+0200,AC Perugia Calcio,1-3,0-1,SSC Bari,,2022-08-28T18:45Z
,3,Mon Aug 29 2022,20:45,CEST/+0200,Como 1907,0-1,0-1,Brescia Calcio,,2022-08-29T18:45Z
,4,Fri Sep 2 2022,20:30,CEST/+0200,Cagliari Calcio,1-0,1-0,Modena FC,,2022-09-02T18:30Z
,4,Sat Sep 3 2022,14:00,CEST/+0200,Ascoli Calcio,0-0,0-0,AS Cittadella,,2022-09-03T12:00Z
,4,Sat Sep 3 2022,14:00,CEST/+0200,Brescia Calcio,2-1,2-1,AC Perugia Calcio,,2022-09-03T12:00Z
,4,Sat Sep 3 2022,14:00,CEST/+0200,Venezia FC,0-2,0-0,Benevento Calcio,,2022-09-03T12:00Z
,4,Sat Sep 3 2022,14:00,CEST/+0200,Frosinone Calcio,2-0,1-0,Como 1907,,2022-09-03T12:00Z
,4,Sat Sep 3 2022,14:00,CEST/+0200,Reggina 1914,3-0,1-0,Palermo FC,,2022-09-03T12:00Z
,4,Sat Sep 3 2022,14:00,CEST/+0200,SSC Bari,2-2,2-0,SPAL 2013 Ferrara,,2022-09-03T12:00Z
,4,Sat Sep 3 2022,14:00,CEST/+0200,Ternana Calcio,1-1,1-0,Cosenza Calcio,,2022-09-03T12:00Z
,4,Sat Sep 3 2022,16:15,CEST/+0200,Genoa CFC,3-3,2-2,Parma Calcio 1913,,2022-09-03T14:15Z
,4,Sun Sep 4 2022,16:15,CEST/+0200,FC Südtirol,2-1,1-1,Pisa SC,,2022-09-04T14:15Z
,5,Fri Sep 9 2022,20:30,CEST/+0200,Palermo FC,1-0,0-0,Genoa CFC,,2022-09-09T18:30Z
,5,Sat Sep 10 2022,14:00,CEST/+0200,Pisa SC,0-1,0-1,Reggina 1914,,2022-09-10T12:00Z
,5,Sat Sep 10 2022,14:00,CEST/+0200,AS Cittadella,1-0,0-0,Frosinone Calcio,,2022-09-10T12:00Z
,5,Sat Sep 10 2022,14:00,CEST/+0200,Benevento Calcio,0-2,0-0,Cagliari Calcio,,2022-09-10T12:00Z
,5,Sat Sep 10 2022,14:00,CEST/+0200,Como 1907,0-2,0-0,FC Südtirol,,2022-09-10T12:00Z
,5,Sat Sep 10 2022,14:00,CEST/+0200,Cosenza Calcio,0-1,0-1,SSC Bari,,2022-09-10T12:00Z
,5,Sat Sep 10 2022,14:00,CEST/+0200,Parma Calcio 1913,2-3,1-0,Ternana Calcio,,2022-09-10T12:00Z
,5,Sat Sep 10 2022,15:00,CEST/+0200,Modena FC,1-3,1-1,Brescia Calcio,,2022-09-10T13:00Z
,5,Sat Sep 10 2022,16:15,CEST/+0200,AC Perugia Calcio,1-0,1-0,Ascoli Calcio,,2022-09-10T14:15Z
,5,Sun Sep 11 2022,16:15,CEST/+0200,SPAL 2013 Ferrara,2-0,1-0,Venezia FC,,2022-09-11T14:15Z
,6,Fri Sep 16 2022,20:30,CEST/+0200,Brescia Calcio,1-0,0-0,Benevento Calcio,,2022-09-16T18:30Z
,6,Sat Sep 17 2022,14:00,CEST/+0200,Ascoli Calcio,1-3,0-2,Parma Calcio 1913,,2022-09-17T12:00Z
,6,Sat Sep 17 2022,14:00,CEST/+0200,Cagliari Calcio,0-1,0-0,SSC Bari,,2022-09-17T12:00Z
,6,Sat Sep 17 2022,14:00,CEST/+0200,Como 1907,3-3,1-1,SPAL 2013 Ferrara,,2022-09-17T12:00Z
,6,Sat Sep 17 2022,14:00,CEST/+0200,FC Südtirol,1-1,1-0,Cosenza Calcio,,2022-09-17T12:00Z
,6,Sat Sep 17 2022,14:00,CEST/+0200,Venezia FC,1-1,1-1,Pisa SC,,2022-09-17T12:00Z
,6,Sat Sep 17 2022,14:00,CEST/+0200,Frosinone Calcio,1-0,1-0,Palermo FC,,2022-09-17T12:00Z
,6,Sat Sep 17 2022,14:00,CEST/+0200,Reggina 1914,3-0,1-0,AS Cittadella,,2022-09-17T12:00Z
,6,Sat Sep 17 2022,16:15,CEST/+0200,Genoa CFC,1-0,1-0,Modena FC,,2022-09-17T14:15Z
,6,Sun Sep 18 2022,16:15,CEST/+0200,Ternana Calcio,1-0,1-0,AC Perugia Calcio,,2022-09-18T14:15Z
,7,Fri Sep 30 2022,20:30,CEST/+0200,Cosenza Calcio,3-1,2-1,Como 1907,,2022-09-30T18:30Z
,7,Sat Oct 1 2022,14:00,CEST/+0200,AS Cittadella,0-2,0-1,Ternana Calcio,,2022-10-01T12:00Z
,7,Sat Oct 1 2022,14:00,CEST/+0200,Cagliari Calcio,1-4,1-0,Venezia FC,,2022-10-01T12:00Z
,7,Sat Oct 1 2022,14:00,CEST/+0200,Modena FC,1-0,0-0,Reggina 1914,,2022-10-01T12:00Z
,7,Sat Oct 1 2022,14:00,CEST/+0200,Palermo FC,0-1,0-1,FC Südtirol,,2022-10-01T12:00Z
,7,Sat Oct 1 2022,14:00,CEST/+0200,Parma Calcio 1913,2-1,1-0,Frosinone Calcio,,2022-10-01T12:00Z
,7,Sat Oct 1 2022,14:00,CEST/+0200,SPAL 2013 Ferrara,0-2,0-1,Genoa CFC,,2022-10-01T12:00Z
,7,Sat Oct 1 2022,14:00,CEST/+0200,SSC Bari,6-2,3-0,Brescia Calcio,,2022-10-01T12:00Z
,7,Sat Oct 1 2022,16:15,CEST/+0200,AC Perugia Calcio,1-3,0-1,Pisa SC,,2022-10-01T14:15Z
,7,Sun Oct 2 2022,16:15,CEST/+0200,Benevento Calcio,1-1,0-1,Ascoli Calcio,,2022-10-02T14:15Z
,8,Fri Oct 7 2022,20:30,CEST/+0200,Genoa CFC,0-0,0-0,Cagliari Calcio,,2022-10-07T18:30Z
,8,Sat Oct 8 2022,14:00,CEST/+0200,Pisa SC,0-0,0-0,Parma Calcio 1913,,2022-10-08T12:00Z
,8,Sat Oct 8 2022,14:00,CEST/+0200,Ascoli Calcio,1-2,1-0,Modena FC,,2022-10-08T12:00Z
,8,Sat Oct 8 2022,14:00,CEST/+0200,Brescia Calcio,1-1,1-0,AS Cittadella,,2022-10-08T12:00Z
,8,Sat Oct 8 2022,14:00,CEST/+0200,Venezia FC,1-2,0-0,SSC Bari,,2022-10-08T12:00Z
,8,Sat Oct 8 2022,14:00,CEST/+0200,Ternana Calcio,3-0,0-0,Palermo FC,,2022-10-08T12:00Z
,8,Sat Oct 8 2022,16:15,CEST/+0200,Frosinone Calcio,2-0,0-0,SPAL 2013 Ferrara,,2022-10-08T14:15Z
,8,Sat Oct 8 2022,16:15,CEST/+0200,Reggina 1914,3-0,1-0,Cosenza Calcio,,2022-10-08T14:15Z
,8,Sun Oct 9 2022,16:15,CEST/+0200,FC Südtirol,1-1,0-1,Benevento Calcio,,2022-10-09T14:15Z
,8,Sun Oct 9 2022,16:15,CEST/+0200,Como 1907,1-0,1-0,AC Perugia Calcio,,2022-10-09T14:15Z
,9,Fri Oct 14 2022,20:30,CEST/+0200,Venezia FC,1-3,1-0,Frosinone Calcio,,2022-10-14T18:30Z
,9,Sat Oct 15 2022,14:00,CEST/+0200,AS Cittadella,0-0,0-0,SPAL 2013 Ferrara,,2022-10-15T12:00Z
,9,Sat Oct 15 2022,14:00,CEST/+0200,Benevento Calcio,2-3,2-0,Ternana Calcio,,2022-10-15T12:00Z
,9,Sat Oct 15 2022,14:00,CEST/+0200,Cagliari Calcio,2-1,2-0,Brescia Calcio,,2022-10-15T12:00Z
,9,Sat Oct 15 2022,14:00,CEST/+0200,Cosenza Calcio,1-2,1-2,Genoa CFC,,2022-10-15T12:00Z
,9,Sat Oct 15 2022,14:00,CEST/+0200,Modena FC,5-1,3-0,Como 1907,,2022-10-15T12:00Z
,9,Sat Oct 15 2022,14:00,CEST/+0200,Palermo FC,3-3,2-1,Pisa SC,,2022-10-15T12:00Z
,9,Sat Oct 15 2022,14:00,CEST/+0200,Parma Calcio 1913,2-0,0-0,Reggina 1914,,2022-10-15T12:00Z
,9,Sat Oct 15 2022,16:15,CEST/+0200,SSC Bari,0-2,0-0,Ascoli Calcio,,2022-10-15T14:15Z
,9,Sun Oct 16 2022,16:15,CEST/+0200,AC Perugia Calcio,1-2,0-1,FC Südtirol,,2022-10-16T14:15Z
,10,Sat Oct 22 2022,14:00,CEST/+0200,Brescia Calcio,1-1,1-0,Venezia FC,,2022-10-22T12:00Z
,10,Sat Oct 22 2022,14:00,CEST/+0200,Como 1907,2-1,2-1,Benevento Calcio,,2022-10-22T12:00Z
,10,Sat Oct 22 2022,14:00,CEST/+0200,FC Südtirol,1-0,1-0,Parma Calcio 1913,,2022-10-22T12:00Z
,10,Sat Oct 22 2022,14:00,CEST/+0200,Frosinone Calcio,1-0,0-0,SSC Bari,,2022-10-22T12:00Z
,10,Sat Oct 22 2022,14:00,CEST/+0200,Reggina 1914,2-3,0-1,AC Perugia Calcio,,2022-10-22T12:00Z
,10,Sat Oct 22 2022,14:00,CEST/+0200,SPAL 2013 Ferrara,5-0,2-0,Cosenza Calcio,,2022-10-22T12:00Z
,10,Sat Oct 22 2022,16:15,CEST/+0200,Ternana Calcio,1-2,1-0,Genoa CFC,,2022-10-22T14:15Z
,10,Sun Oct 23 2022,16:15,CEST/+0200,Palermo FC,0-0,0-0,AS Cittadella,,2022-10-23T14:15Z
,10,Sun Oct 23 2022,16:15,CEST/+0200,Pisa SC,4-2,1-1,Modena FC,,2022-10-23T14:15Z
,10,Mon Oct 24 2022,20:30,CEST/+0200,Ascoli Calcio,2-1,1-0,Cagliari Calcio,,2022-10-24T18:30Z
,11,Fri Oct 28 2022,20:30,CEST/+0200,SSC Bari,0-0,0-0,Ternana Calcio,,2022-10-28T18:30Z
,11,Sat Oct 29 2022,14:00,CEST/+0200,Benevento Calcio,0-0,0-0,Pisa SC,,2022-10-29T12:00Z
,11,Sat Oct 29 2022,14:00,CEST/+0200,Cagliari Calcio,1-1,1-1,Reggina 1914,,2022-10-29T12:00Z
,11,Sat Oct 29 2022,14:00,CEST/+0200,Cosenza Calcio,1-2,1-1,Frosinone Calcio,,2022-10-29T12:00Z
,11,Sat Oct 29 2022,14:00,CEST/+0200,Modena FC,0-2,0-2,Palermo FC,,2022-10-29T12:00Z
,11,Sat Oct 29 2022,14:00,CEST/+0200,Venezia FC,0-2,0-0,Ascoli Calcio,,2022-10-29T12:00Z
,11,Sat Oct 29 2022,14:00,CEST/+0200,Parma Calcio 1913,1-0,1-0,Como 1907,,2022-10-29T12:00Z
,11,Sat Oct 29 2022,14:00,CEST/+0200,SPAL 2013 Ferrara,1-1,1-0,FC Südtirol,,2022-10-29T12:00Z
,11,Sat Oct 29 2022,16:15,CEST/+0200,Genoa CFC,1-1,1-0,Brescia Calcio,,2022-10-29T14:15Z
,11,Sun Oct 30 2022,16:15,CET/+0100,AC Perugia Calcio,0-2,0-1,AS Cittadella,,2022-10-30T15:15Z
,12,Sat Nov 5 2022,14:00,CET/+0100,Pisa SC,3-1,2-0,Cosenza Calcio,,2022-11-05T13:00Z
,12,Sat Nov 5 2022,14:00,CET/+0100,AS Cittadella,0-0,0-0,Modena FC,,2022-11-05T13:00Z
,12,Sat Nov 5 2022,14:00,CET/+0100,Benevento Calcio,1-1,1-0,SSC Bari,,2022-11-05T13:00Z
,12,Sat Nov 5 2022,14:00,CET/+0100,Brescia Calcio,1-1,0-0,Ascoli Calcio,,2022-11-05T13:00Z
,12,Sat Nov 5 2022,14:00,CET/+0100,FC Südtirol,2-2,1-1,Cagliari Calcio,,2022-11-05T13:00Z
,12,Sat Nov 5 2022,14:00,CET/+0100,Ternana Calcio,0-0,0-0,SPAL 2013 Ferrara,,2022-11-05T13:00Z
,12,Sat Nov 5 2022,16:15,CET/+0100,Frosinone Calcio,1-0,1-0,AC Perugia Calcio,,2022-11-05T15:15Z
,12,Sat Nov 5 2022,16:15,CET/+0100,Palermo FC,1-0,0-0,Parma Calcio 1913,,2022-11-05T15:15Z
,12,Sun Nov 6 2022,16:15,CET/+0100,Como 1907,1-0,0-0,Venezia FC,,2022-11-06T15:15Z
,12,Mon Nov 7 2022,20:30,CET/+0100,Reggina 1914,2-1,1-1,Genoa CFC,,2022-11-07T19:30Z
,13,Fri Nov 11 2022,20:30,CET/+0100,Ascoli Calcio,0-1,0-0,Frosinone Calcio,,2022-11-11T19:30Z
,13,Sat Nov 12 2022,14:00,CET/+0100,Cagliari Calcio,1-1,0-0,Pisa SC,,2022-11-12T13:00Z
,13,Sat Nov 12 2022,14:00,CET/+0100,Cosenza Calcio,3-2,1-1,Palermo FC,,2022-11-12T13:00Z
,13,Sat Nov 12 2022,14:00,CET/+0100,Modena FC,1-1,1-1,AC Perugia Calcio,,2022-11-12T13:00Z
,13,Sat Nov 12 2022,14:00,CET/+0100,Venezia FC,1-2,1-0,Reggina 1914,,2022-11-12T13:00Z
,13,Sat Nov 12 2022,14:00,CET/+0100,Parma Calcio 1913,3-1,1-0,AS Cittadella,,2022-11-12T13:00Z
,13,Sat Nov 12 2022,14:00,CET/+0100,SPAL 2013 Ferrara,1-2,1-0,Benevento Calcio,,2022-11-12T13:00Z
,13,Sat Nov 12 2022,14:00,CET/+0100,SSC Bari,2-2,1-2,FC Südtirol,,2022-11-12T13:00Z
,13,Sat Nov 12 2022,16:15,CET/+0100,Ternana Calcio,0-0,0-0,Brescia Calcio,,2022-11-12T15:15Z
,13,Sun Nov 13 2022,16:15,CET/+0100,Genoa CFC,1-1,1-0,Como 1907,,2022-11-13T15:15Z
,14,Sat Nov 26 2022,15:00,CET/+0100,Parma Calcio 1913,1-2,0-2,Modena FC,,2022-11-26T14:00Z
,14,Sat Nov 26 2022,18:00,CET/+0100,Pisa SC,3-1,3-1,Ternana Calcio,,2022-11-26T17:00Z
,14,Sun Nov 27 2022,12:30,CET/+0100,Reggina 1914,2-2,2-0,Benevento Calcio,,2022-11-27T11:30Z
,14,Sun Nov 27 2022,15:00,CET/+0100,AC Perugia Calcio,1-0,0-0,Genoa CFC,,2022-11-27T14:00Z
,14,Sun Nov 27 2022,15:00,CET/+0100,AS Cittadella,1-1,1-0,Cosenza Calcio,,2022-11-27T14:00Z
,14,Sun Nov 27 2022,15:00,CET/+0100,Brescia Calcio,2-0,2-0,SPAL 2013 Ferrara,,2022-11-27T14:00Z
,14,Sun Nov 27 2022,15:00,CET/+0100,Como 1907,1-1,1-0,SSC Bari,,2022-11-27T14:00Z
,14,Sun Nov 27 2022,15:00,CET/+0100,FC Südtirol,2-2,0-1,Ascoli Calcio,,2022-11-27T14:00Z
,14,Sun Nov 27 2022,15:00,CET/+0100,Frosinone Calcio,2-2,1-1,Cagliari Calcio,,2022-11-27T14:00Z
,14,Sun Nov 27 2022,18:00,CET/+0100,Palermo FC,0-1,0-0,Venezia FC,,2022-11-27T17:00Z
,15,Sat Dec 3 2022,18:00,CET/+0100,Cagliari Calcio,1-1,0-1,Parma Calcio 1913,,2022-12-03T17:00Z
,15,Sat Dec 3 2022,14:00,CET/+0100,Venezia FC,2-1,2-1,Ternana Calcio,,2022-12-03T13:00Z
,15,Sun Dec 4 2022,12:30,CET/+0100,SPAL 2013 Ferrara,2-3,0-1,Modena FC,,2022-12-04T11:30Z
,15,Sun Dec 4 2022,15:00,CET/+0100,Ascoli Calcio,3-3,1-2,Como 1907,,2022-12-04T14:00Z
,15,Sun Dec 4 2022,15:00,CET/+0100,Brescia Calcio,0-2,0-2,Reggina 1914,,2022-12-04T14:00Z
,15,Sun Dec 4 2022,15:00,CET/+0100,Genoa CFC,0-1,0-0,AS Cittadella,,2022-12-04T14:00Z
,15,Sun Dec 4 2022,15:00,CET/+0100,Cosenza Calcio,0-0,0-0,AC Perugia Calcio,,2022-12-04T14:00Z
,15,Sun Dec 4 2022,15:00,CET/+0100,FC Südtirol,1-1,1-0,Frosinone Calcio,,2022-12-04T14:00Z
,15,Sun Dec 4 2022,15:00,CET/+0100,SSC Bari,0-0,0-0,Pisa SC,,2022-12-04T14:00Z
,15,Sun Dec 4 2022,18:00,CET/+0100,Benevento Calcio,0-1,0-0,Palermo FC,,2022-12-04T17:00Z
,16,Wed Dec 7 2022,20:30,CET/+0100,Ternana Calcio,1-0,1-0,Cagliari Calcio,,2022-12-07T19:30Z
,16,Thu Dec 8 2022,12:30,CET/+0100,Parma Calcio 1913,0-1,0-1,Benevento Calcio,,2022-12-08T11:30Z
,16,Thu Dec 8 2022,15:00,CET/+0100,AC Perugia Calcio,0-0,0-0,SPAL 2013 Ferrara,,2022-12-08T14:00Z
,16,Thu Dec 8 2022,15:00,CET/+0100,AS Cittadella,0-3,0-2,SSC Bari,,2022-12-08T14:00Z
,16,Thu Dec 8 2022,15:00,CET/+0100,Genoa CFC,2-0,0-0,FC Südtirol,,2022-12-08T14:00Z
,16,Thu Dec 8 2022,15:00,CET/+0100,Cosenza Calcio,1-1,0-0,Brescia Calcio,,2022-12-08T14:00Z
,16,Thu Dec 8 2022,15:00,CET/+0100,Modena FC,2-2,1-0,Venezia FC,,2022-12-08T14:00Z
,16,Thu Dec 8 2022,15:00,CET/+0100,Reggina 1914,0-3,0-1,Frosinone Calcio,,2022-12-08T14:00Z
,16,Thu Dec 8 2022,18:00,CET/+0100,Pisa SC,2-0,1-0,Ascoli Calcio,,2022-12-08T17:00Z
,16,Thu Dec 8 2022,20:30,CET/+0100,Palermo FC,0-0,0-0,Como 1907,,2022-12-08T19:30Z
,17,Sun Dec 11 2022,12:30,CET/+0100,Cagliari Calcio,3-2,2-1,AC Perugia Calcio,,2022-12-11T11:30Z
,17,Sun Dec 11 2022,15:00,CET/+0100,Ascoli Calcio,0-0,0-0,Genoa CFC,,2022-12-11T14:00Z
,17,Sun Dec 11 2022,15:00,CET/+0100,Benevento Calcio,1-0,1-0,AS Cittadella,,2022-12-11T14:00Z
,17,Sun Dec 11 2022,15:00,CET/+0100,Como 1907,0-1,0-0,Reggina 1914,,2022-12-11T14:00Z
,17,Sun Dec 11 2022,15:00,CET/+0100,FC Südtirol,0-0,0-0,Ternana Calcio,,2022-12-11T14:00Z
,17,Sun Dec 11 2022,15:00,CET/+0100,Venezia FC,2-0,1-0,Cosenza Calcio,,2022-12-11T14:00Z
,17,Sun Dec 11 2022,15:00,CET/+0100,SPAL 2013 Ferrara,1-1,1-1,Palermo FC,,2022-12-11T14:00Z
,17,Sun Dec 11 2022,18:00,CET/+0100,SSC Bari,4-1,2-0,Modena FC,,2022-12-11T17:00Z
,17,Sun Dec 11 2022,20:30,CET/+0100,Frosinone Calcio,0-0,0-0,Pisa SC,,2022-12-11T19:30Z
,17,Mon Dec 12 2022,20:30,CET/+0100,Brescia Calcio,0-2,0-1,Parma Calcio 1913,,2022-12-12T19:30Z
,18,Sat Dec 17 2022,18:00,CET/+0100,Pisa SC,3-0,2-0,Brescia Calcio,,2022-12-17T17:00Z
,18,Sat Dec 17 2022,20:30,CET/+0100,Reggina 1914,0-0,0-0,SSC Bari,,2022-12-17T19:30Z
,18,Sun Dec 18 2022,14:00,CET/+0100,Cosenza Calcio,1-3,0-1,Ascoli Calcio,,2022-12-18T13:00Z
,18,Sun Dec 18 2022,14:00,CET/+0100,Modena FC,1-1,1-1,Benevento Calcio,,2022-12-18T13:00Z
,18,Sun Dec 18 2022,14:00,CET/+0100,Parma Calcio 1913,0-1,0-1,SPAL 2013 Ferrara,,2022-12-18T13:00Z
,18,Sun Dec 18 2022,14:00,CET/+0100,Ternana Calcio,0-3,0-1,Como 1907,,2022-12-18T13:00Z
,18,Sun Dec 18 2022,18:45,CET/+0100,Palermo FC,2-1,1-0,Cagliari Calcio,,2022-12-18T17:45Z
,18,Sun Dec 18 2022,20:45,CET/+0100,Genoa CFC,1-0,1-0,Frosinone Calcio,,2022-12-18T19:45Z
,18,Sun Dec 18 2022,14:00,CET/+0100,AS Cittadella,0-2,0-2,FC Südtirol,,2022-12-18T13:00Z
,18,Mon Dec 19 2022,20:30,CET/+0100,AC Perugia Calcio,2-1,2-0,Venezia FC,,2022-12-19T19:30Z
,19,Mon Dec 26 2022,12:30,CET/+0100,Brescia Calcio,1-1,0-0,Palermo FC,,2022-12-26T11:30Z
,19,Mon Dec 26 2022,15:00,CET/+0100,Ascoli Calcio,0-1,0-0,Reggina 1914,,2022-12-26T14:00Z
,19,Mon Dec 26 2022,15:00,CET/+0100,Benevento Calcio,0-2,0-1,AC Perugia Calcio,,2022-12-26T14:00Z
,19,Mon Dec 26 2022,15:00,CET/+0100,Cagliari Calcio,2-0,0-0,Cosenza Calcio,,2022-12-26T14:00Z
,19,Mon Dec 26 2022,15:00,CET/+0100,Como 1907,2-0,1-0,AS Cittadella,,2022-12-26T14:00Z
,19,Mon Dec 26 2022,15:00,CET/+0100,FC Südtirol,0-2,0-1,Modena FC,,2022-12-26T14:00Z
,19,Mon Dec 26 2022,15:00,CET/+0100,Venezia FC,2-2,0-1,Parma Calcio 1913,,2022-12-26T14:00Z
,19,Mon Dec 26 2022,15:00,CET/+0100,SPAL 2013 Ferrara,0-1,0-0,Pisa SC,,2022-12-26T14:00Z
,19,Mon Dec 26 2022,18:00,CET/+0100,Frosinone Calcio,3-0,1-0,Ternana Calcio,,2022-12-26T17:00Z
,19,Mon Dec 26 2022,20:30,CET/+0100,SSC Bari,1-2,1-1,Genoa CFC,,2022-12-26T19:30Z
,20,Sat Jan 14 2023,14:00,CET/+0100,AC Perugia Calcio,3-3,3-1,Palermo FC,,2023-01-14T13:00Z
,20,Sat Jan 14 2023,14:00,CET/+0100,Pisa SC,1-2,0-2,AS Cittadella,,2023-01-14T13:00Z
,20,Sat Jan 14 2023,14:00,CET/+0100,Cagliari Calcio,2-0,1-0,Como 1907,,2023-01-14T13:00Z
,20,Sat Jan 14 2023,14:00,CET/+0100,Reggina 1914,0-1,0-0,SPAL 2013 Ferrara,,2023-01-14T13:00Z
,20,Sat Jan 14 2023,14:00,CET/+0100,SSC Bari,4-0,3-0,Parma Calcio 1913,,2023-01-14T13:00Z
,20,Sat Jan 14 2023,16:15,CET/+0100,Frosinone Calcio,2-1,0-0,Modena FC,,2023-01-14T15:15Z
,20,Sun Jan 15 2023,16:15,CET/+0100,Cosenza Calcio,1-1,0-1,Benevento Calcio,,2023-01-15T15:15Z
,20,Sun Jan 15 2023,16:15,CET/+0100,Ternana Calcio,1-0,1-0,Ascoli Calcio,,2023-01-15T15:15Z
,20,Sun Jan 15 2023,14:00,CET/+0100,FC Südtirol,1-0,1-0,Brescia Calcio,,2023-01-15T13:00Z
,20,Mon Jan 16 2023,18:45,CET/+0100,Genoa CFC,1-0,0-0,Venezia FC,,2023-01-16T17:45Z
,21,Fri Jan 20 2023,20:30,CET/+0100,Palermo FC,1-0,0-0,SSC Bari,,2023-01-20T19:30Z
,21,Sat Jan 21 2023,14:00,CET/+0100,Benevento Calcio,1-2,0-1,Genoa CFC,,2023-01-21T13:00Z
,21,Sat Jan 21 2023,14:00,CET/+0100,Como 1907,2-2,1-1,Pisa SC,,2023-01-21T13:00Z
,21,Sat Jan 21 2023,14:00,CET/+0100,Modena FC,2-0,0-0,Cosenza Calcio,,2023-01-21T13:00Z
,21,Sat Jan 21 2023,14:00,CET/+0100,Parma Calcio 1913,2-0,1-0,AC Perugia Calcio,,2023-01-21T13:00Z
,21,Sat Jan 21 2023,14:00,CET/+0100,Reggina 1914,2-1,1-1,Ternana Calcio,,2023-01-21T13:00Z
,21,Sat Jan 21 2023,14:00,CET/+0100,SPAL 2013 Ferrara,1-1,1-1,Ascoli Calcio,,2023-01-21T13:00Z
,21,Sat Jan 21 2023,14:30,CET/+0100,Venezia FC,0-1,0-0,FC Südtirol,,2023-01-21T13:30Z
,21,Sat Jan 21 2023,16:15,CET/+0100,AS Cittadella,0-0,0-0,Cagliari Calcio,,2023-01-21T15:15Z
,21,Sun Jan 22 2023,16:15,CET/+0100,Brescia Calcio,1-3,1-2,Frosinone Calcio,,2023-01-22T15:15Z
