Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,UTC
,11,Sun Oct 9 2022,14:30,CEST/+0200,Sturm Graz,2-1,2-1,WSG Tirol,,2022-10-09T12:30Z
,11,Sun Oct 9 2022,14:30,CEST/+0200,Wolfsberger AC,1-2,0-2,SV Ried,,2022-10-09T12:30Z
,11,Sun Oct 9 2022,17:00,CEST/+0200,Rapid Wien,1-2,0-2,Austria Wien,,2022-10-09T15:00Z
,12,Sat Oct 15 2022,17:00,CEST/+0200,SK Austria Klagenfurt,1-3,0-1,LASK,,2022-10-15T15:00Z
,12,Sat Oct 15 2022,17:00,CEST/+0200,WSG Tirol,3-2,3-0,Austria Lustenau,,2022-10-15T15:00Z
,12,Sat Oct 15 2022,17:00,CEST/+0200,SV Ried,1-0,0-0,Rapid Wien,,2022-10-15T15:00Z
,12,Sun Oct 16 2022,14:30,CEST/+0200,Sturm Graz,3-2,0-1,Wolfsberger AC,,2022-10-16T12:30Z
,12,Sun Oct 16 2022,14:30,CEST/+0200,SCR Altach,1-0,0-0,TSV Hartberg,,2022-10-16T12:30Z
,12,Sun Oct 16 2022,17:00,CEST/+0200,Austria Wien,1-3,1-1,RB Salzburg,,2022-10-16T15:00Z
,13,Sat Oct 22 2022,17:00,CEST/+0200,TSV Hartberg,1-5,1-2,WSG Tirol,,2022-10-22T15:00Z
,13,Sat Oct 22 2022,17:00,CEST/+0200,RB Salzburg,0-0,0-0,Sturm Graz,,2022-10-22T15:00Z
,13,Sat Oct 22 2022,17:00,CEST/+0200,Rapid Wien,0-1,0-1,SK Austria Klagenfurt,,2022-10-22T15:00Z
,13,Sun Oct 23 2022,14:30,CEST/+0200,Austria Lustenau,0-0,0-0,SV Ried,,2022-10-23T12:30Z
,13,Sun Oct 23 2022,14:30,CEST/+0200,Wolfsberger AC,2-3,2-2,SCR Altach,,2022-10-23T12:30Z
,13,Sun Oct 23 2022,17:00,CEST/+0200,LASK,2-2,0-0,Austria Wien,,2022-10-23T15:00Z
,5,Wed Oct 26 2022,16:00,CEST/+0200,Rapid Wien,5-1,1-1,TSV Hartberg,,2022-10-26T14:00Z
,14,Sat Oct 29 2022,17:00,CEST/+0200,SK Austria Klagenfurt,2-3,1-2,WSG Tirol,,2022-10-29T15:00Z
,14,Sat Oct 29 2022,17:00,CEST/+0200,Austria Lustenau,3-3,1-0,Rapid Wien,,2022-10-29T15:00Z
,14,Sat Oct 29 2022,17:00,CEST/+0200,RB Salzburg,1-0,0-0,TSV Hartberg,,2022-10-29T15:00Z
,14,Sun Oct 30 2022,14:30,CET/+0100,Austria Wien,2-1,0-1,SCR Altach,,2022-10-30T13:30Z
,14,Sun Oct 30 2022,14:30,CET/+0100,LASK,4-1,3-0,Wolfsberger AC,,2022-10-30T13:30Z
,14,Sun Oct 30 2022,17:00,CET/+0100,Sturm Graz,2-1,1-0,SV Ried,,2022-10-30T16:00Z
,15,Sat Nov 5 2022,17:00,CET/+0100,TSV Hartberg,1-1,0-1,Austria Lustenau,,2022-11-05T16:00Z
,15,Sat Nov 5 2022,17:00,CET/+0100,Wolfsberger AC,1-2,0-2,RB Salzburg,,2022-11-05T16:00Z
,15,Sat Nov 5 2022,17:00,CET/+0100,SV Ried,2-2,1-0,SK Austria Klagenfurt,,2022-11-05T16:00Z
,15,Sun Nov 6 2022,14:30,CET/+0100,WSG Tirol,0-0,0-0,Austria Wien,,2022-11-06T13:30Z
,15,Sun Nov 6 2022,14:30,CET/+0100,SCR Altach,1-1,1-1,Sturm Graz,,2022-11-06T13:30Z
,15,Sun Nov 6 2022,17:00,CET/+0100,Rapid Wien,1-0,1-0,LASK,,2022-11-06T16:00Z
,16,Sat Nov 12 2022,17:00,CET/+0100,TSV Hartberg,1-2,1-1,Rapid Wien,,2022-11-12T16:00Z
,16,Sat Nov 12 2022,17:00,CET/+0100,WSG Tirol,2-0,2-0,SV Ried,,2022-11-12T16:00Z
,16,Sat Nov 12 2022,17:00,CET/+0100,Austria Lustenau,3-0,2-0,SCR Altach,,2022-11-12T16:00Z
,16,Sun Nov 13 2022,14:30,CET/+0100,Austria Wien,0-1,0-0,Wolfsberger AC,,2022-11-13T13:30Z
,16,Sun Nov 13 2022,17:00,CET/+0100,LASK,1-1,0-0,Sturm Graz,,2022-11-13T16:00Z
,16,Sun Nov 13 2022,14:30,CET/+0100,SK Austria Klagenfurt,0-1,0-0,RB Salzburg,,2022-11-13T13:30Z
,17,Fri Feb 10 2023,20:30,CET/+0100,Sturm Graz,1-0,0-0,Rapid Wien,,2023-02-10T19:30Z
,17,Sat Feb 11 2023,17:00,CET/+0100,RB Salzburg,4-0,0-0,Austria Lustenau,,2023-02-11T16:00Z
,17,Sat Feb 11 2023,17:00,CET/+0100,Wolfsberger AC,1-2,0-0,WSG Tirol,,2023-02-11T16:00Z
,17,Sun Feb 12 2023,14:30,CET/+0100,SCR Altach,0-1,0-1,LASK,,2023-02-12T13:30Z
,17,Sun Feb 12 2023,17:00,CET/+0100,Austria Wien,3-1,1-0,SK Austria Klagenfurt,,2023-02-12T16:00Z
,17,Sun Feb 12 2023,14:30,CET/+0100,SV Ried,0-1,0-0,TSV Hartberg,,2023-02-12T13:30Z
,18,Sat Feb 18 2023,17:00,CET/+0100,TSV Hartberg,1-2,0-2,Sturm Graz,,2023-02-18T16:00Z
,18,Sat Feb 18 2023,17:00,CET/+0100,SK Austria Klagenfurt,0-3,0-3,Wolfsberger AC,,2023-02-18T16:00Z
,18,Sat Feb 18 2023,17:00,CET/+0100,SV Ried,1-1,1-0,LASK,,2023-02-18T16:00Z
