Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Round 1,Fri Jul 29 2022,18:01,CEST/+0200,TSG Neustrelitz,0-8,0-3,Karlsruher SC,,,2022-07-29T16:01Z
Round 1,Fri Jul 29 2022,18:01,CEST/+0200,Dynamo Dresden,0-1,0-1,VfB Stuttgart,,,2022-07-29T16:01Z
Round 1,Fri Jul 29 2022,20:46,CEST/+0200,TSV 1860 München,0-3,0-3,Borussia Dortmund,,,2022-07-29T18:46Z
Round 1,Fri Jul 29 2022,18:01,CEST/+0200,1. FC Kaan-Marienborn,0-2,0-1,1. FC Nürnberg,,,2022-07-29T16:01Z
Round 1,Sat Jul 30 2022,13:01,CEST/+0200,FC Viktoria 1889 Berlin,0-3,0-2,VfL Bochum,,,2022-07-30T11:01Z
Round 1,Sat Jul 30 2022,13:01,CEST/+0200,SV 19 Straelen,3-4,2-2,FC St. Pauli,,,2022-07-30T11:01Z
Round 1,Sat Jul 30 2022,15:31,CEST/+0200,Jahn Regensburg,2-2,2-1,1. FC Köln,2-2,4-3,2022-07-30T13:31Z
Round 1,Sat Jul 30 2022,15:31,CEST/+0200,VfB Lübeck,1-0,0-0,Hansa Rostock,,,2022-07-30T13:31Z
Round 1,Sat Jul 30 2022,15:31,CEST/+0200,SV 07 Elversberg,4-3,3-2,Bayer Leverkusen,,,2022-07-30T13:31Z
Round 1,Sat Jul 30 2022,15:31,CEST/+0200,Einheit Wernigerode,0-10,0-3,SC Paderborn 07,,,2022-07-30T13:31Z
Round 1,Sat Jul 30 2022,15:31,CEST/+0200,FV Illertissen,0-2,0-0,1. FC Heidenheim 1846,,,2022-07-30T13:31Z
Round 1,Sat Jul 30 2022,15:31,CEST/+0200,SpVgg Bayreuth,1-1,1-0,Hamburger SV,1-3,,2022-07-30T13:31Z
Round 1,Sat Jul 30 2022,18:01,CEST/+0200,Kickers Offenbach,1-4,0-1,Fortuna Düsseldorf,,,2022-07-30T16:01Z
Round 1,Sat Jul 30 2022,18:01,CEST/+0200,FC Carl Zeiss Jena,0-1,0-0,VfL Wolfsburg,,,2022-07-30T16:01Z
Round 1,Sat Jul 30 2022,18:01,CEST/+0200,Stuttgarter Kickers,2-0,1-0,SpVgg Greuther Fürth,,,2022-07-30T16:01Z
Round 1,Sun Jul 31 2022,13:01,CEST/+0200,Schwarz-Weiß Rehden,0-4,0-3,SV Sandhausen,,,2022-07-31T11:01Z
Round 1,Sun Jul 31 2022,13:01,CEST/+0200,Bremer SV,0-5,0-4,FC Schalke 04,,,2022-07-31T11:01Z
Round 1,Sun Jul 31 2022,15:31,CEST/+0200,FV Engers 07,1-7,0-2,Arminia Bielefeld,,,2022-07-31T13:31Z
Round 1,Sun Jul 31 2022,15:31,CEST/+0200,TSV Schott Mainz,0-3,0-2,Hannover 96,,,2022-07-31T13:31Z
Round 1,Sun Jul 31 2022,15:31,CEST/+0200,SV Rödinghausen,0-0,0-0,1899 Hoffenheim,0-2,,2022-07-31T13:31Z
Round 1,Sun Jul 31 2022,15:31,CEST/+0200,1. FC Kaiserslautern,1-1,1-0,SC Freiburg,1-2,,2022-07-31T13:31Z
Round 1,Sun Jul 31 2022,15:31,CEST/+0200,SV Oberachern,1-9,0-6,Bor. Mönchengladbach,,,2022-07-31T13:31Z
Round 1,Sun Jul 31 2022,15:31,CEST/+0200,Blau-Weiß Lohne,0-4,0-0,FC Augsburg,,,2022-07-31T13:31Z
Round 1,Sun Jul 31 2022,18:01,CEST/+0200,Eintracht Braunschweig,2-2,0-2,Hertha BSC,4-4,6-5,2022-07-31T16:01Z
Round 1,Sun Jul 31 2022,18:01,CEST/+0200,Waldhof Mannheim,0-0,0-0,Holstein Kiel,0-0,5-3,2022-07-31T16:01Z
Round 1,Sun Jul 31 2022,18:01,CEST/+0200,Erzgebirge Aue,0-3,0-1,1. FSV Mainz 05,,,2022-07-31T16:01Z
Round 1,Mon Aug 1 2022,18:01,CEST/+0200,FC Ingolstadt 04,0-3,0-2,SV Darmstadt 98,,,2022-08-01T16:01Z
Round 1,Mon Aug 1 2022,18:01,CEST/+0200,Energie Cottbus,1-2,0-1,Werder Bremen,,,2022-08-01T16:01Z
Round 1,Mon Aug 1 2022,20:46,CEST/+0200,1. FC Magdeburg,0-4,0-2,Eintracht Frankfurt,,,2022-08-01T18:46Z
Round 1,Mon Aug 1 2022,18:01,CEST/+0200,Chemnitzer FC,1-1,0-0,1. FC Union Berlin,1-2,,2022-08-01T16:01Z
Round 1,Tue Aug 30 2022,20:46,CEST/+0200,FC Teutonia 05,0-8,0-4,RB Leipzig,,,2022-08-30T18:46Z
Round 1,Wed Aug 31 2022,20:46,CEST/+0200,Viktoria Köln,0-5,0-2,Bayern München,,,2022-08-31T18:46Z
Round 2,Tue Oct 18 2022,18:00,CEST/+0200,Stuttgarter Kickers,0-2,0-2,Eintracht Frankfurt,,,2022-10-18T16:00Z
