Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Vorrunde,Wed Oct 19 2022,19:30,CEST/+0200,CD Amigó,0-3,0-2,CD Fuentes,,,2022-10-19T17:30Z
Vorrunde,Wed Oct 19 2022,19:30,CEST/+0200,Ceuta 6 de Junio,0-3,0-1,CD l'Alcora,,,2022-10-19T17:30Z
Vorrunde,Wed Oct 19 2022,20:00,CEST/+0200,Velarde CF,1-0,0-0,Turégano CF,,,2022-10-19T18:00Z
Vorrunde,Wed Oct 19 2022,20:00,CEST/+0200,CD Autol,0-0,0-0,Dinamo San Juan,1-1,8-7,2022-10-19T18:00Z
Vorrunde,Wed Oct 19 2022,20:00,CEST/+0200,CD Algar,4-1,2-1,Melilla CD,,,2022-10-19T18:00Z
Vorrunde,Wed Oct 19 2022,20:00,CEST/+0200,CD Santa Amalia,2-1,1-0,Universitario FC,,,2022-10-19T18:00Z
Vorrunde,Wed Oct 19 2022,20:30,CEST/+0200,UD Barbadás,2-1,1-0,Atlético de Lugones,,,2022-10-19T18:30Z
Vorrunde,Wed Oct 19 2022,20:30,CEST/+0200,CFJ Mollerussa,2-2,2-1,CD Cardassar,4-2,,2022-10-19T18:30Z
Vorrunde,Wed Oct 19 2022,20:30,CEST/+0200,Montilla CF,0-0,0-0,CD Rincón,0-0,3-5,2022-10-19T18:30Z
Vorrunde,Wed Oct 19 2022,20:30,CEST/+0200,CD Cazalegas,1-1,1-0,CD Los Yébenes-San Bruno,2-1,,2022-10-19T18:30Z
Round 1,Sat Nov 12 2022,16:00,CET/+0100,CD Fuentes,1-4,1-1,CA Osasuna,,,2022-11-12T15:00Z
Round 1,Sat Nov 12 2022,16:00,CET/+0100,UD Barbadás,0-2,0-2,Real Valladolid,,,2022-11-12T15:00Z
Round 1,Sat Nov 12 2022,16:00,CET/+0100,CD Manacor,1-3,0-1,FC Andorra,,,2022-11-12T15:00Z
Round 1,Sat Nov 12 2022,17:00,CET/+0100,CD Guijuelo,2-0,0-0,Deportivo La Coruña,,,2022-11-12T16:00Z
Round 1,Sat Nov 12 2022,17:00,CET/+0100,Atlético Saguntino,0-0,0-0,SD Amorebieta,1-0,,2022-11-12T16:00Z
Round 1,Sat Nov 12 2022,17:00,CET/+0100,CDA Navalcarnero,1-1,0-0,UD Logroñés,1-3,,2022-11-12T16:00Z
Round 1,Sat Nov 12 2022,17:00,CET/+0100,UE Olot,0-4,0-4,Levante UD,,,2022-11-12T16:00Z
Round 1,Sat Nov 12 2022,18:00,CET/+0100,CD Huétor Tájar,0-0,0-0,Albacete,0-3,,2022-11-12T17:00Z
Round 1,Sat Nov 12 2022,18:00,CET/+0100,CD Guadalajara,2-1,2-0,SD Ponferradina,,,2022-11-12T17:00Z
Round 1,Sat Nov 12 2022,18:00,CET/+0100,SD Gernika,0-0,0-0,CD Leganés,0-0,6-5,2022-11-12T17:00Z
Round 1,Sat Nov 12 2022,18:00,CET/+0100,Arenas de Getxo,1-0,0-0,CD Lugo,,,2022-11-12T17:00Z
Round 1,Sat Nov 12 2022,18:00,CET/+0100,SD Beasain,2-2,1-1,Sporting Gijón,2-3,,2022-11-12T17:00Z
Round 1,Sat Nov 12 2022,18:00,CET/+0100,Racing Rioja CF,0-2,0-2,Gimnàstic de Tarragona,,,2022-11-12T17:00Z
Round 1,Sat Nov 12 2022,18:00,CET/+0100,Sestao River,1-0,0-0,Racing Ferrol,,,2022-11-12T17:00Z
Round 1,Sat Nov 12 2022,18:00,CET/+0100,Utrera CD,0-1,0-0,AD Ceuta FC,,,2022-11-12T17:00Z
Round 1,Sat Nov 12 2022,18:30,CET/+0100,CD l'Alcora,0-3,0-2,Elche CF,,,2022-11-12T17:30Z
Round 1,Sat Nov 12 2022,18:30,CET/+0100,CD Autol,0-6,0-4,RCD Mallorca,,,2022-11-12T17:30Z
Round 1,Sat Nov 12 2022,20:00,CET/+0100,CD Cristo Atlético,0-0,0-0,UD Ibiza,0-2,,2022-11-12T19:00Z
Round 1,Sat Nov 12 2022,20:00,CET/+0100,CP Cacereño,3-0,2-0,Córdoba CF,,,2022-11-12T19:00Z
Round 1,Sat Nov 12 2022,20:00,CET/+0100,CD Coria,2-0,1-0,CF Fuenlabrada,,,2022-11-12T19:00Z
Round 1,Sat Nov 12 2022,21:00,CET/+0100,CD Santa Amalia,0-9,0-3,Villarreal CF,,,2022-11-12T20:00Z
Round 1,Sat Nov 12 2022,21:00,CET/+0100,CD Rincón,0-3,0-0,Espanyol Barcelona,,,2022-11-12T20:00Z
Round 1,Sat Nov 12 2022,22:00,CET/+0100,SD Almazán,0-2,0-1,Atlético Madrid,,,2022-11-12T21:00Z
Round 1,Sun Nov 13 2022,12:00,CET/+0100,CFJ Mollerussa,1-3,1-1,Rayo Vallecano,,,2022-11-13T11:00Z
Round 1,Sun Nov 13 2022,12:00,CET/+0100,Quintanar del Rey,1-2,0-1,Girona FC,,,2022-11-13T11:00Z
Round 1,Sun Nov 13 2022,12:00,CET/+0100,CF Vimenor,0-2,0-2,CD Mirandés,,,2022-11-13T11:00Z
Round 1,Sun Nov 13 2022,12:00,CET/+0100,CD Lealtad,0-2,0-1,CD Tenerife,,,2022-11-13T11:00Z
Round 1,Sun Nov 13 2022,12:00,CET/+0100,Las Rozas CF,0-3,0-0,SD Eibar,,,2022-11-13T11:00Z
Round 1,Sun Nov 13 2022,12:00,CET/+0100,Peña Deportiva,1-1,1-1,Málaga CF,1-1,7-8,2022-11-13T11:00Z
Round 1,Sun Nov 13 2022,12:00,CET/+0100,CD Alfaro,0-1,0-0,FC Cartagena,,,2022-11-13T11:00Z
Round 1,Sun Nov 13 2022,12:00,CET/+0100,Recreativo Huelva,0-0,0-0,Burgos CF,0-0,3-4,2022-11-13T11:00Z
Round 1,Sun Nov 13 2022,12:00,CET/+0100,Gimnástica Torrelavega,2-3,0-1,Real Oviedo,,,2022-11-13T11:00Z
Round 1,Sun Nov 13 2022,12:00,CET/+0100,CD Diocesano,1-0,1-0,Real Zaragoza,,,2022-11-13T11:00Z
Round 1,Sun Nov 13 2022,12:00,CET/+0100,Juventud Torremolinos,2-2,2-0,SD Huesca,2-2,4-2,2022-11-13T11:00Z
Round 1,Sun Nov 13 2022,12:00,CET/+0100,CD Atlético Paso,1-1,0-1,Real Murcia,1-1,3-2,2022-11-13T11:00Z
Round 1,Sun Nov 13 2022,12:00,CET/+0100,CE Manresa,1-3,1-2,Pontevedra CF,,,2022-11-13T11:00Z
Round 1,Sun Nov 13 2022,12:00,CET/+0100,CD Arnedo,1-1,0-1,Atlético Baleares,1-1,4-3,2022-11-13T11:00Z
Round 1,Sun Nov 13 2022,12:00,CET/+0100,Unión Adarve,1-2,0-2,Linares Deportivo,,,2022-11-13T11:00Z
Round 1,Sun Nov 13 2022,12:00,CET/+0100,CD Ibiza,3-1,0-0,Rayo Majadahonda,,,2022-11-13T11:00Z
Round 1,Sun Nov 13 2022,12:00,CET/+0100,Hércules CF,2-2,0-0,CF La Nucía,2-4,,2022-11-13T11:00Z
Round 1,Sun Nov 13 2022,16:00,CET/+0100,Velarde CF,0-2,0-1,Sevilla FC,,,2022-11-13T15:00Z
Round 1,Sun Nov 13 2022,16:00,CET/+0100,CD Algar,1-6,1-1,RC Celta,,,2022-11-13T15:00Z
Round 1,Sun Nov 13 2022,16:00,CET/+0100,CA Cirbonero,0-1,0-0,CF Intercity,,,2022-11-13T15:00Z
Round 1,Sun Nov 13 2022,16:30,CET/+0100,CD Teruel,0-1,0-0,UD Las Palmas,,,2022-11-13T15:30Z
Round 1,Sun Nov 13 2022,17:00,CET/+0100,Coruxo FC,1-1,1-0,CD Eldense,2-2,2-4,2022-11-13T16:00Z
Round 1,Sun Nov 13 2022,17:00,CET/+0100,AD San Juan,0-2,0-0,CD Numancia,,,2022-11-13T16:00Z
Round 1,Sun Nov 13 2022,17:00,CET/+0100,Ourense CF,2-4,1-0,AD Alcorcón,,,2022-11-13T16:00Z
Round 1,Sun Nov 13 2022,17:00,CET/+0100,Yeclano Deportivo,2-3,0-2,Granada CF,,,2022-11-13T16:00Z
Round 1,Sun Nov 13 2022,18:00,CET/+0100,Lleida Esportiu,0-1,0-0,CD Alavés,,,2022-11-13T17:00Z
Round 1,Sun Nov 13 2022,18:00,CET/+0100,Utebo FC,2-2,1-1,Mérida AD,2-2,3-4,2022-11-13T17:00Z
Round 1,Sun Nov 13 2022,18:30,CET/+0100,Real Unión,3-2,1-1,Cádiz CF,,,2022-11-13T17:30Z
Round 1,Sun Nov 13 2022,18:30,CET/+0100,CD San Roque,2-2,1-0,Getafe CF,2-3,,2022-11-13T17:30Z
Round 1,Sun Nov 13 2022,19:00,CET/+0100,CD Cazalegas,1-4,0-1,Real Sociedad,,,2022-11-13T18:00Z
Round 1,Sun Nov 13 2022,21:00,CET/+0100,CD Arenteiro,2-0,1-0,UD Almería,,,2022-11-13T20:00Z
Round 1,Sun Nov 13 2022,21:00,CET/+0100,UD Alzira,0-2,0-2,Athletic Bilbao,,,2022-11-13T20:00Z
Round 2,Tue Dec 20 2022,19:00,CET/+0100,CD Diocesano,0-2,0-1,Getafe CF,,,2022-12-20T18:00Z
Round 2,Tue Dec 20 2022,19:00,CET/+0100,CF Intercity,2-0,1-0,CD Mirandés,,,2022-12-20T18:00Z
Round 2,Tue Dec 20 2022,21:00,CET/+0100,Real Unión,0-1,0-1,RCD Mallorca,,,2022-12-20T20:00Z
Round 2,Tue Dec 20 2022,21:00,CET/+0100,Sestao River,0-1,0-1,Athletic Bilbao,,,2022-12-20T20:00Z
Round 2,Tue Dec 20 2022,21:00,CET/+0100,CD Guijuelo,1-1,1-1,Villarreal CF,1-2,,2022-12-20T20:00Z
Round 2,Tue Dec 20 2022,21:00,CET/+0100,AD Alcorcón,1-1,0-0,FC Cartagena,1-1,2-4,2022-12-20T20:00Z
Round 2,Tue Dec 20 2022,22:00,CET/+0100,CD Atlético Paso,0-1,0-0,Espanyol Barcelona,,,2022-12-20T21:00Z
Round 2,Tue Dec 20 2022,19:00,CET/+0100,CD Guadalajara,0-3,0-1,Elche CF,,,2022-12-20T18:00Z
Round 2,Wed Dec 21 2022,19:00,CET/+0100,Atlético Saguntino,0-0,0-0,Rayo Vallecano,0-0,1-3,2022-12-21T18:00Z
Round 2,Wed Dec 21 2022,19:00,CET/+0100,CD Ibiza,1-0,0-0,SD Eibar,,,2022-12-21T18:00Z
Round 2,Wed Dec 21 2022,19:00,CET/+0100,Mérida AD,0-1,0-1,CD Alavés,,,2022-12-21T18:00Z
Round 2,Wed Dec 21 2022,19:00,CET/+0100,CD Numancia,0-3,0-2,Sporting Gijón,,,2022-12-21T18:00Z
Round 2,Wed Dec 21 2022,19:00,CET/+0100,Levante UD,2-1,2-0,FC Andorra,,,2022-12-21T18:00Z
Round 2,Wed Dec 21 2022,21:00,CET/+0100,Arenas de Getxo,1-5,1-2,Real Valladolid,,,2022-12-21T20:00Z
Round 2,Wed Dec 21 2022,21:00,CET/+0100,Juventud Torremolinos,0-3,0-1,Sevilla FC,,,2022-12-21T20:00Z
Round 2,Wed Dec 21 2022,21:00,CET/+0100,CD Arnedo,1-3,0-3,CA Osasuna,,,2022-12-21T20:00Z
Round 2,Wed Dec 21 2022,21:00,CET/+0100,CD Coria,0-5,0-3,Real Sociedad,,,2022-12-21T20:00Z
Round 2,Wed Dec 21 2022,21:00,CET/+0100,UD Logroñés,0-0,0-0,Albacete,0-0,4-3,2022-12-21T20:00Z
Round 2,Wed Dec 21 2022,21:00,CET/+0100,AD Ceuta FC,3-2,2-2,UD Ibiza,,,2022-12-21T20:00Z
Round 2,Wed Dec 21 2022,21:00,CET/+0100,Pontevedra CF,2-1,2-0,CD Tenerife,,,2022-12-21T20:00Z
Round 2,Thu Dec 22 2022,19:00,CET/+0100,CP Cacereño,2-1,1-1,Girona FC,,,2022-12-22T18:00Z
Round 2,Thu Dec 22 2022,19:00,CET/+0100,Linares Deportivo,1-0,0-0,Racing Santander,,,2022-12-22T18:00Z
Round 2,Thu Dec 22 2022,19:00,CET/+0100,CD Eldense,1-0,1-0,Burgos CF,,,2022-12-22T18:00Z
Round 2,Thu Dec 22 2022,21:00,CET/+0100,CD Arenteiro,1-3,1-1,Atlético Madrid,,,2022-12-22T20:00Z
Round 2,Thu Dec 22 2022,21:00,CET/+0100,Gimnàstic de Tarragona,2-1,1-1,Málaga CF,,,2022-12-22T20:00Z
Round 2,Thu Dec 22 2022,21:00,CET/+0100,CF La Nucía,0-0,0-0,UD Las Palmas,0-0,6-5,2022-12-22T20:00Z
Round 2,Thu Dec 22 2022,21:00,CET/+0100,Real Oviedo,1-0,1-0,Granada CF,,,2022-12-22T20:00Z
Round 2,Thu Dec 22 2022,19:00,CET/+0100,SD Gernika,0-3,0-1,RC Celta,,,2022-12-22T18:00Z
Round 3,Tue Jan 3 2023,19:00,CET/+0100,CF La Nucía,0-3,0-2,Valencia CF,,,2023-01-03T18:00Z
Round 3,Tue Jan 3 2023,19:00,CET/+0100,FC Cartagena,1-5,1-0,Villarreal CF,,,2023-01-03T18:00Z
Round 3,Tue Jan 3 2023,19:00,CET/+0100,Espanyol Barcelona,1-1,0-1,RC Celta,3-1,,2023-01-03T18:00Z
