Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Vorrunde,Sat Jul 30 2022,18:00,CEST/+0200,FC Südtirol,1-3,0-1,Feralpisalò,,,2022-07-30T16:00Z
Vorrunde,Sun Jul 31 2022,21:00,CEST/+0200,SSC Bari,3-0,2-0,Calcio Padova,,,2022-07-31T19:00Z
Vorrunde,Sun Jul 31 2022,21:00,CEST/+0200,Palermo FC,3-2,2-0,AC Reggiana 1919,,,2022-07-31T19:00Z
Vorrunde,Sun Jul 31 2022,20:30,CEST/+0200,Modena FC,3-1,2-0,US Catanzaro,,,2022-07-31T18:30Z
Round 1,Fri Aug 5 2022,18:00,CEST/+0200,Udinese Calcio,2-1,1-0,Feralpisalò,,,2022-08-05T16:00Z
Round 1,Fri Aug 5 2022,21:00,CEST/+0200,US Lecce,1-1,0-0,AS Cittadella,2-3,,2022-08-05T19:00Z
Round 1,Fri Aug 5 2022,21:15,CEST/+0200,Sampdoria,1-0,0-0,Reggina 1914,,,2022-08-05T19:15Z
Round 1,Fri Aug 5 2022,17:45,CEST/+0200,Cagliari Calcio,3-2,1-1,AC Perugia Calcio,,,2022-08-05T15:45Z
Round 1,Sat Aug 6 2022,17:45,CEST/+0200,Pisa SC,1-4,1-1,Brescia Calcio,,,2022-08-06T15:45Z
Round 1,Sat Aug 6 2022,18:00,CEST/+0200,Spezia Calcio,5-1,1-0,Como 1907,,,2022-08-06T16:00Z
Round 1,Sat Aug 6 2022,21:00,CEST/+0200,Empoli FC,1-1,0-0,SPAL 2013 Ferrara,1-2,,2022-08-06T19:00Z
Round 1,Sat Aug 6 2022,21:15,CEST/+0200,Torino FC,3-0,0-0,Palermo FC,,,2022-08-06T19:15Z
Round 1,Sun Aug 7 2022,18:00,CEST/+0200,Hellas Verona,1-4,1-2,SSC Bari,,,2022-08-07T16:00Z
Round 1,Sun Aug 7 2022,21:00,CEST/+0200,US Salernitana 1919,0-2,0-0,Parma Calcio 1913,,,2022-08-07T19:00Z
Round 1,Sun Aug 7 2022,21:15,CEST/+0200,AC Monza,3-2,2-0,Frosinone Calcio,,,2022-08-07T19:15Z
Round 1,Sun Aug 7 2022,17:45,CEST/+0200,Venezia FC,2-3,0-1,Ascoli Calcio,,,2022-08-07T15:45Z
Round 1,Mon Aug 8 2022,17:45,CEST/+0200,Genoa CFC,3-2,2-1,Benevento Calcio,,,2022-08-08T15:45Z
Round 1,Mon Aug 8 2022,18:00,CEST/+0200,Modena FC,3-2,2-1,Sassuolo Calcio,,,2022-08-08T16:00Z
Round 1,Mon Aug 8 2022,21:00,CEST/+0200,US Cremonese,3-2,2-0,Ternana Calcio,,,2022-08-08T19:00Z
Round 1,Mon Aug 8 2022,21:15,CEST/+0200,Bologna FC,1-0,0-0,Cosenza Calcio,,,2022-08-08T19:15Z
Round 2,Tue Oct 18 2022,21:00,CEST/+0200,Torino FC,4-0,1-0,AS Cittadella,,,2022-10-18T19:00Z
Round 2,Tue Oct 18 2022,18:00,CEST/+0200,Genoa CFC,1-0,1-0,SPAL 2013 Ferrara,,,2022-10-18T16:00Z
Round 2,Wed Oct 19 2022,15:00,CEST/+0200,Spezia Calcio,3-1,1-0,Brescia Calcio,,,2022-10-19T13:00Z
Round 2,Wed Oct 19 2022,18:00,CEST/+0200,Parma Calcio 1913,1-0,1-0,SSC Bari,,,2022-10-19T16:00Z
Round 2,Wed Oct 19 2022,21:00,CEST/+0200,Udinese Calcio,2-3,0-1,AC Monza,,,2022-10-19T19:00Z
Round 2,Thu Oct 20 2022,18:00,CEST/+0200,Sampdoria,1-1,1-1,Ascoli Calcio,2-2,9-8,2022-10-20T16:00Z
Round 2,Thu Oct 20 2022,21:00,CEST/+0200,Bologna FC,1-0,0-0,Cagliari Calcio,,,2022-10-20T19:00Z
Round 2,Thu Oct 20 2022,15:00,CEST/+0200,US Cremonese,2-2,0-0,Modena FC,4-2,,2022-10-20T13:00Z
Round of 16,Tue Jan 10 2023,21:00,CET/+0100,Inter,1-1,0-1,Parma Calcio 1913,2-1,,2023-01-10T20:00Z
Round of 16,Wed Jan 11 2023,21:00,CET/+0100,AC Milan,0-0,0-0,Torino FC,0-1,,2023-01-11T20:00Z
Round of 16,Thu Jan 12 2023,21:00,CET/+0100,AS Roma,1-0,0-0,Genoa CFC,,,2023-01-12T20:00Z
Round of 16,Thu Jan 12 2023,18:00,CET/+0100,ACF Fiorentina,1-0,1-0,Sampdoria,,,2023-01-12T17:00Z
Round of 16,Tue Jan 17 2023,21:00,CET/+0100,SSC Napoli,2-2,2-1,US Cremonese,2-2,4-5,2023-01-17T20:00Z
Round of 16,Thu Jan 19 2023,15:00,CET/+0100,Atalanta,5-2,3-2,Spezia Calcio,,,2023-01-19T14:00Z
Round of 16,Thu Jan 19 2023,18:00,CET/+0100,Lazio Roma,1-0,1-0,Bologna FC,,,2023-01-19T17:00Z
Round of 16,Thu Jan 19 2023,21:00,CET/+0100,Juventus,2-1,1-1,AC Monza,,,2023-01-19T20:00Z
Quarterfinals,Tue Jan 31 2023,21:00,CET/+0100,Inter,1-0,0-0,Atalanta,,,2023-01-31T20:00Z
Quarterfinals,Wed Feb 1 2023,21:00,CET/+0100,AS Roma,1-2,0-1,US Cremonese,,,2023-02-01T20:00Z
Quarterfinals,Wed Feb 1 2023,18:00,CET/+0100,ACF Fiorentina,2-1,0-0,Torino FC,,,2023-02-01T17:00Z
Quarterfinals,Thu Feb 2 2023,21:00,CET/+0100,Juventus,1-0,1-0,Lazio Roma,,,2023-02-02T20:00Z
Semifinals,Tue Apr 4 2023,21:00,CEST/+0200,Juventus,1-1,0-0,Inter,,,2023-04-04T19:00Z
Semifinals,Wed Apr 5 2023,21:00,CEST/+0200,US Cremonese,0-2,0-1,ACF Fiorentina,,,2023-04-05T19:00Z
