Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Fri Jul 22 2022,19:00,CEST/+0200,VfL Osnabrück,1-0,0-0,MSV Duisburg,,2022-07-22T17:00Z
1,Sat Jul 23 2022,14:00,CEST/+0200,VfB Oldenburg,1-1,0-1,SV Meppen,,2022-07-23T12:00Z
1,Sat Jul 23 2022,14:00,CEST/+0200,FC Ingolstadt 04,1-0,1-0,SpVgg Bayreuth,,2022-07-23T12:00Z
1,Sat Jul 23 2022,14:00,CEST/+0200,Waldhof Mannheim,3-1,0-0,Viktoria Köln,,2022-07-23T12:00Z
1,Sat Jul 23 2022,14:00,CEST/+0200,Rot-Weiss Essen,1-5,1-4,SV 07 Elversberg,,2022-07-23T12:00Z
1,Sat Jul 23 2022,14:00,CEST/+0200,Dynamo Dresden,3-4,0-2,TSV 1860 München,,2022-07-23T12:00Z
1,Sat Jul 23 2022,14:00,CEST/+0200,1. FC Saarbrücken,1-0,0-0,SC Verl,,2022-07-23T12:00Z
1,Sun Jul 24 2022,14:00,CEST/+0200,FSV Zwickau,3-2,2-0,Hallescher FC,,2022-07-24T12:00Z
1,Sun Jul 24 2022,13:00,CEST/+0200,SC Freiburg II,1-1,0-1,Erzgebirge Aue,,2022-07-24T11:00Z
1,Mon Jul 25 2022,19:00,CEST/+0200,SV Wehen Wiesbaden,1-1,0-0,Borussia Dortmund II,,2022-07-25T17:00Z
2,Fri Aug 5 2022,19:00,CEST/+0200,MSV Duisburg,2-2,1-0,Rot-Weiss Essen,,2022-08-05T17:00Z
2,Sat Aug 6 2022,14:00,CEST/+0200,TSV 1860 München,1-0,0-0,VfB Oldenburg,,2022-08-06T12:00Z
2,Sat Aug 6 2022,14:00,CEST/+0200,SV 07 Elversberg,0-2,0-0,1. FC Saarbrücken,,2022-08-06T12:00Z
2,Sat Aug 6 2022,14:00,CEST/+0200,Viktoria Köln,1-0,0-0,SV Wehen Wiesbaden,,2022-08-06T12:00Z
2,Sat Aug 6 2022,14:00,CEST/+0200,SV Meppen,3-0,0-0,FSV Zwickau,,2022-08-06T12:00Z
2,Sat Aug 6 2022,14:00,CEST/+0200,Hallescher FC,0-2,0-1,Dynamo Dresden,,2022-08-06T12:00Z
2,Sat Aug 6 2022,14:00,CEST/+0200,SpVgg Bayreuth,0-1,0-0,SC Freiburg II,,2022-08-06T12:00Z
2,Sun Aug 7 2022,14:00,CEST/+0200,Erzgebirge Aue,1-1,1-1,VfL Osnabrück,,2022-08-07T12:00Z
