Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Fri Jul 29 2022,19:00,CEST/+0200,SC Neusiedl/See 1919,6-0,3-0,ASV Draßburg,,2022-07-29T17:00Z
1,Fri Jul 29 2022,19:30,CEST/+0200,SV Leobendorf,1-4,1-2,FC Marchfeld Donauauen,,2022-07-29T17:30Z
1,Fri Jul 29 2022,19:30,CEST/+0200,FCM Traiskirchen,1-2,1-0,Kremser SC,,2022-07-29T17:30Z
1,Fri Jul 29 2022,19:00,CEST/+0200,USV Scheiblingkirchen-Warth,4-1,4-1,1. Wiener Neustädter SC,,2022-07-29T17:00Z
1,Sat Jul 30 2022,17:30,CEST/+0200,SV Stripfing/Weiden,4-1,1-1,Wiener Sport-Club,,2022-07-30T15:30Z
1,Sat Jul 30 2022,18:00,CEST/+0200,TWL Elektra,4-1,1-0,SC Wiener Viktoria,,2022-07-30T16:00Z
1,Sat Jul 30 2022,18:30,CEST/+0200,ASK-BSC Bruck/Leitha,2-1,2-0,ASV Siegendorf,,2022-07-30T16:30Z
1,Sat Jul 30 2022,17:30,CEST/+0200,SR Donaufeld,1-2,1-0,FC Mauerwerk,,2022-07-30T15:30Z
2,Fri Aug 5 2022,19:00,CEST/+0200,FC Marchfeld Donauauen,1-1,1-1,TWL Elektra,,2022-08-05T17:00Z
2,Fri Aug 5 2022,19:00,CEST/+0200,ASV Draßburg,0-1,0-0,ASV Siegendorf,,2022-08-05T17:00Z
2,Fri Aug 5 2022,19:30,CEST/+0200,1. Wiener Neustädter SC,2-3,1-1,SV Stripfing/Weiden,,2022-08-05T17:30Z
2,Fri Aug 5 2022,19:30,CEST/+0200,Wiener Sport-Club,2-1,1-0,FCM Traiskirchen,,2022-08-05T17:30Z
2,Fri Aug 5 2022,20:00,CEST/+0200,SC Neusiedl/See 1919,3-3,3-0,USV Scheiblingkirchen-Warth,,2022-08-05T18:00Z
2,Fri Aug 5 2022,20:00,CEST/+0200,Kremser SC,4-6,2-4,SR Donaufeld,,2022-08-05T18:00Z
2,Sat Aug 6 2022,17:30,CEST/+0200,FC Mauerwerk,2-2,1-2,SV Leobendorf,,2022-08-06T15:30Z
2,Sat Aug 6 2022,17:30,CEST/+0200,SC Wiener Viktoria,5-1,3-0,ASK-BSC Bruck/Leitha,,2022-08-06T15:30Z
3,Fri Aug 12 2022,19:00,CEST/+0200,ASK-BSC Bruck/Leitha,1-2,1-1,FC Marchfeld Donauauen,,2022-08-12T17:00Z
3,Fri Aug 12 2022,19:00,CEST/+0200,USV Scheiblingkirchen-Warth,1-1,0-0,ASV Draßburg,,2022-08-12T17:00Z
3,Fri Aug 12 2022,19:00,CEST/+0200,ASV Siegendorf,2-0,1-0,SC Wiener Viktoria,,2022-08-12T17:00Z
3,Fri Aug 12 2022,19:30,CEST/+0200,TWL Elektra,6-0,3-0,FC Mauerwerk,,2022-08-12T17:30Z
3,Fri Aug 12 2022,19:30,CEST/+0200,FCM Traiskirchen,3-2,2-0,1. Wiener Neustädter SC,,2022-08-12T17:30Z
3,Sat Aug 13 2022,17:30,CEST/+0200,SR Donaufeld,0-1,0-0,Wiener Sport-Club,,2022-08-13T15:30Z
3,Sat Aug 13 2022,18:30,CEST/+0200,SV Leobendorf,4-1,1-0,Kremser SC,,2022-08-13T16:30Z
3,Sat Aug 13 2022,17:30,CEST/+0200,SV Stripfing/Weiden,2-0,0-0,SC Neusiedl/See 1919,,2022-08-13T15:30Z
