Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Aug 12 2022,21:00,CEST/+0200,Levante UD,0-0,0-0,SD Huesca,2022-08-12T19:00Z
1,Sat Aug 13 2022,19:00,CEST/+0200,CD Mirandés,1-1,1-1,Sporting Gijón,2022-08-13T17:00Z
1,Sat Aug 13 2022,21:00,CEST/+0200,CD Leganés,1-2,0-1,CD Alavés,2022-08-13T19:00Z
1,Sat Aug 13 2022,23:00,CEST/+0200,UD Las Palmas,0-0,0-0,Real Zaragoza,2022-08-13T21:00Z
1,Sat Aug 13 2022,17:00,CEST/+0200,SD Eibar,2-1,0-0,CD Tenerife,2022-08-13T15:00Z
1,Sun Aug 14 2022,17:30,CEST/+0200,Racing Santander,0-2,0-0,Villarreal CF B,2022-08-14T15:30Z
1,Sun Aug 14 2022,19:30,CEST/+0200,UD Ibiza,0-2,0-0,Granada CF,2022-08-14T17:30Z
1,Sun Aug 14 2022,22:00,CEST/+0200,Burgos CF,1-0,0-0,Málaga CF,2022-08-14T20:00Z
1,Mon Aug 15 2022,19:30,CEST/+0200,CD Lugo,1-2,1-1,Albacete,2022-08-15T17:30Z
1,Mon Aug 15 2022,22:00,CEST/+0200,FC Cartagena,2-3,1-1,SD Ponferradina,2022-08-15T20:00Z
1,Mon Aug 15 2022,17:30,CEST/+0200,Real Oviedo,0-1,0-0,FC Andorra,2022-08-15T15:30Z
2,Fri Aug 19 2022,22:00,CEST/+0200,CD Alavés,1-0,1-0,CD Mirandés,2022-08-19T20:00Z
2,Fri Aug 19 2022,20:00,CEST/+0200,Villarreal CF B,2-2,2-1,SD Eibar,2022-08-19T18:00Z
2,Sat Aug 20 2022,17:30,CEST/+0200,Sporting Gijón,4-1,1-0,FC Andorra,2022-08-20T15:30Z
2,Sat Aug 20 2022,19:30,CEST/+0200,Albacete,0-0,0-0,Burgos CF,2022-08-20T17:30Z
2,Sat Aug 20 2022,19:30,CEST/+0200,Real Zaragoza,0-0,0-0,Levante UD,2022-08-20T17:30Z
2,Sat Aug 20 2022,22:00,CEST/+0200,Granada CF,2-0,0-0,Racing Santander,2022-08-20T20:00Z
2,Sun Aug 21 2022,19:30,CEST/+0200,SD Huesca,2-3,1-1,FC Cartagena,2022-08-21T17:30Z
2,Sun Aug 21 2022,22:00,CEST/+0200,CD Tenerife,1-1,1-0,CD Lugo,2022-08-21T20:00Z
2,Sun Aug 21 2022,17:30,CEST/+0200,Real Oviedo,1-0,0-0,CD Leganés,2022-08-21T15:30Z
