Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Apertura,1,Fri Jun 24 2022,21:05,CDT/-0500,Mineros de Zacatecas,1-0,0-0,Club Celaya,,,2022-06-25T02:05Z
Apertura,1,Sat Jun 25 2022,21:05,CDT/-0500,Leones Negros,0-0,0-0,Alebrijes de Oaxaca,,,2022-06-26T02:05Z
Apertura,1,Sun Jun 26 2022,17:00,CDT/-0500,Tepatitlán,2-0,0-0,Dorados de Sinaloa,,,2022-06-26T22:00Z
Apertura,1,Sun Jun 26 2022,19:05,CDT/-0500,Venados FC,1-3,0-2,Correcaminos UAT,,,2022-06-27T00:05Z
Apertura,1,Sun Jun 26 2022,21:05,CDT/-0500,Pumas Tabasco,1-2,1-0,Cancún FC,,,2022-06-27T02:05Z
Apertura,1,Wed Jun 29 2022,19:05,CDT/-0500,Coyotes de Tlaxcala,2-0,1-0,Cimarrones de Sonora,,,2022-06-30T00:05Z
Apertura,1,Wed Jun 29 2022,21:05,CDT/-0500,CF Monterrey II,1-0,1-0,Atlético Morelia,,,2022-06-30T02:05Z
Apertura,1,Wed Jun 29 2022,17:00,CDT/-0500,Tapatío,3-1,1-1,Alacranes de Durango,,,2022-06-29T22:00Z
Apertura,1,Thu Jun 30 2022,19:00,CDT/-0500,Atlante,3-0,1-0,Atlético La Paz,,,2022-07-01T00:00Z
Apertura,2,Tue Jul 5 2022,17:00,CDT/-0500,Atlético Morelia,2-0,1-0,Coyotes de Tlaxcala,,,2022-07-05T22:00Z
Apertura,2,Tue Jul 5 2022,19:05,CDT/-0500,Cancún FC,0-1,0-0,CF Monterrey II,,,2022-07-06T00:05Z
Apertura,2,Tue Jul 5 2022,21:05,CDT/-0500,Dorados de Sinaloa,1-2,1-0,Cimarrones de Sonora,,,2022-07-06T02:05Z
Apertura,2,Wed Jul 6 2022,19:05,CDT/-0500,Mineros de Zacatecas,3-4,1-3,Tapatío,,,2022-07-07T00:05Z
Apertura,2,Wed Jul 6 2022,17:00,CDT/-0500,Alacranes de Durango,0-0,0-0,Atlético La Paz,,,2022-07-06T22:00Z
Apertura,2,Thu Jul 7 2022,19:05,CDT/-0500,Correcaminos UAT,1-2,1-1,Atlante,,,2022-07-08T00:05Z
Apertura,2,Thu Jul 7 2022,17:00,CDT/-0500,Alebrijes de Oaxaca,0-0,0-0,Venados FC,,,2022-07-07T22:00Z
Apertura,2,Fri Jul 8 2022,17:00,CDT/-0500,Club Celaya,2-1,1-0,Pumas Tabasco,,,2022-07-08T22:00Z
Apertura,2,Sun Jul 10 2022,21:00,CDT/-0500,Leones Negros,3-0,1-0,Tepatitlán,,,2022-07-11T02:00Z
Apertura,3,Tue Jul 12 2022,19:05,CDT/-0500,Correcaminos UAT,5-3,1-0,Alacranes de Durango,,,2022-07-13T00:05Z
Apertura,3,Tue Jul 12 2022,21:05,CDT/-0500,Cimarrones de Sonora,3-0,1-0,Mineros de Zacatecas,,,2022-07-13T02:05Z
Apertura,3,Tue Jul 12 2022,17:00,CDT/-0500,Coyotes de Tlaxcala,0-2,0-1,Dorados de Sinaloa,,,2022-07-12T22:00Z
Apertura,3,Wed Jul 13 2022,17:00,CDT/-0500,Tepatitlán,1-2,1-1,CF Monterrey II,,,2022-07-13T22:00Z
Apertura,3,Wed Jul 13 2022,19:05,CDT/-0500,Atlante,2-0,2-0,Cancún FC,,,2022-07-14T00:05Z
Apertura,3,Wed Jul 13 2022,21:05,CDT/-0500,Atlético La Paz,2-2,1-1,Leones Negros,,,2022-07-14T02:05Z
Apertura,3,Thu Jul 14 2022,19:05,CDT/-0500,Pumas Tabasco,0-2,0-0,Alebrijes de Oaxaca,,,2022-07-15T00:05Z
Apertura,3,Thu Jul 14 2022,21:05,CDT/-0500,Venados FC,3-2,2-1,Club Celaya,,,2022-07-15T02:05Z
Apertura,3,Thu Jul 14 2022,17:00,CDT/-0500,Tapatío,2-0,0-0,Atlético Morelia,,,2022-07-14T22:00Z
Apertura,4,Tue Jul 19 2022,17:00,CDT/-0500,Mineros de Zacatecas,1-1,1-0,Tepatitlán,,,2022-07-19T22:00Z
Apertura,4,Tue Jul 19 2022,19:05,CDT/-0500,Cancún FC,1-0,1-0,Coyotes de Tlaxcala,,,2022-07-20T00:05Z
Apertura,4,Tue Jul 19 2022,21:05,CDT/-0500,Dorados de Sinaloa,1-0,1-0,Atlético La Paz,,,2022-07-20T02:05Z
