Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Fri Apr 18 2014,19:30,-0300,Joinville SC,3-0 (*),,Portuguesa SP,awd.,2014-04-18T22:30Z
1,Fri Apr 18 2014,19:30,-0300,Vila Nova GO,0-0,0-0,Luverdense MT,,2014-04-18T22:30Z
1,Fri Apr 18 2014,21:50,-0300,Ponte Preta,1-1,0-1,Icasa CE,,2014-04-19T00:50Z
1,Fri Apr 18 2014,19:30,-0300,Sampaio Corrêa MA,0-2,0-0,Paraná Clube,,2014-04-18T22:30Z
1,Sat Apr 19 2014,16:20,-0300,CA Bragantino,2-2,1-0,Náutico PE,,2014-04-19T19:20Z
1,Sat Apr 19 2014,16:20,-0300,Vasco da Gama RJ,1-1,0-0,América MG,,2014-04-19T19:20Z
1,Sat Apr 19 2014,16:20,-0300,Santa Cruz PE,1-1,1-0,ABC RN,,2014-04-19T19:20Z
1,Sat Apr 19 2014,16:20,-0300,Boa Esporte MG,1-1,1-1,Atlético Goianiense,,2014-04-19T19:20Z
1,Sat Apr 19 2014,21:00,-0300,Ceará CE,1-0,1-0,Oeste SP,,2014-04-20T00:00Z
1,Sat Apr 19 2014,21:00,-0300,América RN,3-1,2-1,Avaí SC,,2014-04-20T00:00Z
2,Tue Apr 22 2014,21:50,-0300,Avaí SC,1-2,1-1,CA Bragantino,,2014-04-23T00:50Z
2,Fri Apr 25 2014,21:00,-0300,Paraná Clube,2-3,2-2,Joinville SC,,2014-04-26T00:00Z
2,Fri Apr 25 2014,19:30,-0300,Icasa CE,0-3,0-2,Sampaio Corrêa MA,,2014-04-25T22:30Z
2,Sat Apr 26 2014,16:20,-0300,Oeste SP,2-1,0-0,América RN,,2014-04-26T19:20Z
2,Sat Apr 26 2014,16:20,-0300,Portuguesa SP,1-1,0-0,Santa Cruz PE,,2014-04-26T19:20Z
2,Sat Apr 26 2014,16:20,-0300,Náutico PE,2-0,1-0,Vila Nova GO,,2014-04-26T19:20Z
2,Sat Apr 26 2014,16:20,-0300,Luverdense MT,2-1,1-0,Vasco da Gama RJ,,2014-04-26T19:20Z
2,Sat Apr 26 2014,16:20,-0300,Atlético Goianiense,2-2,1-1,Ponte Preta,,2014-04-26T19:20Z
2,Sat Apr 26 2014,21:00,-0300,ABC RN,1-0,1-0,Boa Esporte MG,,2014-04-27T00:00Z
2,Sat Apr 26 2014,21:00,-0300,América MG,3-0,2-0,Ceará CE,,2014-04-27T00:00Z
3,Tue Apr 29 2014,21:50,-0300,CA Bragantino,2-2,0-0,Portuguesa SP,,2014-04-30T00:50Z
3,Fri May 2 2014,19:30,-0300,Joinville SC,2-1,2-0,Icasa CE,,2014-05-02T22:30Z
3,Fri May 2 2014,21:00,-0300,Santa Cruz PE,1-1,1-1,Paraná Clube,,2014-05-03T00:00Z
3,Sat May 3 2014,16:20,-0300,Ponte Preta,2-2,1-2,Luverdense MT,,2014-05-03T19:20Z
3,Sat May 3 2014,16:20,-0300,Vasco da Gama RJ,3-0,1-0,Atlético Goianiense,,2014-05-03T19:20Z
