Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
,1,Sat Jan 19 2019,19:00,-0200,Brasil de Pelotas RS,0-3,,S.E.R. Caxias RS,,2019-01-19T21:00Z
,1,Sat Jan 19 2019,19:00,-0200,Veranópolis RS,1-1,,Avenida RS,,2019-01-19T21:00Z
,1,Sun Jan 20 2019,17:00,-0200,Novo Hamburgo RS,0-4,,Grêmio Porto Alegre,,2019-01-20T19:00Z
,1,Sun Jan 20 2019,18:00,-0200,Aimoré RS,1-0,,São José RS,,2019-01-20T20:00Z
,1,Sun Jan 20 2019,19:00,-0200,São Luiz RS,0-1,,Internacional,,2019-01-20T21:00Z
,1,Sun Jan 20 2019,17:00,-0200,Pelotas RS,0-1,,Juventude RS,,2019-01-20T19:00Z
,2,Tue Jan 22 2019,20:30,-0200,Avenida RS,1-1,,Brasil de Pelotas RS,,2019-01-22T22:30Z
,2,Wed Jan 23 2019,20:30,-0200,Aimoré RS,1-1,,Grêmio Porto Alegre,,2019-01-23T22:30Z
,2,Wed Jan 23 2019,20:30,-0200,Juventude RS,0-1,,São José RS,,2019-01-23T22:30Z
,2,Wed Jan 23 2019,20:30,-0200,Novo Hamburgo RS,1-0,,Veranópolis RS,,2019-01-23T22:30Z
,2,Wed Jan 23 2019,20:30,-0200,São Luiz RS,1-1,,S.E.R. Caxias RS,,2019-01-23T22:30Z
,2,Thu Jan 24 2019,21:15,-0200,Internacional,1-2,,Pelotas RS,,2019-01-24T23:15Z
,3,Sat Jan 26 2019,19:00,-0200,Brasil de Pelotas RS,0-0,,Novo Hamburgo RS,,2019-01-26T21:00Z
,3,Sun Jan 27 2019,18:00,-0200,S.E.R. Caxias RS,1-0,,Avenida RS,,2019-01-27T20:00Z
,3,Sun Jan 27 2019,18:00,-0200,Pelotas RS,0-0,,São Luiz RS,,2019-01-27T20:00Z
,3,Sun Jan 27 2019,19:00,-0200,Veranópolis RS,1-1,,Aimoré RS,,2019-01-27T21:00Z
,3,Sun Jan 27 2019,17:00,-0200,São José RS,2-0,,Internacional,,2019-01-27T19:00Z
,3,Mon Jan 28 2019,20:00,-0200,Grêmio Porto Alegre,3-0,,Juventude RS,,2019-01-28T22:00Z
,4,Wed Jan 30 2019,19:15,-0200,Veranópolis RS,1-1,,Internacional,,2019-01-30T21:15Z
,4,Wed Jan 30 2019,20:30,-0200,Avenida RS,0-0,,Aimoré RS,,2019-01-30T22:30Z
,4,Wed Jan 30 2019,20:30,-0200,Novo Hamburgo RS,2-1,,S.E.R. Caxias RS,,2019-01-30T22:30Z
,4,Wed Jan 30 2019,20:30,-0200,Pelotas RS,1-0,,São José RS,,2019-01-30T22:30Z
,4,Thu Jan 31 2019,21:15,-0200,Grêmio Porto Alegre,4-0,,São Luiz RS,,2019-01-31T23:15Z
,4,Thu Jan 31 2019,19:00,-0200,Juventude RS,2-2,,Brasil de Pelotas RS,,2019-01-31T21:00Z
,5,Sun Feb 3 2019,18:00,-0200,Aimoré RS,0-1,,Juventude RS,,2019-02-03T20:00Z
,5,Sun Feb 3 2019,18:00,-0200,São José RS,3-2,,Veranópolis RS,,2019-02-03T20:00Z
,5,Sun Feb 3 2019,17:00,-0200,S.E.R. Caxias RS,0-3,,Grêmio Porto Alegre,,2019-02-03T19:00Z
,5,Mon Feb 4 2019,20:40,-0200,Internacional,1-0,,Brasil de Pelotas RS,,2019-02-04T22:40Z
,5,Mon Feb 4 2019,20:30,-0200,Avenida RS,2-1,,Pelotas RS,,2019-02-04T22:30Z
,5,Tue Feb 5 2019,20:30,-0200,São Luiz RS,2-0,,Novo Hamburgo RS,,2019-02-05T22:30Z
,6,Sat Feb 9 2019,18:00,-0200,S.E.R. Caxias RS,1-0,,Veranópolis RS,,2019-02-09T20:00Z
,6,Sat Feb 9 2019,18:00,-0200,São José RS,2-1,,São Luiz RS,,2019-02-09T20:00Z
,6,Sun Feb 10 2019,18:00,-0200,Brasil de Pelotas RS,1-3,,Aimoré RS,,2019-02-10T20:00Z
,6,Sun Feb 10 2019,18:30,-0200,Grêmio Porto Alegre,6-0,,Avenida RS,,2019-02-10T20:30Z
,6,Sun Feb 10 2019,17:00,-0200,Juventude RS,1-2,,Internacional,,2019-02-10T19:00Z
,6,Mon Feb 11 2019,20:00,-0200,Pelotas RS,0-0,,Novo Hamburgo RS,,2019-02-11T22:00Z
,7,Sat Feb 16 2019,20:00,-0200,Novo Hamburgo RS,1-0,,São José RS,,2019-02-16T22:00Z
,7,Sat Feb 16 2019,19:00,-0200,São Luiz RS,1-0,,Avenida RS,,2019-02-16T21:00Z
,7,Sun Feb 17 2019,17:00,-0300,Brasil de Pelotas RS,0-0,,Grêmio Porto Alegre,,2019-02-17T20:00Z
,7,Sun Feb 17 2019,18:00,-0300,Veranópolis RS,0-1,,Juventude RS,,2019-02-17T21:00Z
,7,Sun Feb 17 2019,19:00,-0300,Internacional,2-1,,S.E.R. Caxias RS,,2019-02-17T22:00Z
,7,Mon Feb 18 2019,20:00,-0300,Pelotas RS,3-0,,Aimoré RS,,2019-02-18T23:00Z
,8,Sat Feb 23 2019,17:00,-0300,Juventude RS,2-3,,São Luiz RS,,2019-02-23T20:00Z
