Round,Date,Time,Team 1,FT,HT,Team 2
1,Sun Mar 31 2019,15:00,AIK Solna,0-0,0-0,Östersunds FK
1,Sun Mar 31 2019,15:00,Falkenbergs FF,1-0,0-0,Örebro SK
1,Sun Mar 31 2019,15:00,Kalmar FF,0-2,0-1,IK Sirius
1,Sun Mar 31 2019,17:30,Helsingborgs IF,3-1,2-1,IFK Norrköping
1,Sun Mar 31 2019,17:30,AFC Eskilstuna,3-1,1-0,IFK Göteborg
1,Mon Apr 1 2019,19:00,Djurgårdens IF,2-2,2-1,GIF Sundsvall
1,Mon Apr 1 2019,19:00,IF Elfsborg,1-1,1-1,Hammarby IF
1,Mon Apr 1 2019,19:00,Malmö FF,1-1,0-0,BK Häcken
2,Sat Apr 6 2019,16:00,BK Häcken,2-1,1-0,Helsingborgs IF
2,Sat Apr 6 2019,16:00,GIF Sundsvall,3-1,0-0,Malmö FF
2,Sun Apr 7 2019,15:00,IFK Göteborg,3-0,2-0,IF Elfsborg
2,Sun Apr 7 2019,17:30,Hammarby IF,1-1,0-1,Kalmar FF
2,Sun Apr 7 2019,15:00,Östersunds FK,3-2,1-1,Falkenbergs FF
2,Mon Apr 8 2019,19:00,IFK Norrköping,0-0,0-0,AIK Solna
2,Mon Apr 8 2019,19:00,Örebro SK,0-3,0-1,Djurgårdens IF
2,Mon Apr 8 2019,19:00,IK Sirius,3-2,3-1,AFC Eskilstuna
3,Fri Apr 12 2019,19:00,AFC Eskilstuna,1-1,0-0,Örebro SK
3,Sat Apr 13 2019,13:30,Falkenbergs FF,0-3,0-0,BK Häcken
3,Sat Apr 13 2019,16:00,Kalmar FF,2-2,0-0,IFK Norrköping
3,Sun Apr 14 2019,17:30,Malmö FF,2-0,1-0,Östersunds FK
3,Sun Apr 14 2019,15:00,IF Elfsborg,3-1,1-1,GIF Sundsvall
3,Sun Apr 14 2019,15:00,AIK Solna,2-1,0-1,IK Sirius
3,Mon Apr 15 2019,19:00,Djurgårdens IF,2-1,0-0,IFK Göteborg
3,Mon Apr 15 2019,19:00,Helsingborgs IF,2-1,1-1,Hammarby IF
4,Fri Apr 19 2019,13:30,Östersunds FK,1-1,0-1,IF Elfsborg
4,Fri Apr 19 2019,16:00,IFK Norrköping,4-3,2-1,Falkenbergs FF
4,Fri Apr 19 2019,16:00,Örebro SK,2-1,0-0,AIK Solna
4,Sat Apr 20 2019,16:00,IK Sirius,0-1,0-0,Malmö FF
4,Sat Apr 20 2019,13:30,GIF Sundsvall,1-2,1-2,Kalmar FF
4,Sun Apr 21 2019,15:00,BK Häcken,0-1,0-0,Djurgårdens IF
4,Sun Apr 21 2019,17:30,Hammarby IF,3-1,2-0,AFC Eskilstuna
4,Mon Apr 22 2019,15:00,IFK Göteborg,3-1,2-0,Helsingborgs IF
5,Wed Apr 24 2019,19:00,AFC Eskilstuna,0-1,0-1,Östersunds FK
5,Wed Apr 24 2019,19:00,AIK Solna,1-0,0-0,BK Häcken
5,Wed Apr 24 2019,19:00,IF Elfsborg,4-2,3-0,Örebro SK
5,Wed Apr 24 2019,19:00,Malmö FF,4-1,0-1,Hammarby IF
5,Wed Apr 24 2019,19:00,Falkenbergs FF,0-0,0-0,IK Sirius
5,Thu Apr 25 2019,18:45,Djurgårdens IF,1-1,0-1,IFK Norrköping
5,Thu Apr 25 2019,19:00,Helsingborgs IF,1-1,0-0,GIF Sundsvall
5,Thu Apr 25 2019,19:00,Kalmar FF,1-1,0-0,IFK Göteborg
6,Sat Apr 27 2019,16:00,IK Sirius,2-4,1-4,IF Elfsborg
6,Sun Apr 28 2019,15:00,BK Häcken,3-0,0-0,AFC Eskilstuna
6,Sun Apr 28 2019,15:00,Hammarby IF,2-1,2-1,Djurgårdens IF
6,Sun Apr 28 2019,17:30,IFK Norrköping,1-1,1-1,Malmö FF
6,Mon Apr 29 2019,19:00,IFK Göteborg,3-0,1-0,AIK Solna
6,Mon Apr 29 2019,19:00,Örebro SK,1-1,0-0,Kalmar FF
6,Mon Apr 29 2019,19:00,Östersunds FK,3-0,2-0,Helsingborgs IF
6,Mon Apr 29 2019,19:00,GIF Sundsvall,3-1,1-0,Falkenbergs FF
7,Sat May 4 2019,13:30,AIK Solna,2-1,1-0,AFC Eskilstuna
7,Sat May 4 2019,16:00,IK Sirius,2-4,2-1,IFK Göteborg
7,Sun May 5 2019,15:00,Falkenbergs FF,1-2,1-2,Malmö FF
7,Sun May 5 2019,17:30,Örebro SK,2-3,0-1,Hammarby IF
7,Sun May 5 2019,15:00,Kalmar FF,1-1,0-1,Östersunds FK
7,Sun May 5 2019,15:00,BK Häcken,1-0,0-0,GIF Sundsvall
7,Mon May 6 2019,19:00,IF Elfsborg,0-0,0-0,IFK Norrköping
7,Mon May 6 2019,19:00,Helsingborgs IF,1-1,0-1,Djurgårdens IF
8,Fri May 10 2019,19:00,Hammarby IF,2-0,2-0,IK Sirius
8,Sat May 11 2019,13:30,Östersunds FK,1-1,1-1,BK Häcken
8,Sat May 11 2019,16:00,AFC Eskilstuna,0-0,0-0,Falkenbergs FF
8,Sat May 11 2019,18:00,GIF Sundsvall,1-2,0-0,Örebro SK
