Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
,1,Sat Jan 19 2019,17:00,-0200,Santos FC,1-0,0-0,Ferroviária SP,,2019-01-19T19:00Z
,1,Sat Jan 19 2019,19:30,-0200,São Paulo FC,4-1,1-1,Mirassol SP,,2019-01-19T21:30Z
,1,Sat Jan 19 2019,21:30,-0200,CA Bragantino,1-0,1-0,Guarani SP,,2019-01-19T23:30Z
,1,Sat Jan 19 2019,16:30,-0200,Ponte Preta,0-0,0-0,Oeste SP,,2019-01-19T18:30Z
,1,Sun Jan 20 2019,11:00,-0200,Botafogo SP,1-1,0-0,São Bento SP,,2019-01-20T13:00Z
,1,Sun Jan 20 2019,17:00,-0200,Corinthians SP,1-1,0-1,São Caetano SP,,2019-01-20T19:00Z
,1,Sun Jan 20 2019,19:00,-0200,Red Bull Brasil SP,1-1,1-1,Palmeiras,,2019-01-20T21:00Z
,1,Mon Jan 21 2019,18:15,-0200,Ituano SP,0-1,0-0,Grêmio Novorizontino SP,,2019-01-21T20:15Z
,2,Wed Jan 23 2019,19:15,-0200,Guarani SP,2-1,2-1,Corinthians SP,,2019-01-23T21:15Z
,2,Wed Jan 23 2019,19:15,-0200,Oeste SP,0-0,0-0,CA Bragantino,,2019-01-23T21:15Z
,2,Wed Jan 23 2019,21:00,-0200,Palmeiras,1-0,1-0,Botafogo SP,,2019-01-23T23:00Z
,2,Wed Jan 23 2019,17:00,-0200,Ferroviária SP,0-0,0-0,Ponte Preta,,2019-01-23T19:00Z
,2,Thu Jan 24 2019,17:30,-0200,Mirassol SP,1-0,1-0,Red Bull Brasil SP,,2019-01-24T19:30Z
,2,Thu Jan 24 2019,19:15,-0200,São Bento SP,0-4,0-2,Santos FC,,2019-01-24T21:15Z
,2,Thu Jan 24 2019,21:00,-0200,Grêmio Novorizontino SP,0-3,0-2,São Paulo FC,,2019-01-24T23:00Z
,2,Thu Jan 24 2019,21:00,-0200,São Caetano SP,0-0,0-0,Ituano SP,,2019-01-24T23:00Z
,3,Sat Jan 26 2019,19:00,-0200,Corinthians SP,1-0,0-0,Ponte Preta,,2019-01-26T21:00Z
,3,Sat Jan 26 2019,16:30,-0200,Guarani SP,1-2,0-0,Oeste SP,,2019-01-26T18:30Z
,3,Sun Jan 27 2019,17:00,-0200,Santos FC,2-0,1-0,São Paulo FC,,2019-01-27T19:00Z
,3,Sun Jan 27 2019,19:00,-0200,São Caetano SP,0-2,0-1,Palmeiras,,2019-01-27T21:00Z
,3,Sun Jan 27 2019,19:00,-0200,Mirassol SP,0-0,0-0,Grêmio Novorizontino SP,,2019-01-27T21:00Z
,3,Sun Jan 27 2019,19:30,-0200,Red Bull Brasil SP,1-1,0-1,CA Bragantino,,2019-01-27T21:30Z
,3,Mon Jan 28 2019,20:00,-0200,Botafogo SP,1-2,0-1,Ferroviária SP,,2019-01-28T22:00Z
,3,Mon Jan 28 2019,17:30,-0200,Ituano SP,2-0,0-0,São Bento SP,,2019-01-28T19:30Z
,4,Wed Jan 30 2019,19:15,-0200,Ponte Preta,3-0,1-0,Mirassol SP,,2019-01-30T21:15Z
,4,Wed Jan 30 2019,21:00,-0200,Oeste SP,0-1,0-0,Palmeiras,,2019-01-30T23:00Z
,4,Wed Jan 30 2019,19:15,-0200,Corinthians SP,0-2,0-0,Red Bull Brasil SP,,2019-01-30T21:15Z
,4,Thu Jan 31 2019,17:00,-0200,Grêmio Novorizontino SP,1-0,0-0,Botafogo SP,,2019-01-31T19:00Z
,4,Thu Jan 31 2019,18:45,-0200,São Bento SP,1-1,0-1,São Caetano SP,,2019-01-31T20:45Z
,4,Thu Jan 31 2019,19:15,-0200,CA Bragantino,1-4,0-3,Santos FC,,2019-01-31T21:15Z
,4,Thu Jan 31 2019,21:00,-0200,São Paulo FC,0-1,0-1,Guarani SP,,2019-01-31T23:00Z
,4,Thu Jan 31 2019,21:00,-0200,Ferroviária SP,2-1,1-0,Ituano SP,,2019-01-31T23:00Z
,5,Sat Feb 2 2019,17:00,-0200,Palmeiras,0-1,0-1,Corinthians SP,,2019-02-02T19:00Z
,5,Sun Feb 3 2019,17:00,-0200,São Paulo FC,1-0,0-0,São Bento SP,,2019-02-03T19:00Z
,5,Sun Feb 3 2019,19:00,-0200,Ituano SP,5-1,4-1,Santos FC,,2019-02-03T21:00Z
,5,Sun Feb 3 2019,19:00,-0200,CA Bragantino,2-1,1-0,Ponte Preta,,2019-02-03T21:00Z
,5,Sun Feb 3 2019,11:00,-0200,Mirassol SP,2-2,1-0,Guarani SP,,2019-02-03T13:00Z
,5,Mon Feb 4 2019,17:30,-0200,Oeste SP,2-2,2-0,Grêmio Novorizontino SP,,2019-02-04T19:30Z
,5,Mon Feb 4 2019,20:00,-0200,Ferroviária SP,1-2,0-1,Red Bull Brasil SP,,2019-02-04T22:00Z
,5,Tue Feb 5 2019,19:00,-0200,Botafogo SP,3-0,0-0,São Caetano SP,,2019-02-05T21:00Z
,6,Fri Feb 8 2019,21:00,-0200,São Bento SP,0-0,0-0,Ferroviária SP,,2019-02-08T23:00Z
