Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Fri Apr 26 2019,19:15,-0300,Brasil de Pelotas RS,0-1,0-1,CA Bragantino,,2019-04-26T22:15Z
1,Fri Apr 26 2019,21:30,-0300,São Bento SP,1-3,0-1,Atlético Goianiense,,2019-04-27T00:30Z
1,Fri Apr 26 2019,21:30,-0300,Sport Recife PE,1-1,0-0,Oeste SP,,2019-04-27T00:30Z
1,Fri Apr 26 2019,19:15,-0300,Operário Ferroviário PR,1-0,0-0,América MG,,2019-04-26T22:15Z
1,Sat Apr 27 2019,11:00,-0300,Botafogo SP,3-1,0-0,Vitória BA,,2019-04-27T14:00Z
1,Sat Apr 27 2019,16:30,-0300,Guarani SP,0-0,0-0,Figueirense SC,,2019-04-27T19:30Z
1,Sat Apr 27 2019,16:30,-0300,Criciúma SC,0-1,0-0,Cuiabá MT,,2019-04-27T19:30Z
1,Sat Apr 27 2019,21:00,-0300,Vila Nova GO,1-1,1-0,Paraná Clube,,2019-04-28T00:00Z
1,Sun Apr 28 2019,16:00,-0300,CR Brasil AL,1-2,1-2,Londrina PR,,2019-04-28T19:00Z
1,Mon Apr 29 2019,20:00,-0300,Coritiba PR,2-0,2-0,Ponte Preta,,2019-04-29T23:00Z
2,Tue Apr 30 2019,21:30,-0300,América MG,0-1,0-0,Botafogo SP,,2019-05-01T00:30Z
2,Wed May 1 2019,16:00,-0300,Oeste SP,2-0,1-0,Guarani SP,,2019-05-01T19:00Z
2,Thu May 2 2019,21:00,-0300,Ponte Preta,1-1,1-0,Criciúma SC,,2019-05-03T00:00Z
2,Fri May 3 2019,21:30,-0300,Atlético Goianiense,1-1,1-1,Coritiba PR,,2019-05-04T00:30Z
2,Fri May 3 2019,19:15,-0300,Londrina PR,1-0,1-0,Brasil de Pelotas RS,,2019-05-03T22:15Z
2,Sat May 4 2019,11:00,-0300,Figueirense SC,2-2,0-1,São Bento SP,,2019-05-04T14:00Z
2,Sat May 4 2019,16:30,-0300,Vitória BA,2-1,1-1,Vila Nova GO,,2019-05-04T19:30Z
2,Sat May 4 2019,19:00,-0300,Paraná Clube,1-0,1-0,CR Brasil AL,,2019-05-04T22:00Z
2,Sat May 4 2019,19:00,-0300,Cuiabá MT,2-1,2-1,Operário Ferroviário PR,,2019-05-04T22:00Z
2,Mon May 6 2019,20:00,-0300,CA Bragantino,1-1,1-1,Sport Recife PE,,2019-05-06T23:00Z
3,Thu May 9 2019,21:30,-0300,Coritiba PR,0-0,0-0,Londrina PR,,2019-05-10T00:30Z
3,Thu May 9 2019,19:15,-0300,São Bento SP,0-1,0-0,Botafogo SP,,2019-05-09T22:15Z
3,Fri May 10 2019,19:15,-0300,CA Bragantino,3-0,1-0,Atlético Goianiense,,2019-05-10T22:15Z
3,Fri May 10 2019,21:30,-0300,Vila Nova GO,0-0,0-0,Ponte Preta,,2019-05-11T00:30Z
3,Sat May 11 2019,16:30,-0300,Sport Recife PE,0-0,0-0,Figueirense SC,,2019-05-11T19:30Z
3,Sat May 11 2019,19:00,-0300,Operário Ferroviário PR,0-0,0-0,Oeste SP,,2019-05-11T22:00Z
3,Sat May 11 2019,19:00,-0300,Brasil de Pelotas RS,0-2,0-1,CR Brasil AL,,2019-05-11T22:00Z
3,Sat May 11 2019,19:00,-0300,Cuiabá MT,1-1,0-1,Paraná Clube,,2019-05-11T22:00Z
3,Sat May 11 2019,11:00,-0300,Criciúma SC,0-0,0-0,América MG,,2019-05-11T14:00Z
3,Mon May 13 2019,20:00,-0300,Guarani SP,3-2,1-1,Vitória BA,,2019-05-13T23:00Z
4,Tue May 14 2019,21:30,-0300,Figueirense SC,1-0,0-0,Brasil de Pelotas RS,,2019-05-15T00:30Z
