Round,Date,Time,Team 1,FT,HT,Team 2
1,Sat Mar 30 2019,13:30,IF Brommapojkarna,1-2,1-1,Västerås SK
1,Sat Mar 30 2019,16:00,Mjällby AIF,0-1,0-0,Varbergs BoIS
1,Sat Mar 30 2019,16:00,Örgryte IS,1-1,1-0,Norrby IF
1,Sat Mar 30 2019,16:00,Trelleborgs FF,2-2,2-2,GAIS Göteborg
1,Sun Mar 31 2019,15:00,Östers IF,0-0,0-0,Dalkurd FF
1,Sun Mar 31 2019,17:30,Syrianska FC,1-4,1-3,Degerfors IF
1,Mon Apr 1 2019,19:00,IK Brage,2-0,0-0,IK Frej
1,Tue Apr 2 2019,19:00,Jönköpings Södra IF,0-1,0-0,Halmstads BK
2,Fri Apr 5 2019,19:00,GAIS Göteborg,1-1,0-1,Östers IF
2,Sat Apr 6 2019,13:30,Degerfors IF,2-1,2-1,Jönköpings Södra IF
2,Sat Apr 6 2019,16:00,Halmstads BK,1-3,0-3,Örgryte IS
2,Sun Apr 7 2019,17:30,IK Frej,0-3,0-1,Syrianska FC
2,Sun Apr 7 2019,15:00,Varbergs BoIS,3-1,3-1,Trelleborgs FF
2,Sun Apr 7 2019,15:00,Dalkurd FF,0-4,0-1,IF Brommapojkarna
2,Mon Apr 8 2019,19:00,Norrby IF,2-1,2-1,Mjällby AIF
2,Tue Apr 9 2019,19:00,Västerås SK,1-1,1-0,IK Brage
3,Fri Apr 12 2019,19:00,Jönköpings Södra IF,1-0,0-0,Dalkurd FF
3,Sat Apr 13 2019,13:30,Mjällby AIF,2-1,1-0,Västerås SK
3,Sat Apr 13 2019,16:00,IK Brage,2-0,0-0,Halmstads BK
3,Sun Apr 14 2019,17:30,Syrianska FC,1-5,0-2,Varbergs BoIS
3,Sun Apr 14 2019,15:00,IF Brommapojkarna,1-2,0-1,GAIS Göteborg
3,Mon Apr 15 2019,19:00,Örgryte IS,2-0,0-0,IK Frej
3,Mon Apr 15 2019,19:00,Trelleborgs FF,1-1,0-1,Norrby IF
3,Tue Apr 16 2019,19:00,Östers IF,1-1,1-1,Degerfors IF
4,Fri Apr 19 2019,16:00,GAIS Göteborg,0-3,0-1,IK Brage
4,Sat Apr 20 2019,13:30,Degerfors IF,1-2,0-1,Örgryte IS
4,Sun Apr 21 2019,15:00,Norrby IF,1-7,0-3,Jönköpings Södra IF
