Round,Date,Time,Team 1,FT,HT,Team 2,Comments
1,Fri Feb 15 2019,20:45,Bohemian FC,1-0,1-0,Finn Harps,
1,Fri Feb 15 2019,20:45,Derry City,3-0,1-0,UC Dublin,
1,Fri Feb 15 2019,20:45,Dundalk FC,1-1,0-1,Sligo Rovers,
1,Fri Feb 15 2019,20:45,St Patrick's Athletic,1-0,1-0,Cork City,
1,Fri Feb 15 2019,20:45,Waterford FC,1-2,1-0,Shamrock Rovers,
2,Fri Feb 22 2019,20:45,Cork City,0-2,0-1,Waterford FC,
2,Fri Feb 22 2019,20:45,Sligo Rovers,0-1,0-0,St Patrick's Athletic,
2,Fri Feb 22 2019,21:00,Shamrock Rovers,2-0,1-0,Derry City,
2,Fri Feb 22 2019,21:00,Finn Harps,1-1,1-0,Dundalk FC,
2,Fri Feb 22 2019,20:45,UC Dublin,0-2,0-2,Bohemian FC,
3,Mon Feb 25 2019,20:45,Bohemian FC,1-0,0-0,Shamrock Rovers,
3,Mon Feb 25 2019,20:45,Derry City,3-2,1-0,Waterford FC,
3,Mon Feb 25 2019,20:45,Sligo Rovers,1-2,0-1,Cork City,
3,Mon Feb 25 2019,20:45,St Patrick's Athletic,0-0,0-0,Finn Harps,
3,Mon Feb 25 2019,20:45,Dundalk FC,2-1,0-1,UC Dublin,
4,Fri Mar 1 2019,20:45,Cork City,0-0,0-0,Derry City,
4,Fri Mar 1 2019,20:45,UC Dublin,1-1,0-1,St Patrick's Athletic,
4,Fri Mar 1 2019,20:45,Waterford FC,0-0,0-0,Bohemian FC,
4,Fri Mar 1 2019,21:00,Finn Harps,1-2,0-1,Sligo Rovers,
4,Fri Mar 1 2019,21:00,Shamrock Rovers,0-0,0-0,Dundalk FC,
16,Mon Mar 4 2019,21:00,Shamrock Rovers,3-0,3-0,Finn Harps,
5,Fri Mar 8 2019,20:45,St Patrick's Athletic,0-1,0-1,Shamrock Rovers,
5,Fri Mar 8 2019,20:45,Dundalk FC,4-0,2-0,Waterford FC,
5,Fri Mar 8 2019,20:45,Bohemian FC,1-1,0-0,Derry City,
5,Fri Mar 8 2019,21:00,Finn Harps,3-4,2-2,Cork City,
5,Sat Mar 9 2019,20:45,Sligo Rovers,1-0,1-0,UC Dublin,
6,Fri Mar 15 2019,20:45,Waterford FC,2-0,1-0,St Patrick's Athletic,
6,Fri Mar 15 2019,20:45,UC Dublin,3-0,0-0,Finn Harps,
6,Fri Mar 15 2019,20:45,Derry City,0-2,0-1,Dundalk FC,
6,Fri Mar 15 2019,21:00,Shamrock Rovers,3-0,1-0,Sligo Rovers,
6,Fri Mar 15 2019,20:45,Cork City,2-0,1-0,Bohemian FC,
7,Fri Mar 22 2019,21:00,Finn Harps,0-1,0-0,Shamrock Rovers,
8,Fri Mar 29 2019,21:00,Shamrock Rovers,3-1,1-1,UC Dublin,
8,Fri Mar 29 2019,20:45,Waterford FC,4-0,1-0,Finn Harps,
8,Fri Mar 29 2019,20:45,Dundalk FC,1-0,1-0,Cork City,
8,Fri Mar 29 2019,20:45,Derry City,2-0,0-0,Sligo Rovers,
8,Fri Mar 29 2019,20:45,Bohemian FC,1-0,1-0,St Patrick's Athletic,
9,Fri Apr 5 2019,20:45,St Patrick's Athletic,1-0,1-0,Dundalk FC,
9,Fri Apr 5 2019,20:45,UC Dublin,4-1,2-1,Waterford FC,
9,Fri Apr 5 2019,20:45,Cork City,1-3,1-2,Shamrock Rovers,
9,Fri Apr 5 2019,20:45,Finn Harps,2-3,0-0,Derry City,
9,Sat Apr 6 2019,20:45,Sligo Rovers,0-2,0-0,Bohemian FC,
10,Fri Apr 12 2019,20:45,Sligo Rovers,2-1,2-1,Dundalk FC,
10,Fri Apr 12 2019,21:00,Shamrock Rovers,2-1,1-0,Waterford FC,
10,Fri Apr 12 2019,20:45,UC Dublin,0-2,0-1,Derry City,
10,Fri Apr 12 2019,20:45,Cork City,1-1,1-0,St Patrick's Athletic,
10,Fri Apr 12 2019,21:00,Finn Harps,0-1,0-1,Bohemian FC,
7,Mon Apr 15 2019,20:45,Sligo Rovers,0-0,0-0,Waterford FC,
7,Mon Apr 15 2019,20:45,UC Dublin,2-1,0-1,Cork City,
7,Mon Apr 15 2019,20:45,St Patrick's Athletic,1-3,1-3,Derry City,
7,Mon Apr 15 2019,20:45,Dundalk FC,1-0,0-0,Bohemian FC,
11,Fri Apr 19 2019,20:45,Derry City,0-1,0-1,Shamrock Rovers,
11,Fri Apr 19 2019,20:45,Dundalk FC,3-0,1-0,Finn Harps,
11,Fri Apr 19 2019,20:45,Bohemian FC,3-0,1-0,UC Dublin,
11,Fri Apr 19 2019,20:45,Waterford FC,2-0,0-0,Cork City,
11,Fri Apr 19 2019,20:45,St Patrick's Athletic,2-1,2-0,Sligo Rovers,
12,Mon Apr 22 2019,16:00,UC Dublin,1-3,1-1,Dundalk FC,
12,Mon Apr 22 2019,18:00,Cork City,0-0,0-0,Sligo Rovers,
12,Mon Apr 22 2019,18:00,Finn Harps,0-2,0-1,St Patrick's Athletic,
12,Mon Apr 22 2019,17:00,Waterford FC,2-2,0-1,Derry City,
12,Tue Apr 23 2019,21:00,Shamrock Rovers,0-1,0-1,Bohemian FC,
13,Fri Apr 26 2019,20:45,St Patrick's Athletic,2-0,0-0,UC Dublin,
13,Fri Apr 26 2019,20:45,Derry City,2-0,1-0,Cork City,
13,Fri Apr 26 2019,20:45,Sligo Rovers,1-1,0-1,Finn Harps,
