Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Round 1,Tue Feb 5 2019,21:30,-0200,River PI,0-5,0-3,Fluminense RJ,,2019-02-05T23:30Z
Round 1,Wed Feb 6 2019,16:00,-0200,Votuporanguense SP,0-1,0-0,Ypiranga RS,,2019-02-06T18:00Z
Round 1,Wed Feb 6 2019,19:15,-0200,Altos PI,1-7,1-5,Santos FC,,2019-02-06T21:15Z
Round 1,Wed Feb 6 2019,20:30,-0200,Foz do Iguaçu PR,1-0,0-0,Boa Esporte MG,,2019-02-06T22:30Z
Round 1,Wed Feb 6 2019,20:30,-0200,Sobradinho DF,0-0,0-0,América RN,,2019-02-06T22:30Z
Round 1,Wed Feb 6 2019,21:00,-0200,Santa Cruz de Natal RN,1-0,1-0,Tupi MG,,2019-02-06T23:00Z
Round 1,Wed Feb 6 2019,21:30,-0200,Palmas TO,0-1,0-0,Juventude RS,,2019-02-06T23:30Z
Round 1,Wed Feb 6 2019,21:30,-0200,Corumbaense MS,0-0,0-0,Luverdense MT,,2019-02-06T23:30Z
Round 1,Wed Feb 6 2019,21:30,-0200,Atlético Cearense CE,2-0,1-0,Joinville SC,,2019-02-06T23:30Z
Round 1,Wed Feb 6 2019,21:30,-0200,Mixto MT,1-0,0-0,CSA AL,,2019-02-06T23:30Z
Round 1,Wed Feb 6 2019,21:30,-0200,Itabaiana SE,2-5,0-3,Paraná Clube,,2019-02-06T23:30Z
Round 1,Wed Feb 6 2019,21:30,-0200,Juazeirense BA,2-2,0-1,Vasco da Gama RJ,,2019-02-06T23:30Z
Round 1,Wed Feb 6 2019,22:15,-0200,Central PE,1-1,1-1,Ceará CE,,2019-02-07T00:15Z
Round 1,Thu Feb 7 2019,21:00,-0200,Ferroviário CE,2-2,1-1,Corinthians SP,,2019-02-07T23:00Z
Round 1,Thu Feb 7 2019,18:30,-0200,Americano RJ,1-2,1-1,Londrina PR,,2019-02-07T20:30Z
Round 1,Tue Feb 12 2019,21:30,-0200,Imperatriz MA,1-1,0-1,Náutico PE,,2019-02-12T23:30Z
Round 1,Wed Feb 13 2019,16:30,-0200,Bragantino PA,1-0,0-0,ASA AL,,2019-02-13T18:30Z
Round 1,Wed Feb 13 2019,16:30,-0200,Brasiliense DF,0-0,0-0,CR Brasil AL,,2019-02-13T18:30Z
Round 1,Wed Feb 13 2019,19:00,-0200,São José RS,0-0,0-0,Chapecoense,,2019-02-13T21:00Z
Round 1,Wed Feb 13 2019,20:00,-0200,São Raimundo PA,0-2,0-1,Criciúma SC,,2019-02-13T22:00Z
Round 1,Wed Feb 13 2019,20:30,-0200,Avenida RS,1-0,0-0,Guarani SP,,2019-02-13T22:30Z
Round 1,Wed Feb 13 2019,20:30,-0200,Galvez AC,0-1,0-0,ABC RN,,2019-02-13T22:30Z
Round 1,Wed Feb 13 2019,20:30,-0200,Boavista RJ,1-2,0-1,Figueirense SC,,2019-02-13T22:30Z
Round 1,Wed Feb 13 2019,20:30,-0200,Sergipe SE,0-2,0-0,Goiás GO,,2019-02-13T22:30Z
Round 1,Wed Feb 13 2019,20:30,-0200,Brusque SC,1-1,1-0,Atlético Goianiense,,2019-02-13T22:30Z
Round 1,Wed Feb 13 2019,20:30,-0200,Serra ES,1-0,0-0,Remo PA,,2019-02-13T22:30Z
Round 1,Wed Feb 13 2019,20:30,-0200,Real Ariquemes RO,1-4,1-2,Avaí SC,,2019-02-13T22:30Z
Round 1,Wed Feb 13 2019,21:30,-0200,Campinense PB,0-2,0-1,Botafogo RJ,,2019-02-13T23:30Z
Round 1,Wed Feb 13 2019,21:30,-0200,Ypiranga SP,0-1,0-1,Cuiabá MT,,2019-02-13T23:30Z
Round 1,Wed Feb 13 2019,21:30,-0200,São Raimundo RR,0-0,0-0,América MG,,2019-02-13T23:30Z
Round 1,Wed Feb 13 2019,21:30,-0200,Tombense MG,3-0,1-0,Sport Recife PE,,2019-02-13T23:30Z
Round 1,Wed Feb 13 2019,21:30,-0200,Operário de Campo Grande MS,1-4,1-1,Botafogo PB,,2019-02-13T23:30Z
Round 1,Wed Feb 13 2019,22:15,-0200,Moto Club MA,2-0,0-0,Vitória BA,,2019-02-14T00:15Z
Round 1,Wed Feb 13 2019,22:30,-0200,Manaus AM,1-1,1-0,Vila Nova GO,,2019-02-14T00:30Z
Round 1,Wed Feb 13 2019,23:30,-0200,Rio Branco AC,2-2,1-1,Bahia BA,,2019-02-14T01:30Z
Round 1,Thu Feb 14 2019,21:15,-0200,U.R.T. MG,3-2,2-1,Coritiba PR,,2019-02-14T23:15Z
Round 1,Thu Feb 14 2019,22:30,-0200,Sinop MT,1-2,0-1,Santa Cruz PE,,2019-02-15T00:30Z
Round 1,Thu Feb 14 2019,22:30,-0200,Fast Clube AM,1-6,0-2,Oeste SP,,2019-02-15T00:30Z
Round 1,Thu Feb 14 2019,19:00,-0200,Tubarão SC,0-0,0-0,Brasil de Pelotas RS,,2019-02-14T21:00Z
Round 2,Tue Feb 19 2019,19:15,-0300,Londrina PR,1-1,0-1,Paraná Clube,5-4,2019-02-19T22:15Z
Round 2,Wed Feb 20 2019,21:30,-0300,Serra ES,0-2,0-1,Vasco da Gama RJ,,2019-02-21T00:30Z
Round 2,Wed Feb 20 2019,19:15,-0300,Luverdense MT,1-0,1-0,Figueirense SC,,2019-02-20T22:15Z
Round 2,Wed Feb 20 2019,21:30,-0300,Corinthians SP,4-2,1-2,Avenida RS,,2019-02-21T00:30Z
Round 2,Wed Feb 20 2019,21:30,-0300,Santa Cruz PE,1-1,1-1,Náutico PE,4-2,2019-02-21T00:30Z
