Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
,1,Sat Jan 19 2019,16:30,-0200,Guarani MG,1-3,,Cruzeiro,2019-01-19T18:30Z
,1,Sun Jan 20 2019,11:00,-0200,Tupi MG,1-1,,Tombense MG,2019-01-20T13:00Z
,1,Sun Jan 20 2019,11:00,-0200,Villa Nova MG,1-5,,Tupynambás MG,2019-01-20T13:00Z
,1,Sun Jan 20 2019,17:00,-0200,Atlético Mineiro,5-0,,Boa Esporte MG,2019-01-20T19:00Z
,1,Sun Jan 20 2019,17:00,-0200,Atlético Patrocinense MG,2-1,,U.R.T. MG,2019-01-20T19:00Z
,1,Sun Jan 20 2019,11:00,-0200,Caldense MG,1-1,,América MG,2019-01-20T13:00Z
,2,Wed Jan 23 2019,19:00,-0200,U.R.T. MG,1-1,,Caldense MG,2019-01-23T21:00Z
,2,Wed Jan 23 2019,19:15,-0200,Tombense MG,1-0,,Atlético Mineiro,2019-01-23T21:15Z
,2,Wed Jan 23 2019,20:00,-0200,Boa Esporte MG,2-2,,Guarani MG,2019-01-23T22:00Z
,2,Wed Jan 23 2019,20:00,-0200,Tupynambás MG,1-0,,Tupi MG,2019-01-23T22:00Z
,2,Wed Jan 23 2019,21:30,-0200,Cruzeiro,1-0,,Atlético Patrocinense MG,2019-01-23T23:30Z
,2,Thu Jan 24 2019,19:00,-0200,América MG,3-0,,Villa Nova MG,2019-01-24T21:00Z
,3,Sat Jan 26 2019,18:00,-0200,Tupynambás MG,0-5,,Boa Esporte MG,2019-01-26T20:00Z
,3,Sun Jan 27 2019,16:00,-0200,Villa Nova MG,0-0,,Guarani MG,2019-01-27T18:00Z
,3,Sun Jan 27 2019,17:00,-0200,América MG,5-0,,Tupi MG,2019-01-27T19:00Z
,3,Sun Jan 27 2019,17:00,-0200,Caldense MG,0-2,,Atlético Patrocinense MG,2019-01-27T19:00Z
,3,Sun Jan 27 2019,17:00,-0200,U.R.T. MG,1-1,,Tombense MG,2019-01-27T19:00Z
,3,Sun Jan 27 2019,11:00,-0200,Cruzeiro,1-1,,Atlético Mineiro,2019-01-27T13:00Z
,4,Wed Jan 30 2019,17:15,-0200,Guarani MG,0-0,,Caldense MG,2019-01-30T19:15Z
,4,Wed Jan 30 2019,20:00,-0200,Tupi MG,1-1,,Villa Nova MG,2019-01-30T22:00Z
,4,Wed Jan 30 2019,21:00,-0200,Atlético Patrocinense MG,1-1,,Tupynambás MG,2019-01-30T23:00Z
,4,Wed Jan 30 2019,21:30,-0200,Atlético Mineiro,4-0,,U.R.T. MG,2019-01-30T23:30Z
,4,Wed Jan 30 2019,21:30,-0200,Tombense MG,1-2,,América MG,2019-01-30T23:30Z
,4,Thu Jan 31 2019,20:00,-0200,Boa Esporte MG,2-2,,Cruzeiro,2019-01-31T22:00Z
,5,Sat Feb 2 2019,19:00,-0200,Atlético Mineiro,2-0,,Guarani MG,2019-02-02T21:00Z
,5,Sat Feb 2 2019,16:30,-0200,Tupi MG,2-2,,Caldense MG,2019-02-02T18:30Z
,5,Sun Feb 3 2019,17:00,-0200,Atlético Patrocinense MG,0-0,,América MG,2019-02-03T19:00Z
,5,Sun Feb 3 2019,17:00,-0200,Villa Nova MG,0-3,,Cruzeiro,2019-02-03T19:00Z
,5,Sun Feb 3 2019,11:00,-0200,Tupynambás MG,0-0,,Tombense MG,2019-02-03T13:00Z
,6,Sat Feb 9 2019,21:00,-0200,América MG,3-1,,U.R.T. MG,2019-02-09T23:00Z
,6,Sat Feb 9 2019,16:30,-0200,Caldense MG,0-1,,Atlético Mineiro,2019-02-09T18:30Z
,6,Sat Feb 9 2019,17:00,-0200,Guarani MG,0-0,,Tupi MG,2019-02-09T19:00Z
