Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Taça Guanabara,1,Sat Jan 19 2019,17:00,-0200,Madureira RJ,0-1,,Vasco da Gama RJ,,2019-01-19T19:00Z
Taça Guanabara,1,Sat Jan 19 2019,19:00,-0200,Fluminense RJ,1-1,,Volta Redonda RJ,,2019-01-19T21:00Z
Taça Guanabara,1,Sun Jan 20 2019,17:00,-0200,Flamengo RJ,2-1,,Bangu RJ,,2019-01-20T19:00Z
Taça Guanabara,1,Sun Jan 20 2019,16:30,-0200,Portuguesa RJ,0-1,,Americano RJ,,2019-01-20T18:30Z
Taça Guanabara,1,Sun Jan 20 2019,19:00,-0200,Cabofriense RJ,3-1,,Botafogo RJ,,2019-01-20T21:00Z
Taça Guanabara,1,Sun Jan 20 2019,20:00,-0200,Boavista RJ,2-1,,Resende FC RJ,,2019-01-20T22:00Z
Taça Guanabara,2,Wed Jan 23 2019,21:30,-0200,Vasco da Gama RJ,5-2,,Volta Redonda RJ,,2019-01-23T23:30Z
Taça Guanabara,2,Wed Jan 23 2019,20:00,-0200,Boavista RJ,1-0,,Cabofriense RJ,,2019-01-23T22:00Z
Taça Guanabara,2,Wed Jan 23 2019,19:15,-0200,Resende FC RJ,1-1,,Flamengo RJ,,2019-01-23T21:15Z
Taça Guanabara,2,Wed Jan 23 2019,19:15,-0200,Botafogo RJ,0-0,,Bangu RJ,,2019-01-23T21:15Z
Taça Guanabara,2,Wed Jan 23 2019,16:00,-0200,Portuguesa RJ,0-0,,Madureira RJ,,2019-01-23T18:00Z
Taça Guanabara,2,Thu Jan 24 2019,21:30,-0200,Americano RJ,0-4,,Fluminense RJ,,2019-01-24T23:30Z
Taça Guanabara,3,Sat Jan 26 2019,17:00,-0200,Botafogo RJ,1-2,,Flamengo RJ,,2019-01-26T19:00Z
Taça Guanabara,3,Sat Jan 26 2019,10:00,-0200,Volta Redonda RJ,2-1,,Madureira RJ,,2019-01-26T12:00Z
Taça Guanabara,3,Sat Jan 26 2019,16:30,-0200,Bangu RJ,2-0,,Boavista RJ,,2019-01-26T18:30Z
Taça Guanabara,3,Sun Jan 27 2019,19:30,-0200,Vasco da Gama RJ,1-0,,Americano RJ,,2019-01-27T21:30Z
Taça Guanabara,3,Sun Jan 27 2019,17:00,-0200,Fluminense RJ,3-1,,Portuguesa RJ,,2019-01-27T19:00Z
Taça Guanabara,3,Sun Jan 27 2019,19:30,-0200,Cabofriense RJ,1-1,,Resende FC RJ,,2019-01-27T21:30Z
Taça Guanabara,4,Tue Jan 29 2019,21:00,-0200,Flamengo RJ,3-1,,Boavista RJ,,2019-01-29T23:00Z
Taça Guanabara,4,Wed Jan 30 2019,17:00,-0200,Americano RJ,1-2,,Volta Redonda RJ,,2019-01-30T19:00Z
Taça Guanabara,4,Wed Jan 30 2019,21:30,-0200,Fluminense RJ,4-0,,Madureira RJ,,2019-01-30T23:30Z
Taça Guanabara,4,Wed Jan 30 2019,17:00,-0200,Portuguesa RJ,0-1,,Vasco da Gama RJ,,2019-01-30T19:00Z
Taça Guanabara,4,Thu Jan 31 2019,16:00,-0200,Bangu RJ,1-0,,Cabofriense RJ,,2019-01-31T18:00Z
Taça Guanabara,4,Thu Jan 31 2019,20:00,-0200,Botafogo RJ,0-1,,Resende FC RJ,,2019-01-31T22:00Z
Taça Guanabara,5,Sat Feb 2 2019,19:00,-0200,Vasco da Gama RJ,1-0,,Fluminense RJ,,2019-02-02T21:00Z
Taça Guanabara,5,Sat Feb 2 2019,16:30,-0200,Madureira RJ,1-1,,Americano RJ,,2019-02-02T18:30Z
Taça Guanabara,5,Sat Feb 2 2019,19:00,-0200,Volta Redonda RJ,1-0,,Portuguesa RJ,,2019-02-02T21:00Z
Taça Guanabara,5,Sun Feb 3 2019,17:00,-0200,Boavista RJ,0-3,,Botafogo RJ,,2019-02-03T19:00Z
Taça Guanabara,5,Sun Feb 3 2019,17:00,-0200,Flamengo RJ,4-0,,Cabofriense RJ,,2019-02-03T19:00Z
Taça Guanabara,5,Sun Feb 3 2019,17:00,-0200,Resende FC RJ,3-0,,Bangu RJ,,2019-02-03T19:00Z
