Stage,Round,Date,Time,Team 1,FT,HT,Team 2,ET,P
Regular Season,4,Thu Jul 4 2019,17:30,Helsingfors IFK,0-2,0-2,HJK Helsinki,,
Regular Season,4,Fri Jul 5 2019,17:30,Inter Turku,2-0,2-0,FC Lahti,,
Regular Season,4,Sat Jul 6 2019,16:00,KPV Kokkola,2-1,1-0,Vaasan PS,,
Regular Season,4,Sat Jul 6 2019,16:00,Rovaniemi PS,1-2,0-2,IFK Mariehamn,,
Regular Season,4,Sat Jul 6 2019,16:00,FC Honka,1-2,0-1,Kuopion PS,,
Regular Season,4,Sun Jul 7 2019,17:30,Ilves Tampere,3-0,2-0,SJK Seinäjoki,,
Regular Season,4,Sat Jul 13 2019,12:00,FC Honka,3-0,1-0,Helsingfors IFK,,
Regular Season,4,Sat Jul 13 2019,16:00,SJK Seinäjoki,1-0,0-0,Vaasan PS,,
Regular Season,4,Sun Jul 14 2019,17:30,FC Lahti,1-0,1-0,Ilves Tampere,,
Regular Season,4,Sun Jul 14 2019,17:30,IFK Mariehamn,3-0,1-0,KPV Kokkola,,
Regular Season,4,Sat Jul 20 2019,16:00,Ilves Tampere,1-1,0-0,HJK Helsinki,,
Regular Season,4,Sat Jul 20 2019,16:00,Vaasan PS,1-1,1-1,FC Lahti,,
Regular Season,4,Sat Jul 20 2019,16:00,KPV Kokkola,1-2,0-1,SJK Seinäjoki,,
Regular Season,4,Sun Jul 21 2019,16:00,Inter Turku,3-1,1-0,FC Honka,,
Regular Season,4,Sun Jul 21 2019,16:00,Helsingfors IFK,1-0,1-0,Rovaniemi PS,,
Regular Season,4,Sun Jul 21 2019,16:00,Kuopion PS,0-0,0-0,IFK Mariehamn,,
Regular Season,4,Fri Jul 26 2019,17:30,SJK Seinäjoki,0-2,0-0,FC Lahti,,
Regular Season,4,Sat Jul 27 2019,16:00,FC Honka,1-2,1-0,Ilves Tampere,,
Regular Season,4,Sat Jul 27 2019,16:00,HJK Helsinki,1-1,0-1,Vaasan PS,,
Regular Season,4,Sun Jul 28 2019,16:00,KPV Kokkola,2-1,0-0,Kuopion PS,,
Regular Season,4,Sun Jul 28 2019,16:00,Rovaniemi PS,0-2,0-1,Inter Turku,,
Regular Season,4,Sun Jul 28 2019,16:00,IFK Mariehamn,1-3,1-1,Helsingfors IFK,,
Regular Season,5,Sat Aug 3 2019,16:00,Vaasan PS,2-3,1-0,FC Honka,,
