Round,Date,Time,Timezone,Team 1,FT,Team 2,UTC
1,Sat Aug 12 2000,15:00,BST/+0100,Barnet FC,3-0,Shrewsbury Town,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Blackpool FC,3-1,Hull City,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Carlisle United,2-2,Halifax Town,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Cheltenham Town,2-2,Mansfield Town,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Chesterfield FC,4-1,York City,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Exeter City,1-2,Cardiff City,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Kidderminster Harriers,2-0,Torquay United,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Lincoln City,0-2,Hartlepool United,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Macclesfield Town,0-1,Scunthorpe United,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Plymouth Argyle,0-1,Leyton Orient,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Rochdale AFC,1-1,Darlington FC,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Southend United,2-0,Brighton & Hove Albion,2000-08-12T14:00Z
2,Sat Aug 19 2000,15:00,BST/+0100,Brighton & Hove Albion,2-1,Rochdale AFC,2000-08-19T14:00Z
2,Sat Aug 19 2000,15:00,BST/+0100,Cardiff City,1-1,Blackpool FC,2000-08-19T14:00Z
2,Sat Aug 19 2000,15:00,BST/+0100,Darlington FC,1-1,Exeter City,2000-08-19T14:00Z
2,Sat Aug 19 2000,15:00,BST/+0100,Halifax Town,1-1,Lincoln City,2000-08-19T14:00Z
2,Sat Aug 19 2000,15:00,BST/+0100,Hartlepool United,1-2,Chesterfield FC,2000-08-19T14:00Z
2,Sat Aug 19 2000,15:00,BST/+0100,Hull City,1-1,Plymouth Argyle,2000-08-19T14:00Z
