Round,Date,Time,Timezone,Team 1,FT,Team 2,UTC
1,Sat Aug 12 2000,15:00,BST/+0100,Bristol Rovers,1-1,AFC Bournemouth,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Cambridge United,0-1,Bury FC,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Luton Town,0-1,Notts County,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Millwall FC,2-0,Reading FC,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Northampton Town,1-1,Brentford FC,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Oldham Athletic,4-1,Port Vale FC,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Oxford United,0-1,Peterborough United,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Rotherham United,2-3,Walsall FC,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Stoke City,0-0,Wycombe Wanderers,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Swansea City,0-0,Wigan Athletic,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Swindon Town,0-0,Colchester United,2000-08-12T14:00Z
1,Sat Aug 12 2000,15:00,BST/+0100,Wrexham AFC,0-2,Bristol City,2000-08-12T14:00Z
2,Fri Aug 18 2000,19:45,BST/+0100,Colchester United,0-1,Rotherham United,2000-08-18T18:45Z
2,Sat Aug 19 2000,15:00,BST/+0100,AFC Bournemouth,1-1,Cambridge United,2000-08-19T14:00Z
2,Sat Aug 19 2000,15:00,BST/+0100,Brentford FC,0-0,Swansea City,2000-08-19T14:00Z
2,Sat Aug 19 2000,15:00,BST/+0100,Bristol City,1-2,Stoke City,2000-08-19T14:00Z
2,Sat Aug 19 2000,15:00,BST/+0100,Bury FC,1-4,Wrexham AFC,2000-08-19T14:00Z
2,Sat Aug 19 2000,15:00,BST/+0100,Notts County,3-4,Millwall FC,2000-08-19T14:00Z
2,Sat Aug 19 2000,15:00,BST/+0100,Port Vale FC,3-0,Oxford United,2000-08-19T14:00Z
2,Sat Aug 19 2000,15:00,BST/+0100,Reading FC,2-0,Swindon Town,2000-08-19T14:00Z
2,Sat Aug 19 2000,15:00,BST/+0100,Walsall FC,3-2,Oldham Athletic,2000-08-19T14:00Z
2,Sat Aug 19 2000,15:00,BST/+0100,Wigan Athletic,2-1,Luton Town,2000-08-19T14:00Z
2,Sat Aug 19 2000,15:00,BST/+0100,Wycombe Wanderers,1-0,Northampton Town,2000-08-19T14:00Z
2,Sun Aug 20 2000,15:00,BST/+0100,Peterborough United,2-2,Bristol Rovers,2000-08-20T14:00Z
3,Sat Aug 26 2000,15:00,BST/+0100,Cambridge United,1-0,Bristol City,2000-08-26T14:00Z
3,Sat Aug 26 2000,15:00,BST/+0100,Luton Town,1-0,AFC Bournemouth,2000-08-26T14:00Z
3,Sat Aug 26 2000,15:00,BST/+0100,Millwall FC,1-2,Wycombe Wanderers,2000-08-26T14:00Z
3,Sat Aug 26 2000,15:00,BST/+0100,Northampton Town,2-0,Reading FC,2000-08-26T14:00Z
3,Sat Aug 26 2000,15:00,BST/+0100,Oldham Athletic,1-4,Peterborough United,2000-08-26T14:00Z
3,Sat Aug 26 2000,15:00,BST/+0100,Oxford United,0-1,Brentford FC,2000-08-26T14:00Z
3,Sat Aug 26 2000,15:00,BST/+0100,Rotherham United,1-2,Bury FC,2000-08-26T14:00Z
3,Sat Aug 26 2000,15:00,BST/+0100,Stoke City,0-1,Notts County,2000-08-26T14:00Z
3,Sat Aug 26 2000,15:00,BST/+0100,Swansea City,0-2,Colchester United,2000-08-26T14:00Z
3,Sat Aug 26 2000,15:00,BST/+0100,Swindon Town,1-4,Walsall FC,2000-08-26T14:00Z
3,Sat Aug 26 2000,15:00,BST/+0100,Wrexham AFC,1-3,Wigan Athletic,2000-08-26T14:00Z
4,Mon Aug 28 2000,15:00,BST/+0100,Brentford FC,2-6,Bristol Rovers,2000-08-28T14:00Z
4,Mon Aug 28 2000,15:00,BST/+0100,Bristol City,0-1,Rotherham United,2000-08-28T14:00Z
4,Mon Aug 28 2000,15:00,BST/+0100,Bury FC,1-0,Northampton Town,2000-08-28T14:00Z
4,Mon Aug 28 2000,15:00,BST/+0100,Notts County,0-1,Cambridge United,2000-08-28T14:00Z
4,Mon Aug 28 2000,15:00,BST/+0100,Wycombe Wanderers,1-1,Luton Town,2000-08-28T14:00Z
4,Mon Aug 28 2000,15:00,BST/+0100,Port Vale FC,3-0,Swindon Town,2000-08-28T14:00Z
4,Mon Aug 28 2000,15:00,BST/+0100,Peterborough United,0-2,Swansea City,2000-08-28T14:00Z
4,Tue Aug 29 2000,19:45,BST/+0100,Reading FC,3-3,Stoke City,2000-08-29T18:45Z
4,Tue Aug 29 2000,19:45,BST/+0100,Colchester United,1-1,Oldham Athletic,2000-08-29T18:45Z
4,Tue Aug 29 2000,19:45,BST/+0100,Walsall FC,3-2,Oxford United,2000-08-29T18:45Z
5,Sat Sep 2 2000,15:00,BST/+0100,Brentford FC,0-0,Wycombe Wanderers,2000-09-02T14:00Z
5,Sat Sep 2 2000,15:00,BST/+0100,Walsall FC,2-0,Wigan Athletic,2000-09-02T14:00Z
5,Sat Sep 2 2000,15:00,BST/+0100,Rotherham United,1-1,Luton Town,2000-09-02T14:00Z
5,Sat Sep 2 2000,15:00,BST/+0100,Peterborough United,1-1,Bury FC,2000-09-02T14:00Z
5,Sat Sep 2 2000,15:00,BST/+0100,Colchester United,3-1,AFC Bournemouth,2000-09-02T14:00Z
5,Sat Sep 2 2000,15:00,BST/+0100,Oldham Athletic,0-1,Notts County,2000-09-02T14:00Z
5,Sat Sep 2 2000,15:00,BST/+0100,Oxford United,1-1,Cambridge United,2000-09-02T14:00Z
5,Sat Sep 2 2000,15:00,BST/+0100,Port Vale FC,0-1,Reading FC,2000-09-02T14:00Z
6,Fri Sep 8 2000,19:45,BST/+0100,Wycombe Wanderers,3-1,Oxford United,2000-09-08T18:45Z
6,Sat Sep 9 2000,15:00,BST/+0100,Wigan Athletic,3-1,Colchester United,2000-09-09T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,Reading FC,4-0,Brentford FC,2000-09-09T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,Notts County,1-1,Bristol Rovers,2000-09-09T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,Millwall FC,1-0,Swansea City,2000-09-09T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,Luton Town,0-2,Northampton Town,2000-09-09T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,Wrexham AFC,3-1,Oldham Athletic,2000-09-09T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,Stoke City,3-0,Peterborough United,2000-09-09T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,AFC Bournemouth,1-1,Port Vale FC,2000-09-09T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,Bristol City,0-1,Swindon Town,2000-09-09T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,Bury FC,2-0,Walsall FC,2000-09-09T14:00Z
6,Sat Sep 9 2000,15:00,BST/+0100,Cambridge United,6-1,Rotherham United,2000-09-09T14:00Z
7,Tue Sep 12 2000,18:45,BST/+0100,Wrexham AFC,1-3,Rotherham United,2000-09-12T17:45Z
